,Concept_ID,udm,da
0,Auge::N,син,øje
1,Ohr::N,пель,øre
2,Nase::N,ныр,næse
3,Mund::N,ым,mund
4,Zahn::N,пинь,tand
5,Zunge::N,кыл,tunge
6,Lippe::N,ымдур,læbe
7,Wange::N,бам,kind
8,Gesicht::N,ымныр,ansigt
9,Stirn::N,кымес,pande
10,Haar::N,йырси,hår
11,Schnurrbart::N,мыйык,overskæg
12,Bart::N,туш,skæg
13,Kinn::N,ангес,hage
14,Kiefer[Anatomie]::N,ан,kæbe
15,Kiefer[Anatomie]::N,анлы,kæbe
16,Kehle::N,гульым,strube
17,Hals::N,чырты,hals
18,Genick::N,йырбер,nakke
19,Kopf::N,йыр,hoved
20,Rücken::N,мыш,ryg
21,Bauch::N,кӧт,mave
22,Nabel::N,гогы,navle
23,Busen::N,ноны,barm
24,Brust::N,мӧля,bryst
25,Schulter::N,пельпум,skulder
26,Arm::N,суй,arm
27,Ellenbogen::N,гырпум,albue
28,Hand::N,ки,hånd
29,Handfläche::N,ки пыдэс,håndflade
30,Handfläche::N,кырым пыдэс,håndflade
31,Finger::N,чиньы,finger
32,Fingernagel::N,гижы,fingernegl
33,Fingernagel::N,гиждӥнь,fingernegl
34,Nagel[Anatomie]::N,гижы,negl
35,Zeh::N,пыдчиньы,tå
36,Fuß::N,пыд,fod
37,Ferse::N,пыдбер,hæl
38,Knie::N,пыдес,knæ
39,Oberschenkel::N,макес,lår
40,Bein::N,пыд,ben
41,Körper::N,мугор,krop
42,Körper::N,мугор,legeme
43,Körper::N,вылтыр,krop
44,Körper::N,вылтыр,legeme
45,Haut::N,ку,hud
46,Blut::N,вир,blod
47,Ader::N,вирсэр,åre
48,Sehne::N,вуж,sene
49,Knochen::N,лы,ben
50,Gehirn::N,вим,hjerne
51,Herz::N,сюлэм,hjerte
52,Magen::N,ӝуш,mave
53,Leber::N,мус,lever
54,Atem::N,лул,ånde
55,Atem::N,шокан,ånde
56,Hunger::N,кӧтсюман,sult
57,Träne::N,синкыли,tåre
58,Geschmack::N,шӧм,smag
59,Geruch::N,зын,lugt
60,Schlaf::N,вӧт,søvn
61,Traum::N,уйвӧт,drøm
62,Himmel::N,ин,himmel
63,Sonne::N,шунды,sol
64,Mond::N,толэзь,måne
65,Stern::N,кизили,stjerne
66,Luft::N,омыр,luft
67,Wind::N,тӧл,vind
68,Welle::N,тулкым,bølge
69,Wasser::N,ву,vand
70,Stein::N,из,sten
71,Boden::N,музъем,jord
72,Erde::N,му,jord
73,Staub::N,пыль,støv
74,Rauch::N,ӵын,røg
75,Funke::N,гизьы,gnist
76,Feuer::N,тыл,ild
77,Licht::N,тыл,lys
78,Schatten::N,вужер,skygge
79,Wetter::N,куазь,vejr
80,Nebel::N,бус,tåge
81,Wolke::N,пилем,sky
82,Regen::N,зор,regn
83,Schnee::N,лымы,sne
84,Eis::N,йӧ,is
85,Frost::N,кезьыт,frost
86,Kälte::N,кезьыт,kulde
87,Hitze::N,пӧсь,hede
88,Raureif::N,гӧр,rimfrost
