,Concept_ID,bg,cs
0,Auge::N,око,oko
1,Ohr::N,ухо,ucho
2,Nase::N,нос,nos
3,Mund::N,уста,pusa
4,Zahn::N,зъб,zub
5,Zunge::N,език,jazyk
6,Lippe::N,устна,ret
7,Wange::N,буза,tvář
8,Gesicht::N,лице,obličej
9,Gesicht::N,образ,obličej
10,Stirn::N,чело,čelo
11,Haar::N,коса,vlas
12,Haar::N,коса,vlasy
13,Haar::N,косъм,vlas
14,Haar::N,косъм,vlasy
15,Schnurrbart::N,мустаци,kníry
16,Bart::N,брада,vousy
17,Kinn::N,брада,brada
18,Kinn::N,брадичка,brada
19,Kiefer[Anatomie]::N,челюст,čelist
20,Kehle::N,гърло,hrdlo
21,Hals::N,врат,krk
22,Genick::N,тил,týl
23,Kopf::N,глава,hlava
24,Rücken::N,гръб,záda
25,Rücken::N,гръб,hřbet
26,Bauch::N,корем,břicho
27,Nabel::N,пъп,pupek
28,Busen::N,бозка,ňadra
29,Brust::N,гръд,prsa
30,Schulter::N,рамо,plece
31,Schulter::N,рамо,rameno
32,Schulter::N,плещи,plece
33,Schulter::N,плещи,rameno
34,Arm::N,ръка,ruka
35,Ellenbogen::N,лакът,loket
36,Hand::N,ръка,ruka
37,Hand::N,китка,ruka
38,Handfläche::N,длан,dlaň
39,Finger::N,пръст,prst
40,Fingernagel::N,нокът,nehet
41,Nagel[Anatomie]::N,нокът,nehet
42,Zeh::N,пръст на крак,prst u nohy
43,Fuß::N,крак,noha
44,Fuß::N,нога,noha
45,Ferse::N,пета,pata
46,Knie::N,коляно,koleno
47,Oberschenkel::N,бедро,stehno
48,Bein::N,крак,noha
49,Bein::N,нога,noha
50,Körper::N,тяло,tělo
51,Haut::N,кожа,kůže
52,Blut::N,кръв,krev
53,Ader::N,вена,céva
54,Ader::N,артерия,céva
55,Sehne::N,жила,šlacha
56,Sehne::N,сухожилие,šlacha
57,Knochen::N,кост,kost
58,Gehirn::N,мозък,mozek
59,Herz::N,сърце,srdce
60,Magen::N,стомах,žaludek
61,Leber::N,черен дроб,játra
62,Atem::N,дишане,dech
63,Hunger::N,глад,hlad
64,Träne::N,сълза,slza
65,Geschmack::N,вкус,vkus
66,Geruch::N,миризма,vůně
67,Geruch::N,миризма,zápach
68,Schlaf::N,сън,spánek
69,Traum::N,сън,sen
70,Himmel::N,небе,nebe
71,Sonne::N,слънце,slunce
72,Mond::N,луна,měsíc
73,Mond::N,месец,měsíc
74,Stern::N,звезда,hvězda
75,Luft::N,въздух,vzduch
76,Wind::N,вятър,vítr
77,Welle::N,вълна,vlna
78,Wasser::N,вода,voda
79,Stein::N,камък,kámen
80,Boden::N,земя,půda
81,Boden::N,почва,půda
82,Erde::N,земя,země
83,Erde::N,почва,země
84,Staub::N,прах,prach
85,Rauch::N,дим,dým
86,Rauch::N,дим,kouř
87,Rauch::N,пушек,dým
88,Rauch::N,пушек,kouř
89,Funke::N,искра,jiskra
90,Feuer::N,огън,oheň
91,Licht::N,светлина,světlo
92,Schatten::N,сянка,stín
93,Wetter::N,време,počasí
94,Nebel::N,мъгла,mlha
95,Wolke::N,облак,mrak
96,Wolke::N,облак,oblak
97,Regen::N,дъжд,déšť
98,Schnee::N,сняг,sníh
99,Eis::N,лед,led
100,Frost::N,мраз,mráz
101,Kälte::N,студ,chlad
102,Hitze::N,жега,horko
103,Hitze::N,горещина,horko
104,Raureif::N,скреж,jinovatka
105,Raureif::N,слана,jinovatka
106,Regenbogen::N,дъга,duha
107,Donner::N,гръм,hrom
108,Strömung::N,течение,proudění
109,Tropfen::N,капка,kapka
110,Schaum::N,пяна,pěna
111,Schmutz::N,кал,špína
112,Schmutz::N,мръсотия,špína
113,See::N,езеро,jezero
114,Sumpf::N,блато,močál
115,Sumpf::N,блато,bažina
116,Moor::N,мочурище,bažina
117,Moor::N,мочурище,slatina
118,Wiese::N,ливада,louka
119,Wald::N,гора,les
120,Hügel::N,рид,kopec
121,Hügel::N,хълм,kopec
122,Anhöhe::N,могила,pahorek
123,Anhöhe::N,възвишение,pahorek
124,Berg::N,планина,hora
125,Gipfel::N,връх,vrchol
126,Höhle::N,пещера,jeskyně
127,Abhang::N,склон,svah
128,Abhang::N,склон,stráň
129,Abhang::N,стръмнина,svah
130,Abhang::N,стръмнина,stráň
131,Quelle::N,извор,pramen
132,Bach::N,поток,potok
133,Fluss::N,река,řeka
134,Ufer::N,бряг,břeh
135,Küste::N,бряг,pobřeží
136,Küste::N,крайбрежие,pobřeží
137,Festland::N,суша,souš
138,Festland::N,суша,pevnina
139,Meer::N,море,moře
140,Bucht::N,залив,záliv
141,Bucht::N,залив,zátoka
142,Insel::N,остров,ostrov
143,Blume::N,цвете,květina
144,Gras::N,трева,tráva
145,Wurzel::N,корен,kořen
146,Baum::N,дърво,strom
147,Stamm::N,стъбло,kmen
148,Rinde::N,кора,kůra
149,Ast::N,клон,větev
150,Zweig::N,клон,větev
151,Blatt::N,лист,lupen
152,Birke::N,бреза,bříza
153,Kiefer[Baum]::N,бор,sosna
154,Kiefer[Baum]::N,бор,borovice
155,Weide[Baum]::N,върба,vrba
156,Tanne::N,ела,jedle
157,Horn::N,рог,roh
158,Feder::N,перо,pero
159,Fell::N,кожа,srst
160,Flügel::N,крило,křídlo
161,Klaue::N,нокът,dráp
162,Klaue::N,нокът,pazneht
163,Kralle::N,нокът,dráp
164,Schwanz::N,опашка,ocas
165,Ei::N,яйце,vejce
166,Nest::N,гнездо,hnízdo
167,Bau::N,дупка,nora
168,Tier::N,животно,zvíře
169,Herde::N,стадо,stádo
170,Kuh::N,крава,kráva
171,Bulle::N,бик,býk
172,Pferd::N,кон,kůň
173,Schaf::N,овца,ovce
174,Schwein::N,свиня,vepř
175,Schwein::N,свиня,prase
176,Hund::N,куче,pes
177,Katze::N,котка,kočka
178,Bär::N,мечка,medvěd
179,Eichhörnchen::N,катерица,veverka
180,Elch::N,лос,los
181,Fuchs::N,лисица,liška
182,Hase::N,заек,zajíc
183,Maus::N,мишка,myš
184,Wolf::N,вълк,vlk
185,Vogel::N,птица,pták
186,Schwarm::N,рой,roj
187,Schwarm::N,рой,hejno
188,Schwarm::N,рояк,roj
189,Schwarm::N,рояк,hejno
190,Huhn::N,кокошка,kuře
191,Huhn::N,кокошка,slepice
192,Hahn::N,петел,kohout
193,Gans::N,гъска,husa
194,Adler::N,орел,orel
195,Ente::N,патица,kachna
196,Eule::N,сова,sova
197,Kranich::N,жерав,jeřáb
198,Krähe::N,врана,vrána
199,Kuckuck::N,кукувица,kukačka
200,Schwan::N,лебед,labuť
201,Fisch::N,риба,ryba
202,Barsch::N,костур,okoun
203,Hecht::N,щука,štika
204,Schlange[Tier]::N,змия,had
205,Wurm::N,червей,červ
206,Spinne::N,паяк,pavouk
207,Ameise::N,мравка,mravenec
208,Laus::N,въшка,veš
209,Mücke::N,комар,komár
210,Fliege::N,муха,moucha
211,Schmetterling::N,пеперуда,motýl
212,Beere::N,плод,bobule
