,Concept_ID,lv,bn
0,Auge::N,син,চক্ষু
1,Auge::N,acs,চক্ষু
2,Ohr::N,пель,কর্ণ
3,Ohr::N,auss,কর্ণ
4,Nase::N,ныр,নাক
5,Nase::N,deguns,নাক
6,Mund::N,вом,মুখ
7,Mund::N,mute,মুখ
8,Zahn::N,пинь,দাঁত
9,Zahn::N,zobs,দাঁত
10,Zunge::N,кыв,জিহবা
11,Zunge::N,mēle,জিহবা
12,Lippe::N,вом дор,অধর
13,Lippe::N,lūpa,অধর
14,Wange::N,бан,গণ্ড
15,Wange::N,vaigs,গণ্ড
16,Gesicht::N,чужӧм,মুখমণ্ডল
17,Gesicht::N,seja,মুখমণ্ডল
18,Gesicht::N,ģīmis,মুখমণ্ডল
19,Stirn::N,плеш,কপাল
20,Stirn::N,кымӧс,কপাল
21,Stirn::N,piere,কপাল
22,Haar::N,си,চুল
23,Haar::N,юрси,চুল
24,Haar::N,mats,চুল
25,Schnurrbart::N,ус,গোঁফ
26,Schnurrbart::N,пыртсим,গোঁফ
27,Schnurrbart::N,ūsas,গোঁফ
28,Bart::N,тош,শ্মশ্রু
29,Bart::N,bārda,শ্মশ্রু
30,Kinn::N,тшӧка,চিবুক
31,Kinn::N,zods,চিবুক
32,Kinn::N,smakrs,চিবুক
33,Kiefer[Anatomie]::N,черлы,চোয়াল
34,Kiefer[Anatomie]::N,алака лы,চোয়াল
35,Kiefer[Anatomie]::N,вомкӧтш лы,চোয়াল
36,Kiefer[Anatomie]::N,žoklis,চোয়াল
37,Kehle::N,голя,কণ্ঠ
38,Kehle::N,rīkle,কণ্ঠ
39,Hals::N,сьылі,গল
40,Hals::N,kakls,গল
41,Genick::N,юрбӧр,ঘাড়
42,Genick::N,балябӧж,ঘাড়
43,Genick::N,sprands,ঘাড়
44,Kopf::N,юр,মাথা
45,Kopf::N,galva,মাথা
46,Rücken::N,мыш,পৃষ্ঠ
47,Rücken::N,mugura,পৃষ্ঠ
48,Bauch::N,рушку,উদর
49,Bauch::N,vēders,উদর
50,Nabel::N,гӧг,নাভি
51,Nabel::N,naba,নাভি
52,Busen::N,морӧс,স্তন
53,Busen::N,krūts,স্তন
54,Brust::N,морӧс,বুক
55,Brust::N,krūts,বুক
56,Schulter::N,пельпом,স্কন্ধ
57,Schulter::N,plecs,স্কন্ধ
58,Arm::N,ки,বাহু
59,Arm::N,roka,বাহু
60,Arm::N,delms,বাহু
61,Ellenbogen::N,гырддза,কনুই
62,Ellenbogen::N,elkonis,কনুই
63,Hand::N,ки,হাত
64,Hand::N,roka,হাত
65,Hand::N,plauksta,হাত
66,Handfläche::N,ки пыдӧс,করতল
67,Handfläche::N,delna,করতল
68,Handfläche::N,plauksta,করতল
69,Finger::N,чунь,আঙ্গুল
70,Finger::N,pirksts,আঙ্গুল
71,Fingernagel::N,гыж,হাতের নখ
72,Fingernagel::N,nags,হাতের নখ
73,Nagel[Anatomie]::N,гыж,নখ
74,Nagel[Anatomie]::N,nags,নখ
75,Zeh::N,кок чунь,আঙ্গুল
76,Zeh::N,pirksts,আঙ্গুল
77,Fuß::N,кок,পা
78,Fuß::N,kāja,পা
79,Ferse::N,кокбӧр,গোড়ালি
80,Ferse::N,papēdis,গোড়ালি
81,Knie::N,пидзӧс,হাঁটু
82,Knie::N,celis,হাঁটু
83,Oberschenkel::N,лядьвей,ঊরু
84,Oberschenkel::N,бек,ঊরু
85,Oberschenkel::N,ciska,ঊরু
86,Oberschenkel::N,augšstilbs,ঊরু
87,Bein::N,кок,পা
88,Bein::N,kāja,পা
89,Körper::N,туша,দেহ
90,Körper::N,вывтыр,দেহ
91,Körper::N,miesa,দেহ
92,Körper::N,ķermenis,দেহ
93,Haut::N,ку,ত্বক
94,Haut::N,āda,ত্বক
95,Blut::N,вир,রক্ত
96,Blut::N,asins,রক্ত
97,Ader::N,сӧн,শিরা
98,Ader::N,asinsvads,শিরা
99,Sehne::N,вез,কণ্ডরা
100,Sehne::N,dzīsla,কণ্ডরা
101,Knochen::N,лы,অস্থি
102,Knochen::N,kauls,অস্থি
103,Gehirn::N,вем,মস্তিষ্ক
104,Gehirn::N,smadzenes,মস্তিষ্ক
105,Herz::N,сьӧлӧм,হৃৎপিণ্ড
106,Herz::N,sirds,হৃৎপিণ্ড
107,Magen::N,кынӧм,পাকস্থলী
108,Magen::N,kuņģis,পাকস্থলী
109,Leber::N,мус,যকৃৎ
110,Leber::N,aknas,যকৃৎ
111,Atem::N,лов,শ্বাস
112,Atem::N,elpa,শ্বাস
113,Hunger::N,тшыг,ক্ষুধা
114,Hunger::N,bads,ক্ষুধা
115,Hunger::N,izsalkums,ক্ষুধা
116,Träne::N,синва,অশ্রু
117,Träne::N,asara,অশ্রু
118,Geschmack::N,кӧр,স্বাদ
119,Geschmack::N,чӧсмӧс,স্বাদ
120,Geschmack::N,garša,স্বাদ
121,Geruch::N,зын,গন্ধ
122,Geruch::N,дук,গন্ধ
123,Geruch::N,smaka,গন্ধ
124,Schlaf::N,узьӧм,ঘুম
