,Concept_ID,az,be
0,Auge::N,göz,вока
1,Ohr::N,qulaq,вуха
2,Nase::N,burun,нос
3,Mund::N,ağız,рот
4,Zahn::N,diş,зуб
5,Zunge::N,dil,язык
6,Lippe::N,dodaq,губа
7,Wange::N,yanaq,шчака
8,Gesicht::N,üz,твар
9,Stirn::N,alın,лоб
10,Haar::N,saç,волас
11,Haar::N,saç,валасы
12,Schnurrbart::N,bığ,вус
13,Schnurrbart::N,bığ,вусы
14,Bart::N,saqqal,барада
15,Kinn::N,çənə,падбародак
16,Kiefer[Anatomie]::N,çənə,сківіца
17,Kehle::N,boğaz,горла
18,Hals::N,boyun,шыя
19,Genick::N,ənsə,патыліца
20,Kopf::N,baş,галава
21,Rücken::N,bel,спіна
22,Bauch::N,qarın,жывот
23,Nabel::N,göbək,пупок
24,Busen::N,məmə,грудзі
25,Brust::N,döş,грудзі
26,Schulter::N,çiyin,плячо
27,Arm::N,qol,рука
28,Ellenbogen::N,dirsək,локаць
29,Hand::N,əl,кісць
30,Handfläche::N,ovuc,далонь
31,Finger::N,barmaq,палец
32,Fingernagel::N,barmaq dırnağı,ногаць
33,Nagel[Anatomie]::N,dırnak,ногаць
34,Zeh::N,ayaq barmağı,палец
35,Fuß::N,ayaq,нага
36,Ferse::N,daban,пята
37,Ferse::N,daban,пятка
38,Knie::N,diz,калена
39,Oberschenkel::N,bud,бядро
40,Oberschenkel::N,bud,сцягно
41,Bein::N,qıç,нага
42,Körper::N,əndam,цела
43,Haut::N,dəri,скура
44,Blut::N,qan,кроў
45,Ader::N,damar,вена
46,Ader::N,damar,сасуд
47,Sehne::N,vətər,жыла
48,Sehne::N,vətər,цеціва
49,Sehne::N,vətər,сухажылле
50,Knochen::N,sümük,косць
51,Gehirn::N,beyin,мозг
52,Herz::N,ürək,сэрца
53,Magen::N,mədə,страўнік
54,Leber::N,qara ciyər,печань
55,Atem::N,nəfəs,дыханне
56,Hunger::N,aclıq,голад
57,Träne::N,göz yaşı,сляза
58,Geschmack::N,tam,смак
59,Geschmack::N,ləzzət,смак
60,Geruch::N,qoxu,пах
61,Schlaf::N,yuxu,сон
62,Traum::N,röya,сон
63,Himmel::N,göy,неба
64,Himmel::N,səma,неба
65,Sonne::N,günəş,сонца
66,Mond::N,ay,месяц
67,Stern::N,ulduz,зорка
68,Luft::N,hava,паветра
69,Wind::N,yel,вецер
70,Wind::N,külək,вецер
71,Welle::N,dalğa,хваля
72,Wasser::N,su,вада
73,Stein::N,daş,камень
74,Boden::N,yer,глеба
75,Boden::N,zəmin,глеба
76,Erde::N,yer torpaq,зямля
77,Staub::N,toz,пыл
78,Rauch::N,tüstü,дым
79,Funke::N,qığılcım,іскра
80,Feuer::N,od,агонь
81,Licht::N,işıq,святло
82,Schatten::N,kölgə,цень
83,Wetter::N,hava,пагода
84,Wetter::N,hava,надворʼе
85,Nebel::N,duman,туман
86,Wolke::N,bulud,воблака
87,Regen::N,yağış,дождж
88,Regen::N,yağmur,дождж
89,Schnee::N,qar,снег
90,Eis::N,buz,лёд
91,Frost::N,ayaz,мароз
92,Kälte::N,soyuq,холад
93,Hitze::N,coşğunluq,спёка
94,Raureif::N,qırov,іней
95,Regenbogen::N,göy qurşağı,вясёлка
96,Donner::N,göy gurultusu,гром
97,Strömung::N,axın,цячэнне
98,Tropfen::N,damcı,кропля
99,Schaum::N,köpük,пена
100,Schmutz::N,çamır,гразь
101,See::N,göl,возера
102,Sumpf::N,bataqlıq,багна
103,Moor::N,bataqlıq,балота
104,Wiese::N,çəmən,луг
105,Wald::N,meşə,лес
106,Hügel::N,təpə,узгорак
107,Anhöhe::N,təpə,узвышша
108,Berg::N,dağ,гара
109,Gipfel::N,zirvə,вяршыня
110,Höhle::N,mağara,пячора
111,Abhang::N,yamac,схіл
112,Quelle::N,bulaq,крыніца
113,Bach::N,kiçik çay,ручай
114,Fluss::N,çay,рака
115,Ufer::N,kənar,бераг
116,Küste::N,sahil,узбярэжжа
117,Festland::N,materik,суша
118,Meer::N,dəniz,мора
119,Bucht::N,körfəz,бухта
120,Insel::N,ada,востраў
121,Blume::N,çiçək,кветка
122,Gras::N,ot,трава
123,Wurzel::N,kök,корань
124,Baum::N,ağac,дрэва
125,Stamm::N,gövdə,ствол
126,Rinde::N,qabıq,кара
127,Ast::N,şax,сук
128,Zweig::N,budaq,галіна
129,Blatt::N,yarpaq,ліст
130,Birke::N,tozağacı,бяроза
131,Kiefer[Baum]::N,şam,хвоя
132,Kiefer[Baum]::N,şam,сасна
133,Weide[Baum]::N,söyüd,вярба
134,Tanne::N,küknar,яліна
135,Horn::N,buynuz,рог
136,Feder::N,tük,пяро
137,Feder::N,lələk,пяро
