,Concept_ID,pl,ba
0,Auge::N,oko,күҙ
1,Ohr::N,ucho,ҡолаҡ
2,Nase::N,nos,танау
3,Mund::N,usta,ауыҙ
4,Zahn::N,ząb,теш
5,Zunge::N,język,тел
6,Lippe::N,warga,ирен
7,Wange::N,policzek,яцаҡтар
8,Gesicht::N,twarz,бит
9,Stirn::N,czoło,маңлай
10,Haar::N,włos,сәс
11,Haar::N,włosy,сәс
12,Schnurrbart::N,wąsy,мылтыҡ
13,Bart::N,broda,һаҡал
14,Kinn::N,podbródek,эйэк
15,Kiefer[Anatomie]::N,czeluść,яңаҡ һөйәге
16,Kehle::N,gardło,тамаҡ
17,Hals::N,szyja,муйын
18,Genick::N,kark,соңҡа
19,Kopf::N,głowa,баш
20,Rücken::N,plecy,арҡа
21,Rücken::N,grzbiet,арҡа
22,Bauch::N,brzuch,ҡорһаҡ
23,Nabel::N,pępek,кендек
24,Busen::N,biust,күкрәк
25,Brust::N,pierś,түш
26,Schulter::N,bark,яурын
27,Schulter::N,ramię,яурын
28,Arm::N,ręka,ҡул
29,Arm::N,ramię,ҡул
30,Ellenbogen::N,łokieć,терһәк
31,Hand::N,dłoń,ҡул
32,Hand::N,dłoń,ҡул суғы
33,Handfläche::N,dłoń,ус төбө
34,Finger::N,palec,бармаҡ
35,Fingernagel::N,paznokieć,тырнаҡ
36,Nagel[Anatomie]::N,paznokieć,тырнаҡ
37,Zeh::N,palec,бармаҡ
38,Fuß::N,stopa,табан
39,Ferse::N,pięta,үксә
40,Knie::N,kolano,тубыҡ
41,Oberschenkel::N,udo,сандыр
42,Bein::N,noga,аяҡ
43,Körper::N,ciało,тән
44,Haut::N,skóra,тире
45,Blut::N,krew,ҡан
46,Ader::N,żyła,тамыр
47,Sehne::N,ścięgno,һеңер
48,Sehne::N,ścięgno,тарамыш
49,Knochen::N,kość,һойәк
50,Gehirn::N,mózg,мейе
51,Herz::N,serce,йорәк
52,Magen::N,żołądek,ашҡаҙан
53,Leber::N,wątroba,бауыр
54,Atem::N,dech,һулыш
55,Atem::N,oddech,һулыш
56,Hunger::N,głód,аслыҡ
57,Träne::N,łza,күҙ иәше
58,Geschmack::N,smak,тәм
59,Geruch::N,woń,еҫ
60,Geruch::N,zapach,еҫ
61,Schlaf::N,sen,йоҡлау
62,Traum::N,sen,төш
63,Himmel::N,niebo,күк
64,Sonne::N,słońce,ҡояш
65,Mond::N,księżyc,ай
66,Stern::N,gwiazda,йондоҙ
67,Luft::N,powietrze,һауа
68,Wind::N,wiatr,ел
69,Welle::N,fala,тулҡын
70,Wasser::N,woda,һыу
71,Stein::N,kamień,таш
72,Boden::N,grunt,тупраҡ
73,Erde::N,ziemia,балсҡ
74,Staub::N,pył,туҙан
75,Staub::N,kurz,туҙан
76,Rauch::N,dym,төтөн
77,Funke::N,iskra,осҡон
78,Feuer::N,ogień,ут
79,Licht::N,światło,яҡтылыҡ
80,Schatten::N,cień,күләгә
81,Wetter::N,pogoda,һауа торошо
82,Nebel::N,mgła,төман
83,Wolke::N,obłok,болот
84,Wolke::N,chmura,болот
85,Regen::N,deszcz,ямғыр
86,Schnee::N,śnieg,ҡар
87,Eis::N,lód,боҙ
88,Frost::N,mróz,һалҡын
89,Kälte::N,chłód,һыуыҡ
90,Hitze::N,gorąco,томра
91,Hitze::N,gorąco,эҫелек
92,Raureif::N,szron,ҡырау
93,Regenbogen::N,tęcza,йәйғор
94,Donner::N,grzmot,күк күкрәү
95,Strömung::N,nurt,ағым
96,Tropfen::N,kropla,тамсы
97,Schaum::N,piana,күбек
98,Schmutz::N,brud,батҡаҡ
99,See::N,jezioro,күл
100,Sumpf::N,bagno,һаҙлык
101,Moor::N,bagno,һаҙ
102,Wiese::N,łąka,болон
103,Wald::N,las,урман
104,Hügel::N,pagórek,түбә
105,Anhöhe::N,wzgórze,түбә
106,Anhöhe::N,wzgórze,ҡалҡыулыҡ
107,Berg::N,góra,тау
108,Gipfel::N,szczyt,түбә
109,Gipfel::N,wierzchołek,түбә
110,Höhle::N,pieczara,мәмерйә
111,Abhang::N,stok,ипкен
112,Abhang::N,zbocze,ипкен
113,Quelle::N,zdrój,шишмә
114,Quelle::N,źródło,шишмә
115,Bach::N,potok,шишмә
116,Bach::N,strumień,шишмә
117,Fluss::N,rzeka,йылға
118,Ufer::N,brzeg,яр
119,Küste::N,wybrzeże,яр буйы
120,Festland::N,ląd,ҡоро ер
121,Meer::N,morze,диңгез
122,Bucht::N,zatoka,бухта
123,Insel::N,wyspa,үтрау
124,Blume::N,kwiat,сәскә
125,Gras::N,trawa,үлән
126,Wurzel::N,korzeń,тамыр
127,Baum::N,drzewo,ағас
128,Stamm::N,pień,олон
129,Stamm::N,pień,көбәк
130,Rinde::N,kora,ҡабыҡ
131,Ast::N,gałąź,ботаҡ
132,Zweig::N,gałąź,ботаҡ
133,Zweig::N,gałąź,тармаҡ
134,Blatt::N,liść,япраҡ
135,Birke::N,brzoza,ҡайын
136,Kiefer[Baum]::N,sosna,ҡарғай
137,Weide[Baum]::N,wierzba,тал
138,Tanne::N,jodła,шыршы
139,Horn::N,róg,мөғөҙ
140,Feder::N,pióro,ҡауырһын
141,Fell::N,futro,тире
142,Flügel::N,skrzydło,ҡанат
143,Klaue::N,szpon,тырнаҡ
144,Kralle::N,pazur,аяҡ
145,Schwanz::N,ogon,ҡойроҡ
146,Ei::N,jajko,йомортҡа
147,Nest::N,gniazdo,оя
148,Bau::N,nora,оң
149,Tier::N,zwierzę,жайуан
150,Tier::N,zwierzę,йыртҡыс
151,Herde::N,stado,көтөү
152,Herde::N,trzoda,көтөү
153,Kuh::N,krowa,һыйыр
154,Bulle::N,byk,үгеҙ
155,Pferd::N,koń,ат
156,Schaf::N,owca,һарыҡ
157,Schwein::N,świnia,сусҡа
158,Hund::N,pies,эт
159,Katze::N,kot,бесәй
160,Katze::N,kotka,бесәй
161,Bär::N,niedźwiedż,айыу
162,Eichhörnchen::N,wiewiórka,тейен
163,Elch::N,łóś,мышы
164,Fuchs::N,lis,төлкө
165,Hase::N,zając,ҡуян
166,Maus::N,mysz,сысҡан
167,Wolf::N,wilk,бүре
168,Vogel::N,ptak,ҡош
169,Schwarm::N,stado,көтөү
170,Huhn::N,kura,тауыҡ
171,Hahn::N,kogut,әтәс
172,Gans::N,gęś,ҡаҙ
173,Adler::N,orzeł,бөркөт
174,Ente::N,kaczka,өйрәк
175,Eule::N,sowa,өкө
176,Eule::N,sowa,ябалаҡ
177,Kranich::N,żuraw,торна
178,Krähe::N,wrona,ҡарға
179,Kuckuck::N,kukułka,кәкүк
180,Schwan::N,łabędż,аҡҡош
181,Fisch::N,ryba,балыҡ
182,Barsch::N,okoń,алабуға
183,Hecht::N,szczupak,суртан
184,Schlange[Tier]::N,wąż,йылан
185,Schlange[Tier]::N,żmija,йылан
186,Wurm::N,robak,селяүсен
187,Spinne::N,pająk,үрмәксе
188,Ameise::N,mrówka,ҡырмыҫҡа
189,Laus::N,wesz,бет
190,Mücke::N,komar,серәкәй
191,Fliege::N,mucha,себен
192,Schmetterling::N,motyl,күбәләк
193,Beere::N,jagoda,еләк
194,Apfel::N,jabłko,алма
195,Pilz::N,grzyb,бәшмәк
196,Zwiebel::N,cebula,һуган
197,Saat::N,siew,орлоҡ
198,Korn::N,ziarno,иген
199,Heu::N,siano,бесән
200,Schale::N,łupina,ҡабыҡ
201,Grube::N,dół,соҡор
202,Grube::N,jama,соҡор
203,Falle::N,pułapka,тоҙак
204,Falle::N,pułapka,ҡапҡан
205,Schlinge::N,sidła,тоҙак
206,Spur::N,ślad,әҫер
207,Asche::N,popiół,көл
208,Dreck::N,brud,батҡаҡ
209,Eisen::N,żelazo,тимер
210,Gold::N,złoto,алтын
211,Silber::N,srebro,көмөш
212,Kohle::N,węgiel,күмер
213,Glas::N,szkło,быяла
214,Lehm::N,glina,балсыҡ
215,Sand::N,piasek,ҡом
216,Mensch::N,człowiek,кеше
217,Mann::N,mężczyzna,ир
218,Frau::N,kobieta,ҡатын
219,Kind::N,dziecko,бала
220,Junge::N,chłopak,малай
221,Junge::N,chłopiec,малай
222,Mädchen::N,dziewczynka,ҡыҙ
223,Mädchen::N,dziewczynka,ҡыҙыҡай
224,Familie::N,rodzina,ғаилә
225,Großvater::N,dziadek,олатай
226,Großmutter::N,babka,әбәй
227,Eltern::N,rodzice,ата-әсә
228,Vater::N,ojciec,атай
229,Mutter::N,matka,әсә
230,Sohn::N,syn,ул
231,Tochter::N,córka,ҡыҙ
232,Bruder::N,brat,агай
233,Schwester::N,siostra,алай
234,Schwester::N,siostra,һеңле
235,Onkel::N,wuj,ағай
236,Onkel::N,stryj,ағай
237,Tante::N,ciotka,апай
238,Ehemann::N,mąż,ир
239,Ehefrau::N,żona,ҡатын
240,Freude::N,radość,шатлыҡ
241,Freude::N,radość,ҡыуаныс
242,Gelächter::N,śmiech,көлөү
243,Glück::N,szczęście,бәхет
244,Kummer::N,zmartwienie,ҡайғы
245,Wunsch::N,życzenie,теләк
246,Lust::N,chęć,әүәҫлек
247,Lust::N,ochota,әүәҫлек
248,Geist::N,duch,аң
249,Geist::N,duch,рух
250,Gedanke::N,myśl,уй
251,Gedanke::N,myśl,фекер
252,Gedächtnis::N,pamięć,хәтер
253,Verstand::N,rozum,аҡыл
254,Sinn::N,zmysł,мәғәня
255,Grund::N,powód,сәбәп
256,Wahrheit::N,prawda,дөрөҫлөк
257,Gespräch::N,rozmowa,әңгәмә
258,Märchen::N,bajka,әкиәт
259,Erzählung::N,opowiadanie,хикәйә
260,Nachricht::N,wiadomość,хәбәр
261,Neuigkeit::N,nowina,яңылыҡ
262,Name::N,imię,исем
263,Rätsel::N,zagadka,йомаҡ
264,Rede::N,mowa,телмәр
265,Sprache::N,język,тел
266,Sprache::N,język,телмәр
267,Stimme::N,głos,тауыш
268,Wort::N,słowo,һүҙ
269,Zeichen::N,znak,билдә
270,Ruf::N,wołanie,саҡырыу
271,Lärm::N,hałas,шаулау
272,Lärm::N,zgiełk,шаулау
273,Laut::N,dźwięk,тауыш
274,Ton::N,ton,яңғырау
275,Ton::N,dźwięk,яңғырау
276,Lied::N,pieśń,йыр
277,Lied::N,piosenka,йыр
278,Ruhe::N,spokój,ял
279,Ruhe::N,spokój,тыныслыҡ
280,Leute::N,ludzie,кешеләр
281,Volk::N,naród,халҡ
282,Arbeit::N,praca,эш
283,Arbeit::N,robota,эш
284,Gast::N,gość,ҡунаҡ
285,Geschenk::N,prezent,бүләк
286,Geschenk::N,podarunek,бүләк
287,Spiel::N,gra,уйын
288,Spiel::N,zabawa,уйын
289,Gesellschaft::N,towarzystwo,йәмғиәт
290,Hilfe::N,pomoc,ярҙам
291,Freund::N,przyjaciel,дуҫ
