,Concept_ID,fa,no
0,Auge::N,چشم,øye
1,Ohr::N,گوش,øre
2,Nase::N,بینی,nese
3,Mund::N,دهان,munn
4,Zahn::N,دندان,tann
5,Zunge::N,زبان,tunge
6,Lippe::N,لب,leppe
7,Wange::N,لپ,kinn
8,Gesicht::N,رو,fjes
9,Gesicht::N,رو,ansikt
10,Gesicht::N,چهره,fjes
11,Gesicht::N,چهره,ansikt
12,Stirn::N,پیشانی,panne
13,Haar::N,مو,hår
14,Schnurrbart::N,سبیل,bart
15,Bart::N,ریش,skjegg
16,Kinn::N,چانه,hake
17,Kiefer[Anatomie]::N,فک,kjeve
18,Kiefer[Anatomie]::N,آرواره,kjeve
19,Kehle::N,حلق,strupe
20,Hals::N,گردن,hals
21,Genick::N,پشت گردن,nakke
22,Kopf::N,سر,hode
23,Kopf::N,کله,hode
24,Rücken::N,پشت,rygg
25,Bauch::N,شکم,buk
26,Bauch::N,شکم,mage
27,Nabel::N,ناف,navle
28,Busen::N,پستان,barm
29,Brust::N,سینه,bryst
30,Schulter::N,دوش,skulder
31,Schulter::N,شانه,skulder
32,Arm::N,بازو,arm
33,Ellenbogen::N,آرنج,albue
34,Hand::N,دست,hånd
35,Handfläche::N,کف دست,håndflate
36,Finger::N,انگشت,finger
37,Fingernagel::N,ناخن دست,fingernegl
38,Nagel[Anatomie]::N,ناخن,negl
39,Zeh::N,انگشت پا,tå
40,Fuß::N,پا,fot
41,Ferse::N,پاشنه,hæl
42,Knie::N,زانو,kne
43,Oberschenkel::N,ران,lår
44,Bein::N,پا,bein
45,Bein::N,لنگ,bein
46,Körper::N,تن,kropp
47,Körper::N,تن,legeme
48,Körper::N,بدن,kropp
49,Körper::N,بدن,legeme
50,Haut::N,پوست,hud
51,Haut::N,پوست,skinn
52,Blut::N,خون,blod
53,Ader::N,رگ,åre
54,Sehne::N,زردپی,sene
55,Knochen::N,استخوان,bein
56,Knochen::N,استخوان,knokkel
57,Gehirn::N,مخ,hjerne
58,Gehirn::N,مغز,hjerne
59,Herz::N,دل,hjerte
60,Herz::N,قلب,hjerte
61,Magen::N,معده,mage
62,Leber::N,کبد,lever
63,Atem::N,نفس,pust
64,Hunger::N,گرسنگی,sult
65,Träne::N,اشک,tåre
66,Geschmack::N,مزه,smak
67,Geruch::N,بو,lukt
68,Schlaf::N,خواب,søvn
69,Traum::N,رؤیا,drøm
70,Himmel::N,فلک,himmel
71,Himmel::N,آسمان,himmel
72,Sonne::N,آفتاب,sol
73,Sonne::N,خورشید,sol
74,Mond::N,ماه,måne
75,Stern::N,ستاره,stjerne
76,Luft::N,هوا,luft
77,Wind::N,باد,vind
78,Welle::N,موج,bølge
79,Wasser::N,آب,vann
80,Stein::N,سنگ,stein
81,Boden::N,زمین,bakke
82,Erde::N,خاک,jord
83,Erde::N,زمین,jord
84,Staub::N,گرد,støv
85,Staub::N,غبار,støv
86,Rauch::N,دود,røyk
87,Funke::N,جرقه,gnist
88,Feuer::N,آتش,ild
89,Licht::N,نور,lys
90,Licht::N,روشنی,lys
91,Schatten::N,سایه,skygge
92,Wetter::N,هوا,vær
93,Nebel::N,مه,tåke
94,Wolke::N,ابر,sky
95,Regen::N,باران,regn
96,Schnee::N,برف,snø
97,Eis::N,یخ,is
98,Frost::N,یخبندان,frost
99,Kälte::N,سرما,kulde
100,Hitze::N,گرما,hete
101,Hitze::N,حرارت,hete
102,Raureif::N,برف ریزه,rimfrost
103,Regenbogen::N,رنگین‌کمان,regnbue
104,Donner::N,رعد,torden
105,Strömung::N,جریان,strømning
106,Tropfen::N,قطره,dråpe
107,Schaum::N,کف,skum
108,Schmutz::N,گل,søl
109,Schmutz::N,گل,skitt
