,Concept_ID,ab,ab
0,Auge::N,ала,ала
1,Ohr::N,алымҳа,алымҳа
2,Nase::N,аҧынҵа,аҧынҵа
3,Mund::N,аҧышə,аҧышə
4,Zahn::N,ахаҧыц,ахаҧыц
5,Zunge::N,абз,абз
6,Lippe::N,ақьышə,ақьышə
7,Wange::N,аӡамҩа,аӡамҩа
8,Gesicht::N,аҿы,аҿы
9,Stirn::N,алахь,алахь
10,Haar::N,ахəыц,ахəыц
11,Schnurrbart::N,аҧаҵа,аҧаҵа
12,Bart::N,ажакьа,ажакьа
13,Kinn::N,ацламкəыгə,ацламкəыгə
14,Kiefer[Anatomie]::N,ацламҳəа,ацламҳəа
15,Kehle::N,ахəда,ахəда
16,Hals::N,ахəда,ахəда
17,Genick::N,ахəдаџьал,ахəдаџьал
18,Kopf::N,ахы,ахы
19,Rücken::N,азқəа,азқəа
20,Bauch::N,амгəа,амгəа
21,Nabel::N,аҷапан,аҷапан
22,Busen::N,агəыҧҳəы,агəыҧҳəы
23,Brust::N,агəышҧы,агəышҧы
24,Schulter::N,ажəҩахыр,ажəҩахыр
25,Arm::N,амахəар,амахəар
26,Ellenbogen::N,амашьхəылҵ,амашьхəылҵ
27,Hand::N,анапы,анапы
28,Handfläche::N,анапсаргəыҵа,анапсаргəыҵа
29,Finger::N,анацəа,анацəа
30,Fingernagel::N,анапхыц,анапхыц
31,Nagel[Anatomie]::N,ашьапхыц,ашьапхыц
32,Zeh::N,ашьацəа,ашьацəа
33,Fuß::N,ашьапсыргəыҵа,ашьапсыргəыҵа
34,Ferse::N,ашьхəа,ашьхəа
35,Knie::N,ашьамхы,ашьамхы
36,Oberschenkel::N,ауаҭəа,ауаҭəа
37,Bein::N,ашьапы,ашьапы
38,Körper::N,ацəеижь,ацəеижь
39,Haut::N,ацəа,ацəа
40,Blut::N,ашьа,ашьа
41,Ader::N,ада,ада
42,Sehne::N,адаш,адаш
43,Knochen::N,абаҩ,абаҩ
44,Gehirn::N,ахшлыбаҩ,ахшлыбаҩ
45,Gehirn::N,ахшлыбаҩ,ахшыбаҩ
46,Gehirn::N,ахшыбаҩ,ахшлыбаҩ
47,Gehirn::N,ахшыбаҩ,ахшыбаҩ
48,Herz::N,агəы,агəы
49,Magen::N,аца,аца
50,Magen::N,аца,ацар
51,Magen::N,ацар,аца
52,Magen::N,ацар,ацар
53,Leber::N,агəаҵəа,агəаҵəа
54,Atem::N,аҧсыҧлагаҩгара,аҧсыҧлагаҩгара
55,Hunger::N,амла,амла
56,Träne::N,алабжыш,алабжыш
57,Geschmack::N,агьама,агьама
58,Geruch::N,афҩы,афҩы
59,Schlaf::N,ацəа,ацəа
60,Traum::N,аҧхыӡ,аҧхыӡ
61,Himmel::N,ажəҩан,ажəҩан
62,Sonne::N,амра,амра
63,Mond::N,амза,амза
64,Stern::N,аеҵəа,аеҵəа
65,Luft::N,аҳаир,аҳаир
66,Wind::N,аҧша,аҧша
67,Welle::N,ацəқəырҧа,ацəқəырҧа
68,Wasser::N,аӡы,аӡы
69,Stein::N,ахаҳə,ахаҳə
70,Boden::N,адгьыл,адгьыл
71,Erde::N,адгьыл,адгьыл
72,Staub::N,асаба,асаба
73,Rauch::N,алҩа,алҩа
74,Funke::N,акəиц,акəиц
75,Funke::N,акəиц,ацҧхь
76,Funke::N,ацҧхь,акəиц
77,Funke::N,ацҧхь,ацҧхь
78,Feuer::N,амца,амца
79,Licht::N,алашара,алашара
80,Schatten::N,ашəшьыра,ашəшьыра
81,Wetter::N,амш,амш
82,Nebel::N,анаҟəа,анаҟəа
83,Wolke::N,аҧсҭҳəа,аҧсҭҳəа
84,Regen::N,ақəа,ақəа
85,Schnee::N,асы,асы
86,Eis::N,аҵаа,аҵаа
87,Frost::N,аҵаа,аҵаа
88,Kälte::N,ахьҭа,ахьҭа
89,Hitze::N,ашоура,ашоура
90,Raureif::N,аҵааҧшқа,аҵааҧшқа
91,Regenbogen::N,ацəаҟəа,ацəаҟəа
92,Donner::N,адыд,адыд
93,Strömung::N,аиасра,аиасра
94,Strömung::N,аиасра,амҩасра
95,Strömung::N,амҩасра,аиасра
96,Strömung::N,амҩасра,амҩасра
97,Tropfen::N,ацəыкəбар,ацəыкəбар
98,Schaum::N,ашəах,ашəах
99,Schmutz::N,алымт,алымт
100,See::N,аӡиа,аӡиа
101,Sumpf::N,аӡмах,аӡмах
102,Wiese::N,адəы,адəы
103,Wald::N,абна,абна
104,Hügel::N,ахəы,ахəы
105,Anhöhe::N,аҳаракыра,аҳаракыра
106,Berg::N,ашьха,ашьха
107,Gipfel::N,ацəқəа,ацəқəа
108,Höhle::N,аҳаҧы,аҳаҧы
109,Abhang::N,анаара,анаара
110,Quelle::N,аҵҵырҭа,аҵҵырҭа
111,Bach::N,акəараҷҷа,акəараҷҷа
112,Fluss::N,аӡиас,аӡиас
113,Ufer::N,ахықə,ахықə
114,Küste::N,ахықə,ахықə
115,Festland::N,абарра,абарра
116,Meer::N,амшын,амшын
117,Bucht::N,аӡбжьахала,аӡбжьахала
118,Insel::N,адгьылбжьаха,адгьылбжьаха
119,Blume::N,ашəҭ,ашəҭ
120,Gras::N,аҳасакьын,аҳасакьын
121,Wurzel::N,адац,адац
122,Baum::N,аҵла,аҵла
123,Stamm::N,ашьапы,ашьапы
124,Rinde::N,ацəа,ацəа
125,Ast::N,амахə,амахə
126,Ast::N,амахə,амахəҭа
127,Ast::N,амахəҭа,амахə
128,Ast::N,амахəҭа,амахəҭа
129,Zweig::N,амахə,амахə
130,Zweig::N,амахə,амахəҭа
131,Zweig::N,амахəҭа,амахə
132,Zweig::N,амахəҭа,амахəҭа
133,Blatt::N,абҕьы,абҕьы
134,Birke::N,аҵааҵла,аҵааҵла
135,Kiefer[Baum]::N,амза,амза
136,Weide[Baum]::N,аҧслыш,аҧслыш
137,Tanne::N,аҧсаӡ,аҧсаӡ
138,Horn::N,атəыҩа,атəыҩа
139,Feder::N,ахӡы,ахӡы
140,Fell::N,ацəа,ацəа
141,Flügel::N,амҵəыжəа,амҵəыжəа
142,Klaue::N,ашьапхыц,ашьапхыц
143,Schwanz::N,аҵыхəа,аҵыхəа
144,Ei::N,акəтаӷь,акəтаӷь
145,Nest::N,аҭра,аҭра
146,Nest::N,аҭра,аҵысҭра
147,Nest::N,аҵысҭра,аҭра
148,Nest::N,аҵысҭра,аҵысҭра
149,Bau::N,аҭыҩра,аҭыҩра
150,Tier::N,аҧстəы,аҧстəы
151,Tier::N,аҧстəы,агыгшəыг
152,Tier::N,агыгшəыг,аҧстəы
153,Tier::N,агыгшəыг,агыгшəыг
154,Herde::N,агəарҭа,агəарҭа
155,Kuh::N,ажə,ажə
156,Bulle::N,ацə,ацə
157,Pferd::N,аҽы,аҽы
158,Schaf::N,ауаса,ауаса
159,Schwein::N,аҳəа,аҳəа
160,Hund::N,ала,ала
161,Katze::N,ацгəы,ацгəы
162,Bär::N,амшə,амшə
163,Eichhörnchen::N,аеш,аеш
164,Elch::N,аҽаҩа,аҽаҩа
165,Fuchs::N,абгахəыҷы,абгахəыҷы
166,Hase::N,ажьа,ажьа
167,Maus::N,аҳəынаҧ,аҳəынаҧ
168,Wolf::N,абгаду,абгаду
169,Vogel::N,аҧсаатə,аҧсаатə
170,Huhn::N,акəты,акəты
171,Hahn::N,арбаҕь,арбаҕь
172,Gans::N,аҟыз,аҟыз
173,Adler::N,ауарба,ауарба
174,Ente::N,акəата,акəата
175,Eule::N,аты,аты
176,Kranich::N,апҟа,апҟа
177,Krähe::N,аҟəараан,аҟəараан
178,Kuckuck::N,акəыкəу,акəыкəу
179,Schwan::N,агьад,агьад
180,Fisch::N,аҧсыӡ,аҧсыӡ
181,Barsch::N,ацəыбла,ацəыбла
182,Hecht::N,ахиаала,ахиаала
183,Schlange[Tier]::N,амаҭ,амаҭ
184,Wurm::N,ахəа,ахəа
185,Wurm::N,ахəа,ахəац
186,Wurm::N,ахəац,ахəа
187,Wurm::N,ахəац,ахəац
188,Spinne::N,абызкаҭаҳа,абызкаҭаҳа
189,Ameise::N,ашышкамс,ашышкамс
190,Laus::N,аҵа,аҵа
191,Mücke::N,акəыбры,акəыбры
192,Fliege::N,амҵ,амҵ
193,Schmetterling::N,аҧарҧалыкь,аҧарҧалыкь
194,Beere::N,аргуц,аргуц
195,Apfel::N,аҵəа,аҵəа
196,Pilz::N,акəкəбаа,акəкəбаа
197,Zwiebel::N,аџьымшьы,аџьымшьы
198,Zwiebel::N,аџьымшьы,аџьымшьхы
199,Zwiebel::N,аџьымшьхы,аџьымшьы
200,Zwiebel::N,аџьымшьхы,аџьымшьхы
201,Saat::N,ажəла,ажəла
202,Korn::N,арыц,арыц
203,Heu::N,аҭəа,аҭəа
204,Schale::N,ацəа,ацəа
205,Grube::N,ажра,ажра
206,Grube::N,ажра,атыша
207,Grube::N,атыша,ажра
208,Grube::N,атыша,атыша
209,Falle::N,арыҧҟьа,арыҧҟьа
210,Schlinge::N,аҟəараҟəантə,аҟəараҟəантə
211,Spur::N,ашьҭа,ашьҭа
212,Asche::N,ахəа,ахəа
213,Dreck::N,аҳəынҵəа,аҳəынҵəа
214,Dreck::N,аҳəынҵəа,аҟьамсар
215,Dreck::N,аҟьамсар,аҳəынҵəа
216,Dreck::N,аҟьамсар,аҟьамсар
217,Eisen::N,аиха,аиха
218,Gold::N,ахьы,ахьы
219,Silber::N,аразны,аразны
220,Kohle::N,арацəа,арацəа
221,Glas::N,асаркьа,асаркьа
222,Lehm::N,анышəаҧшь,анышəаҧшь
223,Sand::N,аҧслымӡ,аҧслымӡ
224,Mensch::N,ауаҩы,ауаҩы
225,Mann::N,ахаҵа,ахаҵа
226,Frau::N,аҧҳəыс,аҧҳəыс
227,Kind::N,ахəыҷы,ахəыҷы
228,Junge::N,аҷкəын,аҷкəын
229,Junge::N,аҷкəын,ахаҵарҧыс
230,Junge::N,ахаҵарҧыс,аҷкəын
231,Junge::N,ахаҵарҧыс,ахаҵарҧыс
232,Mädchen::N,аӡӷаб,аӡӷаб
233,Familie::N,аҭаацəа,аҭаацəа
234,Großvater::N,абду,абду
235,Großmutter::N,анду,анду
236,Eltern::N,ани аби,ани аби
237,Vater::N,аб,аб
238,Mutter::N,ан,ан
239,Sohn::N,аҧа,аҧа
240,Tochter::N,аҧҳа,аҧҳа
241,Bruder::N,аиашьа,аиашьа
