,Concept_ID,be,no
0,Auge::N,вока,øye
1,Ohr::N,вуха,øre
2,Nase::N,нос,nese
3,Mund::N,рот,munn
4,Zahn::N,зуб,tann
5,Zunge::N,язык,tunge
6,Lippe::N,губа,leppe
7,Wange::N,шчака,kinn
8,Gesicht::N,твар,fjes
9,Gesicht::N,твар,ansikt
10,Stirn::N,лоб,panne
11,Haar::N,волас,hår
12,Haar::N,валасы,hår
13,Schnurrbart::N,вус,bart
14,Schnurrbart::N,вусы,bart
15,Bart::N,барада,skjegg
16,Kinn::N,падбародак,hake
17,Kiefer[Anatomie]::N,сківіца,kjeve
18,Kehle::N,горла,strupe
19,Hals::N,шыя,hals
20,Genick::N,патыліца,nakke
21,Kopf::N,галава,hode
22,Rücken::N,спіна,rygg
23,Bauch::N,жывот,buk
24,Bauch::N,жывот,mage
25,Nabel::N,пупок,navle
26,Busen::N,грудзі,barm
27,Brust::N,грудзі,bryst
28,Schulter::N,плячо,skulder
29,Arm::N,рука,arm
30,Ellenbogen::N,локаць,albue
31,Hand::N,кісць,hånd
32,Handfläche::N,далонь,håndflate
33,Finger::N,палец,finger
34,Fingernagel::N,ногаць,fingernegl
35,Nagel[Anatomie]::N,ногаць,negl
36,Zeh::N,палец,tå
37,Fuß::N,нага,fot
38,Ferse::N,пята,hæl
39,Ferse::N,пятка,hæl
40,Knie::N,калена,kne
41,Oberschenkel::N,бядро,lår
42,Oberschenkel::N,сцягно,lår
43,Bein::N,нага,bein
44,Körper::N,цела,kropp
45,Körper::N,цела,legeme
46,Haut::N,скура,hud
47,Haut::N,скура,skinn
48,Blut::N,кроў,blod
49,Ader::N,вена,åre
50,Ader::N,сасуд,åre
51,Sehne::N,жыла,sene
52,Sehne::N,цеціва,sene
53,Sehne::N,сухажылле,sene
54,Knochen::N,косць,bein
55,Knochen::N,косць,knokkel
56,Gehirn::N,мозг,hjerne
57,Herz::N,сэрца,hjerte
58,Magen::N,страўнік,mage
59,Leber::N,печань,lever
60,Atem::N,дыханне,pust
61,Hunger::N,голад,sult
62,Träne::N,сляза,tåre
63,Geschmack::N,смак,smak
64,Geruch::N,пах,lukt
65,Schlaf::N,сон,søvn
66,Traum::N,сон,drøm
67,Himmel::N,неба,himmel
68,Sonne::N,сонца,sol
69,Mond::N,месяц,måne
70,Stern::N,зорка,stjerne
71,Luft::N,паветра,luft
72,Wind::N,вецер,vind
73,Welle::N,хваля,bølge
74,Wasser::N,вада,vann
75,Stein::N,камень,stein
76,Boden::N,глеба,bakke
77,Erde::N,зямля,jord
78,Staub::N,пыл,støv
79,Rauch::N,дым,røyk
80,Funke::N,іскра,gnist
81,Feuer::N,агонь,ild
82,Licht::N,святло,lys
83,Schatten::N,цень,skygge
84,Wetter::N,пагода,vær
85,Wetter::N,надворʼе,vær
86,Nebel::N,туман,tåke
87,Wolke::N,воблака,sky
88,Regen::N,дождж,regn
89,Schnee::N,снег,snø
90,Eis::N,лёд,is
91,Frost::N,мароз,frost
92,Kälte::N,холад,kulde
93,Hitze::N,спёка,hete
94,Raureif::N,іней,rimfrost
95,Regenbogen::N,вясёлка,regnbue
96,Donner::N,гром,torden
97,Strömung::N,цячэнне,strømning
98,Tropfen::N,кропля,dråpe
99,Schaum::N,пена,skum
100,Schmutz::N,гразь,søl
101,Schmutz::N,гразь,skitt
102,See::N,возера,sjø
103,Sumpf::N,багна,sump
104,Sumpf::N,багна,myrlende
105,Moor::N,балота,myr
106,Moor::N,балота,myrhei
107,Wiese::N,луг,eng
108,Wald::N,лес,skog
109,Hügel::N,узгорак,haug
110,Hügel::N,узгорак,bakke
111,Anhöhe::N,узвышша,haug
112,Anhöhe::N,узвышша,bakke
113,Berg::N,гара,berg
114,Berg::N,гара,fjell
115,Gipfel::N,вяршыня,topp
116,Höhle::N,пячора,hule
117,Abhang::N,схіл,li
118,Abhang::N,схіл,skråning
119,Quelle::N,крыніца,kilde
120,Bach::N,ручай,bekk
121,Fluss::N,рака,elv
122,Ufer::N,бераг,bredd
123,Küste::N,узбярэжжа,kyst
124,Festland::N,суша,fastland
125,Meer::N,мора,hav
126,Bucht::N,бухта,bukt
127,Insel::N,востраў,øy
128,Blume::N,кветка,blomst
129,Gras::N,трава,gress
130,Wurzel::N,корань,rot
131,Baum::N,дрэва,tre
132,Stamm::N,ствол,stamme
133,Rinde::N,кара,bark
134,Ast::N,сук,gren
135,Zweig::N,галіна,kvist
136,Blatt::N,ліст,blad
137,Birke::N,бяроза,bjørk
138,Kiefer[Baum]::N,хвоя,furu
139,Kiefer[Baum]::N,сасна,furu
140,Weide[Baum]::N,вярба,selje
141,Weide[Baum]::N,вярба,piletre
142,Tanne::N,яліна,gran
143,Horn::N,рог,horn
144,Feder::N,пяро,fjær
145,Fell::N,шкура,skinn
146,Flügel::N,крыло,vinge
147,Klaue::N,кіпцюр,klauv
148,Kralle::N,лапа,klo
149,Schwanz::N,хвост,hale
150,Ei::N,яйка,egg
151,Nest::N,гняздо,rede
152,Bau::N,нара,hi
153,Tier::N,жывёла,dyr
154,Herde::N,статак,flokk
155,Kuh::N,карова,ku
156,Bulle::N,бык,tyr
157,Pferd::N,конь,hest
158,Schaf::N,авечка,får
159,Schwein::N,свіння,gris
160,Hund::N,сабака,hund
161,Katze::N,кошка,katt
162,Bär::N,мядзведзь,bjørn
163,Eichhörnchen::N,вавёрка,ekorn
164,Elch::N,лось,elg
165,Fuchs::N,ліса,rev
166,Hase::N,заяц,hare
167,Maus::N,мыш,mus
168,Wolf::N,воўк,ulv
169,Wolf::N,воўк,varg
170,Vogel::N,птах,fugl
171,Vogel::N,птушка,fugl
172,Schwarm::N,чарада,sverm
173,Huhn::N,курыца,høne
174,Hahn::N,певень,hane
175,Gans::N,гусь,gås
176,Adler::N,арол,ørn
177,Ente::N,качка,and
178,Eule::N,сава,ugle
179,Kranich::N,жораў,trane
180,Kranich::N,журавель,trane
181,Krähe::N,варона,kråke
182,Kuckuck::N,зязюля,gjøk
183,Schwan::N,лебедзь,svane
184,Fisch::N,рыба,fisk
185,Barsch::N,акунь,abbor
186,Hecht::N,шчупак,gjedde
187,Schlange[Tier]::N,змяя,orm
188,Schlange[Tier]::N,змяя,slange
189,Wurm::N,чарвяк,orm
190,Wurm::N,чарвяк,mark
191,Spinne::N,павук,edderkopp
192,Ameise::N,мурашка,maur
193,Laus::N,вош,lus
194,Mücke::N,камар,mygg
195,Fliege::N,муха,flue
196,Schmetterling::N,матыль,sommerfugl
197,Beere::N,ягада,bær
198,Apfel::N,яблык,eple
199,Pilz::N,грыб,sopp
200,Zwiebel::N,цыбуля,løk
201,Saat::N,семя,sæd
202,Korn::N,зерне,korn
203,Heu::N,сена,høy
204,Schale::N,шалупінне,skall
205,Grube::N,яма,grop
206,Falle::N,пастка,felle
207,Schlinge::N,сіло,snare
208,Spur::N,след,spor
209,Asche::N,попел,aske
210,Dreck::N,бруд,møkk
211,Dreck::N,бруд,skitt
212,Eisen::N,жалеза,jern
213,Gold::N,золата,gull
214,Silber::N,сребра,sølv
215,Kohle::N,вугаль,kol
216,Kohle::N,вугаль,kull
217,Glas::N,шкло,glass
218,Lehm::N,гліна,leire
219,Sand::N,пясок,sand
220,Mensch::N,чалавек,menneske
221,Mann::N,мужчына,mann
222,Frau::N,жанчына,kvinne
223,Kind::N,дзіця,barn
224,Junge::N,хлопчык,gutt
225,Mädchen::N,дзяўчынка,pike
226,Mädchen::N,дзяўчынка,jente
227,Familie::N,сямʼя,familie
228,Großvater::N,дзядуля,bestefar
229,Großmutter::N,бабуля,bestemor
230,Eltern::N,бацькі,foreldre
231,Vater::N,бацька,far
232,Mutter::N,маці,mor
233,Sohn::N,сын,sønn
234,Tochter::N,дачка,datter
235,Bruder::N,брат,bror
236,Schwester::N,сястра,søster
237,Onkel::N,дзядзька,onkel
238,Tante::N,цётка,tante
239,Ehemann::N,муж,ektemann
240,Ehefrau::N,жонка,hustru
241,Freude::N,радасць,glede
242,Gelächter::N,смех,latter
243,Glück::N,шчасце,lykke
244,Kummer::N,гора,sorg
