,Concept_ID,cv,ku
0,Auge::N,куҫ,çav
1,Ohr::N,хӑлха,guh
2,Nase::N,сӑмса,bêvil
3,Mund::N,ҫӑвар,dev
4,Zahn::N,шӑл,didan
5,Zunge::N,чӗлхе,ziman
6,Lippe::N,тута,lêv
7,Wange::N,пит ҫӑмарти,dêm
8,Wange::N,пит ҫӑмарти,hinarik
9,Gesicht::N,пит,rû
10,Gesicht::N,пит-куҫ,rû
11,Stirn::N,ҫамка,enî
12,Haar::N,ҫӳҫ,por
13,Schnurrbart::N,усси,simbêl
14,Bart::N,сухал,rih
15,Kinn::N,янах,zenî
16,Kiefer[Anatomie]::N,янах,arguşk
17,Kehle::N,пыр,qirik
18,Kehle::N,карланкӑ,qirik
19,Hals::N,пыр,stû
20,Hals::N,пыр,qirik
21,Genick::N,ӗнсе,stû
22,Kopf::N,пуҫ,serî
23,Rücken::N,ҫурӑм,pişt
24,Nabel::N,кӑвапа,navik
25,Busen::N,кӑкӑр,sîng
26,Brust::N,умӗ,sîng
27,Schulter::N,хул пуҫҫи,mil
28,Arm::N,алӑ,çepil
29,Ellenbogen::N,чавса,enîşk
30,Hand::N,алӑ сыппи,dest
31,Handfläche::N,ал лаппи,kefadest
32,Finger::N,пӳрне,tilî
33,Fingernagel::N,чӗрне,neynuk
34,Nagel[Anatomie]::N,чӗрне,bizmar
35,Zeh::N,пӳрне,tilî linga
36,Fuß::N,ура лаппи,ling
37,Ferse::N,кӗле,pahnî
38,Knie::N,чӗркуҫҫи,kabok
39,Oberschenkel::N,пӗҫӗ,rahn
40,Bein::N,ура,çip
41,Körper::N,ӳт,laş
42,Körper::N,ӳт,gowde
43,Körper::N,ӳт-пӳ,laş
44,Körper::N,ӳт-пӳ,gowde
45,Haut::N,тир,çerm
46,Blut::N,юн,xwîn
47,Ader::N,вена,reh
48,Sehne::N,шӑнӑр,reh
49,Knochen::N,шӑмӑ,hestî
50,Gehirn::N,миме,mêjî
51,Herz::N,чӗре,dil
52,Magen::N,хырӑмлӑх,navêş
53,Leber::N,пӗвер,kezeb
54,Atem::N,сывлав,hilm
55,Hunger::N,выҫлӑх,birçîtî
56,Träne::N,куҫҫуль,hêstir
57,Geschmack::N,техӗм,tam
58,Geruch::N,шӑршӑ,bêhn
59,Schlaf::N,ыйхӑ,xew
60,Traum::N,тӗлӗк,xewn
61,Himmel::N,пӗлӗт,ezman
62,Sonne::N,хӗвел,roj
63,Mond::N,уйӑх,heyv
64,Stern::N,ҫӑлтӑр,stêrk
65,Luft::N,сывлӑш,ba
66,Wind::N,ҫил,ba
67,Welle::N,хум,şewl
68,Wasser::N,шыв,av
69,Wasser::N,шыв-шур,av
70,Stein::N,чул,kevir
71,Boden::N,тӑпра,herd
72,Erde::N,ҫӗр,ax
73,Staub::N,тусан,toz
74,Rauch::N,тӗтӗм,dû
75,Funke::N,хӗм,çirûşk
76,Feuer::N,вут,agir
77,Feuer::N,ҫулӑм,agir
78,Licht::N,ҫутӑ,ronahî
79,Schatten::N,сулхӑн,sî
80,Wetter::N,ҫанталӑк,hewa
81,Nebel::N,тӗтре,mij
82,Wolke::N,пӗлӗт,ewr
83,Regen::N,ҫумӑр,baran
84,Schnee::N,юр,berf
85,Eis::N,пӑр,qeşa
86,Frost::N,сивӗ,xûsik
87,Kälte::N,сивӗ,serma
88,Hitze::N,вӗри,germayî
89,Hitze::N,шӑрӑх,germayî
90,Raureif::N,пас,şext
91,Regenbogen::N,асамат кӗперӗ,heftreng
92,Donner::N,аслати,gire-gir
93,Strömung::N,юхӑ,şewl
94,Tropfen::N,тумлам,dilop
95,Schaum::N,кӑпӑк,kef
96,Schmutz::N,пылчӑк,gemar
97,See::N,кӳлӗ,gol
98,Sumpf::N,шур,hezek
99,Sumpf::N,шурлӑх,hezek
100,Moor::N,торфлӑ шурлӑх,mafêl
101,Wiese::N,улӑх,sûrik
102,Wiese::N,ҫаран,sûrik
103,Wald::N,вӑрман,çiya
104,Wald::N,вӑрман,daristan
105,Hügel::N,сӑрт,gir
106,Hügel::N,тӗмеске,gir
107,Anhöhe::N,сӑрт,sere gir
108,Berg::N,ту,kaş
109,Gipfel::N,тӳпе,sere gir
110,Höhle::N,ҫӗр хӑвӑлӗ,şikeft
111,Abhang::N,тӑвайкки,kaş
112,Quelle::N,ҫӑл куҫ,kanî
113,Bach::N,пӗчӗк шыв,çem
114,Fluss::N,юхан шыв,çem
115,Fluss::N,юхан шыв,rûbar
116,Ufer::N,ҫыран,kevî
