,Concept_ID,ps,pl
0,Auge::N,سترګه,oko
1,Ohr::N,غوږ,ucho
2,Nase::N,پوزه,nos
3,Mund::N,خوله,usta
4,Zahn::N,غاښ,ząb
5,Zunge::N,جبه,język
6,Lippe::N,شونډه,warga
7,Wange::N,باړخو,policzek
8,Gesicht::N,مخ,twarz
9,Stirn::N,تندی,czoło
10,Stirn::N,وچولی,czoło
11,Haar::N,وېښته,włos
12,Haar::N,وېښته,włosy
13,Schnurrbart::N,برېت,wąsy
14,Bart::N,ږیره,broda
15,Kinn::N,زنه,podbródek
16,Kiefer[Anatomie]::N,جامه,czeluść
17,Kehle::N,غاړه,gardło
18,Hals::N,غاړه,szyja
19,Genick::N,ورمېږ,kark
20,Kopf::N,سر,głowa
21,Rücken::N,شا,plecy
22,Rücken::N,شا,grzbiet
23,Bauch::N,نس,brzuch
24,Bauch::N,ګېډه,brzuch
25,Nabel::N,نوم,pępek
26,Busen::N,تی,biust
27,Brust::N,سینه,pierś
28,Schulter::N,اوږه,bark
29,Schulter::N,اوږه,ramię
30,Arm::N,لاس,ręka
31,Arm::N,لاس,ramię
32,Ellenbogen::N,څنګل,łokieć
33,Hand::N,لاس,dłoń
34,Handfläche::N,ورغوی,dłoń
35,Finger::N,ګوته,palec
36,Fingernagel::N,نوک,paznokieć
37,Nagel[Anatomie]::N,نوک,paznokieć
38,Zeh::N,ګوته,palec
39,Fuß::N,پښه,stopa
40,Ferse::N,پونده,pięta
41,Knie::N,زنګون,kolano
42,Oberschenkel::N,پتون,udo
43,Bein::N,پښه,noga
44,Körper::N,ځان,ciało
45,Haut::N,پوټکی,skóra
46,Blut::N,وینه,krew
47,Ader::N,رګ,żyła
48,Sehne::N,پله,ścięgno
49,Knochen::N,هډوکی,kość
50,Gehirn::N,ماغزه,mózg
51,Herz::N,زړه,serce
52,Magen::N,معده,żołądek
53,Leber::N,ينه,wątroba
54,Leber::N,ځیګر,wątroba
55,Atem::N,نفس,dech
56,Atem::N,نفس,oddech
57,Hunger::N,ولږه,głód
58,Träne::N,اوښکه,łza
59,Geschmack::N,مزه,smak
60,Geschmack::N,خوند,smak
61,Geruch::N,بوی,woń
62,Geruch::N,بوی,zapach
63,Schlaf::N,خوب,sen
64,Traum::N,خوب,sen
65,Himmel::N,اسمان,niebo
66,Sonne::N,لمر,słońce
67,Mond::N,سپوږمۍ,księżyc
68,Stern::N,ستوری,gwiazda
69,Luft::N,هوا,powietrze
70,Wind::N,ورښ,wiatr
71,Welle::N,موج,fala
72,Wasser::N,اوبه,woda
73,Stein::N,ډبره,kamień
74,Boden::N,مځکه,grunt
75,Erde::N,خاوره,ziemia
