,Concept_ID,ca,ce
0,Auge::N,ull,бӏаьрг
1,Ohr::N,orella,лерг
2,Nase::N,nas,мара
3,Mund::N,boca,бага
4,Zahn::N,dent,церг
5,Zunge::N,llēngua,мотт
6,Lippe::N,llavi,балда
7,Wange::N,galta,бесни
8,Gesicht::N,cara,юьхь
9,Stirn::N,front,хьаж
10,Haar::N,cabēll,мас
11,Schnurrbart::N,bigoti,мекх
12,Bart::N,barba,маж
13,Kinn::N,mentó,чӏениг
14,Kinn::N,barbeta,чӏениг
15,Kiefer[Anatomie]::N,queix,мочхал
16,Kiefer[Anatomie]::N,mandíbula,мочхал
17,Kehle::N,gola,къамкъарг
18,Kehle::N,gorja,къамкъарг
19,Hals::N,coll,ворта
20,Genick::N,nuca,кӏесаркӏаг
21,Kopf::N,cap,корта
22,Rücken::N,esquena,букъ
23,Bauch::N,panxa,кийра
24,Nabel::N,llombrígol,цӏонга
25,Busen::N,pit,зударийн накха
26,Busen::N,mama,зударийн накха
27,Brust::N,pit,накха
28,Schulter::N,espatlla,белш
29,Arm::N,braç,пхьарс
30,Ellenbogen::N,colze,пхьаьрсан гола
31,Hand::N,mà,куьг
32,Handfläche::N,palma,кераюкъ
33,Finger::N,dit,пӏелг
34,Fingernagel::N,ungla,мӏара
35,Nagel[Anatomie]::N,ungla,мӏара
36,Zeh::N,dit del peu,кога пӏелг
37,Fuß::N,peu,ког
38,Ferse::N,taló,кӏажа
39,Knie::N,genoll,гола
40,Oberschenkel::N,cuixa,варе
41,Bein::N,cama,ког
42,Körper::N,cos,хӏума
43,Haut::N,pell,чкъор
44,Blut::N,sang,цӏий
45,Ader::N,vena,пха
46,Sehne::N,tendó,хьорзам
47,Knochen::N,os,даьӏахк
48,Gehirn::N,cervell,хье
49,Herz::N,cor,дог
50,Magen::N,estómac,зорх
51,Leber::N,fetge,доӏах
52,Atem::N,alè,садеӏар
53,Atem::N,hàlit,садеӏар
54,Hunger::N,fam,мацалла
55,Hunger::N,gana,мацалла
56,Träne::N,llàgrima,бӏаьрхи
57,Geschmack::N,gust,чам
58,Geschmack::N,sabor,чам
59,Geruch::N,olor,хьожа
60,Schlaf::N,son,наб
61,Traum::N,somni,гӏан
62,Himmel::N,celm,стигал
63,Sonne::N,sol,малх
64,Mond::N,lluna,бутт
65,Stern::N,estel,седа
66,Stern::N,estrella,седа
67,Luft::N,aire,xӏаваъ
68,Wind::N,vent,мох
69,Welle::N,ona,тулгӏе
70,Wasser::N,āigua,хи
71,Stein::N,pedra,тӏулг
72,Boden::N,sòl,цӏенкъа
73,Erde::N,terra,латта
74,Staub::N,pols,чан
75,Rauch::N,fum,кӏур
76,Funke::N,guspira,суй
77,Funke::N,centella,суй
78,Feuer::N,foc,цӏе
79,Licht::N,llum,серло
80,Schatten::N,ombra,ӏиндагӏ
81,Wetter::N,temps,хенан хӏоттам
82,Nebel::N,boira,дохк
83,Wolke::N,núvol,марха
84,Regen::N,pluja,догӏа
85,Schnee::N,neu,ло
86,Eis::N,gel,ша
87,Eis::N,glaç,ша
88,Frost::N,glaçada,шело
89,Kälte::N,fred,шело
90,Hitze::N,calor,йовхо
91,Raureif::N,gebre,йис
92,Regenbogen::N,arc iris,стелаӏад
93,Donner::N,tro,ткъес
94,Strömung::N,corrent,дӏаэхар
95,Strömung::N,corrent,дӏасалелар
96,Tropfen::N,gota,тӏадам
97,Schaum::N,escuma,чопа
98,Schmutz::N,brutícia,хатт
99,See::N,llac,ӏам
100,Sumpf::N,pantà,уьшал
101,Moor::N,pantà,уьшал
102,Wiese::N,prat,бай
103,Wiese::N,prada,бай
104,Wald::N,bosc,хьун
105,Hügel::N,puig,гу
106,Hügel::N,puig,шу
107,Hügel::N,puig,барз
108,Hügel::N,pujol,гу
109,Hügel::N,pujol,шу
110,Hügel::N,pujol,барз
111,Anhöhe::N,turó,акъари
112,Berg::N,muntanya,лам
113,Gipfel::N,cim,бохь
114,Höhle::N,cova,хьех
115,Abhang::N,coster,басе
116,Quelle::N,font,шовда
117,Bach::N,riera,татол
118,Fluss::N,riu,хи
119,Ufer::N,riba,хийист
120,Küste::N,costa,йист
121,Festland::N,terra ferma,латта
122,Meer::N,mar,xӏорд
123,Bucht::N,cala,чож
124,Bucht::N,badia,чож
125,Insel::N,illa,гӏайре
126,Blume::N,flor,зезаг
127,Gras::N,herba,буц
128,Wurzel::N,rel,орам
129,Wurzel::N,arrel,орам
130,Baum::N,arbre,дитт
131,Stamm::N,tronc,гӏад
132,Stamm::N,tronc,тайпа
133,Rinde::N,escorça,кевстиг
134,Ast::N,branca,га
135,Zweig::N,ram,га
136,Blatt::N,fulla,гӏа
137,Birke::N,bedoll,дакх
138,Kiefer[Baum]::N,pi,бага
139,Weide[Baum]::N,salze,дак
140,Tanne::N,avet,база
141,Horn::N,corn,маӏа
142,Horn::N,banya,маӏа
143,Feder::N,ploma,пелаг
144,Fell::N,pell,цӏока
145,Flügel::N,ala,тӏам
146,Klaue::N,urpa,мӏара
147,Kralle::N,grapa,тlод
148,Schwanz::N,cua,цӏога
149,Ei::N,ou,xӏoa
150,Nest::N,niu,бен
151,Bau::N,cau,lуьрг
152,Tier::N,animāl,дийнат
153,Herde::N,ramat,жа
154,Kuh::N,vaca,етт
155,Bulle::N,toro,сту
156,Pferd::N,cavāll,говр
157,Schaf::N,be,жий
158,Schaf::N,be,уьстагӏ
159,Schaf::N,ovella,жий
160,Schaf::N,ovella,уьстагӏ
161,Schwein::N,bacó,хьакха
162,Hund::N,ca,жӏаьла
163,Hund::N,gos,жӏаьла
164,Katze::N,gat,цициг
165,Bär::N,ós,ча
166,Eichhörnchen::N,esquirol,тарсал
167,Elch::N,ant,сай
168,Fuchs::N,guilla,цхьогал
169,Hase::N,llebre,пхьагал
170,Maus::N,ratolí,дахка
171,Wolf::N,llop,борз
172,Vogel::N,au,олхазар
173,Vogel::N,ocēll,олхазар
174,Schwarm::N,bandada,
175,Huhn::N,gallina,котам
176,Hahn::N,gall,нӏаьна
177,Hahn::N,gall,боргӏал
178,Gans::N,oca,гӏаз
179,Adler::N,àguila,aьрзу
180,Ente::N,ànec,бад
181,Eule::N,òliba,бухӏа
182,Eule::N,mussol,бухӏа
183,Kranich::N,grua,гӏаргӏули
184,Krähe::N,cornella,къиг
185,Kuckuck::N,cucut,aттйокх
186,Schwan::N,cigne,гӏургӏаз
187,Fisch::N,peix,чӏара
188,Barsch::N,perca,окунь
189,Hecht::N,lluç,гӏазкхийн чӏара
190,Schlange[Tier]::N,serp,лаьхьа
191,Wurm::N,cuc,нӏаьна
192,Spinne::N,aranya,гезг
193,Ameise::N,formiga,зингат
194,Laus::N,poll,меза
195,Laus::N,poll,гӏениг
196,Mücke::N,mosquit,чуьрк
197,Fliege::N,mosca,моза
198,Schmetterling::N,papallona,полла
199,Beere::N,baia,цӏазам
200,Apfel::N,poma,ӏаж
201,Pilz::N,bolet,жӏаьлин нускал
202,Zwiebel::N,ceba,xох
203,Saat::N,sembra,чlу
204,Korn::N,gra,буьртиг
205,Heu::N,fenc,йол
206,Schale::N,closca,пардо
207,Grube::N,sot,ор
208,Grube::N,clot,ор
209,Falle::N,trampa,кӏело
210,Schlinge::N,baga,
211,Spur::N,traça,лар
212,Asche::N,cendra,чим
213,Dreck::N,llot,мода
214,Eisen::N,ferro,эчиг
215,Gold::N,or,деши
216,Silber::N,plata,дети
217,Kohle::N,carbó,кӏора
218,Glas::N,vidre,aнгали
219,Lehm::N,fang,поппар
220,Lehm::N,argila,поппар
221,Sand::N,arena,гӏум
222,Mensch::N,humà,адам
223,Mensch::N,persona,адам
224,Mann::N,home,майра
225,Frau::N,dona,зуда
226,Kind::N,nen,бер
227,Junge::N,noi,жимха
228,Mädchen::N,noia,жима йоӏ
229,Familie::N,família,доьзал
230,Großvater::N,avi,ненада
231,Großmutter::N,àvia,денана
232,Eltern::N,pares,да-нана
233,Vater::N,pare,да
234,Mutter::N,mare,нана
235,Sohn::N,fill,кӏант
236,Tochter::N,filla,йоӏ
237,Bruder::N,germà,ваша
238,Schwester::N,germana,йиша
239,Onkel::N,oncle,деваша
240,Tante::N,tia,дейиша
241,Ehemann::N,espòs,майра
242,Ehefrau::N,muller,зуда
243,Freude::N,goig,самукъа
244,Freude::N,goig,хазахетар
245,Freude::N,alegria,самукъа
246,Freude::N,alegria,хазахетар
247,Gelächter::N,riallada,белам
248,Glück::N,felicitat,ирс
249,Kummer::N,pena,бала
250,Wunsch::N,desig,лаам
251,Lust::N,ganes,лаам
252,Geist::N,ment,са
