,Concept_ID,no,et
0,Auge::N,øye,silm
1,Ohr::N,øre,kõrv
2,Nase::N,nese,nina
3,Mund::N,munn,suu
4,Zahn::N,tann,hammas
5,Zunge::N,tunge,keel
6,Lippe::N,leppe,huul
7,Wange::N,kinn,põsk
8,Gesicht::N,fjes,nägu
9,Gesicht::N,ansikt,nägu
10,Stirn::N,panne,otsmik
11,Haar::N,hår,juus
12,Schnurrbart::N,bart,vurrud
13,Schnurrbart::N,bart,vuntsid
14,Bart::N,skjegg,habe
15,Kinn::N,hake,lõug
16,Kiefer[Anatomie]::N,kjeve,lõualuu
17,Kehle::N,strupe,kõri
18,Hals::N,hals,kael
19,Genick::N,nakke,kukal
20,Kopf::N,hode,pea
21,Rücken::N,rygg,selg
22,Bauch::N,buk,kõht
23,Bauch::N,mage,kõht
24,Nabel::N,navle,naba
25,Busen::N,barm,rind
26,Brust::N,bryst,rind
27,Schulter::N,skulder,õlg
28,Arm::N,arm,käsivars
29,Ellenbogen::N,albue,küünarnukk
30,Hand::N,hånd,käsi
31,Handfläche::N,håndflate,pihk
32,Finger::N,finger,sõrm
33,Fingernagel::N,fingernegl,küüs
34,Nagel[Anatomie]::N,negl,küüs
35,Zeh::N,tå,varvas
36,Fuß::N,fot,jalg
37,Ferse::N,hæl,kand
38,Knie::N,kne,põlv
39,Oberschenkel::N,lår,reis
40,Bein::N,bein,jalg
41,Körper::N,kropp,ihu
42,Körper::N,kropp,keha
43,Körper::N,legeme,ihu
44,Körper::N,legeme,keha
45,Haut::N,hud,nahk
46,Haut::N,skinn,nahk
47,Blut::N,blod,veri
48,Ader::N,åre,veen
49,Sehne::N,sene,kõõlus
50,Knochen::N,bein,luu
51,Knochen::N,knokkel,luu
52,Gehirn::N,hjerne,aju
53,Herz::N,hjerte,süda
54,Magen::N,mage,magu
55,Leber::N,lever,maks
56,Atem::N,pust,hingeõhk
57,Atem::N,pust,hingamine
58,Hunger::N,sult,nälg
59,Träne::N,tåre,pisar
60,Geschmack::N,smak,maitse
61,Geruch::N,lukt,lõhn
62,Schlaf::N,søvn,uni
63,Traum::N,drøm,unenägu
64,Himmel::N,himmel,taevas
65,Sonne::N,sol,päike
66,Mond::N,måne,kuu
67,Stern::N,stjerne,täht
68,Luft::N,luft,õhk
69,Wind::N,vind,tuul
70,Welle::N,bølge,laine
71,Wasser::N,vann,vesi
72,Stein::N,stein,kivi
73,Boden::N,bakke,maa
74,Boden::N,bakke,pinnas
75,Erde::N,jord,maa
76,Staub::N,støv,põrm
77,Rauch::N,røyk,suits
78,Funke::N,gnist,säde
79,Feuer::N,ild,tuli
80,Licht::N,lys,valgus
81,Schatten::N,skygge,vari
82,Wetter::N,vær,ilm
83,Nebel::N,tåke,udu
84,Wolke::N,sky,pilv
85,Regen::N,regn,sadu
86,Schnee::N,snø,lumi
87,Eis::N,is,jää
88,Frost::N,frost,pakane
89,Kälte::N,kulde,külm
90,Kälte::N,kulde,külmus
91,Hitze::N,hete,kuumus
92,Hitze::N,hete,palavus
93,Raureif::N,rimfrost,härmatis
94,Regenbogen::N,regnbue,vikerkaar
95,Donner::N,torden,kõu
96,Donner::N,torden,müristamine
97,Strömung::N,strømning,voolus
98,Strömung::N,strømning,jõevool
99,Tropfen::N,dråpe,tilk
100,Schaum::N,skum,vaht
101,Schmutz::N,søl,pori
102,Schmutz::N,søl,mustus
103,Schmutz::N,skitt,pori
104,Schmutz::N,skitt,mustus
105,See::N,sjø,järv
106,Sumpf::N,sump,soo
107,Sumpf::N,myrlende,soo
108,Moor::N,myr,raba
109,Moor::N,myrhei,raba
110,Wiese::N,eng,aas
111,Wiese::N,eng,nurm
112,Wald::N,skog,mets
113,Hügel::N,haug,küngas
114,Hügel::N,bakke,küngas
115,Anhöhe::N,haug,küngas
116,Anhöhe::N,bakke,küngas
117,Berg::N,berg,mägi
118,Berg::N,fjell,mägi
119,Gipfel::N,topp,mäetipp
120,Höhle::N,hule,koobas
121,Abhang::N,li,nõlvak
122,Abhang::N,skråning,nõlvak
123,Quelle::N,kilde,allikas
124,Bach::N,bekk,oja
125,Fluss::N,elv,jõgi
126,Ufer::N,bredd,kallas
127,Küste::N,kyst,rannik
128,Festland::N,fastland,mander
129,Festland::N,fastland,maismaa
130,Meer::N,hav,meri
131,Bucht::N,bukt,laht
132,Insel::N,øy,saar
133,Blume::N,blomst,lill
134,Gras::N,gress,rohi
135,Wurzel::N,rot,juur
136,Baum::N,tre,puu
137,Stamm::N,stamme,tüvi
138,Rinde::N,bark,koor
139,Ast::N,gren,oks
140,Zweig::N,kvist,oks
141,Blatt::N,blad,leht
142,Birke::N,bjørk,kask
143,Kiefer[Baum]::N,furu,mänd
144,Weide[Baum]::N,selje,paju
145,Weide[Baum]::N,piletre,paju
146,Tanne::N,gran,nulg
147,Horn::N,horn,sarv
148,Feder::N,fjær,sulg
149,Fell::N,skinn,karvkate
150,Fell::N,skinn,karusnahk
151,Flügel::N,vinge,tiib
152,Flügel::N,vinge,tiivik
153,Klaue::N,klauv,küüs
154,Kralle::N,klo,küünis
155,Schwanz::N,hale,saba
156,Ei::N,egg,muna
157,Nest::N,rede,pesa
158,Bau::N,hi,urg
159,Tier::N,dyr,loom
160,Herde::N,flokk,kari
161,Kuh::N,ku,lehm
162,Bulle::N,tyr,pull
163,Pferd::N,hest,hobune
164,Schaf::N,får,lammas
165,Schwein::N,gris,siga
166,Hund::N,hund,koer
167,Katze::N,katt,kass
168,Bär::N,bjørn,karu
169,Eichhörnchen::N,ekorn,orav
170,Elch::N,elg,põder
171,Fuchs::N,rev,rebane
172,Hase::N,hare,jänes
173,Maus::N,mus,hiir
174,Wolf::N,ulv,hunt
175,Wolf::N,varg,hunt
176,Vogel::N,fugl,lind
177,Schwarm::N,sverm,parv
178,Huhn::N,høne,kana
179,Hahn::N,hane,kukk
180,Gans::N,gås,hani
181,Adler::N,ørn,kotkas
182,Ente::N,and,part
183,Eule::N,ugle,kakk
184,Eule::N,ugle,öökull
185,Kranich::N,trane,kurg
186,Krähe::N,kråke,vares
187,Kuckuck::N,gjøk,kägu
188,Schwan::N,svane,luik
189,Fisch::N,fisk,kala
190,Barsch::N,abbor,ahven
191,Hecht::N,gjedde,haug
192,Schlange[Tier]::N,orm,uss
193,Schlange[Tier]::N,slange,uss
194,Wurm::N,orm,uss
195,Wurm::N,orm,vagel
196,Wurm::N,mark,uss
197,Wurm::N,mark,vagel
198,Spinne::N,edderkopp,ämblik
199,Ameise::N,maur,sipelgas
200,Laus::N,lus,täi
201,Mücke::N,mygg,sääsk
202,Fliege::N,flue,kärbes
203,Schmetterling::N,sommerfugl,liblikas
204,Beere::N,bær,mari
205,Apfel::N,eple,õun
206,Pilz::N,sopp,seen
207,Zwiebel::N,løk,sibul
208,Saat::N,sæd,seeme
209,Korn::N,korn,iva
210,Korn::N,korn,tera
211,Heu::N,høy,hein
212,Schale::N,skall,koor
213,Grube::N,grop,kaevand
214,Falle::N,felle,lõks
215,Falle::N,felle,püünis
216,Schlinge::N,snare,aas
217,Spur::N,spor,jälg
218,Asche::N,aske,tuhk
219,Dreck::N,møkk,saast
220,Dreck::N,møkk,mustus
221,Dreck::N,skitt,saast
222,Dreck::N,skitt,mustus
223,Eisen::N,jern,raud
224,Gold::N,gull,kuld
225,Silber::N,sølv,hõbe
226,Kohle::N,kol,süsi
227,Kohle::N,kull,süsi
228,Glas::N,glass,klaas
229,Lehm::N,leire,savi
230,Sand::N,sand,liiv
231,Mensch::N,menneske,inimene
232,Mann::N,mann,mees
233,Frau::N,kvinne,naine
234,Kind::N,barn,laps
235,Junge::N,gutt,poiss
236,Mädchen::N,pike,tüdruk
237,Mädchen::N,jente,tüdruk
238,Familie::N,familie,perekond
239,Großvater::N,bestefar,vanaisa
240,Großmutter::N,bestemor,vanaema
241,Eltern::N,foreldre,vanemad
242,Vater::N,far,isa
243,Mutter::N,mor,ema
244,Sohn::N,sønn,poeg
245,Tochter::N,datter,tütar
246,Bruder::N,bror,vend
247,Schwester::N,søster,õde
248,Onkel::N,onkel,onu
249,Tante::N,tante,tädi
250,Ehemann::N,ektemann,mees
251,Ehemann::N,ektemann,abikaasa
252,Ehefrau::N,hustru,naine
253,Ehefrau::N,hustru,abikaasa
254,Freude::N,glede,rõõm
255,Gelächter::N,latter,naer
256,Glück::N,lykke,õnn
257,Kummer::N,sorg,mure
258,Kummer::N,sorg,kurbus
259,Wunsch::N,ønske,soov
260,Lust::N,lyst,himu
261,Geist::N,ånd,vaim
262,Gedanke::N,tanke,mõte
263,Gedächtnis::N,minne,mälu
264,Gedächtnis::N,hukommelse,mälu
265,Verstand::N,forstand,aru
266,Verstand::N,forstand,mõistus
267,Sinn::N,mening,tähendus
268,Sinn::N,betydning,tähendus
269,Grund::N,grunn,põhjus
270,Wahrheit::N,sannhet,tõde
271,Gespräch::N,samtale,kõne
272,Gespräch::N,samtale,vestlus
273,Märchen::N,eventyr,muinasjutt
274,Erzählung::N,fortelling,jutustus
275,Nachricht::N,melding,teade
276,Neuigkeit::N,nyhet,uudis
277,Name::N,navn,nimi
278,Rätsel::N,gåte,mõistatus
279,Rede::N,tale,kõne
280,Sprache::N,språk,keel
281,Stimme::N,stemme,hääl
282,Wort::N,ord,sõna
283,Zeichen::N,tegn,märk
284,Ruf::N,rop,hüüe
285,Lärm::N,bråk,müra
286,Laut::N,lyd,hääl
287,Ton::N,tone,toon
288,Lied::N,vise,laul
289,Ruhe::N,ro,rahu
290,Ruhe::N,ro,vaikus
291,Leute::N,folk,inimesed
292,Volk::N,folk,rahvas
293,Arbeit::N,arbeid,töö
294,Gast::N,gjest,külaline
295,Geschenk::N,gave,kingitus
296,Spiel::N,lek,mäng
297,Spiel::N,spill,mäng
298,Gesellschaft::N,selskap,selts
299,Hilfe::N,hjelp,abi
300,Freund::N,venn,sõber
301,Kamerad::N,kamerat,sõber
302,Angelegenheit::N,sak,asi
303,Angelegenheit::N,anliggende,asi
304,Anzahl::N,antall,arv
305,Anzahl::N,antall,hulk
306,Art::N,art,liik
307,Art::N,slag,liik
308,Stück::N,stykke,tükk
309,Teil::N,del,osa
310,Hälfte::N,halvdel,pool
311,Kreis::N,ring,ring
312,Kreis::N,sirkel,ring
