,Concept_ID,tt,ta
0,Auge::N,күз,கண்
1,Ohr::N,колак,காது
2,Nase::N,борын,மூக்கு
3,Mund::N,авыз,வாய்
4,Mund::N,тамак,வாய்
5,Zahn::N,теш,பல்
6,Zunge::N,тел,நாக்கு
7,Lippe::N,ирен,உதடு
8,Wange::N,яңак,கன்னம்
9,Gesicht::N,йөз,முகம்
10,Stirn::N,маңгай,முன்னெற்றி
11,Haar::N,чәч,முடி
12,Schnurrbart::N,мыек,மீசை
13,Bart::N,сакал,தாடி
14,Kinn::N,ияк,கீழதாடை
15,Kiefer[Anatomie]::N,казналык,தாடை
16,Kehle::N,тамак,தொண்டை
17,Hals::N,бугаз,கழுத்து
18,Genick::N,җилкә,கழுத்து
19,Kopf::N,баш,தலை
20,Rücken::N,сырт,முதுகு
21,Bauch::N,корсак,வயிறு
22,Nabel::N,кендек,தொப்புள்
23,Busen::N,түш,மார்பகம்
24,Brust::N,имчәк, மார்பு
25,Brust::N,күкрәк, மார்பு
26,Schulter::N,иңбаш,தோள்பட்டை
27,Schulter::N,кулбаш,தோள்பட்டை
28,Arm::N,кул,கரம்
29,Ellenbogen::N,терсәк,முழங்கை
30,Hand::N,кул,கை
31,Handfläche::N,уч,உள்ளங்கை
32,Finger::N,бармак,விரல்
33,Fingernagel::N,тырнак,விரல் நகம்
34,Nagel[Anatomie]::N,тырнак,நகம்
35,Zeh::N,бармак,கால்விரல்
36,Fuß::N,табан,கால்
37,Ferse::N,үкчә,குதிகால்
38,Knie::N,тез,முழங்கால்
39,Oberschenkel::N,бот,தொடை
40,Bein::N,аяк,கால்
41,Körper::N,тән,உடல்
42,Körper::N,җисем,உடல்
43,Haut::N,тире,சருமம்
44,Blut::N,кан,இரத்தம்
45,Ader::N,тамыр,நாளம்
46,Sehne::N,сеңер,தசைநார்
47,Knochen::N,сөяк,எலுமபு
48,Gehirn::N,ми,மூனை
49,Herz::N,йөрәк,இதயம
50,Magen::N,ашказаны,வயிறு
51,Leber::N,бавыр,கல்லீரல்
52,Atem::N,сулыш,மூச்சு
53,Hunger::N,ачлык,பசி
54,Träne::N,яшь,கண்ணீர்
55,Geschmack::N,тәм,நறுமணம்
56,Geschmack::N,зәвык,நறுமணம்
57,Geruch::N,ис,துர்நாற்றம்
58,Schlaf::N,йокы,தூக்கம்
59,Traum::N,төш,கனவு
