,Concept_ID,it,sk
0,Auge::N,occhio,oko
1,Ohr::N,orecchio,ucho
2,Nase::N,naso,nos
3,Mund::N,bocca,ústa
4,Zahn::N,dente,zub
5,Zunge::N,lingua,jazyk
6,Lippe::N,labbro,pera
7,Wange::N,guancia,líce
8,Gesicht::N,viso,tvár
9,Gesicht::N,viso,obličaj
10,Gesicht::N,faccia,tvár
11,Gesicht::N,faccia,obličaj
12,Stirn::N,fronte,čelo
13,Haar::N,capello,vlas
14,Schnurrbart::N,baffi,fúzy
15,Schnurrbart::N,mustacchi,fúzy
16,Bart::N,barba,brada
17,Kinn::N,mento,brada
18,Kiefer[Anatomie]::N,mascella,čeľusť
19,Kehle::N,gola,hrdlo
20,Hals::N,collo,krk
21,Genick::N,nuca,väzy
22,Kopf::N,capo,hlava
23,Kopf::N,testa,hlava
24,Rücken::N,dorso,chrbát
25,Rücken::N,schiena,chrbát
26,Bauch::N,ventre,brucho
27,Nabel::N,ombelico,pupok
28,Busen::N,seno,prsia
29,Brust::N,petto,hruď
30,Schulter::N,spalla,plece
31,Arm::N,braccio,rameno
32,Ellenbogen::N,gomito,lakeť
33,Hand::N,mano,ruka
34,Handfläche::N,palma,dlaň
35,Finger::N,dito,prst
36,Fingernagel::N,unghia,necht
37,Nagel[Anatomie]::N,unghia,necht
38,Zeh::N,dito del piede,prst na nohe
39,Fuß::N,piede,noha
40,Ferse::N,tallone,päta
41,Ferse::N,calcagno,päta
42,Knie::N,ginocchio,koleno
43,Oberschenkel::N,fèmore,stehno
44,Bein::N,gamba,noha
45,Körper::N,corpo,telo
46,Haut::N,pelle,koža
47,Blut::N,sangue,krv
48,Ader::N,vena,žila
49,Sehne::N,tèndine,šľacha
50,Knochen::N,osso,kosť
51,Gehirn::N,cervello,mozog
52,Herz::N,cuore,srdce
53,Magen::N,stòmaco,žalúdok
54,Leber::N,fegato,pečeň
55,Atem::N,fiato,dych
56,Atem::N,respiro,dych
57,Hunger::N,fame,hlad
58,Träne::N,làcrima,slza
59,Geschmack::N,gusto,chuť
60,Geschmack::N,sapore,chuť
61,Geruch::N,odore,pach
62,Schlaf::N,sonno,spánok
63,Traum::N,sogno,sen
64,Himmel::N,cielo,nebo
65,Sonne::N,sole,slnko
66,Mond::N,luna,mesiac
67,Stern::N,stella,hviezda
68,Luft::N,aria,vzduch
69,Wind::N,vento,vietor
70,Welle::N,onda,vlna
71,Wasser::N,acqua,voda
72,Stein::N,sasso,kameň
73,Stein::N,pietra,kameň
74,Boden::N,suolo,zem
75,Boden::N,suolo,pôda
76,Boden::N,terreno,zem
77,Boden::N,terreno,pôda
78,Erde::N,terra,zem
79,Staub::N,polvere,prach
80,Rauch::N,fumo,dym
81,Funke::N,scintilla,iskra
82,Feuer::N,fuoco,oheň
83,Licht::N,luce,svetlo
84,Schatten::N,ombra,tieň
85,Wetter::N,tempo,počasie
86,Nebel::N,nebbia,hmla
87,Wolke::N,nube,oblak
88,Wolke::N,nube,mračno
89,Wolke::N,nùvola,oblak
90,Wolke::N,nùvola,mračno
91,Regen::N,pioggia,dážď
92,Schnee::N,neve,sneh
93,Eis::N,ghiaccio,ľad
94,Frost::N,gelo,mráz
95,Kälte::N,freddo,zima
96,Kälte::N,freddo,chlad
97,Hitze::N,caldo,horúčava
98,Hitze::N,calura,horúčava
99,Raureif::N,brina,srieň
100,Raureif::N,brina,inovať
101,Regenbogen::N,arcobaleno,dúha
102,Donner::N,tuono,hrom
103,Strömung::N,corrente,prúdenie
104,Tropfen::N,goccia,kvapka
105,Schaum::N,spuma,pena
106,Schaum::N,schiuma,pena
107,Schmutz::N,sudiciume,špina
108,Schmutz::N,sudiciume,nečistota
109,See::N,lago,jazero
110,Sumpf::N,palude,bahno
111,Moor::N,torbiera,močiar
112,Wiese::N,prato,lúka
113,Wald::N,bosco,les
114,Wald::N,bosco,hora
115,Wald::N,foresta,les
116,Wald::N,foresta,hora
117,Hügel::N,colle,vŕšok
118,Hügel::N,collina,vŕšok
119,Anhöhe::N,altura,výšina
120,Anhöhe::N,altura,vyvýšenina
121,Berg::N,monte,hora
122,Berg::N,montagna,hora
123,Gipfel::N,cima,vrchol
124,Höhle::N,grotta,jaskyňa
125,Höhle::N,caverna,jaskyňa
126,Abhang::N,pendìo,úbočie
127,Quelle::N,sorgente,prameň
128,Bach::N,ruscello,potok
129,Fluss::N,fiume,rieka
130,Ufer::N,riva,breh
131,Küste::N,costa,pobrežie
132,Festland::N,terraferma,pevnina
133,Meer::N,mare,more
134,Bucht::N,cala,záliv
135,Bucht::N,cala,zátoka
136,Insel::N,ìsola,ostrov
137,Blume::N,fiore,kvet
138,Blume::N,fiore,kvetina
139,Gras::N,erba,tráva
140,Wurzel::N,radice,koreň
141,Baum::N,àlbero,strom
142,Stamm::N,tronco,kmeň
143,Rinde::N,corteccia,kôra
144,Ast::N,ramo,konár
145,Zweig::N,ramo,vetva
146,Blatt::N,foglia,list
147,Birke::N,betulla,breza
148,Kiefer[Baum]::N,pino,sosna
149,Kiefer[Baum]::N,pino,borovica
150,Weide[Baum]::N,sàlice,vŕba
151,Tanne::N,abete,jedľa
152,Horn::N,corno,roh
153,Feder::N,penna,pero
154,Fell::N,manto,koža
155,Fell::N,manto,kožušina
156,Fell::N,pelame,koža
157,Fell::N,pelame,kožušina
158,Flügel::N,ala,krídlo
