,Concept_ID,kn,bn
0,Auge::N,ಕಣ್ಣು,চক্ষু
1,Ohr::N,ಕಿವಿ,কর্ণ
2,Nase::N,ಮೂಗು,নাক
3,Mund::N,ಬಾಯಿ,মুখ
4,Zahn::N,ಹಲ್ಲು,দাঁত
5,Zunge::N,ನಾಲಿಗೆ,জিহবা
6,Lippe::N,ತುಟಿ,অধর
7,Wange::N,ಗಲ್ಲ,গণ্ড
8,Gesicht::N,ಮುಖ,মুখমণ্ডল
9,Stirn::N,ಹಣೆ,কপাল
10,Haar::N,ಕೂದಲು,চুল
11,Schnurrbart::N,ಮೀಸೆ,গোঁফ
12,Bart::N,ಗಡ್ಡ,শ্মশ্রু
13,Kinn::N,ಗದ್ದ,চিবুক
14,Kiefer[Anatomie]::N,ದವಡೆ,চোয়াল
15,Kehle::N,ಗಂಟಲು,কণ্ঠ
16,Hals::N,ಕೊರಳು,গল
17,Genick::N,ಹಿಂಗತ್ತು,ঘাড়
18,Kopf::N,ತಲೆ,মাথা
19,Rücken::N,ಬೆನ್ನು,পৃষ্ঠ
20,Bauch::N,ಹೊಟ್ಟೆ,উদর
21,Nabel::N,ಹೊಕ್ಕುಳು,নাভি
22,Busen::N,ಸ್ತನ,স্তন
23,Brust::N,ಎದೆ,বুক
24,Schulter::N,ಭುಜ,স্কন্ধ
25,Arm::N,ತೋಳು,বাহু
26,Ellenbogen::N,ಮೊಣಕೈ,কনুই
27,Hand::N,ಕೈ,হাত
28,Handfläche::N,ಅಂಗೈ,করতল
29,Finger::N,ಕೈಬೆರಳು,আঙ্গুল
30,Fingernagel::N,ಉಗುರು,হাতের নখ
31,Nagel[Anatomie]::N,ಉಗುರು,নখ
32,Zeh::N,ಕಾಲ್ಬೆರಳು,আঙ্গুল
33,Fuß::N,ಪಾದ,পা
34,Ferse::N,ಹಿಮ್ಮಡಿ,গোড়ালি
35,Knie::N,ಮಂಡಿ,হাঁটু
36,Oberschenkel::N,ತೊಡೆ,ঊরু
37,Bein::N,ಕಾಲು,পা
38,Körper::N,ದೇಹ,দেহ
39,Haut::N,ಚರ್ಮ,ত্বক
40,Blut::N,ರಕ್ತ,রক্ত
41,Ader::N,ನರ,শিরা
42,Sehne::N,ನರ,কণ্ডরা
43,Knochen::N,ಮೂಳೆ,অস্থি
44,Gehirn::N,ಮಿದುಳು,মস্তিষ্ক
45,Herz::N,ಹೃದಯ,হৃৎপিণ্ড
46,Magen::N,ಉದರ,পাকস্থলী
47,Leber::N,ಯಕೃತ್ತು,যকৃৎ
48,Atem::N,ಉಸಿರು,শ্বাস
49,Hunger::N,ಹಸಿವು,ক্ষুধা
50,Träne::N,ಕಣ್ಣೀರು,অশ্রু
51,Geschmack::N,ರುಚಿ,স্বাদ
52,Geruch::N,ವಾಸನೆ,গন্ধ
53,Schlaf::N,ನಿದ್ರೆ,ঘুম
54,Traum::N,ಕನಸು,স্বপ্ন
55,Himmel::N,ಬಾನು,আকাশ
56,Sonne::N,ಸೂರ್ಯ,সূর্য
57,Mond::N,ಚಂದ್ರ,চন্দ্র
58,Stern::N,ಚುಕ್ಕಿ,নক্ষত্র
59,Luft::N,ವಾಯು,বায়ু
60,Wind::N,ಗಾಳಿ,বাতাস
61,Welle::N,ಅಲೆ,ঢেউ
62,Welle::N,ಅಲೆ,তরঙ্গ
63,Wasser::N,ನೀರು,জল
64,Stein::N,ಕಲ್ಲು,ঢিল
65,Stein::N,ಕಲ್ಲು,প্রস্তর
66,Boden::N,ನೆಲ,ভূতল
67,Erde::N,ಭೂಮಿ,ভূমি
68,Staub::N,ದೂಳು,ধুলা
69,Rauch::N,ಹೊಗೆ,ধোঁয়া
70,Funke::N,ಕಿಡಿ,স্ফুলিঙ্গ
71,Feuer::N,ಬೆಂಕಿ,অগ্নি
72,Licht::N,ಬೆಳಕು,আলো
73,Schatten::N,ನೆರಳು,ছায়া
74,Wetter::N,ಹವ,আবহাওয়া
75,Nebel::N,ಮಂಜು,কুহেলিকা
76,Wolke::N,ಮೋಡ,মেঘ
77,Regen::N,ಮಳೆ,বৃষ্টি
78,Schnee::N,ಹಿಮ,তুষার
79,Eis::N,ಮಂಜುಗಡ್ಡೆ,বরফ
80,Frost::N,ಮಂಜು,তুষার
81,Kälte::N,ಹಿಮ,শৈত্য
82,Hitze::N,ಉಷ್ಣ,তাপ
83,Raureif::N,ಇಬ್ಬನಿ,তুহিন
84,Regenbogen::N,ಇಂದ್ರಚಾಪ,রামধনু
85,Donner::N,ಗುಡುಗು,বজ্রধ্বনি
86,Strömung::N,ಪ್ರವಾಹ,স্রোত
87,Tropfen::N,ತೊಟ್ಟು,ফোঁটা
88,Schaum::N,ನೊರೆ,ফেনা
89,Schmutz::N,ಕಸ,ধুলা
90,See::N,ಸರೋವರ,হ্রদ
91,Sumpf::N,ಜೌಗುಸ್ಥಳ,জলা
92,Moor::N,ಬಂಜರು ಭೂಮಿ,মাঠ
93,Wiese::N,ಹುಲ್ಲುಗಾವಲು,তৃণভূমি
94,Wald::N,ಕಾಡು,বন
95,Hügel::N,ಗುಡ್ಡೆ,পাহাড়
96,Anhöhe::N,ದಿಬ್ಬ,টিলা
97,Berg::N,ಮಲೆ,পর্বত
98,Berg::N,ಪರ್ವತ,পর্বত
99,Gipfel::N,ಶೃಂಗ,শীর্ষ
100,Höhle::N,ಗುಹೆ,গুহা
101,Abhang::N,ಇಳಿಜಾರು,ঢাল
102,Quelle::N,ಮೂಲ,উৎস
103,Bach::N,ತೊರೆ,ক্ষুদ্র নদী
104,Fluss::N,ನದಿ,নদী
105,Ufer::N,ತೀರ,উপকূল
106,Küste::N,ದಂಡೆ,তীর
107,Festland::N,ಭೂಮಿ,ভূমি
108,Meer::N,ಕಡಲು,সমুদ্র
109,Bucht::N,ಖಾರಿ,উপসাগর
110,Insel::N,ದ್ವೀಪ,দ্বীপ
111,Blume::N,ಸುಮ,ফুল
112,Gras::N,ಹುಲ್ಲು,ঘাস
113,Wurzel::N,ಬೇರು,শিকড়
114,Baum::N,ಮರ,গাছ
115,Stamm::N,ಕಾಂಡ,স্কন্ধ
116,Rinde::N,ತೂಗಟಿ,বল্কল
117,Ast::N,ಶಾಖೆ,শাখা
118,Zweig::N,ರೆಂಬೆ,ডাল
119,Blatt::N,ಎಲೆ,পর্ণ
120,Birke::N,ಬರ್ಚ್ ಮರ,ভুর্জ
121,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,পাইন গাছ
122,Weide[Baum]::N,ವಿಲೋಮರ,উইলো
123,Tanne::N,ಭದ್ರದಾರು,দেবদারূ গাছ
124,Horn::N,ಕೊಂಬು,শিং
125,Feder::N,ಪುಕ್ಕ,পালক
126,Fell::N,ರೋಮ,রোম
127,Flügel::N,ರೆಕ್ಕೆ,ডানা
128,Klaue::N,ಪಂಜ,নখর
129,Kralle::N,ಉಗುರು,নখর
130,Schwanz::N,ಬಾಲ,লেজ
131,Ei::N,ಮೊಟ್ಟೆ,ডিম
132,Nest::N,ಗೂಡು,কুলায়
133,Bau::N,ಅಡಗುದಾಣ,ডেরা
134,Tier::N,ಪ್ರಾಣಿ,জন্তু
135,Herde::N,ಗುಂಪು,ঝাঁক
136,Kuh::N,ಹಸು,গোরু
137,Bulle::N,ಗೂಳಿ,বৃষ
138,Pferd::N,ಕುದುರೆ,ঘোড়া
139,Schaf::N,ಕುರಿ,ভেড়া
140,Schwein::N,ಹಂದಿ,শূকর
141,Hund::N,ನಾಯಿ,কুকুর
142,Katze::N,ಬೆಕ್ಕು,বেড়াল
143,Bär::N,ಕರಡಿ,ভল্লুক
144,Eichhörnchen::N,ಉಡುತೆ,কাঠবিড়াল
145,Elch::N,ಕಡವೆ,হরিণবিশেষ
146,Fuchs::N,ನರಿ,পাঁতিশিয়াল
147,Hase::N,ಮೊಲ,শশক
148,Maus::N,ಇಲಿ,নেংটি ইঁদুর
149,Wolf::N,ತೋಳ,নেকড়ে
150,Vogel::N,ಪಕ್ಷಿ,পক্ষী
151,Schwarm::N,ಗುಂಪು,ঝাঁক
152,Huhn::N,ಚಿಕ್,মোরগ
153,Hahn::N,ಹುಂಜ,কুক্কুট
154,Gans::N,ವರಟೆ,হংসী
155,Adler::N,ಗರುಡ,ইগল
156,Ente::N,ಬಾತು,হংসী
157,Eule::N,ಗೂಬೆ,পেচক
158,Kranich::N,ಕೊಕ್ಕರ,সারস
159,Krähe::N,ಕಾಗೆ,কাক
160,Kuckuck::N,ಕೋಗಿಲೆ,কোকিল
161,Schwan::N,ಹಂಸಪಕ್ಷಿ,মরাল
162,Fisch::N,ಮೀನು,মাছ
163,Barsch::N,ಪರ್ಚ್ ಮೀನು,মৎন্যবিশেষ
164,Hecht::N,ಪೈಕ್ ಮೀನು,বানমাছ
165,Schlange[Tier]::N,ಹಾವು,সর্প
166,Wurm::N,ಹುಳು,কীট
