,Concept_ID,nl,la
0,Auge::N,oog,oculus
1,Ohr::N,oor,auris
2,Nase::N,neus,nasus
3,Mund::N,mond,os
4,Zahn::N,tand,dens
5,Zunge::N,tong,lingua
6,Lippe::N,lip,labrum
7,Wange::N,wang,gena
8,Gesicht::N,gelaat,vultus
9,Gesicht::N,gezicht,vultus
10,Stirn::N,voorhoofd,frons
11,Haar::N,haar,capillus
12,Schnurrbart::N,snor,barba labri superioris
13,Bart::N,baard,barba
14,Kinn::N,kin,mentum
15,Kiefer[Anatomie]::N,kaak,mala
16,Kehle::N,keel,iugulums
17,Kehle::N,strot,iugulums
18,Hals::N,hals,collum
19,Genick::N,nek,cervices
20,Kopf::N,hoofd,caput
21,Rücken::N,rug,tergum
22,Bauch::N,buik,venter
23,Nabel::N,navel,umbilicus
24,Busen::N,boezem,sinus
25,Brust::N,borst,pectus
26,Schulter::N,schouder,umerus
27,Arm::N,arm,bracchium
28,Ellenbogen::N,elleboog,cubitum
29,Hand::N,hand,manus
30,Handfläche::N,handpalm,palma
31,Finger::N,vinger,digitus
32,Fingernagel::N,nagel,unguiculus
33,Nagel[Anatomie]::N,nagel,unguis
34,Zeh::N,teen,digitus
35,Fuß::N,voet,pes
36,Ferse::N,hak,calx
37,Ferse::N,hiel,calx
38,Knie::N,knie,genu
39,Oberschenkel::N,dij,femur
40,Bein::N,been,crus
41,Körper::N,lichaam,corpus
42,Haut::N,huid,cutis
43,Haut::N,huid,pellis
44,Blut::N,bloed,sanguis
45,Ader::N,ader,vena
46,Sehne::N,pees,nervus
47,Knochen::N,bot,os
48,Knochen::N,been,os
49,Knochen::N,knook,os
50,Gehirn::N,hersenen,cerebrum
51,Herz::N,hart,cor
52,Herz::N,hart,animus
53,Magen::N,maag,stomachus
54,Leber::N,lever,iecur
55,Atem::N,adem,spiritus
56,Hunger::N,honger,fames
57,Träne::N,traan,lacrima
58,Geschmack::N,smaak,sapor
59,Geschmack::N,smaak,gustus
60,Geruch::N,geur,odor
61,Schlaf::N,slaap,somnus
62,Traum::N,droom,somnium
63,Himmel::N,hemel,caelum
64,Sonne::N,zon,sol
65,Mond::N,maan,luna
66,Stern::N,ster,sidus
67,Stern::N,ster,stella
68,Luft::N,lucht,aer
69,Wind::N,wind,ventus
70,Welle::N,golf,unda
71,Wasser::N,water,aqua
72,Stein::N,steen,lapis
73,Boden::N,grond,solum
74,Erde::N,aarde,terra
75,Staub::N,stof,pulvis
76,Rauch::N,rook,fumus
77,Funke::N,vonk,scintilla
78,Feuer::N,vuur,ignis
79,Licht::N,licht,lux
80,Licht::N,licht,lumen
81,Schatten::N,schaduw,umbra
82,Wetter::N,weer,caelum
83,Wetter::N,weer,tempestas
84,Nebel::N,mist,nebula
85,Nebel::N,nevel,nebula
86,Wolke::N,wolk,nubes
87,Regen::N,regen,imber
88,Regen::N,regen,pluvia
89,Schnee::N,sneeuw,nix
90,Eis::N,ijs,glacies
91,Frost::N,vorst,gelu
92,Kälte::N,kou,frigus
93,Kälte::N,koude,frigus
94,Hitze::N,hitte,calor
95,Hitze::N,hitte,aestus
96,Raureif::N,rijp,pruina
97,Regenbogen::N,regenboog,arcus
98,Donner::N,donder,tonitrus
99,Strömung::N,stroming,fluctus
100,Tropfen::N,druppel,gutta
101,Schaum::N,schuim,spuma
102,Schmutz::N,vuil,sordes
103,Schmutz::N,vuil,squalor
104,See::N,meer,lacus
105,Sumpf::N,moeras,palus
106,Moor::N,veen,palus
107,Wiese::N,wei,pratum
108,Wiese::N,weide,pratum
109,Wald::N,bos,silva
110,Hügel::N,heuvel,collis
111,Anhöhe::N,hoogte,specula
112,Berg::N,berg,mons
113,Gipfel::N,top,vertex
114,Höhle::N,hol,caverna
115,Höhle::N,hol,spelunca
116,Abhang::N,helling,declivum
117,Quelle::N,bron,fons
118,Bach::N,beek,rivus
119,Fluss::N,stroom,flumen
120,Ufer::N,wal,ripa
121,Ufer::N,oever,ripa
122,Küste::N,kust,litus
123,Festland::N,vasteland,continens
124,Meer::N,zee,mare
125,Bucht::N,baai,sinus
126,Bucht::N,inham,sinus
127,Insel::N,eiland,insula
128,Blume::N,bloem,flos
129,Gras::N,gras,herba
130,Gras::N,gras,gramen
131,Wurzel::N,wortel,radix
132,Baum::N,boom,arbor
133,Stamm::N,stam,truncus
134,Rinde::N,schors,cortex
135,Ast::N,tak,ramus
136,Zweig::N,twijg,ramus
137,Blatt::N,blad,folium
138,Birke::N,berk,betulla
139,Kiefer[Baum]::N,den,pinus
140,Weide[Baum]::N,wilg,salix
141,Tanne::N,spar,abies
142,Horn::N,hoorn,cornu
143,Feder::N,veer,penna
144,Feder::N,pluim,penna
145,Fell::N,vel,pellis
146,Flügel::N,vleugel,ala
147,Klaue::N,klauw,unguis
148,Kralle::N,klauw,unguis
149,Schwanz::N,staart,cauda
150,Ei::N,ei,ovum
151,Nest::N,nest,nidus
152,Bau::N,hol,cavum
153,Bau::N,hol,latibulum
154,Tier::N,dier,bestia
155,Herde::N,kudde,grex
156,Kuh::N,koe,vacca
157,Bulle::N,stier,taurus
158,Pferd::N,paard,equus
159,Schaf::N,schaap,ovis
160,Schwein::N,varken,sus
161,Schwein::N,varken,porcus
162,Hund::N,hond,canis
163,Katze::N,kat,felis
164,Bär::N,beer,ursus
165,Eichhörnchen::N,eekhoorntje,sciurus
166,Elch::N,eland,alces
167,Fuchs::N,vos,vulpes
168,Hase::N,haas,lepus
169,Maus::N,muis,mus
170,Wolf::N,wolf,lupus
171,Vogel::N,vogel,avis
172,Schwarm::N,zwerm,examen
173,Huhn::N,kip,gallina
174,Huhn::N,hoen,gallina
175,Hahn::N,haan,gallus
176,Gans::N,gans,anser
177,Adler::N,arend,aquila
178,Ente::N,eend,anas
179,Eule::N,uil,ulula
180,Eule::N,uil,noctua
181,Kranich::N,kraanvogel,grus
182,Krähe::N,kraai,cornix
183,Kuckuck::N,koekoek,cuculus
184,Schwan::N,zwaan,olor
185,Schwan::N,zwaan,cycnus
186,Fisch::N,vis,piscis
187,Barsch::N,baars,perca
188,Hecht::N,snoek,esox
189,Schlange[Tier]::N,slang,serpens
190,Wurm::N,worm,vermis
191,Spinne::N,spin,aranea
192,Ameise::N,mier,formica
193,Laus::N,luis,pediculus
194,Mücke::N,mug,culex
195,Fliege::N,vlieg,musca
196,Schmetterling::N,vlinder,papilio
197,Beere::N,bes,baca
198,Apfel::N,appel,malum
199,Pilz::N,paddestoel,fungus
200,Zwiebel::N,ui,cepa
201,Saat::N,zaad,seges
202,Korn::N,graan,granum
203,Korn::N,korrel,granum
204,Heu::N,hooi,faenum
205,Schale::N,schil,putamen
206,Grube::N,kuil,fovea
207,Falle::N,val,pedica
208,Schlinge::N,strop,laqueus
209,Spur::N,spoor,vestigium
210,Asche::N,as,cinis
211,Dreck::N,drek,lutum
212,Eisen::N,ijzer,ferrum
213,Gold::N,goud,aurum
214,Silber::N,zilver,argentum
215,Kohle::N,kool,carbo
216,Glas::N,glas,vitrum
217,Lehm::N,klei,lutum
218,Sand::N,zand,arena
219,Mensch::N,mens,homo
220,Mann::N,man,vir
221,Frau::N,vrouw,mulier
222,Kind::N,kind,puer
223,Kind::N,kind,infans
224,Junge::N,jongen,puer
225,Mädchen::N,meisje,puella
226,Familie::N,gezin,familia
227,Familie::N,familie,familia
228,Großvater::N,grootvader,avus
229,Großmutter::N,grootmoeder,avia
230,Eltern::N,ouders,parentes
231,Vater::N,vader,pater
232,Mutter::N,moeder,mater
233,Sohn::N,zoon,filius
234,Tochter::N,dochter,filia
235,Bruder::N,broer,frater
236,Bruder::N,broeder,frater
237,Schwester::N,zus,soror
238,Schwester::N,zuster,soror
239,Onkel::N,oom,patruus
240,Onkel::N,oom,avunculus
241,Tante::N,tante,amita
242,Ehemann::N,echtgenoot,maritus
243,Ehefrau::N,echtgenote,uxor
244,Freude::N,vreugde,gaudium
245,Freude::N,vreugde,laetitia
246,Gelächter::N,gelach,risus
247,Glück::N,geluk,felicitas
248,Kummer::N,verdriet,aegritudo
249,Wunsch::N,wens,voluntas
250,Wunsch::N,wens,desiderium
251,Wunsch::N,verlangen,voluntas
252,Wunsch::N,verlangen,desiderium
253,Lust::N,zin,libido
254,Lust::N,zin,voluptas
255,Lust::N,lust,libido
256,Lust::N,lust,voluptas
257,Geist::N,geest,mens
258,Geist::N,geest,animus
259,Gedanke::N,gedachte,sententia
260,Gedächtnis::N,geheugen,memoria
261,Verstand::N,verstand,ratio
262,Verstand::N,verstand,ingenium
263,Sinn::N,betekenis,sensus
264,Grund::N,reden,causa
265,Wahrheit::N,waarheid,veritas
266,Gespräch::N,gesprek,sermo
267,Märchen::N,sprookje,fabula
268,Erzählung::N,verhaal,fabula
269,Erzählung::N,verhaal,narratio
270,Nachricht::N,tijding,nuntius
271,Neuigkeit::N,nieuws,novitas
272,Neuigkeit::N,nieuwtje,novitas
273,Name::N,naam,nomen
274,Rätsel::N,raadsel,aenigma
275,Rede::N,rede,oratio
276,Sprache::N,taal,lingua
277,Stimme::N,stem,vox
278,Wort::N,woord,verbum
279,Wort::N,woord,vocabulum
280,Zeichen::N,teken,signum
281,Ruf::N,roep,clamor
282,Lärm::N,lawaai,strepitus
283,Laut::N,klank,sonus
284,Laut::N,geluid,sonus
285,Ton::N,toon,sonus
286,Ton::N,klank,sonus
287,Lied::N,lied,carmen
288,Ruhe::N,rust,quies
289,Ruhe::N,stilte,quies
290,Leute::N,lui,homines
291,Leute::N,mensen,homines
292,Volk::N,volk,populus
293,Arbeit::N,werk,labor
294,Arbeit::N,arbeid,labor
295,Gast::N,gast,hospes
296,Gast::N,gast,conviva
297,Geschenk::N,cadeau,munus
298,Geschenk::N,geschenk,munus
299,Spiel::N,spel,ludus
300,Gesellschaft::N,gezelschap,societas
301,Hilfe::N,hulp,auxilium
302,Hilfe::N,hulp,subsidium
303,Freund::N,vriend,amicus
304,Kamerad::N,maat,socius
305,Kamerad::N,metgezel,socius
306,Angelegenheit::N,zaak,res
307,Angelegenheit::N,aangelegenheid,res
308,Anzahl::N,tal,numerus
309,Anzahl::N,aantal,numerus
310,Art::N,slag,genus
311,Art::N,soort,genus
312,Stück::N,stuk,frustum
313,Stück::N,stuk,fragmentum
314,Teil::N,deel,pars
315,Hälfte::N,helft,dimidium
316,Kreis::N,kring,orbis
317,Kreis::N,kring,circus
318,Kreis::N,cirkel,orbis
319,Kreis::N,cirkel,circus
320,Kreuz::N,kruis,crux
321,Linie::N,lijn,linea
322,Strich::N,haal,lineamentum
323,Strich::N,streep,lineamentum
324,Abstand::N,afstand,intervallum
325,Entfernung::N,afstand,spatium
326,Gegend::N,streek,loca
327,Gegend::N,streek,regio
328,Platz::N,ruimte,locus
329,Ort::N,oord,locus
330,Ort::N,plaats,locus
331,Seite::N,zij,latus
332,Seite::N,kant,latus
333,Seite::N,zijde,latus
334,Mitte::N,midden,medium
335,Gegenstand::N,voorwerp,res
336,Sache::N,zaak,res
337,Rand::N,rand,margo
338,Rand::N,boord,margo
339,Kante::N,kant,angulus
340,Ecke::N,hoek,angulus
341,Spitze::N,punt,cacumen
342,Spitze::N,spits,cacumen
343,Ende::N,einde,caput
344,Ende::N,uiteinde,caput
345,Loch::N,gat,foramen
346,Winkel::N,hoek,angulus
347,Muster::N,dessin,exemplum
348,Muster::N,patroon,exemplum
349,Größe::N,grootte,magnitudo
350,Länge::N,lengte,longitudo
351,Höhe::N,hoogte,altitudo
352,Gewicht::N,gewicht,pondus
353,Menge::N,hoeveelheid,copia
354,Haufen::N,hoop,acervus
355,Reihe::N,rij,ordo
356,Reihe::N,reeks,ordo
