,Concept_ID,xal,ce
176,Schlange[Tier]::N,моһа,лаьхьа
177,Wurm::N,өтн,нӏаьна
178,Spinne::N,аралҗн,гезг
179,Ameise::N,шорһлҗн,зингат
180,Laus::N,бөөсн,меза
181,Laus::N,бөөсн,гӏениг
182,Mücke::N,бөкүн,чуьрк
183,Fliege::N,батхн,моза
184,Schmetterling::N,эрвәкә,полла
185,Beere::N,бөөлҗрһн,цӏазам
186,Apfel::N,альмн,ӏаж
187,Pilz::N,теңгрин ки,жӏаьлин нускал
188,Zwiebel::N,мәңгрснә толһа,xох
189,Saat::N,буудян экн,чlу
190,Korn::N,экн,буьртиг
191,Heu::N,өвсн,йол
192,Schale::N,хальсн,пардо
193,Grube::N,нүкн,ор
194,Falle::N,урх,кӏело
195,Falle::N,хавх,кӏело
196,Schlinge::N,бүтү,
197,Spur::N,мөр,лар
198,Asche::N,үмсн,чим
199,Dreck::N,бальчг,мода
200,Eisen::N,төмр,эчиг
201,Gold::N,алтн,деши
202,Silber::N,мөңгн,дети
203,Silber::N,цаһан мөңгн,дети
204,Kohle::N,нүүрсн,кӏора
205,Glas::N,шил,aнгали
206,Lehm::N,шавр,поппар
207,Sand::N,элсн,гӏум
208,Mensch::N,күн,адам
209,Mensch::N,күмн,адам
210,Mann::N,эр,майра
211,Frau::N,күүкд күн,зуда
212,Kind::N,үрн,бер
213,Junge::N,көвүн,жимха
214,Mädchen::N,бичкн күүкн,жима йоӏ
215,Familie::N,бүл,доьзал
216,Großvater::N,өвк эцк,ненада
217,Großvater::N,наһц эцк,ненада
218,Großmutter::N,эмг эк,денана
219,Großmutter::N,наһц эк,денана
220,Eltern::N,эк эцк хойр,да-нана
221,Vater::N,эцк,да
222,Mutter::N,эк,нана
223,Sohn::N,көвүн,кӏант
224,Tochter::N,күүкн,йоӏ
225,Bruder::N,дү көвүн,ваша
226,Schwester::N,эгч,йиша
227,Schwester::N,дү күүкн,йиша
228,Onkel::N,авһ,деваша
229,Onkel::N,наһцх,деваша
230,Tante::N,наһц эгч,дейиша
231,Ehemann::N,залу,майра
232,Ehefrau::N,гергн,зуда
233,Freude::N,байр,самукъа
234,Freude::N,байр,хазахетар
235,Gelächter::N,инәдн,белам
236,Glück::N,җирһл,ирс
237,Glück::N,сәәхн җирһл,ирс
238,Kummer::N,зовлң,бала
239,Wunsch::N,дурн,лаам
240,Lust::N,җилвтлһн,лаам
241,Geist::N,зөрг,са
242,Gedanke::N,ухан,ойла
243,Gedächtnis::N,чееҗин тодлвр,диццадалар
244,Verstand::N,ухан,хьекъал
245,Sinn::N,учр-утх,маьӏна
246,Grund::N,учр,бахьана
