,Concept_ID,uz,sk
0,Auge::N,ko'z,oko
1,Ohr::N,quloq,ucho
2,Nase::N,burun,nos
3,Mund::N,og'iz,ústa
4,Zahn::N,tish,zub
5,Zunge::N,til,jazyk
6,Lippe::N,dudoq,pera
7,Wange::N,bet,líce
8,Gesicht::N,yuz,tvár
9,Gesicht::N,yuz,obličaj
10,Stirn::N,manglay,čelo
11,Haar::N,soch,vlas
12,Schnurrbart::N,mo'ylov,fúzy
13,Bart::N,soqol,brada
14,Kinn::N,ängak,brada
15,Kiefer[Anatomie]::N,iyak,čeľusť
16,Kehle::N,bo'g'iz,hrdlo
17,Hals::N,bo'yin,krk
18,Genick::N,gardan,väzy
19,Kopf::N,bosh,hlava
20,Rücken::N,orqa,chrbát
21,Bauch::N,qorin,brucho
22,Nabel::N,kindik,pupok
23,Busen::N,ämchak,prsia
24,Brust::N,ko'krak,hruď
25,Schulter::N,elka,plece
26,Arm::N,bilak,rameno
27,Ellenbogen::N,tirsak,lakeť
28,Hand::N,qo'l,ruka
29,Handfläche::N,kaft,dlaň
30,Finger::N,barmoq,prst
31,Fingernagel::N,tirnoq,necht
32,Nagel[Anatomie]::N,tirnoq,necht
33,Zeh::N,oyoq barmog'i,prst na nohe
34,Fuß::N,oyoq,noha
35,Ferse::N,tovon,päta
36,Knie::N,tiz,koleno
37,Oberschenkel::N,son,stehno
38,Bein::N,oyoq,noha
39,Körper::N,badna,telo
40,Haut::N,teri,koža
41,Blut::N,qon,krv
42,Ader::N,qon tomir,žila
43,Sehne::N,tomir,šľacha
44,Knochen::N,suyak,kosť
45,Gehirn::N,miya,mozog
46,Herz::N,qalb,srdce
47,Magen::N,oshqozon,žalúdok
48,Leber::N,bag'ir,pečeň
49,Atem::N,dam,dych
50,Hunger::N,ochlik,hlad
51,Träne::N,yosh,slza
52,Geschmack::N,tam,chuť
53,Geruch::N,jid,pach
54,Schlaf::N,uyqu,spánok
55,Traum::N,tush,sen
56,Himmel::N,osmon,nebo
57,Sonne::N,quyosh,slnko
58,Mond::N,oy,mesiac
59,Stern::N,yulduz,hviezda
60,Luft::N,havo,vzduch
61,Wind::N,el,vietor
62,Welle::N,to'lqin,vlna
63,Wasser::N,suv,voda
64,Stein::N,tosh,kameň
65,Boden::N,tuproq,zem
66,Boden::N,tuproq,pôda
67,Erde::N,er,zem
68,Staub::N,chang,prach
69,Rauch::N,tutun,dym
70,Funke::N,yalt,iskra
71,Feuer::N,o't,oheň
72,Licht::N,yorug',svetlo
73,Schatten::N,soya,tieň
74,Wetter::N,havo,počasie
75,Nebel::N,tuman,hmla
76,Wolke::N,bulut,oblak
77,Wolke::N,bulut,mračno
78,Regen::N,yomg'ir,dážď
79,Schnee::N,qor,sneh
80,Eis::N,muz,ľad
81,Frost::N,ajoz,mráz
82,Kälte::N,ajoz,zima
83,Kälte::N,ajoz,chlad
84,Hitze::N,issiq,horúčava
85,Raureif::N,qirov,srieň
86,Raureif::N,qirov,inovať
87,Regenbogen::N,kamalak,dúha
88,Donner::N,guldur,hrom
89,Strömung::N,oqim,prúdenie
90,Tropfen::N,tomchi,kvapka
91,Schaum::N,ko'pik,pena
92,Schmutz::N,gard,špina
93,Schmutz::N,gard,nečistota
94,See::N,ko'l,jazero
95,Sumpf::N,botqoq,bahno
96,Moor::N,qir-adir,močiar
97,Wiese::N,o'tzor,lúka
98,Wald::N,o'rmon,les
99,Wald::N,o'rmon,hora
100,Hügel::N,tepa,vŕšok
101,Anhöhe::N,adir,výšina
102,Anhöhe::N,adir,vyvýšenina
103,Berg::N,tog',hora
104,Gipfel::N,cho'qqi,vrchol
105,Höhle::N,kavak,jaskyňa
106,Abhang::N,to'sh,úbočie
107,Quelle::N,buloq,prameň
108,Bach::N,o'zan,potok
109,Fluss::N,daryo,rieka
110,Ufer::N,sohil,breh
111,Küste::N,qirg'oq,pobrežie
112,Festland::N,materik,pevnina
113,Meer::N,dengiz,more
114,Bucht::N,qo'ltiq,záliv
115,Bucht::N,qo'ltiq,zátoka
116,Insel::N,orol,ostrov
117,Blume::N,gul,kvet
118,Blume::N,gul,kvetina
119,Gras::N,sabza,tráva
120,Wurzel::N,tub,koreň
121,Wurzel::N,tomir,koreň
122,Baum::N,daraxt,strom
123,Stamm::N,o'simta,kmeň
124,Rinde::N,qobiq,kôra
125,Ast::N,shox,konár
126,Zweig::N,butoq,vetva
127,Blatt::N,barg,list
128,Birke::N,qayin,breza
129,Kiefer[Baum]::N,qarag'ay,sosna
130,Kiefer[Baum]::N,qarag'ay,borovica
131,Weide[Baum]::N,shum,vŕba
132,Tanne::N,archa,jedľa
133,Horn::N,mugiz,roh
134,Feder::N,par,pero
135,Fell::N,mo'yna,koža
136,Fell::N,mo'yna,kožušina
137,Flügel::N,qanot,krídlo
138,Klaue::N,tirnoq,paznecht
139,Kralle::N,tirnoq,pazúr
140,Schwanz::N,quyruq,chvost
141,Ei::N,tuxum,vajce
142,Ei::N,tuxum,vajíčko
143,Nest::N,oshyon,hniezdo
144,Bau::N,o'pqon,nora
145,Tier::N,hayvon,zviera
146,Herde::N,gala,stádo
147,Kuh::N,inak,krava
148,Bulle::N,ho'kiz,býk
149,Pferd::N,ot,kôň
150,Schaf::N,qo'y,ovca
151,Schwein::N,cho'chqa,sviňa
152,Hund::N,it,pes
153,Katze::N,mushuk,mačka
154,Bär::N,ayiq,medveď
155,Eichhörnchen::N,tiyin,veverička
156,Elch::N,los,los
157,Fuchs::N,tulki,líška
158,Hase::N,kuyon,zajac
159,Maus::N,sichqon,myš
160,Wolf::N,bo'ri,vlk
161,Vogel::N,qush,vták
162,Schwarm::N,to'da,roj
163,Huhn::N,tovuq,kurča
164,Huhn::N,tovuq,sliepka
165,Hahn::N,xo'roz,kohút
166,Gans::N,g'oz,hus
167,Adler::N,burgut,orol
168,Ente::N,o'rdak,kačka
169,Ente::N,o'rdak,kačica
170,Eule::N,boyo'g'li,sova
171,Kranich::N,turna,žeriav
172,Krähe::N,qarg'a,vrana
173,Kuckuck::N,kakku,kukučka
174,Schwan::N,oqkush,labuť
175,Fisch::N,baliq,ryba
176,Barsch::N,olabug'a,ostriež
177,Hecht::N,cho'rtan,šťuka
178,Schlange[Tier]::N,ilon,had
179,Wurm::N,qurt,červ
180,Spinne::N,o'rgimchak,pavúk
181,Ameise::N,chumoli,mravec
182,Laus::N,bit,voš
183,Mücke::N,chivin,komár
184,Fliege::N,pashsha,mucha
185,Schmetterling::N,kapalak,motýľ
186,Beere::N,meva,bobuľa
187,Apfel::N,olma,jablko
188,Pilz::N,qo'ziqorin,hríb
189,Zwiebel::N,piyoz,cibuľa
190,Saat::N,äkin,osivo
191,Korn::N,zarra,zrno
192,Heu::N,xashak,seno
193,Schale::N,po'choq,šupa
194,Schale::N,po'choq,škrupina
195,Grube::N,co'ra,jama
196,Falle::N,qopqon,pasca
197,Falle::N,qopqon,klepec
198,Schlinge::N,sirtmoq,slučka
199,Spur::N,iz,stopa
200,Asche::N,kul,popol
201,Dreck::N,kir,kal
202,Dreck::N,kir,blato
203,Eisen::N,temir,železo
204,Gold::N,tilla,zlato
205,Silber::N,kumush,striebro
206,Kohle::N,ko'mir,uhlie
207,Glas::N,oyna,sklo
208,Lehm::N,loy,íl
209,Lehm::N,loy,hlina
210,Sand::N,qum,piesok
211,Mensch::N,odam,človek
212,Mann::N,ärkak,muž
213,Mann::N,ärkak,chlap
214,Frau::N,ayol,žena
215,Kind::N,bola,dieťa
216,Kind::N,kichkintoy,dieťa
217,Junge::N,bola,chlapec
218,Mädchen::N,qiz,dievka
219,Familie::N,oila,rodina
220,Großvater::N,buva,dedo
221,Großvater::N,buva,starý otec
222,Großvater::N,katta ota,dedo
223,Großvater::N,katta ota,starý otec
224,Großmutter::N,buvi,babička
225,Großmutter::N,buvi,stará mať
226,Großmutter::N,katta oyi,babička
227,Großmutter::N,katta oyi,stará mať
228,Eltern::N,ota-ona,rodičia
229,Vater::N,ota,otec
230,Mutter::N,ona,mať
231,Mutter::N,ona,matka
232,Sohn::N,o'g'il,syn
233,Tochter::N,qiz,dcéra
234,Bruder::N,og'a,brat
235,Bruder::N,uka,brat
236,Schwester::N,opa,sestra
237,Schwester::N,singil,sestra
238,Onkel::N,amaki,ujo
239,Onkel::N,amaki,strýko
240,Tante::N,amma,teta
241,Tante::N,amma,tetka
242,Tante::N,xola,teta
243,Tante::N,xola,tetka
244,Ehemann::N,är,muž
245,Ehemann::N,är,manžel
246,Ehefrau::N,rafiqa,žena
247,Ehefrau::N,rafiqa,manželka
248,Freude::N,ayish,radosť
249,Gelächter::N,kulgi,smiech
250,Glück::N,saodat,šťastie
251,Kummer::N,g'am,žiaľ
252,Kummer::N,g'am,zármutok
253,Wunsch::N,orzu,prianie
254,Lust::N,rag'bat,chuť
255,Geist::N,ruh,duch
256,Gedanke::N,fikr,myšlienka
257,Gedächtnis::N,äs,pamäť
258,Verstand::N,aql,rozum
259,Sinn::N,ma'ni,zmysel
260,Grund::N,sabab,dôvod
261,Grund::N,sabab,príčina
262,Wahrheit::N,haq,pravda
263,Gespräch::N,gap,reč
264,Gespräch::N,gap,rozhovor
265,Märchen::N,ärtak,rozprávka
266,Erzählung::N,rivoyat,poviedka
267,Nachricht::N,xabar,správa
268,Neuigkeit::N,yangilik,novinka
269,Name::N,ot,meno
270,Rätsel::N,topishmoq,záhada
271,Rätsel::N,topishmoq,hádanka
272,Rede::N,nutq,reč
273,Sprache::N,til,reč
274,Sprache::N,til,jazyk
275,Stimme::N,ovoz,hlas
276,Wort::N,so'z,slovo
277,Zeichen::N,alomat,znak
278,Ruf::N,chaqiriq,volanie
279,Ruf::N,chaqiriq,zavolanie
280,Lärm::N,taraq,hluk
281,Lärm::N,taraq,hurhaj
282,Laut::N,tovush,zvuk
283,Ton::N,un,tón
284,Ton::N,un,zvuk
285,Lied::N,ashula,pieseň
286,Ruhe::N,tinchlik,pokoj
287,Leute::N,xaloyiq,ľudia
288,Volk::N,xalq,ľud
289,Volk::N,xalq,národ
290,Arbeit::N,ish,práca
291,Arbeit::N,ish,robota
292,Gast::N,mehmon,hosť
293,Geschenk::N,hadya,dar
294,Spiel::N,o'yin,hra
295,Gesellschaft::N,jamiyat,spoločnosť
296,Hilfe::N,yordam,pomoc
297,Freund::N,do'st,priateľ
298,Kamerad::N,yo'ldosh,kamarát
299,Angelegenheit::N,daxl,vec
300,Angelegenheit::N,daxl,záležitosť
301,Anzahl::N,son,počet
302,Anzahl::N,son,množstvo
303,Art::N,tur,druh
304,Stück::N,parcha,kus
305,Stück::N,parcha,kúsok
306,Teil::N,bo'lak,časť
307,Hälfte::N,yarim,polka
308,Hälfte::N,yarim,polovica
309,Kreis::N,aylana,kruh
310,Kreuz::N,xoch,kríž
311,Linie::N,liniya,línia
312,Strich::N,chiziq,čiara
313,Abstand::N,oralik,vzdialenosť
314,Entfernung::N,uzoqlik,vzdialenosť
315,Gegend::N,yer,kraj
316,Gegend::N,yer,krajina
317,Platz::N,oralig,miesto
318,Ort::N,joy,miesto
319,Seite::N,yon,bok
320,Seite::N,yon,strana
321,Mitte::N,o'rta,stred
322,Gegenstand::N,ashyo,predmet
323,Sache::N,buyum,vec
324,Rand::N,chek,kraj
325,Rand::N,chek,okraj
326,Kante::N,tig',hrana
327,Ecke::N,burchak,roh
328,Spitze::N,uch,hrot
329,Spitze::N,uch,špička
330,Ende::N,oxir,koniec
331,Loch::N,teshik,diera
332,Winkel::N,go'sha,kút
333,Muster::N,nusha,vzor
334,Muster::N,nusha,vzorka
335,Größe::N,kattalik,veľkosť
336,Länge::N,uzunlik,dĺžka
337,Höhe::N,yuksaklik,výška
338,Gewicht::N,solmoq,váha
339,Menge::N,miqdor,množstvo
340,Haufen::N,uyum,hŕba
341,Reihe::N,saf,rad
342,Boot::N,qayiq,čln
343,Ruder::N,äshkak,veslo
344,Schlitten::N,chana,sane
345,Ski::N,chang'i,lyža
346,Lagerfeuer::N,gulxan,táborák
347,Last::N,yuk,ťarcha
348,Last::N,yuk,bremeno
349,Gang::N,yurish,chôdza
350,Schritt::N,qadam,krok
351,Norden::N,shimol,sever
352,Süden::N,janub,juh
353,Westen::N,g'arb,západ
354,Osten::N,sharq,východ
355,Holz::N,yog'och,drevo
356,Brett::N,taxta,doska
357,Platte::N,tabaqa,doska
358,Platte::N,tabaqa,platňa
359,Stütze::N,tayanchi,opora
360,Stange::N,qo'noq,tyč
361,Stock::N,tayoq,palica
362,Stab::N,gavron,palica
363,Rohr::N,tarnov,rúra
364,Haus::N,uy,dom
365,Heim::N,makon,domov
366,Ofen::N,pechka,pec
367,Ofen::N,pechka,kachle
368,Fußboden::N,pol,dlážka
369,Fußboden::N,pol,podlaha
370,Tisch::N,mosa,stôl
371,Stuhl::N,o'rindiq,stolička
372,Wiege::N,beshik,kolíska
373,Bett::N,yotoq,lôžko
374,Bett::N,yotoq,posteľ
375,Regal::N,tokcha,regál
376,Regal::N,tokcha,polica
377,Kiste::N,sandiq,debna
378,Fenster::N,deraza,okno
379,Fenster::N,deraza,oblok
380,Tür::N,äshik,dvere
381,Tor::N,darvoza,vráta
382,Zaun::N,panjara,plot
383,Zaun::N,panjara,ohrada
384,Dach::N,tom,krov
385,Dach::N,tom,strecha
386,Leiter::N,narvon,rebrík
387,Leiter::N,narvon,rebrina
388,Besen::N,supurgi,metla
389,Spaten::N,bel,rýľ
390,Schaufel::N,kurak,lopata
391,Gabel::N,bilka,vidlička
392,Löffel::N,qoshiq,lyžica
393,Messer::N,pichoq,nôž
394,Nagel::N,mix,klinec
395,Netz::N,to'r,sieť
396,Haken::N,ilgak,hák
397,Haken::N,ilgak,háčik
398,Griff::N,sop,rukoväť
399,Griff::N,tutqich,rukoväť
400,Schloss::N,qulf,zámka
401,Bild::N,rasm,obraz
402,Figur::N,shakl,figúra
403,Puppe::N,ko'g'irchoq,bábka
404,Puppe::N,ko'g'irchoq,bábika
405,Beutel::N,to'rva,vrece
406,Beutel::N,to'rva,vrecko
407,Bündel::N,bog'lam,uzlík
408,Bündel::N,bog'lam,zväzok
409,Tasche::N,kissa,taška
410,Tasche::N,kissa,kabelka
411,Eimer::N,chelak,vedro
412,Deckel::N,qopqoq,vrchnák
413,Deckel::N,qopqoq,pokrývka
414,Geschirr::N,idish,nádoba
415,Sack::N,qop,mech
416,Sack::N,qop,vrece
417,Tasse::N,piyola,šálka
418,Topf::N,tuvak,hrniec
419,Kessel::N,qozon,kotol
420,Essen::N,tomoq,jedlo
421,Nahrung::N,emak,strava
422,Nahrung::N,emak,potrava
423,Speise::N,taom,jedlo
424,Fleisch::N,go'sht,mäso
