,Concept_ID,et,tt
0,Auge::N,silm,күз
1,Ohr::N,kõrv,колак
2,Nase::N,nina,борын
3,Mund::N,suu,авыз
4,Mund::N,suu,тамак
5,Zahn::N,hammas,теш
6,Zunge::N,keel,тел
7,Lippe::N,huul,ирен
8,Wange::N,põsk,яңак
9,Gesicht::N,nägu,йөз
10,Stirn::N,otsmik,маңгай
11,Haar::N,juus,чәч
12,Schnurrbart::N,vurrud,мыек
13,Schnurrbart::N,vuntsid,мыек
14,Bart::N,habe,сакал
15,Kinn::N,lõug,ияк
16,Kiefer[Anatomie]::N,lõualuu,казналык
17,Kehle::N,kõri,тамак
18,Hals::N,kael,бугаз
19,Genick::N,kukal,җилкә
20,Kopf::N,pea,баш
21,Rücken::N,selg,сырт
22,Bauch::N,kõht,корсак
23,Nabel::N,naba,кендек
24,Busen::N,rind,түш
25,Brust::N,rind,имчәк
26,Brust::N,rind,күкрәк
27,Schulter::N,õlg,иңбаш
28,Schulter::N,õlg,кулбаш
29,Arm::N,käsivars,кул
30,Ellenbogen::N,küünarnukk,терсәк
31,Hand::N,käsi,кул
32,Handfläche::N,pihk,уч
33,Finger::N,sõrm,бармак
34,Fingernagel::N,küüs,тырнак
35,Nagel[Anatomie]::N,küüs,тырнак
36,Zeh::N,varvas,бармак
37,Fuß::N,jalg,табан
38,Ferse::N,kand,үкчә
39,Knie::N,põlv,тез
40,Oberschenkel::N,reis,бот
41,Bein::N,jalg,аяк
42,Körper::N,ihu,тән
43,Körper::N,ihu,җисем
44,Körper::N,keha,тән
45,Körper::N,keha,җисем
46,Haut::N,nahk,тире
47,Blut::N,veri,кан
48,Ader::N,veen,тамыр
49,Sehne::N,kõõlus,сеңер
50,Knochen::N,luu,сөяк
51,Gehirn::N,aju,ми
52,Herz::N,süda,йөрәк
53,Magen::N,magu,ашказаны
54,Leber::N,maks,бавыр
55,Atem::N,hingeõhk,сулыш
56,Atem::N,hingamine,сулыш
57,Hunger::N,nälg,ачлык
58,Träne::N,pisar,яшь
59,Geschmack::N,maitse,тәм
60,Geschmack::N,maitse,зәвык
61,Geruch::N,lõhn,ис
62,Schlaf::N,uni,йокы
63,Traum::N,unenägu,төш
64,Himmel::N,taevas,күк
65,Sonne::N,päike,кояш
66,Mond::N,kuu,ай
67,Stern::N,täht,йолдыз
68,Luft::N,õhk,һава
69,Wind::N,tuul,җил
70,Welle::N,laine,дулкын
71,Wasser::N,vesi,су
72,Stein::N,kivi,таш
73,Boden::N,maa,туфрак
74,Boden::N,pinnas,туфрак
75,Erde::N,maa,җир
76,Staub::N,põrm,тузан
77,Rauch::N,suits,төтен
78,Funke::N,säde,очкын
79,Feuer::N,tuli,ут
80,Licht::N,valgus,якты
81,Schatten::N,vari,күләгә
82,Wetter::N,ilm,һава
83,Nebel::N,udu,томан
84,Wolke::N,pilv,болыт
85,Regen::N,sadu,яңгыр
86,Schnee::N,lumi,кар
87,Eis::N,jää,боз
88,Frost::N,pakane,суык
89,Frost::N,pakane,салкын
90,Kälte::N,külm,суык
91,Kälte::N,külm,салкын
92,Kälte::N,külmus,суык
93,Kälte::N,külmus,салкын
94,Hitze::N,kuumus,эсселек
95,Hitze::N,palavus,эсселек
96,Raureif::N,härmatis,бәс
97,Raureif::N,härmatis,сыкы
98,Regenbogen::N,vikerkaar,салават күпере
99,Donner::N,kõu,күкрәү
100,Donner::N,müristamine,күкрәү
101,Strömung::N,voolus,агыш'агым
102,Strömung::N,jõevool,агыш'агым
103,Tropfen::N,tilk,тамчы
104,Schaum::N,vaht,күбек
105,Schmutz::N,pori,пычрак
106,Schmutz::N,mustus,пычрак
107,See::N,järv,күл
108,Sumpf::N,soo,саз
109,Moor::N,raba,торфлык
110,Wiese::N,aas,болын
111,Wiese::N,nurm,болын
112,Wald::N,mets,урман
113,Hügel::N,küngas,калку
114,Anhöhe::N,küngas,үр
115,Berg::N,mägi,тау
116,Gipfel::N,mäetipp,оч
117,Höhle::N,koobas,мәгарә
118,Abhang::N,nõlvak,кабырга
119,Quelle::N,allikas,чишмә
120,Bach::N,oja,елга
121,Fluss::N,jõgi,дәрья
122,Ufer::N,kallas,су кырые
123,Küste::N,rannik,яр буе
124,Festland::N,mander,коры җир
125,Festland::N,maismaa,коры җир
126,Meer::N,meri,диңгез
127,Bucht::N,laht,бухта
128,Bucht::N,laht,култык
129,Insel::N,saar,атау
130,Insel::N,saar,утрау
131,Blume::N,lill,чәчкә
132,Gras::N,rohi,үлән
133,Wurzel::N,juur,тамыр
134,Baum::N,puu,агач
135,Stamm::N,tüvi,кәүсә
136,Rinde::N,koor,кабык
137,Ast::N,oks,ботак
138,Zweig::N,oks,ботак
139,Zweig::N,oks,тармак
140,Blatt::N,leht,яфрак
141,Birke::N,kask,каен
142,Kiefer[Baum]::N,mänd,нарат
143,Weide[Baum]::N,paju,тал
144,Tanne::N,nulg,чыршы
145,Horn::N,sarv,мөгез
146,Feder::N,sulg,йон
147,Fell::N,karvkate,тире
148,Fell::N,karusnahk,тире
149,Flügel::N,tiib,канат
150,Flügel::N,tiivik,канат
151,Klaue::N,küüs,тырнак
152,Kralle::N,küünis,тырнак
153,Schwanz::N,saba,койрык
154,Ei::N,muna,күкәй
155,Ei::N,muna,йомырка
156,Nest::N,pesa,оя
157,Bau::N,urg,өн
158,Tier::N,loom,хайван
159,Herde::N,kari,көтү
160,Kuh::N,lehm,сыер
161,Bulle::N,pull,үгез
162,Pferd::N,hobune,ат
163,Schaf::N,lammas,сарык
164,Schwein::N,siga,дуңгыз
165,Hund::N,koer,эт
166,Katze::N,kass,песи
167,Bär::N,karu,аю
168,Eichhörnchen::N,orav,тиен
169,Elch::N,põder,поши
170,Fuchs::N,rebane,төлке
171,Hase::N,jänes,куян
172,Maus::N,hiir,тычкан
173,Wolf::N,hunt,бүре
174,Vogel::N,lind,кош
175,Schwarm::N,parv,көтү
176,Huhn::N,kana,тавык
177,Hahn::N,kukk,әтәч
178,Gans::N,hani,каз
179,Adler::N,kotkas,каракош
180,Ente::N,part,үрдәк
181,Eule::N,kakk,ябалак
182,Eule::N,öökull,ябалак
183,Kranich::N,kurg,торна
184,Krähe::N,vares,карга
185,Kuckuck::N,kägu,күке
186,Kuckuck::N,kägu,кәккүк
187,Schwan::N,luik,аккош
188,Fisch::N,kala,балык
189,Barsch::N,ahven,алабуга
190,Hecht::N,haug,чуртан
191,Schlange[Tier]::N,uss,елан
192,Wurm::N,uss,корт
193,Wurm::N,vagel,корт
194,Spinne::N,ämblik,үрмәкүч
195,Ameise::N,sipelgas,кырмыска
196,Laus::N,täi,бет
197,Mücke::N,sääsk,черки
198,Mücke::N,sääsk,озынборын
199,Fliege::N,kärbes,чебен
200,Schmetterling::N,liblikas,күбәләк
201,Beere::N,mari,җиләк
202,Apfel::N,õun,алма
203,Pilz::N,seen,гөмбә
204,Zwiebel::N,sibul,суган
205,Zwiebel::N,sibul,суганбаш
206,Saat::N,seeme,орлык
207,Korn::N,iva,иген
208,Korn::N,iva,орлык
209,Korn::N,tera,иген
210,Korn::N,tera,орлык
211,Heu::N,hein,печән
212,Schale::N,koor,кабык
213,Grube::N,kaevand,баз
214,Grube::N,kaevand,чокыр
215,Falle::N,lõks,тозак
216,Falle::N,lõks,капкын
217,Falle::N,püünis,тозак
218,Falle::N,püünis,капкын
219,Schlinge::N,aas,элмәк
220,Spur::N,jälg,эз
221,Asche::N,tuhk,көл
222,Dreck::N,saast,пычрак
223,Dreck::N,mustus,пычрак
224,Eisen::N,raud,тимер
225,Gold::N,kuld,алтын
226,Silber::N,hõbe,көмеш
227,Kohle::N,süsi,күмер
228,Glas::N,klaas,пыяла
229,Lehm::N,savi,балчык
230,Sand::N,liiv,ком
231,Mensch::N,inimene,адәм
232,Mensch::N,inimene,инсан
233,Mann::N,mees,ир
234,Frau::N,naine,хатын
235,Kind::N,laps,бала
236,Junge::N,poiss,малай
237,Mädchen::N,tüdruk,кыз
238,Familie::N,perekond,гаилә
239,Großvater::N,vanaisa,бабай
240,Großmutter::N,vanaema,әби
241,Eltern::N,vanemad,ата-ана
242,Vater::N,isa,ата
243,Mutter::N,ema,ана
244,Sohn::N,poeg,ул
245,Tochter::N,tütar,кыз
246,Bruder::N,vend,кардәш
247,Schwester::N,õde,апа
248,Schwester::N,õde,сеңел
249,Onkel::N,onu,дәдә
250,Onkel::N,onu,дәдәй
251,Tante::N,tädi,түти
252,Tante::N,tädi,тәтәй
253,Ehemann::N,mees,ир
254,Ehemann::N,abikaasa,ир
255,Ehefrau::N,naine,хатын
256,Ehefrau::N,abikaasa,хатын
257,Freude::N,rõõm,сөенеч
258,Gelächter::N,naer,көлү
259,Gelächter::N,naer,көлеш
260,Glück::N,õnn,бәхет
261,Kummer::N,mure,хәсрәт
262,Kummer::N,kurbus,хәсрәт
263,Wunsch::N,soov,теләк
264,Lust::N,himu,теләк
265,Lust::N,himu,теләү
266,Geist::N,vaim,рух
267,Gedanke::N,mõte,уй
268,Gedanke::N,mõte,фикер
269,Gedächtnis::N,mälu,хәтер
270,Verstand::N,aru,акыл
271,Verstand::N,mõistus,акыл
272,Sinn::N,tähendus,мәгънә
273,Grund::N,põhjus,сәбәп
274,Wahrheit::N,tõde,хак
275,Gespräch::N,kõne,әңгәмә
276,Gespräch::N,vestlus,әңгәмә
277,Märchen::N,muinasjutt,әкият
278,Erzählung::N,jutustus,хикәя
279,Nachricht::N,teade,хәбәр
280,Neuigkeit::N,uudis,яңалык
281,Name::N,nimi,исем
282,Rätsel::N,mõistatus,табышмак
283,Rede::N,kõne,нотык
284,Sprache::N,keel,тел
285,Stimme::N,hääl,тавыш
286,Wort::N,sõna,сүз
287,Zeichen::N,märk,ишарә
288,Ruf::N,hüüe,дәшү
289,Lärm::N,müra,шау
290,Laut::N,hääl,аваз
291,Ton::N,toon,шалтырату
292,Lied::N,laul,җыр
293,Ruhe::N,rahu,тынлык
294,Ruhe::N,vaikus,тынлык
295,Leute::N,inimesed,халык
296,Volk::N,rahvas,халык
297,Arbeit::N,töö,эш
298,Arbeit::N,töö,хезмәт
299,Gast::N,külaline,кунак
300,Geschenk::N,kingitus,бүләк
301,Spiel::N,mäng,уен
302,Gesellschaft::N,selts,җәмгыять
303,Hilfe::N,abi,ярдәм
304,Hilfe::N,abi,булышлык
305,Freund::N,sõber,дус
306,Kamerad::N,sõber,иптәш
307,Angelegenheit::N,asi,эш
308,Anzahl::N,arv,микъдар
309,Anzahl::N,hulk,микъдар
310,Art::N,liik,төр
311,Stück::N,tükk,кисәк
312,Teil::N,osa,өлеш
313,Hälfte::N,pool,ярым
314,Kreis::N,ring,түгәрәк
315,Kreuz::N,rist,хач
316,Kreuz::N,rist,тәре
317,Linie::N,joon,сызык
318,Strich::N,joon,сызык
319,Abstand::N,vahe,ара
320,Entfernung::N,kaugus,ераклык
321,Entfernung::N,vahemaa,ераклык
322,Gegend::N,ümbrus,урын
323,Platz::N,ruum,бушлык
324,Ort::N,paik,урын
325,Seite::N,pool,як
326,Mitte::N,keskpaik,урта
327,Gegenstand::N,ese,нәрсә
328,Sache::N,ese,нәрсә
329,Rand::N,äär,чит
330,Rand::N,serv,чит
331,Kante::N,kant,кырый
332,Ecke::N,nurk,почмак
333,Spitze::N,teravik,оч
334,Ende::N,ots,азак
335,Ende::N,jupp,азак
336,Loch::N,auk,тишек
337,Winkel::N,nurk,почмак
338,Muster::N,muster,парча
339,Größe::N,suurus,зурлык
340,Länge::N,pikkus,озынлык
341,Höhe::N,kõrgus,биеклек
342,Gewicht::N,kaal,авырлык
343,Gewicht::N,raskus,авырлык
344,Menge::N,arv,микъдар
345,Menge::N,hulk,микъдар
346,Haufen::N,hunnik,өем
347,Reihe::N,rivi,рәт
348,Boot::N,paat,каек
349,Boot::N,paat,көймә
350,Ruder::N,aer,ишкәк
351,Schlitten::N,saan,чана
352,Ski::N,suusk,чаңгы
353,Lagerfeuer::N,lõke,костёр
354,Last::N,koorem,йөк
355,Gang::N,käik,йөреш
356,Schritt::N,samm,адым
357,Norden::N,põhi,төньяк
358,Süden::N,lõuna,көньяк
359,Westen::N,lääs,көнбатыш
360,Osten::N,ida,шәрык
361,Osten::N,ida,көнчыгыш
362,Holz::N,puu,агач
363,Brett::N,saelaud,такта
364,Platte::N,plaat,плитә
365,Stütze::N,tugi,таяу
366,Stange::N,latt,колга
367,Stange::N,teivas,колга
368,Stock::N,kepp,таяк
369,Stab::N,varras,таяк
370,Rohr::N,toru,торба
371,Haus::N,maja,өй
372,Haus::N,maja,йорт
373,Heim::N,kodu,гаилә
374,Heim::N,kodu,нәсел
375,Ofen::N,ahi,мич
376,Fußboden::N,põrand,идән
377,Tisch::N,laud,өстәл
378,Stuhl::N,tool,утыргыч
379,Wiege::N,häll,бишек
380,Wiege::N,kätki,бишек
381,Bett::N,voodi,ятак
382,Bett::N,voodi,урын-җир
383,Regal::N,riiul,киштә
384,Regal::N,riiul,шүрлек
385,Kiste::N,kast,әрҗә
386,Fenster::N,aken,тәрәзә
387,Tür::N,uks,ишек
388,Tor::N,värav,капка
389,Zaun::N,aed,койма
390,Zaun::N,tara,койма
391,Dach::N,katus,түбә
392,Leiter::N,redel,баскыч
393,Besen::N,luud,себерке
394,Spaten::N,labidas,көрәк
395,Schaufel::N,kühvel,көрәк
396,Gabel::N,kahvel,чәннечке
397,Löffel::N,lusikas,кашык
398,Messer::N,nuga,пычак
399,Nagel::N,nael,кадак
400,Netz::N,võrk,челтәр
401,Haken::N,haak,ыргак
402,Haken::N,konks,ыргак
403,Griff::N,sang,тотка
404,Griff::N,käepide,тотка
405,Schloss::N,lukk,йозак
406,Bild::N,pilt,рәсем
407,Bild::N,pilt,картина
408,Figur::N,kuju,сын
409,Figur::N,kuju,фигура
410,Figur::N,kujund,сын
411,Figur::N,kujund,фигура
412,Puppe::N,nukk,курчак
413,Beutel::N,paun,луза
414,Bündel::N,kimp,бәйләм
415,Tasche::N,kott,букча
416,Eimer::N,pang,чиләк
417,Eimer::N,ämber,чиләк
418,Deckel::N,kaas,капкач
419,Geschirr::N,nõud,савыт-саба
420,Geschirr::N,nõud,кашык-аяк
421,Sack::N,kott,капчык
422,Tasse::N,tass,чынаяк
423,Topf::N,pada,чүлмәк
424,Kessel::N,pada,казан
425,Essen::N,söök,ашау
