,Concept_ID,ml,pl
0,Auge::N,കണ്ണ്,oko
1,Ohr::N,ചെവി,ucho
2,Nase::N,മൂക്ക്,nos
3,Mund::N,വായ,usta
4,Zahn::N,പല്ല്,ząb
5,Zunge::N,നാക്ക്,język
6,Lippe::N,ചുണ്ട്,warga
7,Wange::N,കവിൾത്തടം,policzek
8,Gesicht::N,മുഖം,twarz
9,Stirn::N,നെറ്റി,czoło
10,Haar::N,തലമുടി,włos
11,Haar::N,തലമുടി,włosy
12,Schnurrbart::N,മീശ,wąsy
13,Bart::N,താടിരോമം,broda
14,Kinn::N,താടി,podbródek
15,Kiefer[Anatomie]::N,താടിയെല്ല്,czeluść
16,Kehle::N,കണ്ഠനാളം,gardło
17,Hals::N,കഴുത്ത്,szyja
18,Genick::N,പിടലി,kark
19,Kopf::N,തല,głowa
20,Rücken::N,മുതുക്,plecy
21,Rücken::N,മുതുക്,grzbiet
22,Bauch::N,നയറ്,brzuch
23,Nabel::N,നാഭി,pępek
24,Busen::N,സ്തനം,biust
25,Brust::N,സ്തനം,pierś
26,Schulter::N,തോൾ,bark
27,Schulter::N,തോൾ,ramię
28,Arm::N,കൈ,ręka
29,Arm::N,കൈ,ramię
30,Ellenbogen::N,കൈമുട്ട്,łokieć
31,Hand::N,കൈ,dłoń
32,Handfläche::N,ഉള്ളം കൈ,dłoń
33,Finger::N,വിരൽ,palec
34,Fingernagel::N,നഖം,paznokieć
35,Nagel[Anatomie]::N,നഖം,paznokieć
36,Zeh::N,കാൽവിരൽ,palec
37,Fuß::N,കാൽപ്പാദം,stopa
38,Ferse::N,ഉപ്പൂറ്റി,pięta
39,Knie::N,കാൽമുട്ട്,kolano
40,Oberschenkel::N,തുട,udo
41,Bein::N,കാൽ,noga
42,Körper::N,ശരീരം,ciało
43,Haut::N,ചർമ്മം,skóra
44,Blut::N,രക്തം,krew
45,Ader::N,ഞരമ്പ്,żyła
46,Sehne::N,സ്നായു,ścięgno
47,Knochen::N,അസ്ഥി,kość
48,Gehirn::N,തലച്ചോറ്,mózg
49,Herz::N,ഹൃദയം,serce
50,Magen::N,വയർ,żołądek
51,Leber::N,കരൾ,wątroba
52,Atem::N,ശ്വാസം,dech
53,Atem::N,ശ്വാസം,oddech
54,Hunger::N,വിശപ്പ്,głód
55,Träne::N,കണ്ണീർ,łza
56,Geschmack::N,രുചി,smak
57,Geruch::N,ഗന്ധം,woń
58,Geruch::N,ഗന്ധം,zapach
59,Schlaf::N,ഉറകും,sen
60,Traum::N,സ്വപ്നം,sen
61,Himmel::N,ആകാശം,niebo
62,Sonne::N,സൂര്യൻ,słońce
63,Mond::N,ചന്ദ്രൻ,księżyc
64,Stern::N,നക്ഷത്രം,gwiazda
65,Luft::N,കാറ്റ്,powietrze
66,Wind::N,കാറ്റ്,wiatr
67,Welle::N,തിരമാല,fala
68,Wasser::N,വെള്ളം,woda
69,Stein::N,ശില,kamień
70,Stein::N,കല്ല്,kamień
71,Boden::N,തറ,grunt
72,Boden::N,നിലം,grunt
73,Erde::N,മണ്ണ്,ziemia
74,Staub::N,പൊടി,pył
75,Staub::N,പൊടി,kurz
76,Rauch::N,പുക,dym
77,Funke::N,തീപ്പൊരി,iskra
78,Feuer::N,തീ,ogień
79,Licht::N,വിളക്ക്,światło
80,Licht::N,സൂര്യപ്രകാശം,światło
81,Schatten::N,തണൽ,cień
82,Wetter::N,കാലാവസ്ഥ,pogoda
83,Nebel::N,മൂടൽമഞ്ഞ്,mgła
84,Wolke::N,മേഘം,obłok
85,Wolke::N,മേഘം,chmura
86,Regen::N,മഴ,deszcz
87,Schnee::N,മഞ്ഞ്,śnieg
88,Eis::N,ഐസ്,lód
89,Frost::N,മൂടൽമഞ്ഞ്,mróz
90,Kälte::N,തണുപ്പ്,chłód
91,Hitze::N,ചൂട്,gorąco
92,Raureif::N,കോടമഞ്ഞ്,szron
93,Regenbogen::N,മഴവില്ല്,tęcza
94,Donner::N,ഇടി,grzmot
95,Strömung::N,പ്രവാഹം,nurt
96,Tropfen::N,തുള്ളി,kropla
97,Schaum::N,നുര,piana
98,Schmutz::N,അഴുക്ക്,brud
99,See::N,തടാകം,jezioro
100,Sumpf::N,ചതുപ്പുനിലം,bagno
101,Moor::N,പാഴ്നിലം,bagno
102,Wiese::N,പുൽത്തകിടി,łąka
103,Wald::N,വനം,las
