,Concept_ID,de,hr
0,Auge::N,Auge,oko
1,Ohr::N,Ohr,uho
2,Nase::N,Nase,nos
3,Mund::N,Mund,usta
4,Zahn::N,Zahn,zub
5,Zunge::N,Zunge,jezik
6,Lippe::N,Lippe,usna
7,Wange::N,Wange,obraz
8,Gesicht::N,Gesicht,lice
9,Stirn::N,Stirn,čelo
10,Haar::N,Haar,kosa
11,Schnurrbart::N,Schnurrbart,brkovi
12,Bart::N,Bart,brada
13,Kinn::N,Kinn,brada
14,Kinn::N,Kinn,podbradak
15,Kiefer[Anatomie]::N,Kiefer,čeljust
16,Kehle::N,Kehle,grlo
17,Hals::N,Hals,vrat
18,Genick::N,Genick,zatiljak
19,Kopf::N,Kopf,glava
20,Rücken::N,Rücken,leđa
21,Rücken::N,Rücken,hrbat
22,Bauch::N,Bauch,trbuh
23,Nabel::N,Nabel,pupak
24,Busen::N,Busen,sisa
25,Busen::N,Busen,njedra
26,Brust::N,Brust,prsa
27,Schulter::N,Schulter,rame
28,Schulter::N,Schulter,pleći
29,Arm::N,Arm,ruka
30,Ellenbogen::N,Ellenbogen,lakat
31,Hand::N,Hand,ruka
32,Handfläche::N,Handfläche,dlan
33,Finger::N,Finger,prst
34,Fingernagel::N,Fingernagel,nokat
35,Nagel[Anatomie]::N,Nagel,nokat
36,Zeh::N,Zeh,nozni prst
37,Fuß::N,Fuß,noga
38,Fuß::N,Fuß,stopalo
39,Ferse::N,Ferse,peta
40,Knie::N,Knie,koljeno
41,Oberschenkel::N,Oberschenkel,bedro
42,Bein::N,Bein,noga
43,Körper::N,Körper,tijelo
44,Haut::N,Haut,put
45,Haut::N,Haut,koža
46,Blut::N,Blut,krv
47,Ader::N,Ader,žila
48,Sehne::N,Sehne,tetiva
49,Knochen::N,Knochen,kost
50,Gehirn::N,Gehirn,
51,Herz::N,Herz,srce
52,Magen::N,Magen,stomak
53,Magen::N,Magen,želudac
54,Leber::N,Leber,jetra
55,Atem::N,Atem,dah
56,Hunger::N,Hunger,glad
57,Träne::N,Träne,suza
58,Geschmack::N,Geschmack,ukus
59,Geruch::N,Geruch,njuh
60,Geruch::N,Geruch,miris
61,Schlaf::N,Schlaf,san
62,Traum::N,Traum,san
63,Himmel::N,Himmel,nebo
64,Sonne::N,Sonne,sunce
65,Mond::N,Mond,mjesec
66,Stern::N,Stern,zvijezda
67,Luft::N,Luft,zrak
68,Wind::N,Wind,vjetar
69,Welle::N,Welle,val
70,Welle::N,Welle,talas
71,Wasser::N,Wasser,voda
72,Stein::N,Stein,kamen
73,Boden::N,Boden,tlo
74,Boden::N,Boden,zemlja
75,Erde::N,Erde,zemlja
76,Staub::N,Staub,prah
77,Staub::N,Staub,prašina
78,Rauch::N,Rauch,dim
79,Funke::N,Funke,iskra
80,Funke::N,Funke,varnica
81,Feuer::N,Feuer,vatra
