,Concept_ID,lbe,sq
0,Auge::N,я,sy
1,Ohr::N,вичӏи,vesh
2,Nase::N,май,hundë
3,Mund::N,кьацӏ,gojë
4,Zahn::N,ккарччи,dhëmb
5,Zunge::N,маз,gjuhë
6,Lippe::N,мурччи,buzë
7,Wange::N,чӏав,faqe
8,Wange::N,чӏав,mollëz
9,Gesicht::N,лажин,fytyrë
10,Stirn::N,ненттабакӏ,ballë
11,Haar::N,чӏара,flokë
12,Schnurrbart::N,ссирссилтту,mustaqe
13,Bart::N,чӏири,mjekër
14,Kinn::N,лунттубакӏ,mjekër
15,Kiefer[Anatomie]::N,ххинчулул,nofull
16,Kehle::N,кьакьари,fyt
17,Kehle::N,кьакьари,grykë
18,Hals::N,ссурссу,qafë
19,Genick::N,махъабакӏ,arrëz
20,Kopf::N,бакӏ,kokë
21,Rücken::N,ттиликӏ,kurriz
22,Bauch::N,лякьа,bark
23,Nabel::N,цӏумуккутӏ,kërthizë
24,Busen::N,ккукку,gji
25,Brust::N,хъазам,gjoks
26,Brust::N,хъазам,kraharor
27,Schulter::N,хъачӏ,sup
28,Schulter::N,хъачӏ,krah
29,Arm::N,ка,krah
30,Ellenbogen::N,ссюрхъ,bërryl
31,Hand::N,бартка,dorë
32,Handfläche::N,хъат,pëllëmbë
33,Handfläche::N,битӏянхъ,pëllëmbë
34,Finger::N,кӏисса,gisht
35,Fingernagel::N,михь,thua
36,Nagel[Anatomie]::N,михь,thua
37,Zeh::N,кӏисса,gisht i këmbës
38,Fuß::N,чӏанччан,këmbë
39,Ferse::N,никъа,thembër
40,Knie::N,ник,gju
41,Oberschenkel::N,жира,kofshë
42,Bein::N,ччан,këmbë
43,Körper::N,чурх,trup
44,Haut::N,бурчу,lëkurë
45,Blut::N,оь,gjak
46,Ader::N,тунну,venë
47,Sehne::N,хьхьа,dell
48,Knochen::N,ттаркӏ,asht
49,Knochen::N,ттаркӏ,kockë
50,Gehirn::N,ня,tru
51,Herz::N,дакӏ,zemër
52,Herz::N,къюкӏ,zemër
53,Magen::N,лякьа,stomak
54,Atem::N,ссихӏ ласаву,frymë
55,Atem::N,ссихӏ бигьаву,frymë
56,Hunger::N,ккаши,uri
57,Träne::N,макь,lot
58,Geschmack::N,тӏин,shije
59,Geschmack::N,тӏааьн,shije
60,Geruch::N,кьанкь,erë
61,Schlaf::N,шану,gjumë
62,Traum::N,макӏру,ëndërr
63,Himmel::N,ссав,qiell
64,Sonne::N,баргъ,diell
65,Mond::N,барз,hënë
66,Stern::N,цӏуку,yll
67,Luft::N,гьава,ajër
68,Wind::N,марч,erë
69,Welle::N,щатӏи,valë
70,Welle::N,щатӏи,dallgë
71,Wasser::N,щин,ujë
72,Stein::N,чару,gur
73,Boden::N,аьрщи,tokë
74,Boden::N,аьрщи,truall
75,Erde::N,аьрщи,dhe
76,Erde::N,аьрщи,baltë
77,Staub::N,ххит,pluhur
78,Rauch::N,пуркӏу,tym
79,Funke::N,пиягь,xixë
80,Funke::N,пиягь,shkëndijë
81,Feuer::N,цӏу,zjarr
82,Licht::N,чани,dritë
83,Schatten::N,ххют,hije
84,Wetter::N,гьава,mot
85,Nebel::N,шархь ттурлу,mjegull
86,Wolke::N,ттурлу,re
87,Regen::N,гъарал,shi
88,Schnee::N,марххала,borë
89,Eis::N,микӏ,akull
90,Frost::N,дяркъу,ngricë
91,Frost::N,замгьар,ngricë
92,Kälte::N,дяркъу,të ftohtë
93,Hitze::N,кӏиришиву,vapë
94,Hitze::N,кӏиришиву,nxehtësi
95,Raureif::N,сил,cikmë
96,Raureif::N,бурса,cikmë
97,Regenbogen::N,ссурул ккуртта,ylber
98,Donner::N,къув,gjëmim
99,Donner::N,къув,bubullimë
100,Strömung::N,экьинанаву,rrymë
101,Tropfen::N,кӏунтӏ,pikë
102,Schaum::N,хьама,shkumë
103,Schmutz::N,кьяркьи,baltë
104,See::N,бяр,liqen
105,Sumpf::N,кунцӏа,batak
106,Wiese::N,кьан,livadh
107,Wald::N,вацӏа,pyll
108,Hügel::N,бакӏу,kodër
109,Berg::N,зунтту,mal
110,Gipfel::N,мицӏ,kulm
111,Höhle::N,нух,shpellë
112,Höhle::N,нух,zgafelle
113,Abhang::N,сун,shpat
114,Abhang::N,сун,tatëpjetë
115,Quelle::N,дайдихьу,krua
116,Quelle::N,дайдихьу,burim
117,Quelle::N,бакӏ,krua
118,Quelle::N,бакӏ,burim
119,Bach::N,чӏрир нех,virua
120,Fluss::N,нех,lumë
121,Ufer::N,зума,breg
122,Küste::N,зумаинхалу,anëdet
123,Küste::N,зумаинхалу,bregdet
124,Küste::N,зуманицӏалу,anëdet
125,Küste::N,зуманицӏалу,bregdet
126,Festland::N,кьири,kontinent
127,Meer::N,хьхьири,det
128,Insel::N,жазира,ishull
129,Insel::N,жазира,ujdhesë
130,Blume::N,тӏутӏи,lule
131,Gras::N,уртту,bar
132,Wurzel::N,мархха,rrënjë
133,Baum::N,мурхь,pemë
134,Stamm::N,ттарцӏ,trung
135,Rinde::N,ккамара,lëvore
136,Ast::N,матӏи,degë
137,Zweig::N,къяртта,bisk
138,Blatt::N,чӏапӏи,fletë
139,Blatt::N,чӏапӏи,gjethe
140,Birke::N,кӏялахӏи,mështekën
141,Birke::N,кӏялахӏилул мурхь,mështekën
142,Kiefer[Baum]::N,ттар,pishë
143,Kiefer[Baum]::N,ттарлил мурхь,pishë
144,Weide[Baum]::N,щавщи,shelg
145,Tanne::N,ттарлил мурхь,bredh
146,Horn::N,хъи,bri
147,Feder::N,лелуххул тӏиму,pupël
148,Fell::N,бурчу,lëkurë
149,Flügel::N,хъа,krah
150,Flügel::N,хъа,fletë
151,Flügel::N,ххурупӏайрал тӏиму,krah
152,Flügel::N,ххурупӏайрал тӏиму,fletë
153,Klaue::N,михь,kthetër
154,Kralle::N,ххяппа,thua
155,Kralle::N,ххяппа,kthetër
156,Schwanz::N,магъ,bisht
157,Ei::N,ккунук,vezë
158,Nest::N,кюру,fole
159,Bau::N,цукъуккутӏ,strofkë
160,Tier::N,хӏайван,kafshë
161,Herde::N,газу,kope
162,Herde::N,газу,grigjë
163,Kuh::N,оьл,lopë
164,Bulle::N,ниц,dem
165,Pferd::N,чу,kalë
166,Schaf::N,тта,dele
167,Schwein::N,дунгъуз,derr
168,Hund::N,ккаччи,qen
169,Katze::N,ччиту,mace
170,Bär::N,цуша,ari
171,Eichhörnchen::N,бюрхттукку,ketër
172,Elch::N,ниц-бюрин,dre brilopatë
173,Fuchs::N,цулчӏа,dhelpër
174,Fuchs::N,куча цулчӏа,dhelpër
175,Hase::N,бюрх,lepur
176,Maus::N,кӏулу,mi
177,Wolf::N,барцӏ,ujk
178,Vogel::N,лелуххи,zog
179,Vogel::N,лелуххи,shpend
180,Schwarm::N,гьухъала,luzmë
181,Huhn::N,аьнакӏи,pulë
182,Hahn::N,ажари,gjel
183,Hahn::N,ажари,këndes
184,Gans::N,къаз,patë
185,Adler::N,барзу,shqiponjë
186,Ente::N,урдак,rosë
187,Eule::N,ису,buf
188,Eule::N,ччиккумяв,buf
189,Kranich::N,кьурукь,lejlek
190,Kranich::N,кьурукь,kurrillë
191,Krähe::N,хъатӏу,sorrë
192,Kuckuck::N,ччикку,qyqe
193,Schwan::N,урттил къаз,mjellmë
194,Fisch::N,чавахъ,peshk
195,Schlange[Tier]::N,шатта,gjarpër
196,Wurm::N,кьюнукьай шатта,krimb
