,Concept_ID,nl,ce
0,Auge::N,oog,бӏаьрг
1,Ohr::N,oor,лерг
2,Nase::N,neus,мара
3,Mund::N,mond,бага
4,Zahn::N,tand,церг
5,Zunge::N,tong,мотт
6,Lippe::N,lip,балда
7,Wange::N,wang,бесни
8,Gesicht::N,gelaat,юьхь
9,Gesicht::N,gezicht,юьхь
10,Stirn::N,voorhoofd,хьаж
11,Haar::N,haar,мас
12,Schnurrbart::N,snor,мекх
13,Bart::N,baard,маж
14,Kinn::N,kin,чӏениг
15,Kiefer[Anatomie]::N,kaak,мочхал
16,Kehle::N,keel,къамкъарг
17,Kehle::N,strot,къамкъарг
18,Hals::N,hals,ворта
19,Genick::N,nek,кӏесаркӏаг
20,Kopf::N,hoofd,корта
21,Rücken::N,rug,букъ
22,Bauch::N,buik,кийра
23,Nabel::N,navel,цӏонга
24,Busen::N,boezem,зударийн накха
25,Brust::N,borst,накха
26,Schulter::N,schouder,белш
27,Arm::N,arm,пхьарс
28,Ellenbogen::N,elleboog,пхьаьрсан гола
29,Hand::N,hand,куьг
30,Handfläche::N,handpalm,кераюкъ
31,Finger::N,vinger,пӏелг
32,Fingernagel::N,nagel,мӏара
33,Nagel[Anatomie]::N,nagel,мӏара
34,Zeh::N,teen,кога пӏелг
35,Fuß::N,voet,ког
36,Ferse::N,hak,кӏажа
37,Ferse::N,hiel,кӏажа
38,Knie::N,knie,гола
39,Oberschenkel::N,dij,варе
40,Bein::N,been,ког
41,Körper::N,lichaam,хӏума
42,Haut::N,huid,чкъор
43,Blut::N,bloed,цӏий
44,Ader::N,ader,пха
45,Sehne::N,pees,хьорзам
46,Knochen::N,bot,даьӏахк
47,Knochen::N,been,даьӏахк
48,Knochen::N,knook,даьӏахк
49,Gehirn::N,hersenen,хье
50,Herz::N,hart,дог
51,Magen::N,maag,зорх
52,Leber::N,lever,доӏах
53,Atem::N,adem,садеӏар
54,Hunger::N,honger,мацалла
55,Träne::N,traan,бӏаьрхи
56,Geschmack::N,smaak,чам
57,Geruch::N,geur,хьожа
58,Schlaf::N,slaap,наб
59,Traum::N,droom,гӏан
60,Himmel::N,hemel,стигал
61,Sonne::N,zon,малх
62,Mond::N,maan,бутт
63,Stern::N,ster,седа
64,Luft::N,lucht,xӏаваъ
65,Wind::N,wind,мох
66,Welle::N,golf,тулгӏе
67,Wasser::N,water,хи
68,Stein::N,steen,тӏулг
69,Boden::N,grond,цӏенкъа
70,Erde::N,aarde,латта
71,Staub::N,stof,чан
72,Rauch::N,rook,кӏур
73,Funke::N,vonk,суй
74,Feuer::N,vuur,цӏе
75,Licht::N,licht,серло
76,Schatten::N,schaduw,ӏиндагӏ
77,Wetter::N,weer,хенан хӏоттам
78,Nebel::N,mist,дохк
79,Nebel::N,nevel,дохк
80,Wolke::N,wolk,марха
81,Regen::N,regen,догӏа
82,Schnee::N,sneeuw,ло
83,Eis::N,ijs,ша
84,Frost::N,vorst,шело
85,Kälte::N,kou,шело
86,Kälte::N,koude,шело
87,Hitze::N,hitte,йовхо
88,Raureif::N,rijp,йис
89,Regenbogen::N,regenboog,стелаӏад
90,Donner::N,donder,ткъес
91,Strömung::N,stroming,дӏаэхар
92,Strömung::N,stroming,дӏасалелар
93,Tropfen::N,druppel,тӏадам
94,Schaum::N,schuim,чопа
95,Schmutz::N,vuil,хатт
96,See::N,meer,ӏам
97,Sumpf::N,moeras,уьшал
98,Moor::N,veen,уьшал
99,Wiese::N,wei,бай
100,Wiese::N,weide,бай
101,Wald::N,bos,хьун
102,Hügel::N,heuvel,гу
103,Hügel::N,heuvel,шу
104,Hügel::N,heuvel,барз
105,Anhöhe::N,hoogte,акъари
106,Berg::N,berg,лам
107,Gipfel::N,top,бохь
108,Höhle::N,hol,хьех
109,Abhang::N,helling,басе
110,Quelle::N,bron,шовда
111,Bach::N,beek,татол
112,Fluss::N,stroom,хи
113,Ufer::N,wal,хийист
114,Ufer::N,oever,хийист
115,Küste::N,kust,йист
116,Festland::N,vasteland,латта
117,Meer::N,zee,xӏорд
118,Bucht::N,baai,чож
119,Bucht::N,inham,чож
120,Insel::N,eiland,гӏайре
121,Blume::N,bloem,зезаг
122,Gras::N,gras,буц
123,Wurzel::N,wortel,орам
124,Baum::N,boom,дитт
125,Stamm::N,stam,гӏад
126,Stamm::N,stam,тайпа
127,Rinde::N,schors,кевстиг
128,Ast::N,tak,га
129,Zweig::N,twijg,га
130,Blatt::N,blad,гӏа
131,Birke::N,berk,дакх
132,Kiefer[Baum]::N,den,бага
133,Weide[Baum]::N,wilg,дак
134,Tanne::N,spar,база
135,Horn::N,hoorn,маӏа
136,Feder::N,veer,пелаг
137,Feder::N,pluim,пелаг
138,Fell::N,vel,цӏока
139,Flügel::N,vleugel,тӏам
140,Klaue::N,klauw,мӏара
141,Kralle::N,klauw,тlод
142,Schwanz::N,staart,цӏога
143,Ei::N,ei,xӏoa
144,Nest::N,nest,бен
145,Bau::N,hol,lуьрг
146,Tier::N,dier,дийнат
147,Herde::N,kudde,жа
148,Kuh::N,koe,етт
149,Bulle::N,stier,сту
150,Pferd::N,paard,говр
151,Schaf::N,schaap,жий
152,Schaf::N,schaap,уьстагӏ
153,Schwein::N,varken,хьакха
154,Hund::N,hond,жӏаьла
155,Katze::N,kat,цициг
156,Bär::N,beer,ча
157,Eichhörnchen::N,eekhoorntje,тарсал
158,Elch::N,eland,сай
159,Fuchs::N,vos,цхьогал
160,Hase::N,haas,пхьагал
161,Maus::N,muis,дахка
162,Wolf::N,wolf,борз
163,Vogel::N,vogel,олхазар
164,Schwarm::N,zwerm,
165,Huhn::N,kip,котам
166,Huhn::N,hoen,котам
167,Hahn::N,haan,нӏаьна
168,Hahn::N,haan,боргӏал
169,Gans::N,gans,гӏаз
170,Adler::N,arend,aьрзу
171,Ente::N,eend,бад
172,Eule::N,uil,бухӏа
173,Kranich::N,kraanvogel,гӏаргӏули
174,Krähe::N,kraai,къиг
175,Kuckuck::N,koekoek,aттйокх
176,Schwan::N,zwaan,гӏургӏаз
177,Fisch::N,vis,чӏара
178,Barsch::N,baars,окунь
179,Hecht::N,snoek,гӏазкхийн чӏара
180,Schlange[Tier]::N,slang,лаьхьа
181,Wurm::N,worm,нӏаьна
182,Spinne::N,spin,гезг
183,Ameise::N,mier,зингат
184,Laus::N,luis,меза
185,Laus::N,luis,гӏениг
186,Mücke::N,mug,чуьрк
187,Fliege::N,vlieg,моза
188,Schmetterling::N,vlinder,полла
189,Beere::N,bes,цӏазам
190,Apfel::N,appel,ӏаж
191,Pilz::N,paddestoel,жӏаьлин нускал
192,Zwiebel::N,ui,xох
193,Saat::N,zaad,чlу
194,Korn::N,graan,буьртиг
195,Korn::N,korrel,буьртиг
196,Heu::N,hooi,йол
197,Schale::N,schil,пардо
198,Grube::N,kuil,ор
199,Falle::N,val,кӏело
200,Schlinge::N,strop,
201,Spur::N,spoor,лар
202,Asche::N,as,чим
203,Dreck::N,drek,мода
204,Eisen::N,ijzer,эчиг
205,Gold::N,goud,деши
206,Silber::N,zilver,дети
207,Kohle::N,kool,кӏора
208,Glas::N,glas,aнгали
209,Lehm::N,klei,поппар
210,Sand::N,zand,гӏум
211,Mensch::N,mens,адам
212,Mann::N,man,майра
213,Frau::N,vrouw,зуда
214,Kind::N,kind,бер
215,Junge::N,jongen,жимха
216,Mädchen::N,meisje,жима йоӏ
217,Familie::N,gezin,доьзал
218,Familie::N,familie,доьзал
219,Großvater::N,grootvader,ненада
220,Großmutter::N,grootmoeder,денана
221,Eltern::N,ouders,да-нана
222,Vater::N,vader,да
223,Mutter::N,moeder,нана
224,Sohn::N,zoon,кӏант
225,Tochter::N,dochter,йоӏ
226,Bruder::N,broer,ваша
227,Bruder::N,broeder,ваша
228,Schwester::N,zus,йиша
229,Schwester::N,zuster,йиша
230,Onkel::N,oom,деваша
231,Tante::N,tante,дейиша
232,Ehemann::N,echtgenoot,майра
233,Ehefrau::N,echtgenote,зуда
234,Freude::N,vreugde,самукъа
235,Freude::N,vreugde,хазахетар
236,Gelächter::N,gelach,белам
237,Glück::N,geluk,ирс
238,Kummer::N,verdriet,бала
239,Wunsch::N,wens,лаам
240,Wunsch::N,verlangen,лаам
241,Lust::N,zin,лаам
242,Lust::N,lust,лаам
243,Geist::N,geest,са
244,Gedanke::N,gedachte,ойла
245,Gedächtnis::N,geheugen,диццадалар
246,Verstand::N,verstand,хьекъал
247,Sinn::N,betekenis,маьӏна
248,Grund::N,reden,бахьана
249,Wahrheit::N,waarheid,бакъдерг
250,Gespräch::N,gesprek,къамел
251,Märchen::N,sprookje,туьйра
252,Erzählung::N,verhaal,дийцар
253,Nachricht::N,tijding,хаам
254,Neuigkeit::N,nieuws,керланиг
255,Neuigkeit::N,nieuwtje,керланиг
256,Name::N,naam,цӏе
257,Rätsel::N,raadsel,хӏетал-метал
258,Rede::N,rede,къамел
259,Sprache::N,taal,мотт
260,Stimme::N,stem,aз
261,Wort::N,woord,дош
262,Zeichen::N,teken,билгало
263,Ruf::N,roep,кхайкхар
264,Lärm::N,lawaai,гӏовгӏа
265,Laut::N,klank,аз
266,Laut::N,geluid,аз
267,Ton::N,toon,aз
268,Ton::N,klank,aз
269,Lied::N,lied,илли
270,Ruhe::N,rust,тийналла
271,Ruhe::N,stilte,тийналла
272,Leute::N,lui,нах
273,Leute::N,mensen,нах
274,Volk::N,volk,халкъ
275,Arbeit::N,werk,болх
276,Arbeit::N,arbeid,болх
277,Gast::N,gast,хьаша
278,Geschenk::N,cadeau,совгӏат
279,Geschenk::N,geschenk,совгӏат
280,Spiel::N,spel,ловзар
281,Gesellschaft::N,gezelschap,юкъаралла
282,Hilfe::N,hulp,гӏо
283,Freund::N,vriend,доттагl
284,Kamerad::N,maat,накъост
285,Kamerad::N,metgezel,накъост
286,Angelegenheit::N,zaak,гӏуллакх
287,Angelegenheit::N,aangelegenheid,гӏуллакх
288,Anzahl::N,tal,терахь
289,Anzahl::N,aantal,терахь
290,Art::N,slag,
291,Art::N,soort,
292,Stück::N,stuk,юьхк
293,Teil::N,deel,дакъа
294,Hälfte::N,helft,ах
295,Kreis::N,kring,го
296,Kreis::N,cirkel,го
297,Kreuz::N,kruis,жӏара
298,Linie::N,lijn,сиз
299,Strich::N,haal,сиз
300,Strich::N,streep,сиз
301,Abstand::N,afstand,юкъ
302,Entfernung::N,afstand,
303,Gegend::N,streek,мeттиг
304,Platz::N,ruimte,майда
305,Ort::N,oord,меттиг
306,Ort::N,plaats,меттиг
307,Seite::N,zij,aгӏo
308,Seite::N,kant,aгӏo
309,Seite::N,zijde,aгӏo
310,Mitte::N,midden,юкъ
311,Gegenstand::N,voorwerp,хӏума
312,Sache::N,zaak,хӏума
313,Rand::N,rand,йист
