,Concept_ID,mhr,uk
0,Auge::N,шинча́,око
1,Ohr::N,пы́лыш,вухо
2,Nase::N,нер,ніс
3,Mund::N,умша́,рот
4,Zahn::N,пӱй,зуб
5,Zunge::N,йы́лме,язик
6,Lippe::N,тӱ́рвӧ,губа
7,Wange::N,шӱ́ргӧ,щока
8,Gesicht::N,чури́й,обличчя
9,Stirn::N,саҥга́,лоб
10,Haar::N,ӱп,волосся
11,Schnurrbart::N,ӧ́рыш,вуса
12,Bart::N,понда́ш,борода
13,Kinn::N,оҥыла́ш,підборіддя
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,щелепа
15,Kiefer[Anatomie]::N,пӱйората́,щелепа
16,Kehle::N,лога́р,горло
17,Hals::N,шӱй,шия
18,Genick::N,шӱйло́дыш,потилиця
19,Kopf::N,вуй,голова
20,Rücken::N,туп,спина
21,Bauch::N,мӱ́шкыр,живіт
22,Nabel::N,кы́лымде,пупок
23,Busen::N,чы́зе,груди
24,Brust::N,оҥ,груди
25,Schulter::N,ва́че,плече
26,Arm::N,кид,рука
27,Ellenbogen::N,кынерву́й,лікоть
28,Hand::N,кид,рука
29,Hand::N,копа́,рука
30,Handfläche::N,со́во,долоня
31,Finger::N,парня́,палець
32,Fingernagel::N,кидкӱ́ч,ніготь
33,Fingernagel::N,парнягӱ́ч,ніготь
34,Nagel[Anatomie]::N,кӱч,ніготь
35,Zeh::N,йолварня́,палець на нозі
36,Fuß::N,йол,нога
37,Fuß::N,йолкопа́,нога
38,Ferse::N,тага́н,п’ятка
39,Knie::N,пулву́й,коліно
40,Oberschenkel::N,э́рде,стегно
41,Bein::N,йол,нога
42,Körper::N,кап,тіло
43,Haut::N,кова́ште,шкіра
44,Blut::N,вӱр,кров
45,Ader::N,шӧн,вена
46,Sehne::N,шӧн,сухожилля
47,Sehne::N,кӱсе́н,сухожилля
48,Knochen::N,лу,кістка
49,Gehirn::N,вем,мозок
50,Gehirn::N,вуйве́м,мозок
51,Herz::N,шӱм,серце
52,Magen::N,пага́р,шлунок
53,Leber::N,мокш,печінка
54,Atem::N,шӱ́лыш,дихання
55,Hunger::N,шужыма́ш,голод
56,Träne::N,шинчавӱ́д,сльоза
57,Geschmack::N,там,смак
58,Geruch::N,пуш,запах
59,Schlaf::N,о́мо,сон
60,Schlaf::N,о́мо,сплячка
61,Traum::N,йӱдо́мо,сон
62,Himmel::N,кава́,небо
63,Sonne::N,ке́че,сонце
64,Mond::N,ты́лзе,місяць
65,Stern::N,шӱ́дыр,зірка
66,Luft::N,юж,повітря
67,Wind::N,марде́ж,вітер
68,Welle::N,то́лкын,хвиля
69,Wasser::N,вӱд,вода
70,Stein::N,кӱ,камінь
71,Boden::N,рок,ґрунт
72,Erde::N,мла́нде,земля
73,Staub::N,пура́к,пил
74,Rauch::N,шикш,дим
75,Funke::N,сеске́м,іскра
76,Funke::N,тулйы́п,іскра
77,Feuer::N,тул,вогонь
78,Licht::N,со́то,світло
79,Schatten::N,ӱ́мыл,тінь
80,Wetter::N,иге́че,погода
81,Nebel::N,тӱтыра́,туман
82,Wolke::N,пыл,хмара
83,Regen::N,йӱр,дощ
84,Schnee::N,лум,сніг
85,Eis::N,ий,лід
86,Frost::N,чатлама́,мороз
87,Kälte::N,йӱ́штӧ,холод
88,Hitze::N,шо́кшо,жар
89,Raureif::N,пӧрш,іній
90,Raureif::N,по́кшым,іній
91,Regenbogen::N,шонанпы́л,райдуга
92,Donner::N,кӱ́дырчӧ,грім
93,Strömung::N,йо́гын,струмина
94,Tropfen::N,чӱча́лтыш,крапля
95,Schaum::N,шоҥ,піна
96,Schmutz::N,лавыра́,бруд
97,See::N,ер,озеро
98,Sumpf::N,лӱ́кӧ,драговина
99,Moor::N,куп,болото
100,Wiese::N,о́лык,луг
101,Wiese::N,о́лык,лука
102,Wald::N,чодыра́,ліс
103,Hügel::N,арка́,горб
104,Anhöhe::N,тӧва́,височина
105,Anhöhe::N,кӱкшака́,височина
106,Berg::N,ку́рык,гора
107,Gipfel::N,чаҥга́,вершина
108,Gipfel::N,курыкву́й,вершина
109,Höhle::N,пеще́р,печера
110,Höhle::N,курыкпо́мыш,печера
111,Abhang::N,та́йыл,схил
112,Quelle::N,важ,джерело
113,Quelle::N,вӱдшинча́,джерело
114,Bach::N,изэҥе́р,струмок
115,Fluss::N,эҥе́р,річка
116,Ufer::N,сер,берег
117,Küste::N,вӱдтӱ́р,узбережжя
118,Festland::N,мла́нде,суша
119,Meer::N,те́ҥыз,море
120,Bucht::N,икса́,бухта
121,Bucht::N,икса́,затока
122,Insel::N,отро́,острів
123,Blume::N,пеле́дыш,квітка
124,Gras::N,шу́до,трава
125,Wurzel::N,вож,корінь
126,Baum::N,пуше́ҥге,дерево
127,Stamm::N,йы́тыр,стовбур
128,Rinde::N,шӱм,кора
129,Ast::N,укш,гілка
130,Zweig::N,торма́к,галузь
131,Blatt::N,лышта́ш,лист
132,Birke::N,куэ́,береза
133,Kiefer[Baum]::N,пӱ́нчӧ,сосна
134,Weide[Baum]::N,уа́,верба
135,Tanne::N,кож,ялиця
136,Horn::N,шур,ріг
137,Feder::N,пы́стыл,перо
138,Fell::N,кова́ште,хутро
139,Flügel::N,шу́лдыр,крило
140,Klaue::N,кӱч,кіготь
141,Kralle::N,ла́па,лапа
142,Kralle::N,копа́,лапа
143,Schwanz::N,поч,хвіст
144,Ei::N,му́но,яйце
145,Nest::N,пыжа́ш,гніздо
146,Bau::N,пыжа́ш,лігво
147,Tier::N,я́нлык,тварина
148,Tier::N,живо́тный,тварина
149,Herde::N,кӱ́тӱ,стадо
150,Herde::N,тӱшка́,стадо
151,Kuh::N,ушка́л,корова
152,Bulle::N,ӱ́шкыж,бик
153,Bulle::N,ӱ́шкыж,бугай
154,Pferd::N,и́мне,кінь
155,Schaf::N,шо́рык,вівця
156,Schwein::N,сӧсна́,свиня
157,Hund::N,пий,собака
158,Katze::N,пы́рыс,кішка
159,Bär::N,маска́,ведмідь
160,Eichhörnchen::N,ур,білка
161,Elch::N,шо́рдо,лось
162,Fuchs::N,ры́выж,лисиця
163,Hase::N,мера́ҥ,заєць
164,Maus::N,коля́,миша
165,Wolf::N,пи́ре,вовк
