,Concept_ID,kk,hu
0,Auge::N,көз,szem
1,Ohr::N,құлақ,fül
2,Nase::N,мұрын,orr
3,Mund::N,ауыз,száj
4,Zahn::N,тіс,fog
5,Zunge::N,тіл,nyelv
6,Lippe::N,ерін,ajak
7,Wange::N,ұрт,orca
8,Gesicht::N,бет-аузы,arc
9,Stirn::N,маңдай,homlok
10,Haar::N,қыл,haj
11,Schnurrbart::N,мұрт,bajusz
12,Bart::N,сақал,szakáll
13,Kinn::N,иек,áll
14,Kiefer[Anatomie]::N,жақ,állkapocs
15,Kehle::N,алқым,gége
16,Kehle::N,алқым,torok
17,Hals::N,мойын,nyak
18,Genick::N,желке,tarkó
19,Kopf::N,кәллә,fő
20,Kopf::N,кәллә,fej
21,Rücken::N,арқа,hát
22,Bauch::N,қарын,has
23,Nabel::N,кіндік,köldök
24,Busen::N,омырау,mell
25,Busen::N,омырау,kebel
26,Brust::N,кеуде,mell
27,Schulter::N,иық,váll
28,Arm::N,қол,kar
29,Ellenbogen::N,шынтақ,könyök
30,Hand::N,қол,kéz
31,Handfläche::N,алақан,tenyér
32,Finger::N,саусақ,ujj
33,Fingernagel::N,тырнақ,köröm
34,Nagel[Anatomie]::N,тырнақ,köröm
35,Zeh::N,тырнақ,lábujj
36,Zeh::N,тұяқ,lábujj
37,Fuß::N,аяқ-басы,láb
38,Ferse::N,өкше,sarok
39,Ferse::N,өкшелік,sarok
40,Knie::N,тізе,térd
41,Oberschenkel::N,жамбас,comb
42,Bein::N,аяқ,láb
43,Bein::N,аяқ,lábszár
44,Körper::N,дене,test
45,Haut::N,тері,bőr
46,Blut::N,қан,vér
47,Ader::N,көктамыр,ér
48,Ader::N,күретамыр,ér
49,Sehne::N,сіңір,ín
50,Knochen::N,жілік,csont
51,Gehirn::N,ми,agy
52,Gehirn::N,ми,agyvelő
53,Herz::N,жүрек,szív
54,Magen::N,асқазан,gyomor
55,Leber::N,бауыр,máj
56,Atem::N,леп,lehelet
57,Atem::N,леп,lélegzet
58,Hunger::N,ашаршылық,éhség
59,Träne::N,жас,könny
60,Geschmack::N,дәм,íz
61,Geschmack::N,татым,íz
62,Geschmack::N,талғам,íz
63,Geruch::N,иіс,szag
64,Schlaf::N,ұйқы,álom
65,Schlaf::N,ұйқы,alvás
66,Schlaf::N,ұйықтау,álom
67,Schlaf::N,ұйықтау,alvás
68,Traum::N,түс,álom
69,Himmel::N,аспан,ég
70,Himmel::N,аспан,menny
71,Himmel::N,көқ,ég
72,Himmel::N,көқ,menny
73,Himmel::N,таңдай,ég
74,Himmel::N,таңдай,menny
75,Sonne::N,күн,nap
76,Mond::N,ай,hold
77,Stern::N,жұлдыз,csillag
78,Luft::N,әуе,levegő
79,Wind::N,жел,szél
80,Welle::N,толқын,hullám
81,Wasser::N,су,víz
82,Stein::N,тас,kő
83,Boden::N,қыртыс,föld
84,Boden::N,қыртыс,talaj
85,Erde::N,топырақ,föld
86,Staub::N,шаң,por
87,Rauch::N,түтін,füst
88,Funke::N,ұшқын,szikra
89,Feuer::N,алау,tűz
90,Licht::N,шұғыла,fény
91,Schatten::N,көлеңке,árnyék
92,Wetter::N,ауа райы,idő
93,Wetter::N,ауа райы,időjárás
94,Nebel::N,тұман,köd
95,Wolke::N,бұлт,felhő
96,Regen::N,жаңбыр,eső
97,Schnee::N,қар,hó
98,Eis::N,мұз,jég
99,Frost::N,суық,fagy
100,Kälte::N,ызғар,hideg
101,Kälte::N,суықтық,hideg
102,Hitze::N,аптап,hő
103,Hitze::N,аптап,hőség
104,Raureif::N,қырау,zúzmara
105,Regenbogen::N,кемпірқосақ,szivárvány
106,Donner::N,күн күркіреу,dörgés
107,Donner::N,күн күркіреу,mennydörgés
108,Strömung::N,ағын,áramlat
109,Tropfen::N,тамшы,csepp
110,Schaum::N,көбік,hab
111,Schaum::N,көбік,tajték
112,Schmutz::N,кір,piszok
113,See::N,көл,tó
114,Sumpf::N,саз,mocsár
115,Moor::N,саз,láp
116,Wiese::N,шалғын,rét
117,Wiese::N,шалғын,mező
118,Wald::N,орман,erdő
119,Hügel::N,төбе,domb
120,Hügel::N,белес,domb
121,Hügel::N,белес-белес,domb
122,Anhöhe::N,дөң,magaslat
123,Anhöhe::N,адыр,magaslat
124,Anhöhe::N,қырат,magaslat
125,Berg::N,тау,hegy
126,Gipfel::N,төбе,csúcs
127,Höhle::N,үңгір,barlang
128,Abhang::N,бауыр,lejtő
129,Quelle::N,қайнар,forrás
130,Bach::N,жылға,patak
131,Fluss::N,өзен,folyó
132,Ufer::N,жиек,part
133,Küste::N,жиегі,tengerpart
134,Küste::N,жағалау,tengerpart
135,Festland::N,құрылық,szárazföld
136,Meer::N,теңіз,tenger
137,Bucht::N,шығанақ,öböl
138,Insel::N,арал,sziget
139,Blume::N,гүл,virág
140,Gras::N,от,fű
141,Wurzel::N,түбір,gyökér
142,Baum::N,ағаш,fa
143,Baum::N,дарақ,fa
144,Stamm::N,сояу,tő
145,Stamm::N,сояу,törzs
146,Stamm::N,оқпан,tő
147,Stamm::N,оқпан,törzs
148,Rinde::N,қабық,kéreg
149,Ast::N,бұтақ,ág
150,Zweig::N,шыбық,gally
151,Blatt::N,жапырақ,levél
152,Birke::N,қайың,nyír
153,Kiefer[Baum]::N,қарағай,fenyő
154,Weide[Baum]::N,тал,fűz
155,Tanne::N,шырша,fenyő
156,Horn::N,мүйіз,szarv
157,Feder::N,қаламұш,toll
158,Fell::N,тері,szőr
159,Fell::N,тері,bunda
160,Flügel::N,қанат,szárny
161,Klaue::N,тырнақ,köröm
162,Kralle::N,аяқ,karom
163,Schwanz::N,құйрық,farok
164,Ei::N,жұмыртқа,tojás
165,Nest::N,ұя,fészek
166,Bau::N,жатақ,odú
167,Tier::N,айуан,állat
168,Tier::N,жануар,állat
169,Herde::N,пада,nyáj
170,Herde::N,пада,csorda
171,Kuh::N,сиыр,tehén
172,Bulle::N,өгіз,bika
173,Pferd::N,жылқы,ló
174,Schaf::N,қой,juh
175,Schaf::N,қой,birka
176,Schwein::N,шошқа,sertés
177,Hund::N,ит,eb
178,Hund::N,ит,kutya
179,Katze::N,мысық,macska
180,Bär::N,аю,medve
181,Eichhörnchen::N,тиін,mókus
182,Elch::N,бұғы,jávorszarvas
183,Fuchs::N,түлкі,róka
184,Hase::N,қоян,nyúl
185,Maus::N,қаптесер,egér
186,Wolf::N,бөрі,farkas
187,Wolf::N,қасқыр,farkas
188,Vogel::N,құс,madár
189,Schwarm::N,топ,raj
190,Schwarm::N,үйір,raj
191,Huhn::N,тауық,tyúk
192,Huhn::N,мекиен,tyúk
193,Hahn::N,әтеш,kakas
194,Hahn::N,қораз,kakas
195,Gans::N,қаз,lúd
196,Gans::N,қаз,liba
197,Adler::N,бүркіт,sas
198,Ente::N,үйрек,kacsa
199,Eule::N,жапалақ,bagoly
200,Kranich::N,тырна,daru
201,Krähe::N,қарға,varjú
202,Kuckuck::N,көкек,kakukk
203,Schwan::N,аққу,hattyú
204,Fisch::N,балық,hal
205,Barsch::N,алабұға,sügér
206,Hecht::N,шортан,csuka
207,Schlange[Tier]::N,жылан,kígyó
208,Wurm::N,шұбалшаң,kukac
209,Spinne::N,өрмекші,pók
210,Ameise::N,қүмырска,hangya
211,Laus::N,бит,tetű
212,Mücke::N,маса,szúnyog
213,Fliege::N,шыбын,légy
214,Schmetterling::N,көбелек,lepke
215,Schmetterling::N,көбелек,pillangó
216,Beere::N,жидек,bogyó
217,Apfel::N,алма,alma
218,Pilz::N,қозықұйрық,gomba
219,Pilz::N,саңыраукулақ,gomba
220,Zwiebel::N,жуа,hagyma
221,Saat::N,тұқым,vetőmag
222,Korn::N,дән,mag
223,Korn::N,дән,szem
224,Heu::N,шөп,széna
225,Schale::N,қабық,héj
226,Schale::N,қабығы,héj
227,Grube::N,ор,verem
228,Falle::N,дұзақ,csapda
229,Falle::N,қақпан,csapda
230,Schlinge::N,ілмек,tőr
231,Spur::N,із,nyom
232,Asche::N,күл,hamu
233,Dreck::N,былғаныш,sár
234,Dreck::N,былғаныш,piszok
235,Eisen::N,темір,vas
236,Gold::N,алтын,arany
237,Silber::N,күміс,ezüst
238,Kohle::N,көмір,szén
239,Glas::N,шыны,üveg
240,Lehm::N,балшық,agyag
241,Lehm::N,балшық,vályog
242,Sand::N,құм,homok
243,Mensch::N,адам,ember
244,Mann::N,еркек,úr
245,Mann::N,еркек,férfi
246,Mann::N,ер адам,úr
247,Mann::N,ер адам,férfi
248,Frau::N,бике,nő
249,Frau::N,бике,asszony
250,Frau::N,қатын,nő
251,Frau::N,қатын,asszony
252,Kind::N,бала,gyerek
253,Kind::N,бала,gyermek
254,Kind::N,перзент,gyerek
255,Kind::N,перзент,gyermek
256,Junge::N,бала,fiú
257,Junge::N,ер бала,fiú
258,Mädchen::N,қыз,lány
259,Familie::N,жанұя,család
260,Großvater::N,ата,nagyapa
261,Großmutter::N,әже,nagyanya
262,Großmutter::N,әжей,nagyanya
263,Eltern::N,ата-аналар,szülők
264,Vater::N,әке,apa
265,Vater::N,әке,atya
266,Mutter::N,ана,anya
267,Sohn::N,ұл,fiú
268,Tochter::N,қызым,lány
269,Bruder::N,бауырым,fivér
270,Bruder::N,бауырым,testvér
271,Schwester::N,әпке,nővér
272,Schwester::N,әпке,lánytestvér
273,Onkel::N,көке,nagybácsi
274,Tante::N,тәте,nagynéni
275,Ehemann::N,ер,férj
276,Ehefrau::N,зайып,feleség
277,Freude::N,қуаныш,öröm
278,Freude::N,сүйініш,öröm
279,Freude::N,шат-думан,öröm
280,Freude::N,қуаныштылық,öröm
281,Gelächter::N,күлу,nevetés
282,Gelächter::N,күлу,hahotázás
283,Glück::N,бақыт,boldogság
284,Glück::N,бақыттылық,boldogság
285,Kummer::N,аза,bánat
286,Kummer::N,қайғы,bánat
287,Kummer::N,қасырет,bánat
288,Wunsch::N,мүдде,óhaj
289,Lust::N,тәбет,kedv
290,Lust::N,ынтызар,kedv
291,Lust::N,құштарлық,kedv
292,Geist::N,рух,elme
293,Geist::N,рух,szellem
294,Gedanke::N,ой,gondolat
295,Gedächtnis::N,ес,emlékezet
296,Gedächtnis::N,жады,emlékezet
297,Gedächtnis::N,ақыл-ес,emlékezet
298,Verstand::N,ақыл,ész
299,Verstand::N,ақыл,értelem
300,Verstand::N,парасат,ész
301,Verstand::N,парасат,értelem
302,Sinn::N,мән,értelem
