,Concept_ID,udm,kn
0,Auge::N,син,ಕಣ್ಣು
1,Ohr::N,пель,ಕಿವಿ
2,Nase::N,ныр,ಮೂಗು
3,Mund::N,ым,ಬಾಯಿ
4,Zahn::N,пинь,ಹಲ್ಲು
5,Zunge::N,кыл,ನಾಲಿಗೆ
6,Lippe::N,ымдур,ತುಟಿ
7,Wange::N,бам,ಗಲ್ಲ
8,Gesicht::N,ымныр,ಮುಖ
9,Stirn::N,кымес,ಹಣೆ
10,Haar::N,йырси,ಕೂದಲು
11,Schnurrbart::N,мыйык,ಮೀಸೆ
12,Bart::N,туш,ಗಡ್ಡ
13,Kinn::N,ангес,ಗದ್ದ
14,Kiefer[Anatomie]::N,ан,ದವಡೆ
15,Kiefer[Anatomie]::N,анлы,ದವಡೆ
16,Kehle::N,гульым,ಗಂಟಲು
17,Hals::N,чырты,ಕೊರಳು
18,Genick::N,йырбер,ಹಿಂಗತ್ತು
19,Kopf::N,йыр,ತಲೆ
20,Rücken::N,мыш,ಬೆನ್ನು
21,Bauch::N,кӧт,ಹೊಟ್ಟೆ
22,Nabel::N,гогы,ಹೊಕ್ಕುಳು
23,Busen::N,ноны,ಸ್ತನ
24,Brust::N,мӧля,ಎದೆ
25,Schulter::N,пельпум,ಭುಜ
26,Arm::N,суй,ತೋಳು
27,Ellenbogen::N,гырпум,ಮೊಣಕೈ
28,Hand::N,ки,ಕೈ
29,Handfläche::N,ки пыдэс,ಅಂಗೈ
30,Handfläche::N,кырым пыдэс,ಅಂಗೈ
31,Finger::N,чиньы,ಕೈಬೆರಳು
32,Fingernagel::N,гижы,ಉಗುರು
33,Fingernagel::N,гиждӥнь,ಉಗುರು
34,Nagel[Anatomie]::N,гижы,ಉಗುರು
35,Zeh::N,пыдчиньы,ಕಾಲ್ಬೆರಳು
36,Fuß::N,пыд,ಪಾದ
37,Ferse::N,пыдбер,ಹಿಮ್ಮಡಿ
38,Knie::N,пыдес,ಮಂಡಿ
39,Oberschenkel::N,макес,ತೊಡೆ
40,Bein::N,пыд,ಕಾಲು
41,Körper::N,мугор,ದೇಹ
42,Körper::N,вылтыр,ದೇಹ
43,Haut::N,ку,ಚರ್ಮ
44,Blut::N,вир,ರಕ್ತ
45,Ader::N,вирсэр,ನರ
46,Sehne::N,вуж,ನರ
47,Knochen::N,лы,ಮೂಳೆ
48,Gehirn::N,вим,ಮಿದುಳು
49,Herz::N,сюлэм,ಹೃದಯ
50,Magen::N,ӝуш,ಉದರ
51,Leber::N,мус,ಯಕೃತ್ತು
52,Atem::N,лул,ಉಸಿರು
53,Atem::N,шокан,ಉಸಿರು
54,Hunger::N,кӧтсюман,ಹಸಿವು
55,Träne::N,синкыли,ಕಣ್ಣೀರು
56,Geschmack::N,шӧм,ರುಚಿ
57,Geruch::N,зын,ವಾಸನೆ
58,Schlaf::N,вӧт,ನಿದ್ರೆ
59,Traum::N,уйвӧт,ಕನಸು
60,Himmel::N,ин,ಬಾನು
61,Sonne::N,шунды,ಸೂರ್ಯ
62,Mond::N,толэзь,ಚಂದ್ರ
63,Stern::N,кизили,ಚುಕ್ಕಿ
64,Luft::N,омыр,ವಾಯು
65,Wind::N,тӧл,ಗಾಳಿ
66,Welle::N,тулкым,ಅಲೆ
67,Wasser::N,ву,ನೀರು
68,Stein::N,из,ಕಲ್ಲು
69,Boden::N,музъем,ನೆಲ
70,Erde::N,му,ಭೂಮಿ
71,Staub::N,пыль,ದೂಳು
72,Rauch::N,ӵын,ಹೊಗೆ
73,Funke::N,гизьы,ಕಿಡಿ
74,Feuer::N,тыл,ಬೆಂಕಿ
75,Licht::N,тыл,ಬೆಳಕು
76,Schatten::N,вужер,ನೆರಳು
77,Wetter::N,куазь,ಹವ
78,Nebel::N,бус,ಮಂಜು
79,Wolke::N,пилем,ಮೋಡ
80,Regen::N,зор,ಮಳೆ
81,Schnee::N,лымы,ಹಿಮ
82,Eis::N,йӧ,ಮಂಜುಗಡ್ಡೆ
83,Frost::N,кезьыт,ಮಂಜು
84,Kälte::N,кезьыт,ಹಿಮ
85,Hitze::N,пӧсь,ಉಷ್ಣ
86,Raureif::N,гӧр,ಇಬ್ಬನಿ
87,Regenbogen::N,вуюись,ಇಂದ್ರಚಾಪ
88,Donner::N,гудыри,ಗುಡುಗು
89,Strömung::N,бызён,ಪ್ರವಾಹ
90,Tropfen::N,шапык,ತೊಟ್ಟು
91,Schaum::N,шукы,ನೊರೆ
92,Schmutz::N,нӧд,ಕಸ
93,Schmutz::N,дэри,ಕಸ
94,See::N,ты,ಸರೋವರ
95,Sumpf::N,нюр,ಜೌಗುಸ್ಥಳ
96,Moor::N,нюр,ಬಂಜರು ಭೂಮಿ
97,Wiese::N,возь,ಹುಲ್ಲುಗಾವಲು
98,Wiese::N,возьвыл,ಹುಲ್ಲುಗಾವಲು
99,Wald::N,сик,ಕಾಡು
100,Wald::N,нюлэс,ಕಾಡು
101,Hügel::N,выр,ಗುಡ್ಡೆ
102,Hügel::N,вырйыл,ಗುಡ್ಡೆ
103,Anhöhe::N,выр,ದಿಬ್ಬ
104,Anhöhe::N,вырйыл,ದಿಬ್ಬ
105,Berg::N,гурезь,ಮಲೆ
106,Berg::N,гурезь,ಪರ್ವತ
107,Gipfel::N,йыл,ಶೃಂಗ
108,Höhle::N,гу,ಗುಹೆ
109,Abhang::N,бам,ಇಳಿಜಾರು
110,Quelle::N,ошмес,ಮೂಲ
111,Bach::N,пичи шур,ತೊರೆ
112,Fluss::N,шур,ನದಿ
113,Ufer::N,ярдур,ತೀರ
114,Küste::N,вудур,ದಂಡೆ
115,Festland::N,мувыр,ಭೂಮಿ
116,Meer::N,зарезь,ಕಡಲು
117,Bucht::N,вукож,ಖಾರಿ
118,Insel::N,вумуӵ,ದ್ವೀಪ
119,Insel::N,шормуӵ,ದ್ವೀಪ
120,Blume::N,сяська,ಸುಮ
121,Gras::N,турын,ಹುಲ್ಲು
122,Wurzel::N,выжы,ಬೇರು
123,Baum::N,пу,ಮರ
124,Stamm::N,модос,ಕಾಂಡ
125,Rinde::N,сул,ತೂಗಟಿ
126,Ast::N,ул,ಶಾಖೆ
127,Zweig::N,вай,ರೆಂಬೆ
128,Blatt::N,куар,ಎಲೆ
129,Birke::N,кызьпу,ಬರ್ಚ್ ಮರ
130,Kiefer[Baum]::N,пужым,ದೇವದಾರು ಮರ
131,Weide[Baum]::N,бадьпу,ವಿಲೋಮರ
132,Tanne::N,кыз,ಭದ್ರದಾರು
133,Horn::N,сюр,ಕೊಂಬು
134,Feder::N,тылы,ಪುಕ್ಕ
135,Fell::N,ку,ರೋಮ
136,Flügel::N,бурд,ರೆಕ್ಕೆ
137,Klaue::N,гижы,ಪಂಜ
138,Kralle::N,пыд,ಉಗುರು
139,Schwanz::N,быж,ಬಾಲ
140,Ei::N,пуз,ಮೊಟ್ಟೆ
141,Ei::N,кукей,ಮೊಟ್ಟೆ
142,Nest::N,кар,ಗೂಡು
143,Nest::N,пузкар,ಗೂಡು
144,Bau::N,кар,ಅಡಗುದಾಣ
145,Bau::N,гу,ಅಡಗುದಾಣ
146,Tier::N,пӧйшур,ಪ್ರಾಣಿ
147,Herde::N,уллё,ಗುಂಪು
148,Kuh::N,скал,ಹಸು
149,Bulle::N,ош,ಗೂಳಿ
150,Bulle::N,пороз,ಗೂಳಿ
151,Pferd::N,вал,ಕುದುರೆ
152,Schaf::N,ыж,ಕುರಿ
153,Schwein::N,парсь,ಹಂದಿ
154,Hund::N,пуны,ನಾಯಿ
155,Katze::N,коӵыш,ಬೆಕ್ಕು
156,Bär::N,гондыр,ಕರಡಿ
157,Eichhörnchen::N,коньы,ಉಡುತೆ
158,Elch::N,койык,ಕಡವೆ
159,Fuchs::N,ӟичы,ನರಿ
160,Hase::N,кеч,ಮೊಲ
161,Maus::N,шыр,ಇಲಿ
162,Wolf::N,кион,ತೋಳ
163,Vogel::N,тылобурдо,ಪಕ್ಷಿ
164,Schwarm::N,уллё,ಗುಂಪು
165,Huhn::N,курег,ಚಿಕ್
166,Hahn::N,атас,ಹುಂಜ
167,Gans::N,ӟазег,ವರಟೆ
168,Adler::N,ӧрзи,ಗರುಡ
169,Ente::N,ӵӧж,ಬಾತು
170,Eule::N,кучыран,ಗೂಬೆ
171,Kranich::N,тури,ಕೊಕ್ಕರ
172,Krähe::N,куака,ಕಾಗೆ
173,Kuckuck::N,кикы,ಕೋಗಿಲೆ
174,Schwan::N,юсь,ಹಂಸಪಕ್ಷಿ
175,Fisch::N,чорыг,ಮೀನು
176,Barsch::N,юш,ಪರ್ಚ್ ಮೀನು
177,Hecht::N,чипей,ಪೈಕ್ ಮೀನು
178,Schlange[Tier]::N,кый,ಹಾವು
179,Wurm::N,нумыр,ಹುಳು
180,Spinne::N,чонари,ಊರ್ಣನಾಭ
181,Ameise::N,кузьыли,ಇರುವೆ
182,Laus::N,тэй,ಹೇನು
183,Mücke::N,нымы,ಸೊಳ್ಳೆ
184,Mücke::N,чибинь,ಸೊಳ್ಳೆ
185,Fliege::N,кут,ನೊಣ
186,Schmetterling::N,бубыли,ಪತಂಗ
187,Beere::N,узы-боры,ನಯವಣ್ಣು
188,Apfel::N,яблок,ಸೇಬು
189,Pilz::N,губи,ಅಣಬೆ
190,Zwiebel::N,сугон,ನೀರುಳ್ಳಿ
191,Saat::N,кидыс,ಬಿತ್ತ
192,Korn::N,тысь,ಬೀಜ
193,Heu::N,турын,ಕರಡ
194,Schale::N,кыд,ಹೊಟ್ಟು
195,Grube::N,гу,ಗುಂಡಿ
196,Grube::N,гоп,ಗುಂಡಿ
197,Falle::N,налик,ಬೋನು
198,Schlinge::N,гиӟ,ಉರುಲು
199,Schlinge::N,герд,ಉರುಲು
