,Concept_ID,pl,mdf
0,Auge::N,oko,сельме
1,Ohr::N,ucho,пиле
2,Nase::N,nos,шалхка
3,Mund::N,usta,курга
4,Zahn::N,ząb,пей
5,Zunge::N,język,кяль
6,Lippe::N,warga,търва́
7,Wange::N,policzek,щёка
8,Gesicht::N,twarz,шама
9,Stirn::N,czoło,коня
10,Haar::N,włos,шя́ярь
11,Haar::N,włosy,шя́ярь
12,Schnurrbart::N,wąsy,уса́
13,Bart::N,broda,сакал
14,Kinn::N,podbródek,ула
15,Kiefer[Anatomie]::N,czeluść,саласка
16,Kehle::N,gardło,кълдома
17,Kehle::N,gardło,кърга́парь
18,Hals::N,szyja,сялдаз
19,Genick::N,kark,шовонь
20,Kopf::N,głowa,пря
21,Rücken::N,plecy,копорь
22,Rücken::N,grzbiet,копорь
23,Bauch::N,brzuch,пеке
24,Nabel::N,pępek,по́кон
25,Busen::N,biust,потя
26,Brust::N,pierś,мяште
27,Schulter::N,bark,лафту
28,Schulter::N,ramię,лафту
29,Arm::N,ręka,кядь
30,Arm::N,ramię,кядь
31,Ellenbogen::N,łokieć,кенерьба́карь
32,Hand::N,dłoń,кядь
33,Handfläche::N,dłoń,кядьлапш
34,Finger::N,palec,сур
35,Fingernagel::N,paznokieć,кенже
36,Nagel[Anatomie]::N,paznokieć,кенже
37,Zeh::N,palec,пильгосу́р
38,Fuß::N,stopa,пильге
39,Fuß::N,stopa,пильгелапа
40,Ferse::N,pięta,кочкяря
41,Knie::N,kolano,эль
42,Knie::N,kolano,пълма́нжа
43,Oberschenkel::N,udo,пильгепукша
44,Bein::N,noga,пильге
45,Körper::N,ciało,ро́нга
46,Körper::N,ciało,по́нда
47,Haut::N,skóra,киське
48,Blut::N,krew,вер
49,Ader::N,żyła,сан
50,Ader::N,żyła,верза́н
51,Sehne::N,ścięgno,коське сан
52,Knochen::N,kość,пакарь
53,Gehirn::N,mózg,уй
54,Herz::N,serce,седи
55,Magen::N,żołądek,коткърдазь
56,Leber::N,wątroba,макса
57,Atem::N,dech,лекома
58,Atem::N,dech,ваймонь тарксема
59,Atem::N,oddech,лекома
60,Atem::N,oddech,ваймонь тарксема
61,Hunger::N,głód,вачеши
62,Träne::N,łza,сельмове́дь
63,Geschmack::N,smak,таньф
64,Geruch::N,woń,шине
65,Geruch::N,zapach,шине
66,Schlaf::N,sen,удома́
67,Traum::N,sen,он
68,Himmel::N,niebo,менель
69,Sonne::N,słońce,ши
70,Mond::N,księżyc,ков
71,Stern::N,gwiazda,тяште
72,Luft::N,powietrze,кожф
73,Wind::N,wiatr,варма
74,Welle::N,fala,тавла
75,Wasser::N,woda,ведь
76,Stein::N,kamień,кев
77,Boden::N,grunt,мода
78,Boden::N,grunt,потмакс
79,Erde::N,ziemia,мода
80,Erde::N,ziemia,мастор
81,Staub::N,pył,пуль
82,Staub::N,kurz,пуль
83,Rauch::N,dym,качам
84,Funke::N,iskra,ця́тка
85,Feuer::N,ogień,тол
86,Licht::N,światło,ва́лда
87,Schatten::N,cień,цильф
88,Wetter::N,pogoda,уша
89,Nebel::N,mgła,тума́н
90,Wolke::N,obłok,ковол
91,Wolke::N,chmura,ковол
92,Regen::N,deszcz,пизем
93,Schnee::N,śnieg,лов
94,Eis::N,lód,эй
95,Frost::N,mróz,ке́льме
96,Kälte::N,chłód,якшама
97,Hitze::N,gorąco,пси
98,Raureif::N,szron,леш
99,Regenbogen::N,tęcza,а́тямъёнга
100,Donner::N,grzmot,атям
101,Strömung::N,nurt,шудема́
102,Tropfen::N,kropla,путькс
103,Tropfen::N,kropla,пътняфкс
104,Schaum::N,piana,шов
105,Schmutz::N,brud,ърда́з
106,See::N,jezioro,эрьхке
107,Sumpf::N,bagno,шяй
108,Moor::N,bagno,шяй
109,Wiese::N,łąka,луга
110,Wald::N,las,вирь
111,Hügel::N,pagórek,губо́р
112,Hügel::N,pagórek,пандоня
113,Anhöhe::N,wzgórze,губо́р
114,Berg::N,góra,панда
115,Gipfel::N,szczyt,пря
116,Gipfel::N,wierzchołek,пря
117,Höhle::N,pieczara,у́нда
118,Abhang::N,stok,па́нда ша́ма
119,Abhang::N,zbocze,па́нда ша́ма
120,Quelle::N,zdrój,эшиня
121,Quelle::N,źródło,эшиня
122,Bach::N,potok,шудерькс
123,Bach::N,strumień,шудерькс
124,Fluss::N,rzeka,ляй
125,Ufer::N,brzeg,търва́
126,Küste::N,wybrzeże,ляйтърва́
127,Festland::N,ląd,мода
128,Meer::N,morze,моря
129,Bucht::N,zatoka,ведьуське
130,Insel::N,wyspa,цёнга
131,Blume::N,kwiat,панчф
132,Gras::N,trawa,тише
133,Wurzel::N,korzeń,юр
134,Wurzel::N,korzeń,ункс
135,Baum::N,drzewo,шуфта
136,Stamm::N,pień,ро́нга
137,Rinde::N,kora,кер
138,Ast::N,gałąź,морга
139,Zweig::N,gałąź,тарад
140,Blatt::N,liść,лопа
141,Birke::N,brzoza,ке́лу
142,Kiefer[Baum]::N,sosna,пиче
143,Weide[Baum]::N,wierzba,каль
144,Tanne::N,jodła,куз
145,Horn::N,róg,сюра
146,Feder::N,pióro,толга
147,Fell::N,futro,кедь
148,Flügel::N,skrzydło,паця
149,Klaue::N,szpon,кенже
150,Kralle::N,pazur,кенже
151,Schwanz::N,ogon,пула
152,Ei::N,jajko,ал
153,Nest::N,gniazdo,пиза
154,Bau::N,nora,пиза
155,Tier::N,zwierzę,жува́та
156,Herde::N,stado,нал
157,Herde::N,stado,стада
158,Herde::N,trzoda,нал
159,Herde::N,trzoda,стада
160,Kuh::N,krowa,скал
161,Kuh::N,krowa,тракс
162,Bulle::N,byk,бука
163,Pferd::N,koń,лишме
164,Schaf::N,owca,уча́
165,Schwein::N,świnia,тува
166,Hund::N,pies,пине
167,Katze::N,kot,катоня
168,Katze::N,kot,аваката
169,Katze::N,kotka,катоня
170,Katze::N,kotka,аваката
171,Bär::N,niedźwiedż,офта
172,Eichhörnchen::N,wiewiórka,ур
173,Elch::N,łóś,ся́рда
174,Fuchs::N,lis,келазь
175,Hase::N,zając,ну́мол
176,Maus::N,mysz,шеер
177,Wolf::N,wilk,върьгаз
178,Vogel::N,ptak,нармонь
179,Schwarm::N,stado,ко́вол
180,Schwarm::N,stado,ме́швеле
181,Huhn::N,kura,сараз
182,Hahn::N,kogut,а́тякш
183,Gans::N,gęś,маци
184,Adler::N,orzeł,куцькан
185,Ente::N,kaczka,яксярга
186,Eule::N,sowa,ко́рож
187,Kranich::N,żuraw,ка́рга
188,Krähe::N,wrona,ва́рси
189,Kuckuck::N,kukułka,ку́ку
190,Schwan::N,łabędż,ло́ксти
191,Fisch::N,ryba,кал
192,Barsch::N,okoń,о́кунь
193,Hecht::N,szczupak,щу́ка
