,Concept_ID,ab,is
0,Auge::N,ала,auga
1,Ohr::N,алымҳа,eyra
2,Nase::N,аҧынҵа,nef
3,Mund::N,аҧышə,munnur
4,Zahn::N,ахаҧыц,tönn
5,Zunge::N,абз,tunga
6,Lippe::N,ақьышə,vör
7,Wange::N,аӡамҩа,kinn
8,Wange::N,аӡамҩа,vangi
9,Gesicht::N,аҿы,andlit
10,Stirn::N,алахь,enni
11,Haar::N,ахəыц,hár
12,Schnurrbart::N,аҧаҵа,yfirskegg
13,Bart::N,ажакьа,skegg
14,Kinn::N,ацламкəыгə,haka
15,Kiefer[Anatomie]::N,ацламҳəа,kjálki
16,Kiefer[Anatomie]::N,ацламҳəа,skoltur
17,Kehle::N,ахəда,kverk
18,Hals::N,ахəда,háls
19,Genick::N,ахəдаџьал,hnakki
20,Kopf::N,ахы,höfuð
21,Rücken::N,азқəа,hryggur
22,Bauch::N,амгəа,kviður
23,Nabel::N,аҷапан,nafli
24,Busen::N,агəыҧҳəы,barmur
25,Brust::N,агəышҧы,brjóst
26,Schulter::N,ажəҩахыр,öxl
27,Arm::N,амахəар,armur
28,Ellenbogen::N,амашьхəылҵ,olnbogi
29,Hand::N,анапы,hönd
30,Handfläche::N,анапсаргəыҵа,lófi
31,Finger::N,анацəа,fingur
32,Fingernagel::N,анапхыц,fingurnögl
33,Nagel[Anatomie]::N,ашьапхыц,nögl
34,Zeh::N,ашьацəа,tá
35,Fuß::N,ашьапсыргəыҵа,fótur
36,Ferse::N,ашьхəа,hæll
37,Knie::N,ашьамхы,kné
38,Oberschenkel::N,ауаҭəа,læri
39,Bein::N,ашьапы,fótleggur
40,Körper::N,ацəеижь,búkur
41,Körper::N,ацəеижь,líkami
42,Haut::N,ацəа,húð
43,Haut::N,ацəа,skinn
44,Blut::N,ашьа,blóð
45,Ader::N,ада,æð
46,Sehne::N,адаш,sin
47,Knochen::N,абаҩ,bein
48,Gehirn::N,ахшлыбаҩ,heili
49,Gehirn::N,ахшыбаҩ,heili
50,Herz::N,агəы,hjarta
51,Magen::N,аца,magi
52,Magen::N,ацар,magi
53,Leber::N,агəаҵəа,lifur
54,Atem::N,аҧсыҧлагаҩгара,andi
55,Atem::N,аҧсыҧлагаҩгара,andardráttur
56,Hunger::N,амла,hungur
57,Träne::N,алабжыш,tár
58,Geschmack::N,агьама,smekkur
59,Geruch::N,афҩы,lykt
60,Schlaf::N,ацəа,svefn
61,Traum::N,аҧхыӡ,draumur
62,Himmel::N,ажəҩан,himinn
63,Sonne::N,амра,sól
64,Mond::N,амза,tungl
65,Stern::N,аеҵəа,stjarna
66,Luft::N,аҳаир,loft
67,Wind::N,аҧша,vindur
68,Welle::N,ацəқəырҧа,alda
69,Welle::N,ацəқəырҧа,bylgja
70,Wasser::N,аӡы,vatn
71,Stein::N,ахаҳə,steinn
72,Boden::N,адгьыл,botn
73,Erde::N,адгьыл,jörð
74,Staub::N,асаба,ryk
75,Staub::N,асаба,duft
76,Rauch::N,алҩа,reykur
77,Funke::N,акəиц,neisti
78,Funke::N,ацҧхь,neisti
79,Feuer::N,амца,eldur
80,Licht::N,алашара,ljós
81,Schatten::N,ашəшьыра,skuggi
82,Wetter::N,амш,veður
83,Nebel::N,анаҟəа,þoka
84,Wolke::N,аҧсҭҳəа,ský
85,Regen::N,ақəа,regn
86,Schnee::N,асы,snjór
87,Eis::N,аҵаа,ís
88,Frost::N,аҵаа,frost
89,Kälte::N,ахьҭа,kuldi
90,Hitze::N,ашоура,hiti
91,Raureif::N,аҵааҧшқа,hrím
92,Regenbogen::N,ацəаҟəа,regnbogi
93,Donner::N,адыд,þruma
94,Strömung::N,аиасра,straumur
95,Strömung::N,амҩасра,straumur
96,Tropfen::N,ацəыкəбар,dropi
97,Schaum::N,ашəах,froða
98,Schmutz::N,алымт,óhreinindi
99,See::N,аӡиа,stöðuvatn
100,Sumpf::N,аӡмах,fen
101,Wiese::N,адəы,engi
102,Wald::N,абна,skógur
103,Hügel::N,ахəы,hæð
104,Hügel::N,ахəы,hóll
105,Anhöhe::N,аҳаракыра,hæð
106,Anhöhe::N,аҳаракыра,hóll
107,Berg::N,ашьха,fell
108,Berg::N,ашьха,fjall
109,Gipfel::N,ацəқəа,tindur
110,Höhle::N,аҳаҧы,hellir
111,Abhang::N,анаара,hlíð
112,Abhang::N,анаара,brekka
113,Quelle::N,аҵҵырҭа,lind
114,Quelle::N,аҵҵырҭа,uppspretta
115,Bach::N,акəараҷҷа,lækur
116,Fluss::N,аӡиас,á
117,Fluss::N,аӡиас,fljót
118,Ufer::N,ахықə,árbakki
119,Ufer::N,ахықə,sjávarbakki
120,Küste::N,ахықə,strönd
121,Festland::N,абарра,meginland
122,Meer::N,амшын,haf
123,Meer::N,амшын,sjór
124,Bucht::N,аӡбжьахала,vík
125,Insel::N,адгьылбжьаха,eyja
126,Blume::N,ашəҭ,blóm
127,Gras::N,аҳасакьын,gras
128,Wurzel::N,адац,rót
129,Baum::N,аҵла,tré
130,Stamm::N,ашьапы,stofn
131,Rinde::N,ацəа,börkur
132,Ast::N,амахə,grein
133,Ast::N,амахəҭа,grein
134,Zweig::N,амахə,angi
135,Zweig::N,амахə,kvistur
136,Zweig::N,амахəҭа,angi
137,Zweig::N,амахəҭа,kvistur
138,Blatt::N,абҕьы,blað
139,Birke::N,аҵааҵла,birki
140,Kiefer[Baum]::N,амза,fura
141,Weide[Baum]::N,аҧслыш,víðir
142,Tanne::N,аҧсаӡ,greni
143,Horn::N,атəыҩа,horn
144,Feder::N,ахӡы,fjöður
145,Fell::N,ацəа,skinn
146,Flügel::N,амҵəыжəа,vængur
147,Klaue::N,ашьапхыц,kló
148,Schwanz::N,аҵыхəа,rófa
149,Schwanz::N,аҵыхəа,skott
150,Ei::N,акəтаӷь,egg
151,Nest::N,аҭра,hreiður
152,Nest::N,аҵысҭра,hreiður
153,Bau::N,аҭыҩра,greni
154,Bau::N,аҭыҩра,bæli
155,Tier::N,аҧстəы,dýr
156,Tier::N,агыгшəыг,dýr
157,Herde::N,агəарҭа,hjörð
158,Kuh::N,ажə,kýr
159,Bulle::N,ацə,boli
160,Pferd::N,аҽы,hestur
161,Schaf::N,ауаса,kind
162,Schwein::N,аҳəа,svín
163,Hund::N,ала,hundur
164,Katze::N,ацгəы,köttur
165,Bär::N,амшə,björn
166,Eichhörnchen::N,аеш,íkorni
167,Elch::N,аҽаҩа,elgur
168,Fuchs::N,абгахəыҷы,refur
169,Hase::N,ажьа,héri
170,Maus::N,аҳəынаҧ,mús
171,Wolf::N,абгаду,úlfur
172,Vogel::N,аҧсаатə,fugl
173,Huhn::N,акəты,hæna
174,Hahn::N,арбаҕь,hani
175,Gans::N,аҟыз,gæs
176,Adler::N,ауарба,örn
177,Ente::N,акəата,önd
178,Eule::N,аты,uggla
179,Kranich::N,апҟа,trana
180,Krähe::N,аҟəараан,kráka
181,Kuckuck::N,акəыкəу,gaukur
182,Schwan::N,агьад,svanur
183,Fisch::N,аҧсыӡ,fiskur
184,Barsch::N,ацəыбла,aborri
185,Hecht::N,ахиаала,gedda
186,Schlange[Tier]::N,амаҭ,naðra
187,Wurm::N,ахəа,ormur
188,Wurm::N,ахəац,ormur
189,Spinne::N,абызкаҭаҳа,kónguló
190,Ameise::N,ашышкамс,maur
191,Laus::N,аҵа,lús
192,Mücke::N,акəыбры,mý
193,Mücke::N,акəыбры,mýfluga
194,Fliege::N,амҵ,fluga
195,Schmetterling::N,аҧарҧалыкь,fiðrildi
196,Beere::N,аргуц,ber
197,Apfel::N,аҵəа,epli
198,Pilz::N,акəкəбаа,sveppur
199,Zwiebel::N,аџьымшьы,laukur
200,Zwiebel::N,аџьымшьхы,laukur
201,Saat::N,ажəла,fræ
202,Saat::N,ажəла,útsæði
203,Korn::N,арыц,korn
204,Heu::N,аҭəа,hey
205,Schale::N,ацəа,hýði
206,Grube::N,ажра,gryfja
207,Grube::N,атыша,gryfja
208,Falle::N,арыҧҟьа,gildra
209,Schlinge::N,аҟəараҟəантə,snara
210,Spur::N,ашьҭа,spor
211,Asche::N,ахəа,aska
212,Dreck::N,аҳəынҵəа,óþverri
213,Dreck::N,аҟьамсар,óþverri
214,Eisen::N,аиха,járn
215,Gold::N,ахьы,gull
216,Silber::N,аразны,silfur
217,Kohle::N,арацəа,kol
218,Glas::N,асаркьа,gler
219,Lehm::N,анышəаҧшь,leir
220,Sand::N,аҧслымӡ,sandur
221,Mensch::N,ауаҩы,maður
222,Mensch::N,ауаҩы,manneskja
223,Mann::N,ахаҵа,maður
224,Mann::N,ахаҵа,karlmaður
225,Frau::N,аҧҳəыс,kona
226,Kind::N,ахəыҷы,barn
227,Kind::N,ахəыҷы,krakki
228,Junge::N,аҷкəын,drengur
229,Junge::N,ахаҵарҧыс,drengur
230,Mädchen::N,аӡӷаб,stelpa
231,Familie::N,аҭаацəа,fjölskylda
232,Großvater::N,абду,afi
233,Großmutter::N,анду,amma
234,Eltern::N,ани аби,foreldrar
235,Vater::N,аб,faðir
236,Mutter::N,ан,móðir
237,Sohn::N,аҧа,sonur
238,Tochter::N,аҧҳа,dóttir
239,Bruder::N,аиашьа,bróðir
240,Schwester::N,Аҳəшьа,systir
241,Onkel::N,абиашьа,föðurbróðir
242,Onkel::N,аншьа,föðurbróðir
243,Tante::N,абиаҳəшьа,frænka
244,Tante::N,абиаҳəшьа,móðursystir
245,Ehemann::N,ахаҵа,eiginmaður
246,Ehemann::N,аҧшəма,eiginmaður
247,Ehefrau::N,аҧҳəыс,eiginkona
248,Freude::N,агəырӷьара,gleði
249,Gelächter::N,ачча,hlátur
250,Gelächter::N,аччара,hlátur
