,Concept_ID,kk,uz
0,Auge::N,көз,ko'z
1,Ohr::N,құлақ,quloq
2,Nase::N,мұрын,burun
3,Mund::N,ауыз,og'iz
4,Zahn::N,тіс,tish
5,Zunge::N,тіл,til
6,Lippe::N,ерін,dudoq
7,Wange::N,ұрт,bet
8,Gesicht::N,бет-аузы,yuz
9,Stirn::N,маңдай,manglay
10,Haar::N,қыл,soch
11,Schnurrbart::N,мұрт,mo'ylov
12,Bart::N,сақал,soqol
13,Kinn::N,иек,ängak
14,Kiefer[Anatomie]::N,жақ,iyak
15,Kehle::N,алқым,bo'g'iz
16,Hals::N,мойын,bo'yin
17,Genick::N,желке,gardan
18,Kopf::N,кәллә,bosh
19,Rücken::N,арқа,orqa
20,Bauch::N,қарын,qorin
21,Nabel::N,кіндік,kindik
22,Busen::N,омырау,ämchak
23,Brust::N,кеуде,ko'krak
24,Schulter::N,иық,elka
25,Arm::N,қол,bilak
26,Ellenbogen::N,шынтақ,tirsak
27,Hand::N,қол,qo'l
28,Handfläche::N,алақан,kaft
29,Finger::N,саусақ,barmoq
30,Fingernagel::N,тырнақ,tirnoq
31,Nagel[Anatomie]::N,тырнақ,tirnoq
32,Zeh::N,тырнақ,oyoq barmog'i
33,Zeh::N,тұяқ,oyoq barmog'i
34,Fuß::N,аяқ-басы,oyoq
35,Ferse::N,өкше,tovon
36,Ferse::N,өкшелік,tovon
37,Knie::N,тізе,tiz
38,Oberschenkel::N,жамбас,son
39,Bein::N,аяқ,oyoq
40,Körper::N,дене,badna
41,Haut::N,тері,teri
42,Blut::N,қан,qon
43,Ader::N,көктамыр,qon tomir
44,Ader::N,күретамыр,qon tomir
45,Sehne::N,сіңір,tomir
46,Knochen::N,жілік,suyak
47,Gehirn::N,ми,miya
48,Herz::N,жүрек,qalb
49,Magen::N,асқазан,oshqozon
50,Leber::N,бауыр,bag'ir
51,Atem::N,леп,dam
52,Hunger::N,ашаршылық,ochlik
53,Träne::N,жас,yosh
54,Geschmack::N,дәм,tam
55,Geschmack::N,татым,tam
56,Geschmack::N,талғам,tam
57,Geruch::N,иіс,jid
58,Schlaf::N,ұйқы,uyqu
59,Schlaf::N,ұйықтау,uyqu
60,Traum::N,түс,tush
61,Himmel::N,аспан,osmon
62,Himmel::N,көқ,osmon
63,Himmel::N,таңдай,osmon
64,Sonne::N,күн,quyosh
65,Mond::N,ай,oy
66,Stern::N,жұлдыз,yulduz
67,Luft::N,әуе,havo
68,Wind::N,жел,el
69,Welle::N,толқын,to'lqin
70,Wasser::N,су,suv
71,Stein::N,тас,tosh
72,Boden::N,қыртыс,tuproq
73,Erde::N,топырақ,er
74,Staub::N,шаң,chang
75,Rauch::N,түтін,tutun
76,Funke::N,ұшқын,yalt
77,Feuer::N,алау,o't
78,Licht::N,шұғыла,yorug'
79,Schatten::N,көлеңке,soya
80,Wetter::N,ауа райы,havo
81,Nebel::N,тұман,tuman
82,Wolke::N,бұлт,bulut
83,Regen::N,жаңбыр,yomg'ir
84,Schnee::N,қар,qor
85,Eis::N,мұз,muz
86,Frost::N,суық,ajoz
87,Kälte::N,ызғар,ajoz
88,Kälte::N,суықтық,ajoz
89,Hitze::N,аптап,issiq
90,Raureif::N,қырау,qirov
91,Regenbogen::N,кемпірқосақ,kamalak
92,Donner::N,күн күркіреу,guldur
93,Strömung::N,ағын,oqim
94,Tropfen::N,тамшы,tomchi
95,Schaum::N,көбік,ko'pik
96,Schmutz::N,кір,gard
97,See::N,көл,ko'l
98,Sumpf::N,саз,botqoq
99,Moor::N,саз,qir-adir
100,Wiese::N,шалғын,o'tzor
101,Wald::N,орман,o'rmon
