,Concept_ID,kl,ko
0,Auge::N,isi,눈
1,Ohr::N,siut,귀
2,Mund::N,paaq,입
3,Mund::N,qaneq,입
4,Zahn::N,kigut,이
5,Zunge::N,oqaq,혀
6,Lippe::N,qarloq,입술
7,Wange::N,ersaq,뺨
8,Gesicht::N,kiinaq,얼굴
9,Stirn::N,qaaq,이마
10,Haar::N,meqqoq,털
11,Bart::N,umik,수엄
12,Kinn::N,talloq,아래턱
13,Kiefer[Anatomie]::N,alleroq,턱
14,Kehle::N,malaq,인후
15,Hals::N,qungaseq,목
16,Genick::N,pukusuk,먹덜이
17,Kopf::N,niaqoq,머리
18,Rücken::N,qimerlut,든
19,Bauch::N,naaq,배
20,Nabel::N,qalaseq,배꼽
21,Busen::N,iviangeq,가슴속
22,Brust::N,iviangeq,가슴
23,Schulter::N,ersik,어깨
24,Schulter::N,assaqqoq,어깨
25,Arm::N,taleq,팔
26,Ellenbogen::N,ikusik,팔쿰치
27,Hand::N,assak,손
28,Handfläche::N,itumak,손바닥
29,Finger::N,inuak,속가락
30,Fingernagel::N,kikiak,손톱
31,Nagel[Anatomie]::N,kukik,손톱
32,Zeh::N,isigak,발가락
33,Ferse::N,kimmik,발꿈치
34,Knie::N,seeqqoq,무릎
35,Oberschenkel::N,uppat,허벅다리
36,Oberschenkel::N,quttoraq,허벅다리
37,Bein::N,isigak,다리
38,Körper::N,timi,구간
39,Haut::N,mattak,살갗
40,Blut::N,aak,피
41,Ader::N,taqaq,정맥
42,Sehne::N,ujalu,현
43,Sehne::N,ujaloq,현
44,Knochen::N,saanikut,뼈
45,Gehirn::N,qarasaq,뇌
46,Gehirn::N,qarasaq,뇌수
47,Herz::N,uummat,염통
48,Magen::N,aqajaroq,위
49,Leber::N,tinguk,간
50,Atem::N,anerneq,기식
51,Hunger::N,kaanneq,공복
52,Träne::N,qia,눈물
53,Träne::N,qiak,눈물
54,Geschmack::N,qilanaartuut,기호
55,Geruch::N,tipi,냄새
56,Geruch::N,tipik,냄새
57,Traum::N,sinnattoq,쿰
58,Traum::N,sinnattugaq,쿰
59,Himmel::N,qilak,하늘
60,Sonne::N,seqineq,해
61,Mond::N,qaammat,달
62,Stern::N,ulloriaq,별
63,Luft::N,silaannaq,동준
64,Luft::N,silaannaq,가스채
65,Wind::N,anori,바람
66,Wind::N,anorsarik,바람
67,Welle::N,aalappaa,물결
68,Wasser::N,imeq,물
69,Stein::N,ujarak,돌
70,Boden::N,nateq,바닥
71,Erde::N,issoq,흙
72,Staub::N,pujualanerit,먼지
73,Staub::N,pujoralanerit,먼지
74,Rauch::N,iseq,연기
75,Rauch::N,pujoq,연기
76,Funke::N,illoorneq,불티
77,Feuer::N,inneq,불
78,Licht::N,qaamaneq,불
79,Schatten::N,tarraq,어스레함
80,Wetter::N,sila,기상
81,Nebel::N,pujoq,안개
82,Wolke::N,nuia,구름
83,Regen::N,sialuk,비
84,Schnee::N,aput,눈
85,Eis::N,siku,얼음
86,Frost::N,issi,혹한
87,Frost::N,issik,혹한
88,Kälte::N,issi,추위
89,Kälte::N,issi,차가움
90,Hitze::N,kianneq,고온
91,Hitze::N,kianneq,더위
92,Hitze::N,kiassuseq,고온
93,Hitze::N,kiassuseq,더위
94,Raureif::N,kaneq,
95,Regenbogen::N,neriusaaq,무지개
96,Donner::N,kalleq,뇌명
97,Tropfen::N,kuseriarneq,물방울
98,Schaum::N,qapuk,포말
99,Schmutz::N,minguk,때
100,See::N,taseq,호수
101,Sumpf::N,maqulluk,습지
102,Wiese::N,masarsuk,목초지
103,Hügel::N,qattuneq,언덕
104,Hügel::N,majuariaq,언덕
105,Hügel::N,majorajaaq,언덕
106,Hügel::N,qaqqannguaq,언덕
107,Berg::N,qaqqaq,산
108,Höhle::N,qaarusuk,공동
109,Abhang::N,ippik,몰매
