,Concept_ID,la,ku
0,Auge::N,oculus,çav
1,Ohr::N,auris,guh
2,Nase::N,nasus,bêvil
3,Mund::N,os,dev
4,Zahn::N,dens,didan
5,Zunge::N,lingua,ziman
6,Lippe::N,labrum,lêv
7,Wange::N,gena,dêm
8,Wange::N,gena,hinarik
9,Gesicht::N,vultus,rû
10,Stirn::N,frons,enî
11,Haar::N,capillus,por
12,Schnurrbart::N,barba labri superioris,simbêl
13,Bart::N,barba,rih
14,Kinn::N,mentum,zenî
15,Kiefer[Anatomie]::N,mala,arguşk
16,Kehle::N,iugulums,qirik
17,Hals::N,collum,stû
18,Hals::N,collum,qirik
19,Genick::N,cervices,stû
20,Kopf::N,caput,serî
21,Rücken::N,tergum,pişt
22,Bauch::N,venter,ûr
23,Bauch::N,venter,zik
24,Nabel::N,umbilicus,navik
25,Busen::N,sinus,sîng
26,Brust::N,pectus,sîng
27,Schulter::N,umerus,mil
28,Arm::N,bracchium,çepil
29,Ellenbogen::N,cubitum,enîşk
30,Hand::N,manus,dest
31,Handfläche::N,palma,kefadest
32,Finger::N,digitus,tilî
33,Fingernagel::N,unguiculus,neynuk
34,Nagel[Anatomie]::N,unguis,bizmar
35,Zeh::N,digitus,tilî linga
36,Fuß::N,pes,ling
37,Ferse::N,calx,pahnî
38,Knie::N,genu,kabok
39,Oberschenkel::N,femur,rahn
40,Bein::N,crus,çip
41,Körper::N,corpus,laş
42,Körper::N,corpus,gowde
43,Haut::N,cutis,çerm
44,Haut::N,pellis,çerm
45,Blut::N,sanguis,xwîn
46,Ader::N,vena,reh
47,Sehne::N,nervus,reh
48,Knochen::N,os,hestî
49,Gehirn::N,cerebrum,mêjî
50,Herz::N,cor,dil
51,Herz::N,animus,dil
52,Magen::N,stomachus,navêş
53,Leber::N,iecur,kezeb
54,Atem::N,spiritus,hilm
55,Hunger::N,fames,birçîtî
56,Träne::N,lacrima,hêstir
57,Geschmack::N,sapor,tam
58,Geschmack::N,gustus,tam
59,Geruch::N,odor,bêhn
60,Schlaf::N,somnus,xew
61,Traum::N,somnium,xewn
62,Himmel::N,caelum,ezman
63,Sonne::N,sol,roj
64,Mond::N,luna,heyv
65,Stern::N,sidus,stêrk
66,Stern::N,stella,stêrk
67,Luft::N,aer,ba
68,Wind::N,ventus,ba
69,Welle::N,unda,şewl
70,Wasser::N,aqua,av
71,Stein::N,lapis,kevir
72,Boden::N,solum,herd
73,Erde::N,terra,ax
74,Staub::N,pulvis,toz
75,Rauch::N,fumus,dû
76,Funke::N,scintilla,çirûşk
77,Feuer::N,ignis,agir
78,Licht::N,lux,ronahî
79,Licht::N,lumen,ronahî
80,Schatten::N,umbra,sî
81,Wetter::N,caelum,hewa
82,Wetter::N,tempestas,hewa
83,Nebel::N,nebula,mij
84,Wolke::N,nubes,ewr
85,Regen::N,imber,baran
86,Regen::N,pluvia,baran
87,Schnee::N,nix,berf
88,Eis::N,glacies,qeşa
89,Frost::N,gelu,xûsik
90,Kälte::N,frigus,serma
91,Hitze::N,calor,germayî
92,Hitze::N,aestus,germayî
93,Raureif::N,pruina,şext
94,Regenbogen::N,arcus,heftreng
95,Donner::N,tonitrus,gire-gir
96,Strömung::N,fluctus,şewl
97,Tropfen::N,gutta,dilop
98,Schaum::N,spuma,kef
99,Schmutz::N,sordes,gemar
100,Schmutz::N,squalor,gemar
101,See::N,lacus,gol
102,Sumpf::N,palus,hezek
103,Moor::N,palus,mafêl
104,Wiese::N,pratum,sûrik
105,Wald::N,silva,çiya
106,Wald::N,silva,daristan
107,Hügel::N,collis,gir
108,Anhöhe::N,specula,sere gir
109,Berg::N,mons,kaş
110,Gipfel::N,vertex,sere gir
111,Höhle::N,caverna,şikeft
112,Höhle::N,spelunca,şikeft
113,Abhang::N,declivum,kaş
114,Quelle::N,fons,kanî
115,Bach::N,rivus,çem
116,Fluss::N,flumen,çem
117,Fluss::N,flumen,rûbar
118,Ufer::N,ripa,kevî
119,Küste::N,litus,berav
120,Festland::N,continens,bejahî
121,Meer::N,mare,behr
122,Bucht::N,sinus,derav
123,Insel::N,insula,girav
124,Blume::N,flos,kulînk
125,Gras::N,herba,giha
126,Gras::N,gramen,giha
127,Wurzel::N,radix,reh
128,Baum::N,arbor,dar
129,Stamm::N,truncus,bavik
130,Rinde::N,cortex,qaqil
131,Ast::N,ramus,gulî
132,Zweig::N,ramus,şax
133,Blatt::N,folium,pel
