,Concept_ID,mn,fi
0,Auge::N,нүд,silmä
1,Ohr::N,чих,korva
2,Nase::N,хамар,nenä
3,Mund::N,ам,suu
4,Zahn::N,шүд,hammas
5,Zunge::N,хэл,kieli
6,Lippe::N,уруул,huuli
7,Wange::N,хацар,poski
8,Gesicht::N,царай,naama
9,Gesicht::N,царай,kasvot
10,Gesicht::N,нүүр,naama
11,Gesicht::N,нүүр,kasvot
12,Stirn::N,дух,otsa
13,Haar::N,үс,hius
14,Haar::N,үс,tukka
15,Schnurrbart::N,дээд сахал,viikset
16,Schnurrbart::N,живэр сахал,viikset
17,Bart::N,сахал,parta
18,Kinn::N,эрүү,leuka
19,Kiefer[Anatomie]::N,эрүү,leukaluu
20,Kehle::N,хоолой,kurkku
21,Hals::N,хүзүү,kaula
22,Genick::N,шил,niska
23,Genick::N,хүзүү,niska
24,Kopf::N,толгой,pää
25,Rücken::N,ар,selkä
26,Rücken::N,нуруу,selkä
27,Bauch::N,хэвлий,maha
28,Bauch::N,хэвлий,vatsa
29,Bauch::N,гэдэс,maha
30,Bauch::N,гэдэс,vatsa
31,Nabel::N,хүйс,napa
32,Busen::N,хөх,rinta
33,Brust::N,цээж,rinta
34,Schulter::N,мөр,olka
35,Schulter::N,мөр,hartia
36,Schulter::N,мөр,olkapää
37,Schulter::N,бугалга,olka
38,Schulter::N,бугалга,hartia
39,Schulter::N,бугалга,olkapää
40,Arm::N,гар,käsivarsi
41,Ellenbogen::N,тохой,kyynärpää
42,Hand::N,гар,käsi
43,Hand::N,алга,käsi
44,Handfläche::N,алга,kämmen
45,Finger::N,хуруу,sormi
46,Fingernagel::N,хурууны хумс,kynsi
47,Nagel[Anatomie]::N,хумс,kynsi
48,Zeh::N,хуруу,varvas
49,Fuß::N,хөл,jalka
50,Ferse::N,өсгий,kantapää
51,Knie::N,өвдөг,polvi
52,Oberschenkel::N,гуя,reisi
53,Bein::N,хөл,jalka
54,Körper::N,бие,keho
55,Körper::N,бие,ruumis
56,Haut::N,арьс,iho
57,Blut::N,цус,veri
58,Ader::N,судас,suoni
59,Sehne::N,бүлх,jänne
60,Sehne::N,шандас,jänne
61,Knochen::N,яс,luu
62,Gehirn::N,тархи,aivot
63,Herz::N,зүрх,sydän
64,Magen::N,ходоод,maha
65,Magen::N,ходоод,vatsa
66,Leber::N,элэг,maksa
67,Atem::N,амьсгаа,henki
68,Atem::N,амьсгаа,hengitys
69,Hunger::N,өлсгөлөн,nälkä
70,Träne::N,нулимс,kyynel
71,Geschmack::N,амт,maku
72,Geruch::N,үнэр,haju
73,Schlaf::N,нойр,uni
74,Traum::N,зүүд,uni
75,Himmel::N,тэнгэр,taivas
76,Himmel::N,огторгуй,taivas
77,Sonne::N,нар,aurinko
78,Mond::N,сар,kuu
79,Stern::N,од,tähti
80,Luft::N,агаар,ilma
81,Wind::N,салхи,tuuli
82,Welle::N,долгио,aalto
83,Welle::N,давалгаа,aalto
84,Wasser::N,ус,vesi
85,Stein::N,чулуу,kivi
86,Boden::N,хөрс,maa
87,Boden::N,хөрс,maaperä
88,Erde::N,газар,maa
89,Erde::N,шороо,maa
90,Staub::N,тоос,pöly
91,Rauch::N,утаа,savu
92,Funke::N,оч,kipinä
93,Feuer::N,гал,tuli
94,Licht::N,гэрэл,valo
95,Licht::N,гэгээ,valo
96,Schatten::N,сүүдэр,varjo
97,Wetter::N,тэнгэр,sää
98,Wetter::N,цаг уур,sää
99,Nebel::N,будан,sumu
100,Wolke::N,үүл,pilvi
101,Regen::N,бороо,sade
102,Schnee::N,цас,lumi
103,Eis::N,мөс,jää
104,Frost::N,хүйт,halla
105,Frost::N,хүйт,pakkanen
106,Kälte::N,хүйт,vilu
107,Kälte::N,хүйт,kylmyys
108,Hitze::N,халуун,helle
109,Hitze::N,халуун,kuumuus
110,Raureif::N,цан,huurre
111,Raureif::N,хяруу,huurre
112,Regenbogen::N,солонго,sateenkaari
113,Donner::N,тэнгэрийн дуу,jyrinä
114,Strömung::N,урсгал,virtaus
115,Tropfen::N,дусал,tippa
116,Tropfen::N,дусал,pisara
117,Schaum::N,хөөс,vaahto
118,Schmutz::N,хир,loka
119,Schmutz::N,шавхай,loka
120,See::N,нуур,järvi
121,Sumpf::N,намаг,suo
122,Sumpf::N,балчиг,suo
123,Moor::N,хүлрийн намаг,räme
124,Wiese::N,нуга,niitty
125,Wald::N,ой,metsä
126,Hügel::N,болдог,mäki
127,Hügel::N,болдог,kumpu
128,Hügel::N,болдог,kukkula
129,Anhöhe::N,гүвээ,mäki
130,Anhöhe::N,гүвээ,kumpare
131,Berg::N,уул,mäki
132,Berg::N,уул,vuori
133,Gipfel::N,орой,laki
134,Gipfel::N,орой,huippu
135,Gipfel::N,оргил,laki
136,Gipfel::N,оргил,huippu
137,Höhle::N,агуй,luola
138,Abhang::N,хүр,rinne
139,Quelle::N,булаг,lähde
140,Bach::N,горхи,puro
141,Fluss::N,гол,joki
142,Fluss::N,мөрөн,joki
143,Ufer::N,эрэг,ranta
144,Küste::N,эрэг,rannikko
145,Festland::N,хуурай газар,manner
146,Meer::N,далай,meri
147,Meer::N,тэнгис,meri
148,Bucht::N,булан,lahti
149,Bucht::N,далайн тохой,lahti
150,Insel::N,арал,saari
151,Blume::N,цэцэг,kukka
152,Gras::N,өвс,ruoho
153,Gras::N,ногоо,ruoho
154,Wurzel::N,үндэс,juuri
155,Baum::N,мод,puu
156,Stamm::N,иш,runko
157,Stamm::N,гуалин,runko
158,Rinde::N,холтос,kuori
159,Rinde::N,холтос,parkki
160,Ast::N,гишүү,oksa
161,Zweig::N,салаа,haara
162,Blatt::N,навч,lehti
163,Birke::N,хус,koivu
164,Kiefer[Baum]::N,нарс,mänty
165,Kiefer[Baum]::N,нарс,petäjä
166,Weide[Baum]::N,уд,paju
167,Weide[Baum]::N,бургас,paju
168,Tanne::N,гачуур,kuusi
169,Horn::N,эвэр,sarvi
170,Feder::N,өд,sulka
171,Feder::N,өд,höyhen
172,Fell::N,арьс,talja
173,Flügel::N,жигүүр,siipi
174,Flügel::N,далавч,siipi
175,Klaue::N,савар,kynsi
176,Klaue::N,хумс,kynsi
177,Kralle::N,савар,kynsi
178,Schwanz::N,сүүл,häntä
179,Schwanz::N,сүүл,pyrstö
180,Ei::N,өндөг,muna
181,Nest::N,үүр,pesä
182,Bau::N,нүх,pesä
183,Bau::N,элүү,pesä
184,Tier::N,амьтан,eläin
185,Tier::N,адгуус,eläin
186,Herde::N,сүрэг,lauma
187,Kuh::N,үнээ,lehmä
188,Bulle::N,бух,sonni
189,Pferd::N,морь,hevonen
190,Pferd::N,адуу,hevonen
191,Schaf::N,хонь,lammas
192,Schwein::N,гахай,sika
193,Hund::N,нохой,koira
194,Katze::N,муур,kissa
195,Katze::N,мигуй,kissa
196,Bär::N,баавгай,karhu
197,Eichhörnchen::N,хэрэм,orava
198,Elch::N,хандгай,hirvi
199,Fuchs::N,үнэг,kettu
200,Hase::N,туулай,jänis
201,Maus::N,хулгана,hiiri
202,Wolf::N,чоно,susi
203,Vogel::N,шувуу,lintu
204,Schwarm::N,сүрэг,parvi
205,Huhn::N,тахиа,kana
206,Hahn::N,эр тахиа,kukko
207,Gans::N,галуу,hanhi
208,Adler::N,бүргэд,kotka
209,Ente::N,нугас,ankka
210,Eule::N,ууль,pöllö
211,Kranich::N,тогоруу,kurki
212,Krähe::N,хэрээ,varis
213,Kuckuck::N,хөхөө,käki
214,Schwan::N,хун,joutsen
215,Fisch::N,загас,kala
216,Barsch::N,алгана,ahven
217,Hecht::N,цурхай,hauki
218,Schlange[Tier]::N,могой,käärme
219,Wurm::N,өт,mato
220,Wurm::N,хорхой,mato
221,Spinne::N,аалз,hämähäkki
222,Ameise::N,шоргоолж,muurahainen
223,Laus::N,бөөс,täi
224,Mücke::N,шумуул,sääski
225,Mücke::N,шумуул,hyttynen
226,Fliege::N,ялаа,kärpänen
227,Schmetterling::N,эрвээхэй,perhonen
228,Beere::N,жимсгэнэ,marja
229,Apfel::N,алим,omena
230,Pilz::N,мөөг,sieni
231,Zwiebel::N,сонгино,sipuli
232,Saat::N,тариа,siemenet
233,Korn::N,үр,jyvä
234,Korn::N,үр,vilja
235,Korn::N,мөхлөг,jyvä
236,Korn::N,мөхлөг,vilja
237,Heu::N,өвс,heinä
238,Schale::N,хальс,kuori
239,Grube::N,алам,kuoppa
240,Grube::N,нүх,kuoppa
241,Falle::N,хавх,loukku
242,Falle::N,занга,loukku
243,Schlinge::N,урхи,ansa
244,Spur::N,мөр,jälki
245,Asche::N,үнс,tuhka
246,Dreck::N,хир,lika
247,Eisen::N,төмөр,rauta
248,Gold::N,алт,kulta
249,Silber::N,мөнгө,hopea
250,Kohle::N,нүүрс,hiili
251,Glas::N,шил,lasi
252,Lehm::N,шавар,savi
253,Sand::N,элс,hiekka
254,Mensch::N,хүн,ihminen
255,Mann::N,эр,mies
256,Mann::N,эрэгтэй,mies
257,Frau::N,эмэгтэй,nainen
258,Frau::N,хатагтай,nainen
259,Kind::N,хүүхэд,lapsi
260,Junge::N,хүү,poika
261,Mädchen::N,охин,tyttö
262,Mädchen::N,бүсгүй,tyttö
263,Familie::N,айл,perhe
264,Großvater::N,өвгөн аав,isoisä
265,Großmutter::N,эмэг эх,isoäiti
266,Großmutter::N,эмгээ,isoäiti
267,Eltern::N,эцэг эх,vanhemmat
268,Vater::N,аав,isä
269,Vater::N,эцэг,isä
270,Mutter::N,эх,äiti
271,Mutter::N,ээж,äiti
272,Sohn::N,хүү,poika
273,Tochter::N,охин,tytär
274,Bruder::N,ах,veli
275,Bruder::N,дүү,veli
276,Schwester::N,эгч,sisko
277,Schwester::N,охин дүү,sisko
278,Onkel::N,авга ах,eno
279,Onkel::N,авга ах,setä
280,Onkel::N,нагац ах,eno
281,Onkel::N,нагац ах,setä
282,Tante::N,авга эгч,täti
283,Tante::N,нагац эгч,täti
284,Ehemann::N,нөхөр,mies
285,Ehemann::N,нөхөр,aviomies
286,Ehefrau::N,эхнэр,vaimo
287,Ehefrau::N,эхнэр,aviovaimo
288,Ehefrau::N,гэргий,vaimo
289,Ehefrau::N,гэргий,aviovaimo
290,Freude::N,баяр,ilo
291,Freude::N,баяр,riemu
292,Freude::N,баясгалан,ilo
293,Freude::N,баясгалан,riemu
294,Gelächter::N,инээдэм,nauru
295,Glück::N,жаргалан,onni
296,Kummer::N,гаслан,suru
297,Kummer::N,гаслан,murhe
298,Wunsch::N,ерөөл,toive
299,Wunsch::N,ерөөл,toivomus
