,Concept_ID,uk,az
0,Auge::N,око,göz
1,Ohr::N,вухо,qulaq
2,Nase::N,ніс,burun
3,Mund::N,рот,ağız
4,Zahn::N,зуб,diş
5,Zunge::N,язик,dil
6,Lippe::N,губа,dodaq
7,Wange::N,щока,yanaq
8,Gesicht::N,обличчя,üz
9,Stirn::N,лоб,alın
10,Haar::N,волосся,saç
11,Schnurrbart::N,вуса,bığ
12,Bart::N,борода,saqqal
13,Kinn::N,підборіддя,çənə
14,Kiefer[Anatomie]::N,щелепа,çənə
15,Kehle::N,горло,boğaz
16,Hals::N,шия,boyun
17,Genick::N,потилиця,ənsə
18,Kopf::N,голова,baş
19,Rücken::N,спина,bel
20,Bauch::N,живіт,qarın
21,Nabel::N,пупок,göbək
22,Busen::N,груди,məmə
23,Brust::N,груди,döş
24,Schulter::N,плече,çiyin
25,Arm::N,рука,qol
26,Ellenbogen::N,лікоть,dirsək
27,Hand::N,рука,əl
28,Handfläche::N,долоня,ovuc
29,Finger::N,палець,barmaq
30,Fingernagel::N,ніготь,barmaq dırnağı
31,Nagel[Anatomie]::N,ніготь,dırnak
32,Zeh::N,палець на нозі,ayaq barmağı
33,Fuß::N,нога,ayaq
34,Ferse::N,п’ятка,daban
35,Knie::N,коліно,diz
36,Oberschenkel::N,стегно,bud
37,Bein::N,нога,qıç
38,Körper::N,тіло,əndam
39,Haut::N,шкіра,dəri
40,Blut::N,кров,qan
41,Ader::N,вена,damar
42,Sehne::N,сухожилля,vətər
43,Knochen::N,кістка,sümük
44,Gehirn::N,мозок,beyin
45,Herz::N,серце,ürək
46,Magen::N,шлунок,mədə
47,Leber::N,печінка,qara ciyər
48,Atem::N,дихання,nəfəs
49,Hunger::N,голод,aclıq
50,Träne::N,сльоза,göz yaşı
51,Geschmack::N,смак,tam
52,Geschmack::N,смак,ləzzət
53,Geruch::N,запах,qoxu
54,Schlaf::N,сон,yuxu
55,Schlaf::N,сплячка,yuxu
56,Traum::N,сон,röya
57,Himmel::N,небо,göy
58,Himmel::N,небо,səma
59,Sonne::N,сонце,günəş
60,Mond::N,місяць,ay
61,Stern::N,зірка,ulduz
62,Luft::N,повітря,hava
63,Wind::N,вітер,yel
64,Wind::N,вітер,külək
65,Welle::N,хвиля,dalğa
66,Wasser::N,вода,su
67,Stein::N,камінь,daş
68,Boden::N,ґрунт,yer
69,Boden::N,ґрунт,zəmin
70,Erde::N,земля,yer torpaq
71,Staub::N,пил,toz
72,Rauch::N,дим,tüstü
73,Funke::N,іскра,qığılcım
74,Feuer::N,вогонь,od
75,Licht::N,світло,işıq
76,Schatten::N,тінь,kölgə
77,Wetter::N,погода,hava
78,Nebel::N,туман,duman
79,Wolke::N,хмара,bulud
80,Regen::N,дощ,yağış
81,Regen::N,дощ,yağmur
82,Schnee::N,сніг,qar
83,Eis::N,лід,buz
84,Frost::N,мороз,ayaz
85,Kälte::N,холод,soyuq
86,Hitze::N,жар,coşğunluq
87,Raureif::N,іній,qırov
88,Regenbogen::N,райдуга,göy qurşağı
89,Donner::N,грім,göy gurultusu
90,Strömung::N,струмина,axın
91,Tropfen::N,крапля,damcı
92,Schaum::N,піна,köpük
93,Schmutz::N,бруд,çamır
94,See::N,озеро,göl
95,Sumpf::N,драговина,bataqlıq
96,Moor::N,болото,bataqlıq
97,Wiese::N,луг,çəmən
98,Wiese::N,лука,çəmən
99,Wald::N,ліс,meşə
100,Hügel::N,горб,təpə
101,Anhöhe::N,височина,təpə
102,Berg::N,гора,dağ
103,Gipfel::N,вершина,zirvə
104,Höhle::N,печера,mağara
105,Abhang::N,схил,yamac
106,Quelle::N,джерело,bulaq
107,Bach::N,струмок,kiçik çay
108,Fluss::N,річка,çay
109,Ufer::N,берег,kənar
110,Küste::N,узбережжя,sahil
111,Festland::N,суша,materik
112,Meer::N,море,dəniz
113,Bucht::N,бухта,körfəz
114,Bucht::N,затока,körfəz
115,Insel::N,острів,ada
116,Blume::N,квітка,çiçək
117,Gras::N,трава,ot
118,Wurzel::N,корінь,kök
119,Baum::N,дерево,ağac
120,Stamm::N,стовбур,gövdə
121,Rinde::N,кора,qabıq
122,Ast::N,гілка,şax
123,Zweig::N,галузь,budaq
124,Blatt::N,лист,yarpaq
125,Birke::N,береза,tozağacı
126,Kiefer[Baum]::N,сосна,şam
127,Weide[Baum]::N,верба,söyüd
128,Tanne::N,ялиця,küknar
129,Horn::N,ріг,buynuz
130,Feder::N,перо,tük
131,Feder::N,перо,lələk
132,Fell::N,хутро,xəz
133,Flügel::N,крило,qanad
134,Klaue::N,кіготь,pəncə
135,Kralle::N,лапа,dırnaq
136,Schwanz::N,хвіст,quyruq
137,Ei::N,яйце,yumurta
138,Nest::N,гніздо,yuva
139,Bau::N,лігво,yuva
140,Tier::N,тварина,heyvan
141,Herde::N,стадо,sürü
142,Kuh::N,корова,inək
143,Bulle::N,бик,öküz
144,Bulle::N,бугай,öküz
145,Pferd::N,кінь,at
146,Schaf::N,вівця,qoyun
147,Schwein::N,свиня,donuz
148,Hund::N,собака,it
149,Hund::N,собака,köpək
150,Katze::N,кішка,pişik
151,Bär::N,ведмідь,ayı
152,Eichhörnchen::N,білка,dələ
153,Elch::N,лось,sığın
154,Fuchs::N,лисиця,tülkü
155,Hase::N,заєць,dovşan
156,Maus::N,миша,siçan
157,Wolf::N,вовк,qurd
158,Vogel::N,птах,quş
159,Schwarm::N,зграя,sürü
160,Huhn::N,курка,toyuq
161,Hahn::N,півень,xoruz
162,Gans::N,гуска,qaz
163,Adler::N,орел,qartal
164,Adler::N,орел,qaraquş
165,Ente::N,качка,ördək
166,Eule::N,сова,bayquş
167,Kranich::N,журавель,durna
168,Krähe::N,ворона,qarğa
169,Kuckuck::N,зозуля,ququ
170,Schwan::N,лебідь,qu quşu
171,Fisch::N,риба,balıq
172,Barsch::N,окунь,tar
173,Hecht::N,щука,durnabalığı
174,Schlange[Tier]::N,змія,ilan
175,Wurm::N,черв’як,qurd
176,Spinne::N,павук,hörümçək
177,Ameise::N,мурашка,qarışqa
178,Laus::N,воша,bit
179,Mücke::N,комар,ağcaqanad
180,Fliege::N,муха,milçək
181,Schmetterling::N,метелик,kəpənək
182,Beere::N,ягода,gilə
183,Apfel::N,яблуко,alma
184,Pilz::N,гриб,göbələk
185,Zwiebel::N,цибуля,soğan
186,Saat::N,сім’я,əkin
187,Korn::N,зерно,taxıl
188,Heu::N,сіно,quru ot
189,Schale::N,шкірка,qabıq
190,Grube::N,яма,çuxur
191,Falle::N,пастка,tələ
192,Falle::N,пастка,duzaq
193,Schlinge::N,петля,ilmək
194,Spur::N,слід,iz
195,Asche::N,зола,kül
196,Asche::N,попіл,kül
197,Dreck::N,бруд,kir
198,Eisen::N,залізо,dəmir
199,Gold::N,золото,altun
200,Silber::N,срібло,gümüş
201,Kohle::N,вугілля,kömür
202,Glas::N,скло,şüşə
203,Lehm::N,глина,gil
204,Lehm::N,глина,palçıq
205,Sand::N,пісок,qum
206,Mensch::N,людина,adam
207,Mensch::N,людина,insan
208,Mann::N,чоловік,kişi
209,Frau::N,жінка,qadın
210,Kind::N,дитина,uşaq
211,Junge::N,хлопець,oğlan
212,Mädchen::N,дівчина,qız
213,Familie::N,сім’я,ailə
214,Familie::N,родина,ailə
215,Großvater::N,дідусь,baba
216,Großmutter::N,бабуся,nənə
217,Eltern::N,батьки,valideyn
218,Vater::N,батько,ata
219,Mutter::N,мати,ana
220,Sohn::N,син,oğul
221,Tochter::N,дочка,qız
222,Bruder::N,брат,qardaş
223,Schwester::N,сестра,bacı
224,Onkel::N,дядько,əmi
225,Onkel::N,дядько,dayı
226,Tante::N,тітка,bibi
227,Ehemann::N,чоловік,ər
228,Ehefrau::N,жінка,arvad
229,Ehefrau::N,дружина,arvad
230,Freude::N,радощі,nəşə
231,Freude::N,радощі,sevinc
232,Gelächter::N,сміх,gülüş
233,Gelächter::N,сміх,qəhqəhə
234,Glück::N,щастя,səadət
235,Glück::N,щастя,xoşbəxtlik
236,Kummer::N,горе,qəm
237,Kummer::N,горе,kədər
238,Wunsch::N,бажання,arzu
239,Lust::N,бажання,həvəs
240,Geist::N,дух,ruh
241,Gedanke::N,думка,fikir
242,Gedanke::N,думка,düşüncə
243,Gedächtnis::N,пам’ять,xatir
244,Gedächtnis::N,пам’ять,hafizə
245,Verstand::N,розум,ağıl
246,Sinn::N,зміст,məna
247,Sinn::N,значення,məna
248,Grund::N,причина,səbəb
249,Wahrheit::N,правда,haqq
250,Wahrheit::N,правда,doğruluq
251,Gespräch::N,розмова,söhbət
252,Gespräch::N,розмова,qonuşma
253,Märchen::N,байка,nağıl
254,Erzählung::N,повість,hekayə
255,Erzählung::N,оповідання,hekayə
256,Nachricht::N,повідомлення,xəbər
257,Neuigkeit::N,новина,xəbər
258,Neuigkeit::N,новина,yenilik
259,Name::N,ім’я,ad
260,Rätsel::N,загадка,tapmaca
261,Rede::N,промова,nitq
262,Sprache::N,мова,dil
263,Stimme::N,голос,səs
264,Wort::N,слово,söz
265,Wort::N,слово,kəlmə
266,Zeichen::N,знак,nişan
267,Ruf::N,оклик,çığırtı
268,Lärm::N,шум,gurultu
269,Laut::N,звук,səs
270,Ton::N,тон,ton
271,Lied::N,пісня,mahnı
272,Ruhe::N,спокій,sakitlik
273,Leute::N,люди,xalq
274,Volk::N,народ,millət
275,Arbeit::N,робота,iş
276,Arbeit::N,робота,əmək
277,Gast::N,гість,qonaq
278,Gast::N,гість,müsafir
279,Geschenk::N,подарунок,hədiyyə
280,Spiel::N,гра,oyun
281,Spiel::N,гра,tamaşa
282,Gesellschaft::N,товариство,cəmiyyet
283,Hilfe::N,допомога,kömək
284,Hilfe::N,допомога,yardım
285,Freund::N,друг,dost
286,Freund::N,приятель,dost
287,Kamerad::N,товариш,yoldaş
288,Angelegenheit::N,справа,iş
289,Anzahl::N,число,say
290,Art::N,рід,çeşid
291,Stück::N,кусок,dənə
292,Stück::N,кусок,parça
293,Teil::N,частина,qisim
294,Hälfte::N,половина,yarım
295,Kreis::N,круг,dairə
296,Kreis::N,коло,dairə
297,Kreuz::N,хрест,xaç
298,Linie::N,лінія,xətt
299,Strich::N,штрих,cızıq
300,Abstand::N,проміжок,məsafə
301,Entfernung::N,відстань,məsafə
302,Entfernung::N,відстань,uzaqlıq
303,Gegend::N,місцевість,bölgə
304,Platz::N,площа,yer
305,Ort::N,місце,yer
306,Seite::N,сторона,yan
307,Seite::N,сторона,tərəf
308,Mitte::N,середина,orta
309,Gegenstand::N,предмет,şey
310,Sache::N,річ,şey
311,Rand::N,край,kənar
312,Kante::N,ребро,tiyə
313,Kante::N,ребро,kənar
314,Ecke::N,ріг,bucaq
315,Spitze::N,кінчик,uc
316,Ende::N,кінець,son
317,Ende::N,кінець,axır
318,Loch::N,діра,deşik
319,Winkel::N,куток,guşə
320,Muster::N,узор,ülgü
321,Größe::N,розмір,böyüklük
322,Länge::N,довжина,uzunluq
323,Höhe::N,висота,yüksəklik
324,Gewicht::N,вага,çəki
325,Gewicht::N,вага,ağırlıq
326,Menge::N,кількість,miqdar
327,Haufen::N,купа,yığın
328,Reihe::N,ряд,səf
329,Reihe::N,ряд,sıra
330,Boot::N,човен,qayıq
331,Ruder::N,весло,kürək
332,Schlitten::N,сани,kirşə
333,Ski::N,лижа,xizək
334,Lagerfeuer::N,вогнище,düşərgə tonqalı
335,Last::N,тягар,yük
336,Last::N,вантаж,yük
337,Gang::N,хід,yeriş
338,Schritt::N,крок,addım
339,Norden::N,північ,şimal
340,Süden::N,південь,cənub
341,Westen::N,захід,qərb
342,Osten::N,схід,şərq
343,Holz::N,дрова,ağac
