,Concept_ID,br,lbe
0,Auge::N,lagad,я
1,Ohr::N,skouarn,вичӏи
2,Nase::N,fri,май
3,Mund::N,genoù,кьацӏ
4,Zahn::N,dant,ккарччи
5,Zunge::N,teod,маз
6,Lippe::N,muzell,мурччи
7,Wange::N,chot,чӏав
8,Gesicht::N,dremm,лажин
9,Stirn::N,tal,ненттабакӏ
10,Haar::N,blev,чӏара
11,Schnurrbart::N,mourenn,ссирссилтту
12,Bart::N,barv,чӏири
13,Kinn::N,groñj,лунттубакӏ
14,Kiefer[Anatomie]::N,javed,ххинчулул
15,Kehle::N,gouzoug,кьакьари
16,Hals::N,gouzoug,ссурссу
17,Genick::N,choug,махъабакӏ
18,Kopf::N,penn,бакӏ
19,Rücken::N,kein,ттиликӏ
20,Bauch::N,kof,лякьа
21,Nabel::N,begel,цӏумуккутӏ
22,Busen::N,bronn,ккукку
23,Brust::N,bruched,хъазам
24,Schulter::N,skoaz,хъачӏ
25,Arm::N,brec'h,ка
26,Ellenbogen::N,ilin,ссюрхъ
27,Hand::N,dorn,бартка
28,Handfläche::N,palv,хъат
29,Handfläche::N,palv,битӏянхъ
30,Finger::N,biz,кӏисса
31,Fingernagel::N,ivin,михь
32,Nagel[Anatomie]::N,ivin,михь
33,Zeh::N,biz-troad,кӏисса
34,Fuß::N,troad,чӏанччан
35,Ferse::N,seul,никъа
36,Knie::N,glin,ник
37,Oberschenkel::N,morzhed,жира
38,Bein::N,gar,ччан
39,Körper::N,korf,чурх
40,Haut::N,kroc'hen,бурчу
41,Blut::N,gwad,оь
42,Ader::N,gwazhi,тунну
43,Sehne::N,stir,хьхьа
44,Knochen::N,askorn,ттаркӏ
45,Gehirn::N,empenn,ня
46,Herz::N,kalon,дакӏ
47,Herz::N,kalon,къюкӏ
48,Magen::N,stomog,лякьа
49,Leber::N,avu,
50,Atem::N,anal,ссихӏ ласаву
51,Atem::N,anal,ссихӏ бигьаву
52,Hunger::N,naon,ккаши
53,Träne::N,daer,макь
54,Geschmack::N,blaz,тӏин
55,Geschmack::N,blaz,тӏааьн
56,Geruch::N,c'hwezh,кьанкь
57,Schlaf::N,kousked,шану
58,Traum::N,hune,макӏру
59,Himmel::N,oabl,ссав
60,Sonne::N,heol,баргъ
61,Mond::N,loar,барз
62,Stern::N,steredenn,цӏуку
63,Luft::N,aer,гьава
64,Wind::N,avel,марч
65,Welle::N,houlenn,щатӏи
66,Wasser::N,dour,щин
67,Stein::N,maen,чару
68,Boden::N,tachenn,аьрщи
69,Erde::N,douar,аьрщи
70,Staub::N,poultr,ххит
71,Rauch::N,moged,пуркӏу
72,Funke::N,ful,пиягь
73,Feuer::N,tan,цӏу
74,Licht::N,gouloù,чани
75,Schatten::N,disheol,ххют
76,Wetter::N,amzer,гьава
77,Nebel::N,brumenn,шархь ттурлу
78,Wolke::N,koumoulenn,ттурлу
79,Regen::N,glav,гъарал
80,Schnee::N,erc'h,марххала
81,Eis::N,skorn,микӏ
82,Frost::N,rev,дяркъу
83,Frost::N,rev,замгьар
84,Kälte::N,yen,дяркъу
85,Hitze::N,tommder,кӏиришиву
86,Raureif::N,frim,сил
87,Raureif::N,frim,бурса
88,Regenbogen::N,gwareg-ar-glav,ссурул ккуртта
89,Donner::N,kurun,къув
90,Strömung::N,red,экьинанаву
91,Tropfen::N,bannac'h,кӏунтӏ
92,Tropfen::N,takenn,кӏунтӏ
93,Schaum::N,spoum,хьама
94,Schmutz::N,fank,кьяркьи
95,See::N,lenn,бяр
96,Sumpf::N,gwern,кунцӏа
97,Moor::N,taouarc'heg,
98,Wiese::N,prad,кьан
99,Wald::N,koad,вацӏа
100,Hügel::N,torgenn,бакӏу
101,Anhöhe::N,run,
102,Berg::N,menez,зунтту
103,Gipfel::N,barr,мицӏ
104,Höhle::N,kav,нух
105,Abhang::N,naou,сун
106,Quelle::N,feunteun,дайдихьу
107,Quelle::N,feunteun,бакӏ
108,Bach::N,gwazh,чӏрир нех
109,Fluss::N,stêr,нех
110,Ufer::N,ribl,зума
111,Küste::N,aod,зумаинхалу
112,Küste::N,aod,зуманицӏалу
