,Concept_ID,mhr,tt
0,Auge::N,шинча́,күз
1,Ohr::N,пы́лыш,колак
2,Nase::N,нер,борын
3,Mund::N,умша́,авыз
4,Mund::N,умша́,тамак
5,Zahn::N,пӱй,теш
6,Zunge::N,йы́лме,тел
7,Lippe::N,тӱ́рвӧ,ирен
8,Wange::N,шӱ́ргӧ,яңак
9,Gesicht::N,чури́й,йөз
10,Stirn::N,саҥга́,маңгай
11,Haar::N,ӱп,чәч
12,Schnurrbart::N,ӧ́рыш,мыек
13,Bart::N,понда́ш,сакал
14,Kinn::N,оҥыла́ш,ияк
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,казналык
16,Kiefer[Anatomie]::N,пӱйората́,казналык
17,Kehle::N,лога́р,тамак
18,Hals::N,шӱй,бугаз
19,Genick::N,шӱйло́дыш,җилкә
20,Kopf::N,вуй,баш
21,Rücken::N,туп,сырт
22,Bauch::N,мӱ́шкыр,корсак
23,Nabel::N,кы́лымде,кендек
24,Busen::N,чы́зе,түш
25,Brust::N,оҥ,имчәк
26,Brust::N,оҥ,күкрәк
27,Schulter::N,ва́че,иңбаш
28,Schulter::N,ва́че,кулбаш
29,Arm::N,кид,кул
30,Ellenbogen::N,кынерву́й,терсәк
31,Hand::N,кид,кул
32,Hand::N,копа́,кул
33,Handfläche::N,со́во,уч
34,Finger::N,парня́,бармак
35,Fingernagel::N,кидкӱ́ч,тырнак
36,Fingernagel::N,парнягӱ́ч,тырнак
37,Nagel[Anatomie]::N,кӱч,тырнак
38,Zeh::N,йолварня́,бармак
39,Fuß::N,йол,табан
40,Fuß::N,йолкопа́,табан
41,Ferse::N,тага́н,үкчә
42,Knie::N,пулву́й,тез
43,Oberschenkel::N,э́рде,бот
44,Bein::N,йол,аяк
45,Körper::N,кап,тән
46,Körper::N,кап,җисем
47,Haut::N,кова́ште,тире
48,Blut::N,вӱр,кан
49,Ader::N,шӧн,тамыр
50,Sehne::N,шӧн,сеңер
51,Sehne::N,кӱсе́н,сеңер
52,Knochen::N,лу,сөяк
53,Gehirn::N,вем,ми
54,Gehirn::N,вуйве́м,ми
55,Herz::N,шӱм,йөрәк
56,Magen::N,пага́р,ашказаны
57,Leber::N,мокш,бавыр
58,Atem::N,шӱ́лыш,сулыш
59,Hunger::N,шужыма́ш,ачлык
60,Träne::N,шинчавӱ́д,яшь
61,Geschmack::N,там,тәм
62,Geschmack::N,там,зәвык
63,Geruch::N,пуш,ис
64,Schlaf::N,о́мо,йокы
65,Traum::N,йӱдо́мо,төш
66,Himmel::N,кава́,күк
67,Sonne::N,ке́че,кояш
68,Mond::N,ты́лзе,ай
69,Stern::N,шӱ́дыр,йолдыз
70,Luft::N,юж,һава
71,Wind::N,марде́ж,җил
72,Welle::N,то́лкын,дулкын
73,Wasser::N,вӱд,су
74,Stein::N,кӱ,таш
75,Boden::N,рок,туфрак
76,Erde::N,мла́нде,җир
77,Staub::N,пура́к,тузан
78,Rauch::N,шикш,төтен
79,Funke::N,сеске́м,очкын
80,Funke::N,тулйы́п,очкын
81,Feuer::N,тул,ут
82,Licht::N,со́то,якты
83,Schatten::N,ӱ́мыл,күләгә
84,Wetter::N,иге́че,һава
85,Nebel::N,тӱтыра́,томан
86,Wolke::N,пыл,болыт
87,Regen::N,йӱр,яңгыр
88,Schnee::N,лум,кар
89,Eis::N,ий,боз
90,Frost::N,чатлама́,суык
91,Frost::N,чатлама́,салкын
92,Kälte::N,йӱ́штӧ,суык
93,Kälte::N,йӱ́штӧ,салкын
94,Hitze::N,шо́кшо,эсселек
95,Raureif::N,пӧрш,бәс
96,Raureif::N,пӧрш,сыкы
97,Raureif::N,по́кшым,бәс
98,Raureif::N,по́кшым,сыкы
99,Regenbogen::N,шонанпы́л,салават күпере
100,Donner::N,кӱ́дырчӧ,күкрәү
101,Strömung::N,йо́гын,агыш'агым
102,Tropfen::N,чӱча́лтыш,тамчы
103,Schaum::N,шоҥ,күбек
104,Schmutz::N,лавыра́,пычрак
105,See::N,ер,күл
106,Sumpf::N,лӱ́кӧ,саз
107,Moor::N,куп,торфлык
108,Wiese::N,о́лык,болын
109,Wald::N,чодыра́,урман
110,Hügel::N,арка́,калку
111,Anhöhe::N,тӧва́,үр
112,Anhöhe::N,кӱкшака́,үр
113,Berg::N,ку́рык,тау
114,Gipfel::N,чаҥга́,оч
115,Gipfel::N,курыкву́й,оч
116,Höhle::N,пеще́р,мәгарә
117,Höhle::N,курыкпо́мыш,мәгарә
118,Abhang::N,та́йыл,кабырга
119,Quelle::N,важ,чишмә
120,Quelle::N,вӱдшинча́,чишмә
