,Concept_ID,ml,kl
0,Auge::N,കണ്ണ്,isi
1,Ohr::N,ചെവി,siut
2,Nase::N,മൂക്ക്,
3,Mund::N,വായ,paaq
4,Mund::N,വായ,qaneq
5,Zahn::N,പല്ല്,kigut
6,Zunge::N,നാക്ക്,oqaq
7,Lippe::N,ചുണ്ട്,qarloq
8,Wange::N,കവിൾത്തടം,ersaq
9,Gesicht::N,മുഖം,kiinaq
10,Stirn::N,നെറ്റി,qaaq
11,Haar::N,തലമുടി,meqqoq
12,Schnurrbart::N,മീശ,
13,Bart::N,താടിരോമം,umik
14,Kinn::N,താടി,talloq
15,Kiefer[Anatomie]::N,താടിയെല്ല്,alleroq
16,Kehle::N,കണ്ഠനാളം,malaq
17,Hals::N,കഴുത്ത്,qungaseq
18,Genick::N,പിടലി,pukusuk
19,Kopf::N,തല,niaqoq
20,Rücken::N,മുതുക്,qimerlut
21,Bauch::N,നയറ്,naaq
22,Nabel::N,നാഭി,qalaseq
23,Busen::N,സ്തനം,iviangeq
24,Brust::N,സ്തനം,iviangeq
25,Schulter::N,തോൾ,ersik
26,Schulter::N,തോൾ,assaqqoq
27,Arm::N,കൈ,taleq
28,Ellenbogen::N,കൈമുട്ട്,ikusik
29,Hand::N,കൈ,assak
30,Handfläche::N,ഉള്ളം കൈ,itumak
31,Finger::N,വിരൽ,inuak
32,Fingernagel::N,നഖം,kikiak
33,Nagel[Anatomie]::N,നഖം,kukik
34,Zeh::N,കാൽവിരൽ,isigak
35,Fuß::N,കാൽപ്പാദം,
36,Ferse::N,ഉപ്പൂറ്റി,kimmik
37,Knie::N,കാൽമുട്ട്,seeqqoq
38,Oberschenkel::N,തുട,uppat
39,Oberschenkel::N,തുട,quttoraq
40,Bein::N,കാൽ,isigak
41,Körper::N,ശരീരം,timi
42,Haut::N,ചർമ്മം,mattak
43,Blut::N,രക്തം,aak
44,Ader::N,ഞരമ്പ്,taqaq
45,Sehne::N,സ്നായു,ujalu
46,Sehne::N,സ്നായു,ujaloq
47,Knochen::N,അസ്ഥി,saanikut
48,Gehirn::N,തലച്ചോറ്,qarasaq
49,Herz::N,ഹൃദയം,uummat
50,Magen::N,വയർ,aqajaroq
51,Leber::N,കരൾ,tinguk
52,Atem::N,ശ്വാസം,anerneq
53,Hunger::N,വിശപ്പ്,kaanneq
54,Träne::N,കണ്ണീർ,qia
55,Träne::N,കണ്ണീർ,qiak
56,Geschmack::N,രുചി,qilanaartuut
57,Geruch::N,ഗന്ധം,tipi
58,Geruch::N,ഗന്ധം,tipik
59,Schlaf::N,ഉറകും,
60,Traum::N,സ്വപ്നം,sinnattoq
61,Traum::N,സ്വപ്നം,sinnattugaq
62,Himmel::N,ആകാശം,qilak
63,Sonne::N,സൂര്യൻ,seqineq
64,Mond::N,ചന്ദ്രൻ,qaammat
65,Stern::N,നക്ഷത്രം,ulloriaq
66,Luft::N,കാറ്റ്,silaannaq
67,Wind::N,കാറ്റ്,anori
68,Wind::N,കാറ്റ്,anorsarik
69,Welle::N,തിരമാല,aalappaa
70,Wasser::N,വെള്ളം,imeq
71,Stein::N,ശില,ujarak
72,Stein::N,കല്ല്,ujarak
73,Boden::N,തറ,nateq
74,Boden::N,നിലം,nateq
75,Erde::N,മണ്ണ്,issoq
76,Staub::N,പൊടി,pujualanerit
77,Staub::N,പൊടി,pujoralanerit
78,Rauch::N,പുക,iseq
79,Rauch::N,പുക,pujoq
80,Funke::N,തീപ്പൊരി,illoorneq
81,Feuer::N,തീ,inneq
82,Licht::N,വിളക്ക്,qaamaneq
83,Licht::N,സൂര്യപ്രകാശം,qaamaneq
84,Schatten::N,തണൽ,tarraq
85,Wetter::N,കാലാവസ്ഥ,sila
86,Nebel::N,മൂടൽമഞ്ഞ്,pujoq
87,Wolke::N,മേഘം,nuia
88,Regen::N,മഴ,sialuk
89,Schnee::N,മഞ്ഞ്,aput
90,Eis::N,ഐസ്,siku
91,Frost::N,മൂടൽമഞ്ഞ്,issi
92,Frost::N,മൂടൽമഞ്ഞ്,issik
93,Kälte::N,തണുപ്പ്,issi
94,Hitze::N,ചൂട്,kianneq
95,Hitze::N,ചൂട്,kiassuseq
96,Raureif::N,കോടമഞ്ഞ്,kaneq
97,Regenbogen::N,മഴവില്ല്,neriusaaq
98,Donner::N,ഇടി,kalleq
99,Strömung::N,പ്രവാഹം,
100,Tropfen::N,തുള്ളി,kuseriarneq
101,Schaum::N,നുര,qapuk
102,Schmutz::N,അഴുക്ക്,minguk
103,See::N,തടാകം,taseq
104,Sumpf::N,ചതുപ്പുനിലം,maqulluk
105,Moor::N,പാഴ്നിലം,
106,Wiese::N,പുൽത്തകിടി,masarsuk
107,Wald::N,വനം,
108,Wald::N,കാട്,
109,Hügel::N,കുന്ന്,qattuneq
110,Hügel::N,കുന്ന്,majuariaq
111,Hügel::N,കുന്ന്,majorajaaq
112,Hügel::N,കുന്ന്,qaqqannguaq
113,Anhöhe::N,ഉയർന്ന ഭൂമി,
114,Berg::N,പർവ്വതം,qaqqaq
115,Gipfel::N,ഉച്ചകോടി,
116,Höhle::N,ഗുഹ,qaarusuk
117,Abhang::N,ചരിവ്,ippik
118,Abhang::N,ചരിവ്,sivinganeq
119,Abhang::N,ചരിവ്,sivingajaaq
120,Abhang::N,ചരിവ്,kussangajaaq
121,Quelle::N,ഉറവിടം,
122,Bach::N,അരുവി,kuunnguaq
123,Fluss::N,നദി,kuuk
124,Ufer::N,തീരം,sissap sinaa
125,Küste::N,കടൽത്തീരം,sineriak
126,Festland::N,കര,
127,Meer::N,കടൽ,imaq
128,Bucht::N,ഉൾക്കടല്,ikeq
129,Bucht::N,ഉൾക്കടല്,kangerluk
130,Bucht::N,ഉൾക്കടല്,kangerliumaneq
131,Insel::N,ദ്വീപ്,qeqertaq
132,Blume::N,പൂവ്,naasoq
133,Gras::N,പുല്ല്,ivigaq
134,Wurzel::N,വേര്,niulutaq
135,Baum::N,മരം,orpik
136,Stamm::N,തായ്ത്തടി,kanaartaq
137,Rinde::N,പട്ട,ameraq
138,Ast::N,ശാഖ,avalequt
139,Zweig::N,ശാഖ,avalequt
140,Blatt::N,ഇല,pilutaq
141,Birke::N,പൂവരശ്,patitsit
142,Kiefer[Baum]::N,പൈൻമരം,
143,Weide[Baum]::N,വില്ലോ,palleq
144,Tanne::N,ദേവദാരു,orsuerneq
145,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,nassuk
146,Feder::N,തൂവൽ,suluk
147,Fell::N,മൃദുരോമം,ameq
148,Flügel::N,ചിറക്,suluk
149,Flügel::N,ചിറക്,isaroq
150,Klaue::N,നഖം,kukik
151,Kralle::N,നഖം,kukik
152,Schwanz::N,വാൽ,pamioq
153,Schwanz::N,വാൽ,paperuusaq
154,Ei::N,മുട്ട,mannik
155,Nest::N,കൂട്,ullut
156,Bau::N,മാളം,ini
157,Tier::N,മൃഗം,uumasoq
158,Herde::N,കൂട്ടം,unguukkat
159,Kuh::N,പശു,ussik
160,Bulle::N,കാള,angukulak
161,Bulle::N,കാള,anguteralak
162,Bulle::N,കാള,angutikulooq
163,Pferd::N,കുതിര,
164,Schaf::N,ആട്,sava
165,Schwein::N,പന്നി,puuluki
166,Hund::N,നായ്,qimmeq
167,Katze::N,പൂച്ച,puisaaq
168,Bär::N,കരടി,allaq
169,Eichhörnchen::N,അണ്ണാൻ,sissinnguaq
170,Elch::N,കടമാന്,
171,Fuchs::N,കുറുക്കൻ,terianniaq
172,Hase::N,മുയൽ,ukaleq
173,Maus::N,ചുണ്ടലി,teriannguaq
174,Wolf::N,ചെന്നായ,amaroq
175,Vogel::N,പക്ഷി,timmiaq
176,Schwarm::N,കൂട്ടം,
177,Huhn::N,കോഴി,kukkukooq
178,Huhn::N,കോഴി,marloraaqaaq
179,Hahn::N,പൂവൻകോഴി,kiasiusaq
180,Gans::N,അരയന്നം,nerleq
181,Adler::N,കഴുകൻ,nattoralik
182,Ente::N,താറാവ്,
183,Eule::N,മൂങ്ങ,uppik
184,Kranich::N,കൊക്ക്,qorlorfik
185,Krähe::N,കാക്ക,tuluatsiaq
186,Kuckuck::N,കുയിൽ,kukkooq
187,Schwan::N,അരയന്നം,qussuk
188,Fisch::N,മത്സ്യം,aalisagaq
189,Barsch::N,ഒരിനം മത്സ്യം,
190,Hecht::N,ഒരു മത്സ്യം,
191,Schlange[Tier]::N,പാമ്പ്,pulateriarsuk
192,Schlange[Tier]::N,പാമ്പ്,pulateriaarsuk
193,Wurm::N,വിര,
194,Spinne::N,ചിലന്തി,aasiaq
195,Spinne::N,ചിലന്തി,nissavaarsuk
196,Ameise::N,ഉറുമ്പ്,uniaaluk
197,Laus::N,പേന്,kumak
198,Mücke::N,മശകം,ippernaq
199,Fliege::N,ഈച്ച,ippernaq
200,Schmetterling::N,ചിത്രശലഭം,paluaq
201,Schmetterling::N,ചിത്രശലഭം,pakkaluaq
202,Schmetterling::N,ചിത്രശലഭം,utsuppaluaq
203,Schmetterling::N,ചിത്രശലഭം,taqaleqisaaq
204,Beere::N,ബെറി,paarmaq
205,Beere::N,ബെറി,paarngaq
206,Apfel::N,ആപ്പിൾ,iipili
207,Pilz::N,കൂൺ,anngiusaq
208,Zwiebel::N,സവാള,uanitsoq
209,Saat::N,വിത്ത്,naatsiiassaq
210,Korn::N,ധാന്യം,maannineq
211,Heu::N,വയ്ക്കോൽ,
212,Schale::N,തൊലി,niutsivik
213,Schale::N,തൊലി,ilulissaq qaartussaq
214,Grube::N,കുഴി,itersaq
215,Falle::N,കെണി,pualavoq
216,Schlinge::N,കുടുക്ക്,orseq
217,Schlinge::N,കുടുക്ക്,norloq
218,Spur::N,ചുവട്,tumaa
219,Asche::N,ചാരം,arsat
220,Dreck::N,അഴുക്ക്,minguk
221,Eisen::N,ഇരുമ്പ്,savimineq
222,Eisen::N,ഇരുമ്പ്,saffiugassaq
223,Gold::N,സ്വർണ്ണം,kuulti
224,Silber::N,വെള്ളി,siilviuvoq
225,Kohle::N,കൽക്കരി,aamarsuit aamaruutissat
226,Glas::N,ഗ്ലാസ്,igalaaq
227,Glas::N,ഗ്ലാസ്,imertarfik
228,Glas::N,ഗ്ലാസ്,igalaamineq
229,Lehm::N,കളിമണ്ണ്,marraq
230,Sand::N,മണൽ,sioqqat
231,Mensch::N,മനുഷ്യർ,inuk
232,Mensch::N,മനുഷ്യർ,silamiu
233,Mann::N,പുരുഷൻ,angut
234,Frau::N,സ്ത്രീ,arnaq
235,Kind::N,കുഞ്ഞ്,meeraq
236,Junge::N,ആൺകുട്ടി,nukappiaraq
237,Mädchen::N,പെൺകുട്ടി,arnannguaq
238,Familie::N,കുടുംബം,ilaqutakka
239,Familie::N,കുടുംബം,ilaqutariit
240,Großvater::N,അപ്പൂപ്പൻ,aatak
241,Großmutter::N,അമ്മുമ്മ,aanaq
242,Eltern::N,മാതാപിതാക്കള്,angajoqqaat
243,Vater::N,അച്ഛൻ,ataata
244,Vater::N,അച്ഛൻ,ataataq
245,Mutter::N,അമ്മ,anaana
246,Sohn::N,മകൻ,erneq
247,Tochter::N,മകൾ,panik
248,Bruder::N,ചേട്ടൻ,ani
249,Bruder::N,ചേട്ടൻ,aqqaluk
250,Bruder::N,ചേട്ടൻ,qatanngut
251,Bruder::N,അനിയൻ,ani
252,Bruder::N,അനിയൻ,aqqaluk
253,Bruder::N,അനിയൻ,qatanngut
254,Schwester::N,ചേച്ചി,naja
255,Schwester::N,ചേച്ചി,aleqa
256,Schwester::N,ചേച്ചി,qatanngut
257,Schwester::N,അനിയത്തി,naja
258,Schwester::N,അനിയത്തി,aleqa
259,Schwester::N,അനിയത്തി,qatanngut
260,Onkel::N,അമ്മാവൻ,akkak
261,Tante::N,മാമി,aja
262,Tante::N,മാമി,ajak
263,Tante::N,മാമി,atsak
264,Ehemann::N,ഭർത്താവ്,ui
265,Ehefrau::N,ഭാര്യ,nuliaq
266,Freude::N,ആഹ്ലാദം,tipaatsussuseq
267,Gelächter::N,ചിരിയുടെ ശബ്ദം,illaq
268,Glück::N,സന്തോഷം,usornaat
269,Glück::N,സന്തോഷം,usornarsuseq
270,Glück::N,സന്തുഷ്ടി,usornaat
271,Glück::N,സന്തുഷ്ടി,usornarsuseq
272,Kummer::N,ശോകം,
273,Wunsch::N,ആഗ്രഹം,kissaat
274,Lust::N,ആഗ്രഹം,illigussuseq
275,Lust::N,ആഗ്രഹം,piummaseq
276,Geist::N,ചുറുചുറുക്ക്,anerneq
277,Geist::N,ചുറുചുറുക്ക്,toornaq
278,Gedanke::N,ചിന്ത,isumassaq
279,Gedächtnis::N,ഓർമ്മശക്തി,eqqaamannissuseq
280,Verstand::N,മനസ്സ്,isuma
281,Verstand::N,മനസ്സ്,sianissut
282,Verstand::N,മനസ്സ്,misigissut
283,Verstand::N,മനസ്സ്,sianissuseq
284,Verstand::N,മനസ്സ്,silaqassuseq
285,Sinn::N,അർത്ഥം,isuma
286,Grund::N,കാരണം,patsit
287,Wahrheit::N,സത്യം,sallusuissut
288,Gespräch::N,സല്ലാപം,
289,Märchen::N,യക്ഷിക്കഥ,oqalualaarut
290,Märchen::N,യക്ഷിക്കഥ,oqaluasaaq
291,Erzählung::N,കഥ,oqaluttuaq
