,Concept_ID,kk,nl
0,Auge::N,көз,oog
1,Ohr::N,құлақ,oor
2,Nase::N,мұрын,neus
3,Mund::N,ауыз,mond
4,Zahn::N,тіс,tand
5,Zunge::N,тіл,tong
6,Lippe::N,ерін,lip
7,Wange::N,ұрт,wang
8,Gesicht::N,бет-аузы,gelaat
9,Gesicht::N,бет-аузы,gezicht
10,Stirn::N,маңдай,voorhoofd
11,Haar::N,қыл,haar
12,Schnurrbart::N,мұрт,snor
13,Bart::N,сақал,baard
14,Kinn::N,иек,kin
15,Kiefer[Anatomie]::N,жақ,kaak
16,Kehle::N,алқым,keel
17,Kehle::N,алқым,strot
18,Hals::N,мойын,hals
19,Genick::N,желке,nek
20,Kopf::N,кәллә,hoofd
21,Rücken::N,арқа,rug
22,Bauch::N,қарын,buik
23,Nabel::N,кіндік,navel
24,Busen::N,омырау,boezem
25,Brust::N,кеуде,borst
26,Schulter::N,иық,schouder
27,Arm::N,қол,arm
28,Ellenbogen::N,шынтақ,elleboog
29,Hand::N,қол,hand
30,Handfläche::N,алақан,handpalm
31,Finger::N,саусақ,vinger
32,Fingernagel::N,тырнақ,nagel
33,Nagel[Anatomie]::N,тырнақ,nagel
34,Zeh::N,тырнақ,teen
35,Zeh::N,тұяқ,teen
36,Fuß::N,аяқ-басы,voet
37,Ferse::N,өкше,hak
38,Ferse::N,өкше,hiel
39,Ferse::N,өкшелік,hak
40,Ferse::N,өкшелік,hiel
41,Knie::N,тізе,knie
42,Oberschenkel::N,жамбас,dij
43,Bein::N,аяқ,been
44,Körper::N,дене,lichaam
45,Haut::N,тері,huid
46,Blut::N,қан,bloed
47,Ader::N,көктамыр,ader
48,Ader::N,күретамыр,ader
49,Sehne::N,сіңір,pees
50,Knochen::N,жілік,bot
51,Knochen::N,жілік,been
52,Knochen::N,жілік,knook
53,Gehirn::N,ми,hersenen
54,Herz::N,жүрек,hart
55,Magen::N,асқазан,maag
56,Leber::N,бауыр,lever
57,Atem::N,леп,adem
58,Hunger::N,ашаршылық,honger
59,Träne::N,жас,traan
60,Geschmack::N,дәм,smaak
61,Geschmack::N,татым,smaak
62,Geschmack::N,талғам,smaak
63,Geruch::N,иіс,geur
64,Schlaf::N,ұйқы,slaap
65,Schlaf::N,ұйықтау,slaap
66,Traum::N,түс,droom
67,Himmel::N,аспан,hemel
68,Himmel::N,көқ,hemel
69,Himmel::N,таңдай,hemel
70,Sonne::N,күн,zon
71,Mond::N,ай,maan
72,Stern::N,жұлдыз,ster
73,Luft::N,әуе,lucht
74,Wind::N,жел,wind
75,Welle::N,толқын,golf
76,Wasser::N,су,water
77,Stein::N,тас,steen
78,Boden::N,қыртыс,grond
79,Erde::N,топырақ,aarde
80,Staub::N,шаң,stof
81,Rauch::N,түтін,rook
82,Funke::N,ұшқын,vonk
83,Feuer::N,алау,vuur
84,Licht::N,шұғыла,licht
85,Schatten::N,көлеңке,schaduw
86,Wetter::N,ауа райы,weer
87,Nebel::N,тұман,mist
88,Nebel::N,тұман,nevel
89,Wolke::N,бұлт,wolk
90,Regen::N,жаңбыр,regen
91,Schnee::N,қар,sneeuw
92,Eis::N,мұз,ijs
93,Frost::N,суық,vorst
94,Kälte::N,ызғар,kou
95,Kälte::N,ызғар,koude
96,Kälte::N,суықтық,kou
97,Kälte::N,суықтық,koude
98,Hitze::N,аптап,hitte
99,Raureif::N,қырау,rijp
100,Regenbogen::N,кемпірқосақ,regenboog
101,Donner::N,күн күркіреу,donder
102,Strömung::N,ағын,stroming
103,Tropfen::N,тамшы,druppel
104,Schaum::N,көбік,schuim
105,Schmutz::N,кір,vuil
106,See::N,көл,meer
107,Sumpf::N,саз,moeras
108,Moor::N,саз,veen
109,Wiese::N,шалғын,wei
110,Wiese::N,шалғын,weide
111,Wald::N,орман,bos
112,Hügel::N,төбе,heuvel
113,Hügel::N,белес,heuvel
114,Hügel::N,белес-белес,heuvel
115,Anhöhe::N,дөң,hoogte
116,Anhöhe::N,адыр,hoogte
117,Anhöhe::N,қырат,hoogte
118,Berg::N,тау,berg
119,Gipfel::N,төбе,top
120,Höhle::N,үңгір,hol
121,Abhang::N,бауыр,helling
122,Quelle::N,қайнар,bron
123,Bach::N,жылға,beek
124,Fluss::N,өзен,stroom
125,Ufer::N,жиек,wal
126,Ufer::N,жиек,oever
127,Küste::N,жиегі,kust
128,Küste::N,жағалау,kust
129,Festland::N,құрылық,vasteland
130,Meer::N,теңіз,zee
131,Bucht::N,шығанақ,baai
132,Bucht::N,шығанақ,inham
133,Insel::N,арал,eiland
134,Blume::N,гүл,bloem
135,Gras::N,от,gras
136,Wurzel::N,түбір,wortel
137,Baum::N,ағаш,boom
138,Baum::N,дарақ,boom
139,Stamm::N,сояу,stam
140,Stamm::N,оқпан,stam
141,Rinde::N,қабық,schors
142,Ast::N,бұтақ,tak
143,Zweig::N,шыбық,twijg
144,Blatt::N,жапырақ,blad
145,Birke::N,қайың,berk
146,Kiefer[Baum]::N,қарағай,den
147,Weide[Baum]::N,тал,wilg
148,Tanne::N,шырша,spar
149,Horn::N,мүйіз,hoorn
150,Feder::N,қаламұш,veer
151,Feder::N,қаламұш,pluim
152,Fell::N,тері,vel
153,Flügel::N,қанат,vleugel
154,Klaue::N,тырнақ,klauw
155,Kralle::N,аяқ,klauw
156,Schwanz::N,құйрық,staart
157,Ei::N,жұмыртқа,ei
158,Nest::N,ұя,nest
159,Bau::N,жатақ,hol
160,Tier::N,айуан,dier
161,Tier::N,жануар,dier
162,Herde::N,пада,kudde
163,Kuh::N,сиыр,koe
164,Bulle::N,өгіз,stier
165,Pferd::N,жылқы,paard
166,Schaf::N,қой,schaap
167,Schwein::N,шошқа,varken
168,Hund::N,ит,hond
169,Katze::N,мысық,kat
170,Bär::N,аю,beer
171,Eichhörnchen::N,тиін,eekhoorntje
172,Elch::N,бұғы,eland
173,Fuchs::N,түлкі,vos
174,Hase::N,қоян,haas
175,Maus::N,қаптесер,muis
176,Wolf::N,бөрі,wolf
177,Wolf::N,қасқыр,wolf
178,Vogel::N,құс,vogel
179,Schwarm::N,топ,zwerm
180,Schwarm::N,үйір,zwerm
181,Huhn::N,тауық,kip
182,Huhn::N,тауық,hoen
183,Huhn::N,мекиен,kip
184,Huhn::N,мекиен,hoen
185,Hahn::N,әтеш,haan
186,Hahn::N,қораз,haan
187,Gans::N,қаз,gans
188,Adler::N,бүркіт,arend
189,Ente::N,үйрек,eend
190,Eule::N,жапалақ,uil
191,Kranich::N,тырна,kraanvogel
192,Krähe::N,қарға,kraai
193,Kuckuck::N,көкек,koekoek
194,Schwan::N,аққу,zwaan
195,Fisch::N,балық,vis
196,Barsch::N,алабұға,baars
197,Hecht::N,шортан,snoek
198,Schlange[Tier]::N,жылан,slang
199,Wurm::N,шұбалшаң,worm
200,Spinne::N,өрмекші,spin
201,Ameise::N,қүмырска,mier
202,Laus::N,бит,luis
203,Mücke::N,маса,mug
204,Fliege::N,шыбын,vlieg
205,Schmetterling::N,көбелек,vlinder
206,Beere::N,жидек,bes
207,Apfel::N,алма,appel
208,Pilz::N,қозықұйрық,paddestoel
209,Pilz::N,саңыраукулақ,paddestoel
210,Zwiebel::N,жуа,ui
211,Saat::N,тұқым,zaad
212,Korn::N,дән,graan
213,Korn::N,дән,korrel
214,Heu::N,шөп,hooi
215,Schale::N,қабық,schil
216,Schale::N,қабығы,schil
217,Grube::N,ор,kuil
218,Falle::N,дұзақ,val
219,Falle::N,қақпан,val
220,Schlinge::N,ілмек,strop
221,Spur::N,із,spoor
222,Asche::N,күл,as
223,Dreck::N,былғаныш,drek
224,Eisen::N,темір,ijzer
225,Gold::N,алтын,goud
226,Silber::N,күміс,zilver
227,Kohle::N,көмір,kool
228,Glas::N,шыны,glas
229,Lehm::N,балшық,klei
230,Sand::N,құм,zand
231,Mensch::N,адам,mens
232,Mann::N,еркек,man
233,Mann::N,ер адам,man
234,Frau::N,бике,vrouw
235,Frau::N,қатын,vrouw
236,Kind::N,бала,kind
237,Kind::N,перзент,kind
238,Junge::N,бала,jongen
239,Junge::N,ер бала,jongen
240,Mädchen::N,қыз,meisje
241,Familie::N,жанұя,gezin
242,Familie::N,жанұя,familie
243,Großvater::N,ата,grootvader
244,Großmutter::N,әже,grootmoeder
245,Großmutter::N,әжей,grootmoeder
246,Eltern::N,ата-аналар,ouders
247,Vater::N,әке,vader
248,Mutter::N,ана,moeder
249,Sohn::N,ұл,zoon
250,Tochter::N,қызым,dochter
251,Bruder::N,бауырым,broer
252,Bruder::N,бауырым,broeder
253,Schwester::N,әпке,zus
254,Schwester::N,әпке,zuster
255,Onkel::N,көке,oom
256,Tante::N,тәте,tante
257,Ehemann::N,ер,echtgenoot
258,Ehefrau::N,зайып,echtgenote
259,Freude::N,қуаныш,vreugde
260,Freude::N,сүйініш,vreugde
261,Freude::N,шат-думан,vreugde
262,Freude::N,қуаныштылық,vreugde
263,Gelächter::N,күлу,gelach
264,Glück::N,бақыт,geluk
265,Glück::N,бақыттылық,geluk
266,Kummer::N,аза,verdriet
267,Kummer::N,қайғы,verdriet
268,Kummer::N,қасырет,verdriet
269,Wunsch::N,мүдде,wens
270,Wunsch::N,мүдде,verlangen
271,Lust::N,тәбет,zin
272,Lust::N,тәбет,lust
273,Lust::N,ынтызар,zin
274,Lust::N,ынтызар,lust
275,Lust::N,құштарлық,zin
276,Lust::N,құштарлық,lust
277,Geist::N,рух,geest
278,Gedanke::N,ой,gedachte
279,Gedächtnis::N,ес,geheugen
280,Gedächtnis::N,жады,geheugen
281,Gedächtnis::N,ақыл-ес,geheugen
282,Verstand::N,ақыл,verstand
283,Verstand::N,парасат,verstand
284,Sinn::N,мән,betekenis
285,Sinn::N,маныз,betekenis
286,Sinn::N,мағына,betekenis
287,Sinn::N,мән-мағына,betekenis
288,Grund::N,себеп,reden
289,Wahrheit::N,рас,waarheid
290,Gespräch::N,әңгіме,gesprek
291,Märchen::N,ертеп,sprookje
292,Märchen::N,ертек,sprookje
293,Erzählung::N,әңгіме,verhaal
294,Nachricht::N,хабар,tijding
295,Neuigkeit::N,жаңалық,nieuws
296,Neuigkeit::N,жаңалық,nieuwtje
297,Name::N,ат,naam
298,Name::N,атау,naam
299,Rätsel::N,жұмбақ,raadsel
300,Rede::N,сөз,rede
301,Sprache::N,тіл,taal
302,Stimme::N,үн,stem
303,Stimme::N,әуен,stem
304,Stimme::N,дауыс,stem
305,Wort::N,сөз,woord
306,Zeichen::N,ишара,teken
307,Ruf::N,айғай,roep
308,Lärm::N,айғай-шу,lawaai
309,Lärm::N,айғай-ұйғай,lawaai
310,Laut::N,дыбыс,klank
311,Laut::N,дыбыс,geluid
312,Laut::N,дауыс,klank
313,Laut::N,дауыс,geluid
314,Ton::N,әуен,toon
315,Ton::N,әуен,klank
316,Lied::N,ән,lied
317,Lied::N,жыр,lied
318,Lied::N,ән-жыр,lied
319,Ruhe::N,тыныштық,rust
320,Ruhe::N,тыныштық,stilte
321,Leute::N,кісілер,lui
322,Leute::N,кісілер,mensen
323,Volk::N,халық,volk
324,Arbeit::N,еңбек,werk
325,Arbeit::N,еңбек,arbeid
326,Gast::N,қонақ,gast
327,Gast::N,мейман,gast
328,Geschenk::N,қадия,cadeau
329,Geschenk::N,қадия,geschenk
330,Spiel::N,ойын,spel
331,Gesellschaft::N,қауым,gezelschap
332,Gesellschaft::N,жұртшылық,gezelschap
333,Hilfe::N,жэрдем,hulp
334,Freund::N,дос,vriend
335,Kamerad::N,дос-жар,maat
336,Kamerad::N,дос-жар,metgezel
337,Angelegenheit::N,жұмыс,zaak
338,Angelegenheit::N,жұмыс,aangelegenheid
339,Anzahl::N,сан,tal
340,Anzahl::N,сан,aantal
