,Concept_ID,ml,hy
0,Auge::N,കണ്ണ്,աչք
1,Ohr::N,ചെവി,ականջ
2,Nase::N,മൂക്ക്,քիթ
3,Mund::N,വായ,բերան
4,Zahn::N,പല്ല്,ատամ
5,Zunge::N,നാക്ക്,լեզու
6,Lippe::N,ചുണ്ട്,շրթունք
7,Wange::N,കവിൾത്തടം,այտ
8,Wange::N,കവിൾത്തടം,թուշ
9,Gesicht::N,മുഖം,դեմք
10,Stirn::N,നെറ്റി,ճակատ
11,Haar::N,തലമുടി,մազ
12,Schnurrbart::N,മീശ,բեղ
13,Bart::N,താടിരോമം,մորուք
14,Kinn::N,താടി,կզակ
15,Kiefer[Anatomie]::N,താടിയെല്ല്,ծնոտ
16,Kehle::N,കണ്ഠനാളം,կոկորդ
17,Hals::N,കഴുത്ത്,վիզ
18,Hals::N,കഴുത്ത്,պարանոց
19,Genick::N,പിടലി,ծոծրակ
20,Kopf::N,തല,գլուխ
21,Rücken::N,മുതുക്,մեջք
22,Bauch::N,നയറ്,փոր
23,Bauch::N,നയറ്,որովայն
24,Nabel::N,നാഭി,պորտ
25,Busen::N,സ്തനം,ծոց
26,Brust::N,സ്തനം,կուրծք
27,Schulter::N,തോൾ,ուս
28,Arm::N,കൈ,թեւ
29,Arm::N,കൈ,բազուկ
30,Ellenbogen::N,കൈമുട്ട്,արմունկ
31,Hand::N,കൈ,ձեռք
32,Handfläche::N,ഉള്ളം കൈ,ափ
33,Finger::N,വിരൽ,մատ
34,Fingernagel::N,നഖം,եղունգ
35,Nagel[Anatomie]::N,നഖം,եղունգ
36,Zeh::N,കാൽവിരൽ,ոտքի մատ
37,Fuß::N,കാൽപ്പാദം,ոտք
38,Ferse::N,ഉപ്പൂറ്റി,գարշապար
39,Knie::N,കാൽമുട്ട്,ծունկ
40,Oberschenkel::N,തുട,ազդր
41,Bein::N,കാൽ,ոտք
42,Körper::N,ശരീരം,մարմին
43,Haut::N,ചർമ്മം,մաշկ
