,Concept_ID,xal,eu
0,Auge::N,нүдн,begi
1,Ohr::N,чикн,belarri
2,Nase::N,хамр,sudur
3,Mund::N,амн,aho
4,Zahn::N,шүдн,hortz
5,Zunge::N,келн,mihi
6,Lippe::N,урл,ezpain
7,Wange::N,халх,masail
8,Gesicht::N,нүр,aurpegi
9,Stirn::N,маңна,bekoki
10,Haar::N,үсн,ile
11,Haar::N,үсн,bilo
12,Schnurrbart::N,сахл,bibote
13,Schnurrbart::N,сахл,sudurpeko
14,Bart::N,сахл,bizar
15,Bart::N,өргнә сахл,bizar
16,Kinn::N,өргн,kokots
17,Kiefer[Anatomie]::N,өргн,masailezur
18,Kehle::N,хол,eztarri
19,Hals::N,күзүн,sama
20,Genick::N,гиҗг,garondo
21,Kopf::N,толһа,buru
22,Rücken::N,нурһн,bizkar
23,Bauch::N,гесн,sabel
24,Nabel::N,киисн,zilbor
25,Busen::N,көкн,titi
26,Busen::N,көкн,ugatz
27,Brust::N,чееҗ,bular
28,Schulter::N,ээм,besaburu
29,Arm::N,һар,beso
30,Ellenbogen::N,тоха,ukondo
31,Hand::N,баһлцг,esku
32,Handfläche::N,альхн,ahur
33,Finger::N,хурһн,hatz
34,Finger::N,һарин хурһн,hatz
35,Fingernagel::N,хумсн,azazkal
36,Nagel[Anatomie]::N,хумсн,azazkal
37,Zeh::N,хурһн,behatz
38,Zeh::N,көлин хурһн,behatz
39,Fuß::N,тавг,oin
40,Ferse::N,өскә,orpo
41,Ferse::N,өскә,oinburu
42,Knie::N,өвдг,belaun
43,Oberschenkel::N,һуй,izter
44,Bein::N,көл,zango
45,Körper::N,махмуд,soin
46,Haut::N,арсн,azal
47,Blut::N,цусн,odol
48,Ader::N,судцн,zain
49,Sehne::N,шүрүсн,gihar-zain
50,Knochen::N,ясн,hezur
51,Gehirn::N,экн,garun
52,Gehirn::N,экн,burmuin
53,Herz::N,зүркн,bihotz
54,Magen::N,гесн,urdail
55,Leber::N,элкн,gibel
