,Concept_ID,ca,ru
0,Auge::N,ull,глаз
1,Ohr::N,orella,ухо
2,Nase::N,nas,нос
3,Mund::N,boca,рот
4,Zahn::N,dent,зуб
5,Zunge::N,llēngua,язык
6,Lippe::N,llavi,губа
7,Wange::N,galta,щека
8,Gesicht::N,cara,лицо
9,Stirn::N,front,лоб
10,Haar::N,cabēll,волос
11,Haar::N,cabēll,волосы
12,Schnurrbart::N,bigoti,ус
13,Schnurrbart::N,bigoti,усы
14,Bart::N,barba,борода
15,Kinn::N,mentó,подбородок
16,Kinn::N,barbeta,подбородок
17,Kiefer[Anatomie]::N,queix,челюсть
18,Kiefer[Anatomie]::N,mandíbula,челюсть
19,Kehle::N,gola,горло
20,Kehle::N,gorja,горло
21,Hals::N,coll,шея
22,Genick::N,nuca,затылок
23,Kopf::N,cap,голова
24,Rücken::N,esquena,спина
25,Bauch::N,panxa,живот
26,Nabel::N,llombrígol,пупок
27,Busen::N,pit,женская грудь
28,Busen::N,mama,женская грудь
29,Brust::N,pit,грудь
30,Schulter::N,espatlla,плечо
31,Arm::N,braç,рука
32,Ellenbogen::N,colze,локоть
33,Hand::N,mà,кисть
34,Handfläche::N,palma,ладонь
35,Finger::N,dit,палец
36,Fingernagel::N,ungla,ноготь
37,Nagel[Anatomie]::N,ungla,ноготь
38,Zeh::N,dit del peu,палец
39,Fuß::N,peu,ступня
40,Ferse::N,taló,пята
41,Ferse::N,taló,пятка
42,Knie::N,genoll,колено
43,Oberschenkel::N,cuixa,бедро
44,Bein::N,cama,нога
45,Körper::N,cos,тело
46,Haut::N,pell,кожа
47,Blut::N,sang,кровь
48,Ader::N,vena,вена
49,Ader::N,vena,сосуд
50,Sehne::N,tendó,жила
51,Sehne::N,tendó,тетива
52,Sehne::N,tendó,сухожилие
53,Knochen::N,os,кость
54,Gehirn::N,cervell,мозг
55,Herz::N,cor,сердце
56,Magen::N,estómac,желудок
57,Leber::N,fetge,печень
58,Atem::N,alè,дух
59,Atem::N,alè,дыхание
60,Atem::N,hàlit,дух
61,Atem::N,hàlit,дыхание
62,Hunger::N,fam,голод
63,Hunger::N,gana,голод
64,Träne::N,llàgrima,слеза
65,Geschmack::N,gust,вкус
66,Geschmack::N,sabor,вкус
67,Geruch::N,olor,запах
68,Schlaf::N,son,сон
69,Traum::N,somni,сновидение
70,Himmel::N,celm,небо
71,Sonne::N,sol,солнце
72,Mond::N,lluna,луна
73,Stern::N,estel,звезда
74,Stern::N,estrella,звезда
75,Luft::N,aire,воздух
76,Wind::N,vent,ветер
77,Welle::N,ona,волна
78,Wasser::N,āigua,вода
79,Stein::N,pedra,камень
80,Boden::N,sòl,почва
81,Erde::N,terra,земля
82,Staub::N,pols,пыль
83,Rauch::N,fum,дым
84,Funke::N,guspira,искра
85,Funke::N,centella,искра
86,Feuer::N,foc,огонь
87,Licht::N,llum,свет
88,Schatten::N,ombra,тень
89,Wetter::N,temps,погода
90,Nebel::N,boira,туман
91,Wolke::N,núvol,облако
92,Regen::N,pluja,дождь
93,Schnee::N,neu,снег
94,Eis::N,gel,лед
95,Eis::N,glaç,лед
96,Frost::N,glaçada,мороз
97,Kälte::N,fred,холод
98,Hitze::N,calor,жара
99,Raureif::N,gebre,иней
100,Regenbogen::N,arc iris,радуга
101,Donner::N,tro,гром
102,Strömung::N,corrent,течение
103,Tropfen::N,gota,капля
104,Schaum::N,escuma,пена
105,Schmutz::N,brutícia,грязь
106,See::N,llac,озеро
107,Sumpf::N,pantà,топь
108,Moor::N,pantà,болото
109,Wiese::N,prat,луг
110,Wiese::N,prada,луг
111,Wald::N,bosc,лес
112,Hügel::N,puig,холм
113,Hügel::N,pujol,холм
114,Anhöhe::N,turó,возвышенность
115,Berg::N,muntanya,гора
116,Gipfel::N,cim,вершина
117,Höhle::N,cova,пещера
118,Abhang::N,coster,склон
119,Quelle::N,font,источник
120,Bach::N,riera,ручей
121,Fluss::N,riu,река
122,Ufer::N,riba,берег
123,Küste::N,costa,побережье
124,Festland::N,terra ferma,суша
125,Meer::N,mar,море
126,Bucht::N,cala,бухта
127,Bucht::N,badia,бухта
128,Insel::N,illa,остров
129,Blume::N,flor,цветок
