,Concept_ID,ml,ce
0,Auge::N,കണ്ണ്,бӏаьрг
1,Ohr::N,ചെവി,лерг
2,Nase::N,മൂക്ക്,мара
3,Mund::N,വായ,бага
4,Zahn::N,പല്ല്,церг
5,Zunge::N,നാക്ക്,мотт
6,Lippe::N,ചുണ്ട്,балда
7,Wange::N,കവിൾത്തടം,бесни
8,Gesicht::N,മുഖം,юьхь
9,Stirn::N,നെറ്റി,хьаж
10,Haar::N,തലമുടി,мас
11,Schnurrbart::N,മീശ,мекх
12,Bart::N,താടിരോമം,маж
13,Kinn::N,താടി,чӏениг
14,Kiefer[Anatomie]::N,താടിയെല്ല്,мочхал
15,Kehle::N,കണ്ഠനാളം,къамкъарг
16,Hals::N,കഴുത്ത്,ворта
17,Genick::N,പിടലി,кӏесаркӏаг
18,Kopf::N,തല,корта
19,Rücken::N,മുതുക്,букъ
20,Bauch::N,നയറ്,кийра
21,Nabel::N,നാഭി,цӏонга
22,Busen::N,സ്തനം,зударийн накха
23,Brust::N,സ്തനം,накха
24,Schulter::N,തോൾ,белш
25,Arm::N,കൈ,пхьарс
26,Ellenbogen::N,കൈമുട്ട്,пхьаьрсан гола
27,Hand::N,കൈ,куьг
28,Handfläche::N,ഉള്ളം കൈ,кераюкъ
29,Finger::N,വിരൽ,пӏелг
30,Fingernagel::N,നഖം,мӏара
31,Nagel[Anatomie]::N,നഖം,мӏара
32,Zeh::N,കാൽവിരൽ,кога пӏелг
33,Fuß::N,കാൽപ്പാദം,ког
34,Ferse::N,ഉപ്പൂറ്റി,кӏажа
35,Knie::N,കാൽമുട്ട്,гола
36,Oberschenkel::N,തുട,варе
37,Bein::N,കാൽ,ког
38,Körper::N,ശരീരം,хӏума
39,Haut::N,ചർമ്മം,чкъор
40,Blut::N,രക്തം,цӏий
41,Ader::N,ഞരമ്പ്,пха
42,Sehne::N,സ്നായു,хьорзам
43,Knochen::N,അസ്ഥി,даьӏахк
44,Gehirn::N,തലച്ചോറ്,хье
45,Herz::N,ഹൃദയം,дог
46,Magen::N,വയർ,зорх
47,Leber::N,കരൾ,доӏах
48,Atem::N,ശ്വാസം,садеӏар
49,Hunger::N,വിശപ്പ്,мацалла
50,Träne::N,കണ്ണീർ,бӏаьрхи
51,Geschmack::N,രുചി,чам
52,Geruch::N,ഗന്ധം,хьожа
53,Schlaf::N,ഉറകും,наб
54,Traum::N,സ്വപ്നം,гӏан
55,Himmel::N,ആകാശം,стигал
56,Sonne::N,സൂര്യൻ,малх
57,Mond::N,ചന്ദ്രൻ,бутт
58,Stern::N,നക്ഷത്രം,седа
59,Luft::N,കാറ്റ്,xӏаваъ
60,Wind::N,കാറ്റ്,мох
61,Welle::N,തിരമാല,тулгӏе
62,Wasser::N,വെള്ളം,хи
63,Stein::N,ശില,тӏулг
64,Stein::N,കല്ല്,тӏулг
65,Boden::N,തറ,цӏенкъа
66,Boden::N,നിലം,цӏенкъа
67,Erde::N,മണ്ണ്,латта
68,Staub::N,പൊടി,чан
69,Rauch::N,പുക,кӏур
70,Funke::N,തീപ്പൊരി,суй
71,Feuer::N,തീ,цӏе
72,Licht::N,വിളക്ക്,серло
73,Licht::N,സൂര്യപ്രകാശം,серло
74,Schatten::N,തണൽ,ӏиндагӏ
75,Wetter::N,കാലാവസ്ഥ,хенан хӏоттам
76,Nebel::N,മൂടൽമഞ്ഞ്,дохк
77,Wolke::N,മേഘം,марха
78,Regen::N,മഴ,догӏа
79,Schnee::N,മഞ്ഞ്,ло
80,Eis::N,ഐസ്,ша
81,Frost::N,മൂടൽമഞ്ഞ്,шело
82,Kälte::N,തണുപ്പ്,шело
83,Hitze::N,ചൂട്,йовхо
84,Raureif::N,കോടമഞ്ഞ്,йис
85,Regenbogen::N,മഴവില്ല്,стелаӏад
86,Donner::N,ഇടി,ткъес
87,Strömung::N,പ്രവാഹം,дӏаэхар
88,Strömung::N,പ്രവാഹം,дӏасалелар
89,Tropfen::N,തുള്ളി,тӏадам
90,Schaum::N,നുര,чопа
91,Schmutz::N,അഴുക്ക്,хатт
92,See::N,തടാകം,ӏам
93,Sumpf::N,ചതുപ്പുനിലം,уьшал
94,Moor::N,പാഴ്നിലം,уьшал
95,Wiese::N,പുൽത്തകിടി,бай
96,Wald::N,വനം,хьун
97,Wald::N,കാട്,хьун
98,Hügel::N,കുന്ന്,гу
99,Hügel::N,കുന്ന്,шу
100,Hügel::N,കുന്ന്,барз
101,Anhöhe::N,ഉയർന്ന ഭൂമി,акъари
102,Berg::N,പർവ്വതം,лам
103,Gipfel::N,ഉച്ചകോടി,бохь
104,Höhle::N,ഗുഹ,хьех
105,Abhang::N,ചരിവ്,басе
106,Quelle::N,ഉറവിടം,шовда
107,Bach::N,അരുവി,татол
108,Fluss::N,നദി,хи
109,Ufer::N,തീരം,хийист
110,Küste::N,കടൽത്തീരം,йист
111,Festland::N,കര,латта
112,Meer::N,കടൽ,xӏорд
113,Bucht::N,ഉൾക്കടല്,чож
114,Insel::N,ദ്വീപ്,гӏайре
115,Blume::N,പൂവ്,зезаг
116,Gras::N,പുല്ല്,буц
117,Wurzel::N,വേര്,орам
118,Baum::N,മരം,дитт
119,Stamm::N,തായ്ത്തടി,гӏад
120,Stamm::N,തായ്ത്തടി,тайпа
121,Rinde::N,പട്ട,кевстиг
122,Ast::N,ശാഖ,га
123,Zweig::N,ശാഖ,га
124,Blatt::N,ഇല,гӏа
125,Birke::N,പൂവരശ്,дакх
126,Kiefer[Baum]::N,പൈൻമരം,бага
127,Weide[Baum]::N,വില്ലോ,дак
128,Tanne::N,ദേവദാരു,база
129,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,маӏа
130,Feder::N,തൂവൽ,пелаг
131,Fell::N,മൃദുരോമം,цӏока
132,Flügel::N,ചിറക്,тӏам
133,Klaue::N,നഖം,мӏара
134,Kralle::N,നഖം,тlод
135,Schwanz::N,വാൽ,цӏога
136,Ei::N,മുട്ട,xӏoa
137,Nest::N,കൂട്,бен
138,Bau::N,മാളം,lуьрг
139,Tier::N,മൃഗം,дийнат
140,Herde::N,കൂട്ടം,жа
141,Kuh::N,പശു,етт
142,Bulle::N,കാള,сту
143,Pferd::N,കുതിര,говр
144,Schaf::N,ആട്,жий
145,Schaf::N,ആട്,уьстагӏ
146,Schwein::N,പന്നി,хьакха
147,Hund::N,നായ്,жӏаьла
148,Katze::N,പൂച്ച,цициг
149,Bär::N,കരടി,ча
150,Eichhörnchen::N,അണ്ണാൻ,тарсал
151,Elch::N,കടമാന്,сай
152,Fuchs::N,കുറുക്കൻ,цхьогал
153,Hase::N,മുയൽ,пхьагал
154,Maus::N,ചുണ്ടലി,дахка
155,Wolf::N,ചെന്നായ,борз
156,Vogel::N,പക്ഷി,олхазар
157,Schwarm::N,കൂട്ടം,
158,Huhn::N,കോഴി,котам
159,Hahn::N,പൂവൻകോഴി,нӏаьна
160,Hahn::N,പൂവൻകോഴി,боргӏал
161,Gans::N,അരയന്നം,гӏаз
162,Adler::N,കഴുകൻ,aьрзу
163,Ente::N,താറാവ്,бад
