,Concept_ID,ps,sv
0,Auge::N,سترګه,öga
1,Ohr::N,غوږ,öra
2,Nase::N,پوزه,näsa
3,Mund::N,خوله,mun
4,Zahn::N,غاښ,tand
5,Zunge::N,جبه,tunga
6,Lippe::N,شونډه,läpp
7,Wange::N,باړخو,kind
8,Gesicht::N,مخ,syn
9,Gesicht::N,مخ,ansikte
10,Stirn::N,تندی,panna
11,Stirn::N,وچولی,panna
12,Haar::N,وېښته,hår
13,Schnurrbart::N,برېت,mustasch
14,Bart::N,ږیره,skägg
15,Kinn::N,زنه,haka
16,Kiefer[Anatomie]::N,جامه,käke
17,Kehle::N,غاړه,strupe
18,Hals::N,غاړه,hals
19,Genick::N,ورمېږ,nacke
20,Kopf::N,سر,huvud
21,Rücken::N,شا,rygg
22,Bauch::N,نس,buk
23,Bauch::N,نس,mage
24,Bauch::N,ګېډه,buk
25,Bauch::N,ګېډه,mage
26,Nabel::N,نوم,navel
27,Busen::N,تی,barm
28,Brust::N,سینه,bröst
29,Schulter::N,اوږه,skuldra
30,Arm::N,لاس,arm
31,Ellenbogen::N,څنګل,armbåge
32,Hand::N,لاس,hand
33,Handfläche::N,ورغوی,handflata
34,Finger::N,ګوته,finger
35,Fingernagel::N,نوک,fingernagel
36,Nagel[Anatomie]::N,نوک,nagel
37,Zeh::N,ګوته,tå
38,Fuß::N,پښه,fot
39,Ferse::N,پونده,häl
40,Knie::N,زنګون,knä
41,Oberschenkel::N,پتون,lår
42,Bein::N,پښه,ben
43,Körper::N,ځان,kropp
44,Haut::N,پوټکی,hud
45,Haut::N,پوټکی,skinn
46,Blut::N,وینه,blod
47,Ader::N,رګ,åder
48,Sehne::N,پله,sena
49,Knochen::N,هډوکی,ben
50,Gehirn::N,ماغزه,hjärna
51,Herz::N,زړه,hjärta
52,Magen::N,معده,mage
53,Leber::N,ينه,lever
54,Leber::N,ځیګر,lever
55,Atem::N,نفس,anda
56,Atem::N,نفس,andedräkt
57,Hunger::N,ولږه,svält
58,Hunger::N,ولږه,hunger
59,Träne::N,اوښکه,tår
60,Geschmack::N,مزه,smak
61,Geschmack::N,خوند,smak
62,Geruch::N,بوی,lukt
63,Schlaf::N,خوب,sömn
64,Traum::N,خوب,dröm
65,Himmel::N,اسمان,himmel
66,Sonne::N,لمر,sol
67,Mond::N,سپوږمۍ,måne
68,Stern::N,ستوری,stjärna
69,Luft::N,هوا,luft
70,Wind::N,ورښ,vind
71,Welle::N,موج,våg
72,Welle::N,موج,bölja
73,Wasser::N,اوبه,vatten
74,Stein::N,ډبره,sten
75,Boden::N,مځکه,mark
76,Erde::N,خاوره,jord
77,Staub::N,ګرد,damm
78,Staub::N,خاوره,damm
79,Rauch::N,دود,rök
80,Rauch::N,لوګی,rök
81,Funke::N,سپرغۍ,gnista
82,Feuer::N,اور,eld
83,Licht::N,رڼا,ljus
84,Schatten::N,سیوری,skugga
85,Wetter::N,هوا,väder
86,Nebel::N,لړه,dimma
87,Nebel::N,لړه,töcken
88,Wolke::N,ورېځ,sky
89,Wolke::N,ورېځ,moln
90,Regen::N,وریا,regn
91,Regen::N,باران,regn
92,Schnee::N,واوره,snö
93,Eis::N,یخ,is
94,Eis::N,کنګل,is
95,Frost::N,یخ,frost
96,Kälte::N,ساړه,köld
97,Hitze::N,تودوخي,hetta
98,Raureif::N,سپینه پرخه,rimfrost
99,Regenbogen::N,بوډۍ ټال,regnbåge
100,Regenbogen::N,سره زرغونه,regnbåge
101,Donner::N,تالنده,åska
102,Donner::N,تالنده,dunder
103,Strömung::N,بهېدنه,strömning
104,Tropfen::N,قطره,dropper
105,Tropfen::N,څاڅکی,dropper
106,Schaum::N,ځګ,skum
107,Schmutz::N,ناپاکي,lort
108,Schmutz::N,ناپاکي,smuts
109,See::N,جهیل,sjö
110,Sumpf::N,جبه,träsk
111,Moor::N,جبه,myr
112,Moor::N,جبه,mosse
113,Wiese::N,چمن,äng
114,Wiese::N,شنېلی,äng
115,Wald::N,ځنګل,skog
116,Hügel::N,تپه,höjd
117,Hügel::N,تپه,kulle
118,Anhöhe::N,غونډۍ,höjd
119,Anhöhe::N,غونډۍ,backe
120,Berg::N,غ‍‍‍‍‍ر,berg
121,Berg::N,غ‍‍‍‍‍ر,fjäll
122,Gipfel::N,څوکه,topp
123,Höhle::N,کاز,håla
124,Höhle::N,کاز,grotta
125,Abhang::N,لمن,slänt
126,Abhang::N,لمن,sluttning
127,Quelle::N,چینه,källa
128,Bach::N,واله,bäck
129,Fluss::N,سیند,älv
130,Fluss::N,سیند,flod
131,Ufer::N,غاړه,strand
132,Küste::N,ساحل,kust
133,Festland::N,وچه,fastland
134,Meer::N,بحر,hav
135,Meer::N,سمندر,hav
136,Bucht::N,کارۍ,vik
137,Bucht::N,کارۍ,bukt
138,Insel::N,ټاپو,ö
139,Insel::N,جزيره,ö
140,Blume::N,ګل,blomma
141,Blume::N,ګل,blomster
142,Gras::N,واښه,gräs
143,Wurzel::N,ریښه,rot
144,Baum::N,ونه,träd
145,Stamm::N,ډډ,stam
146,Rinde::N,پوستکی,bark
147,Ast::N,ښاخ,gren
148,Zweig::N,څانګه,kvist
149,Blatt::N,پاڼه,löv
150,Blatt::N,پاڼه,blad
151,Birke::N,توس,björk
152,Kiefer[Baum]::N,نښتر,tall
153,Weide[Baum]::N,وله,pil
154,Weide[Baum]::N,وله,vide
155,Tanne::N,ناجو,gran
156,Horn::N,ښکر,horn
157,Feder::N,بڼکه,fjäder
158,Fell::N,پوستکی,fäll
159,Fell::N,پوستکی,skinn
160,Flügel::N,وزر,vinge
161,Klaue::N,پنجه,klöv
162,Klaue::N,منګول,klöv
163,Kralle::N,پنجه,klo
164,Kralle::N,منګول,klo
165,Schwanz::N,لکۍ,svans
166,Schwanz::N,لکۍ,stjärt
167,Ei::N,وۍ,ägg
168,Ei::N,هګۍ,ägg
169,Nest::N,جاله,rede
170,Nest::N,جاله,näste
171,Bau::N,کاز,bo
172,Tier::N,ژوی,djur
173,Tier::N,حیوان,djur
174,Herde::N,رمه,flock
175,Herde::N,غېله,flock
176,Kuh::N,غوا,ko
177,Bulle::N,غوئی,tjur
178,Pferd::N,آس,häst
179,Schaf::N,پسه,får
180,Schwein::N,سرکوزی,svin
181,Hund::N,سپی,hund
182,Katze::N,پشه,katt
183,Bär::N,خرس,björn
184,Eichhörnchen::N,خړ لمی,ekorre
185,Elch::N,ګوزن,älg
186,Fuchs::N,سپلم,räv
187,Hase::N,سوی,hare
188,Maus::N,مږک,mus
189,Wolf::N,لېوه,varg
190,Vogel::N,مرغه,fågel
191,Schwarm::N,سېل,svärm
192,Huhn::N,چرګه,höns
193,Hahn::N,چرګ,tupp
194,Gans::N,بته,gås
195,Adler::N,عقاب,örn
196,Ente::N,ایلۍ,anka
197,Eule::N,ګونګی,uggla
198,Kranich::N,کلنګ,trana
199,Krähe::N,کارغه,kråka
200,Kuckuck::N,فاخته,gök
201,Schwan::N,قو,svan
202,Fisch::N,کب,fisk
203,Fisch::N,ماهی,fisk
204,Schlange[Tier]::N,مار,orm
205,Wurm::N,چینجی,mask
206,Spinne::N,غڼه,spindel
207,Spinne::N,تارکښ,spindel
208,Ameise::N,مېږی,myra
209,Laus::N,سپږه,lus
210,Mücke::N,ماشی,mygga
211,Fliege::N,مچ,fluga
212,Schmetterling::N,پتنګ,fjäril
213,Beere::N,مېوۍ,bär
214,Apfel::N,مڼه,äpple
215,Pilz::N,خرېړی,svamp
216,Zwiebel::N,پیاز,lök
217,Saat::N,تخم,sådd
218,Korn::N,تخم,korn
219,Korn::N,دانه,korn
220,Heu::N,بوس,hö
221,Heu::N,پروړه,hö
222,Schale::N,پوستکی,skal
223,Grube::N,کنده,grop
224,Falle::N,دام,fälla
225,Falle::N,لومه,fälla
226,Schlinge::N,کړۍ,snara
227,Spur::N,نښه,spår
228,Asche::N,آس,aska
229,Asche::N,ایره,aska
230,Dreck::N,ناپاکي,lort
231,Eisen::N,اوسپنه,järn
232,Gold::N,سره زر,guld
233,Silber::N,نقره,silver
234,Silber::N,سپین زر,silver
235,Kohle::N,سکور,kol
236,Kohle::N,سکاره,kol
237,Glas::N,ښيښه,glas
238,Lehm::N,خټه,lera
239,Sand::N,شګه,sand
240,Mensch::N,انسان,människa
241,Mann::N,سړی,man
242,Mann::N,نارینه,man
243,Frau::N,ښځه,kvinna
244,Kind::N,بچی,barn
245,Kind::N,ماشوم,barn
246,Junge::N,هلک,pojke
247,Mädchen::N,نجلۍ,flicka
248,Familie::N,کورنۍ,familj
249,Großvater::N,بابا,morfar
250,Großmutter::N,انا,farmor
251,Eltern::N,مور او پلار,föräldrar
252,Vater::N,پلار,far
253,Mutter::N,مور,mor
254,Sohn::N,زوی,son
