,Concept_ID,fa,eu
0,Auge::N,چشم,begi
1,Ohr::N,گوش,belarri
2,Nase::N,بینی,sudur
3,Mund::N,دهان,aho
4,Zahn::N,دندان,hortz
5,Zunge::N,زبان,mihi
6,Lippe::N,لب,ezpain
7,Wange::N,لپ,masail
8,Gesicht::N,رو,aurpegi
9,Gesicht::N,چهره,aurpegi
10,Stirn::N,پیشانی,bekoki
11,Haar::N,مو,ile
12,Haar::N,مو,bilo
13,Schnurrbart::N,سبیل,bibote
14,Schnurrbart::N,سبیل,sudurpeko
15,Bart::N,ریش,bizar
16,Kinn::N,چانه,kokots
17,Kiefer[Anatomie]::N,فک,masailezur
18,Kiefer[Anatomie]::N,آرواره,masailezur
19,Kehle::N,حلق,eztarri
20,Hals::N,گردن,sama
21,Genick::N,پشت گردن,garondo
22,Kopf::N,سر,buru
23,Kopf::N,کله,buru
24,Rücken::N,پشت,bizkar
25,Bauch::N,شکم,sabel
26,Nabel::N,ناف,zilbor
27,Busen::N,پستان,titi
28,Busen::N,پستان,ugatz
29,Brust::N,سینه,bular
30,Schulter::N,دوش,besaburu
31,Schulter::N,شانه,besaburu
32,Arm::N,بازو,beso
33,Ellenbogen::N,آرنج,ukondo
34,Hand::N,دست,esku
35,Handfläche::N,کف دست,ahur
36,Finger::N,انگشت,hatz
37,Fingernagel::N,ناخن دست,azazkal
38,Nagel[Anatomie]::N,ناخن,azazkal
39,Zeh::N,انگشت پا,behatz
40,Fuß::N,پا,oin
41,Ferse::N,پاشنه,orpo
42,Ferse::N,پاشنه,oinburu
43,Knie::N,زانو,belaun
44,Oberschenkel::N,ران,izter
45,Bein::N,پا,zango
46,Bein::N,لنگ,zango
47,Körper::N,تن,soin
48,Körper::N,بدن,soin
49,Haut::N,پوست,azal
50,Blut::N,خون,odol
51,Ader::N,رگ,zain
52,Sehne::N,زردپی,gihar-zain
53,Knochen::N,استخوان,hezur
54,Gehirn::N,مخ,garun
55,Gehirn::N,مخ,burmuin
56,Gehirn::N,مغز,garun
57,Gehirn::N,مغز,burmuin
58,Herz::N,دل,bihotz
59,Herz::N,قلب,bihotz
60,Magen::N,معده,urdail
61,Leber::N,کبد,gibel
