,Concept_ID,eu,hu
0,Auge::N,begi,szem
1,Ohr::N,belarri,fül
2,Nase::N,sudur,orr
3,Mund::N,aho,száj
4,Zahn::N,hortz,fog
5,Zunge::N,mihi,nyelv
6,Lippe::N,ezpain,ajak
7,Wange::N,masail,orca
8,Gesicht::N,aurpegi,arc
9,Stirn::N,bekoki,homlok
10,Haar::N,ile,haj
11,Haar::N,bilo,haj
12,Schnurrbart::N,bibote,bajusz
13,Schnurrbart::N,sudurpeko,bajusz
14,Bart::N,bizar,szakáll
15,Kinn::N,kokots,áll
16,Kiefer[Anatomie]::N,masailezur,állkapocs
17,Kehle::N,eztarri,gége
18,Kehle::N,eztarri,torok
19,Hals::N,sama,nyak
20,Genick::N,garondo,tarkó
21,Kopf::N,buru,fő
22,Kopf::N,buru,fej
23,Rücken::N,bizkar,hát
24,Bauch::N,sabel,has
25,Nabel::N,zilbor,köldök
26,Busen::N,titi,mell
27,Busen::N,titi,kebel
28,Busen::N,ugatz,mell
29,Busen::N,ugatz,kebel
30,Brust::N,bular,mell
31,Schulter::N,besaburu,váll
32,Arm::N,beso,kar
33,Ellenbogen::N,ukondo,könyök
34,Hand::N,esku,kéz
35,Handfläche::N,ahur,tenyér
36,Finger::N,hatz,ujj
37,Fingernagel::N,azazkal,köröm
38,Nagel[Anatomie]::N,azazkal,köröm
39,Zeh::N,behatz,lábujj
40,Fuß::N,oin,láb
41,Ferse::N,orpo,sarok
42,Ferse::N,oinburu,sarok
43,Knie::N,belaun,térd
44,Oberschenkel::N,izter,comb
45,Bein::N,zango,láb
46,Bein::N,zango,lábszár
47,Körper::N,soin,test
48,Haut::N,azal,bőr
49,Blut::N,odol,vér
50,Ader::N,zain,ér
51,Sehne::N,gihar-zain,ín
52,Knochen::N,hezur,csont
53,Gehirn::N,garun,agy
54,Gehirn::N,garun,agyvelő
55,Gehirn::N,burmuin,agy
56,Gehirn::N,burmuin,agyvelő
57,Herz::N,bihotz,szív
58,Magen::N,urdail,gyomor
59,Leber::N,gibel,máj
60,Atem::N,hats,lehelet
61,Atem::N,hats,lélegzet
62,Atem::N,arnasa,lehelet
63,Atem::N,arnasa,lélegzet
64,Hunger::N,gose,éhség
65,Träne::N,malko,könny
66,Geschmack::N,dasta,íz
67,Geruch::N,usain,szag
68,Schlaf::N,lo,álom
69,Schlaf::N,lo,alvás
70,Traum::N,amets,álom
71,Himmel::N,zeru,ég
72,Himmel::N,zeru,menny
73,Sonne::N,eguzki,nap
74,Mond::N,ilargi,hold
75,Stern::N,izar,csillag
76,Luft::N,aire,levegő
77,Wind::N,haize,szél
78,Welle::N,uhin,hullám
79,Welle::N,olatu,hullám
80,Wasser::N,ur,víz
81,Stein::N,harri,kő
82,Boden::N,lur,föld
83,Boden::N,lur,talaj
84,Boden::N,zoru,föld
85,Boden::N,zoru,talaj
86,Erde::N,lur,föld
87,Staub::N,hauts,por
88,Rauch::N,ke,füst
89,Funke::N,zirta,szikra
90,Funke::N,txinparta,szikra
91,Feuer::N,su,tűz
92,Licht::N,argi,fény
93,Schatten::N,itzal,árnyék
94,Schatten::N,geriza,árnyék
95,Wetter::N,eguraldi,idő
96,Wetter::N,eguraldi,időjárás
97,Nebel::N,laino,köd
98,Wolke::N,hodei,felhő
99,Regen::N,euri,eső
100,Schnee::N,elur,hó
101,Eis::N,horma,jég
102,Frost::N,izotzaldi,fagy
103,Kälte::N,hotz,hideg
104,Hitze::N,bero,hő
105,Hitze::N,bero,hőség
106,Raureif::N,antzigar,zúzmara
107,Regenbogen::N,ostadar,szivárvány
108,Regenbogen::N,ortzadar,szivárvány
109,Donner::N,ostots,dörgés
110,Donner::N,ostots,mennydörgés
111,Donner::N,ihurtzuri,dörgés
112,Donner::N,ihurtzuri,mennydörgés
113,Strömung::N,laster,áramlat
114,Tropfen::N,xorta,csepp
115,Schaum::N,bits,hab
116,Schaum::N,bits,tajték
117,Schmutz::N,lohi,piszok
118,Schmutz::N,zikin,piszok
119,See::N,laku,tó
120,See::N,aintzira,tó
121,Sumpf::N,zingira,mocsár
122,Moor::N,zohikaztegi,láp
123,Wiese::N,larre,rét
124,Wiese::N,larre,mező
125,Wiese::N,belardi,rét
126,Wiese::N,belardi,mező
127,Wald::N,baso,erdő
128,Wald::N,oihan,erdő
129,Hügel::N,muino,domb
130,Hügel::N,pentoka,domb
131,Anhöhe::N,garai,magaslat
132,Anhöhe::N,goragune,magaslat
133,Berg::N,mendi,hegy
134,Gipfel::N,gain,csúcs
135,Gipfel::N,tontor,csúcs
136,Höhle::N,kobazulo,barlang
137,Abhang::N,aldapa,lejtő
138,Quelle::N,iturri,forrás
139,Quelle::N,iturbegi,forrás
140,Bach::N,lats,patak
