,Concept_ID,is,ru
0,Auge::N,auga,глаз
1,Ohr::N,eyra,ухо
2,Nase::N,nef,нос
3,Mund::N,munnur,рот
4,Zahn::N,tönn,зуб
5,Zunge::N,tunga,язык
6,Lippe::N,vör,губа
7,Wange::N,kinn,щека
8,Wange::N,vangi,щека
9,Gesicht::N,andlit,лицо
10,Stirn::N,enni,лоб
11,Haar::N,hár,волос
12,Haar::N,hár,волосы
13,Schnurrbart::N,yfirskegg,ус
14,Schnurrbart::N,yfirskegg,усы
15,Bart::N,skegg,борода
16,Kinn::N,haka,подбородок
17,Kiefer[Anatomie]::N,kjálki,челюсть
18,Kiefer[Anatomie]::N,skoltur,челюсть
19,Kehle::N,kverk,горло
20,Hals::N,háls,шея
21,Genick::N,hnakki,затылок
22,Kopf::N,höfuð,голова
23,Rücken::N,hryggur,спина
24,Bauch::N,kviður,живот
25,Nabel::N,nafli,пупок
26,Busen::N,barmur,женская грудь
27,Brust::N,brjóst,грудь
28,Schulter::N,öxl,плечо
29,Arm::N,armur,рука
30,Ellenbogen::N,olnbogi,локоть
31,Hand::N,hönd,кисть
32,Handfläche::N,lófi,ладонь
33,Finger::N,fingur,палец
34,Fingernagel::N,fingurnögl,ноготь
35,Nagel[Anatomie]::N,nögl,ноготь
36,Zeh::N,tá,палец
37,Fuß::N,fótur,ступня
38,Ferse::N,hæll,пята
39,Ferse::N,hæll,пятка
40,Knie::N,kné,колено
41,Oberschenkel::N,læri,бедро
42,Bein::N,fótleggur,нога
43,Körper::N,búkur,тело
44,Körper::N,líkami,тело
45,Haut::N,húð,кожа
46,Haut::N,skinn,кожа
47,Blut::N,blóð,кровь
48,Ader::N,æð,вена
49,Ader::N,æð,сосуд
50,Sehne::N,sin,жила
51,Sehne::N,sin,тетива
52,Sehne::N,sin,сухожилие
53,Knochen::N,bein,кость
54,Gehirn::N,heili,мозг
55,Herz::N,hjarta,сердце
56,Magen::N,magi,желудок
57,Leber::N,lifur,печень
58,Atem::N,andi,дух
59,Atem::N,andi,дыхание
60,Atem::N,andardráttur,дух
61,Atem::N,andardráttur,дыхание
62,Hunger::N,hungur,голод
63,Träne::N,tár,слеза
64,Geschmack::N,smekkur,вкус
65,Geruch::N,lykt,запах
66,Schlaf::N,svefn,сон
67,Traum::N,draumur,сновидение
68,Himmel::N,himinn,небо
69,Sonne::N,sól,солнце
70,Mond::N,tungl,луна
71,Stern::N,stjarna,звезда
72,Luft::N,loft,воздух
73,Wind::N,vindur,ветер
74,Welle::N,alda,волна
75,Welle::N,bylgja,волна
76,Wasser::N,vatn,вода
77,Stein::N,steinn,камень
78,Boden::N,botn,почва
79,Erde::N,jörð,земля
80,Staub::N,ryk,пыль
81,Staub::N,duft,пыль
82,Rauch::N,reykur,дым
83,Funke::N,neisti,искра
84,Feuer::N,eldur,огонь
85,Licht::N,ljós,свет
86,Schatten::N,skuggi,тень
87,Wetter::N,veður,погода
88,Nebel::N,þoka,туман
89,Wolke::N,ský,облако
90,Regen::N,regn,дождь
91,Schnee::N,snjór,снег
92,Eis::N,ís,лед
93,Frost::N,frost,мороз
94,Kälte::N,kuldi,холод
95,Hitze::N,hiti,жара
96,Raureif::N,hrím,иней
97,Regenbogen::N,regnbogi,радуга
98,Donner::N,þruma,гром
99,Strömung::N,straumur,течение
100,Tropfen::N,dropi,капля
101,Schaum::N,froða,пена
102,Schmutz::N,óhreinindi,грязь
103,See::N,stöðuvatn,озеро
104,Sumpf::N,fen,топь
105,Moor::N,mýri,болото
106,Wiese::N,engi,луг
107,Wald::N,skógur,лес
108,Hügel::N,hæð,холм
109,Hügel::N,hóll,холм
110,Anhöhe::N,hæð,возвышенность
111,Anhöhe::N,hóll,возвышенность
112,Berg::N,fell,гора
113,Berg::N,fjall,гора
114,Gipfel::N,tindur,вершина
115,Höhle::N,hellir,пещера
116,Abhang::N,hlíð,склон
117,Abhang::N,brekka,склон
118,Quelle::N,lind,источник
119,Quelle::N,uppspretta,источник
120,Bach::N,lækur,ручей
121,Fluss::N,á,река
122,Fluss::N,fljót,река
123,Ufer::N,árbakki,берег
124,Ufer::N,sjávarbakki,берег
125,Küste::N,strönd,побережье
126,Festland::N,meginland,суша
127,Meer::N,haf,море
128,Meer::N,sjór,море
129,Bucht::N,vík,бухта
130,Insel::N,eyja,остров
131,Blume::N,blóm,цветок
132,Gras::N,gras,трава
133,Wurzel::N,rót,корень
134,Baum::N,tré,дерево
135,Stamm::N,stofn,ствол
136,Rinde::N,börkur,кора
137,Ast::N,grein,сук
138,Zweig::N,angi,ветвь
139,Zweig::N,kvistur,ветвь
140,Blatt::N,blað,лист
141,Birke::N,birki,береза
142,Kiefer[Baum]::N,fura,сосна
143,Weide[Baum]::N,víðir,ива
144,Tanne::N,greni,ель
145,Horn::N,horn,рог
146,Feder::N,fjöður,перо
147,Fell::N,skinn,шкура
148,Flügel::N,vængur,крыло
149,Klaue::N,kló,коготь
150,Kralle::N,kló,лапа
151,Schwanz::N,rófa,хвост
152,Schwanz::N,skott,хвост
153,Ei::N,egg,яйцо
154,Nest::N,hreiður,гнездо
155,Bau::N,greni,нора
156,Bau::N,bæli,нора
157,Tier::N,dýr,животное
158,Herde::N,hjörð,стадо
159,Kuh::N,kýr,корова
160,Bulle::N,boli,бык
161,Pferd::N,hestur,лошадь
162,Schaf::N,kind,овца
163,Schwein::N,svín,свинья
164,Hund::N,hundur,собака
165,Katze::N,köttur,кошка
166,Bär::N,björn,медведь
167,Eichhörnchen::N,íkorni,белка
168,Elch::N,elgur,лось
169,Fuchs::N,refur,лиса
170,Hase::N,héri,заяц
171,Maus::N,mús,мышь
172,Wolf::N,úlfur,волк
173,Vogel::N,fugl,птица
174,Schwarm::N,sægur,стая
175,Huhn::N,hæna,курица
176,Hahn::N,hani,петух
177,Gans::N,gæs,гусь
178,Adler::N,örn,орел
179,Ente::N,önd,утка
180,Eule::N,uggla,сова
181,Kranich::N,trana,журавль
182,Krähe::N,kráka,ворона
183,Kuckuck::N,gaukur,кукушка
184,Schwan::N,svanur,лебедь
185,Fisch::N,fiskur,рыба
186,Barsch::N,aborri,окунь
187,Hecht::N,gedda,щука
188,Schlange[Tier]::N,naðra,змея
189,Wurm::N,ormur,червяк
