,Concept_ID,bn,lv
0,Auge::N,চক্ষু,син
1,Auge::N,চক্ষু,acs
2,Ohr::N,কর্ণ,пель
3,Ohr::N,কর্ণ,auss
4,Nase::N,নাক,ныр
5,Nase::N,নাক,deguns
6,Mund::N,মুখ,вом
7,Mund::N,মুখ,mute
8,Zahn::N,দাঁত,пинь
9,Zahn::N,দাঁত,zobs
10,Zunge::N,জিহবা,кыв
11,Zunge::N,জিহবা,mēle
12,Lippe::N,অধর,вом дор
13,Lippe::N,অধর,lūpa
14,Wange::N,গণ্ড,бан
15,Wange::N,গণ্ড,vaigs
16,Gesicht::N,মুখমণ্ডল,чужӧм
17,Gesicht::N,মুখমণ্ডল,seja
18,Gesicht::N,মুখমণ্ডল,ģīmis
19,Stirn::N,কপাল,плеш
20,Stirn::N,কপাল,кымӧс
21,Stirn::N,কপাল,piere
22,Haar::N,চুল,си
23,Haar::N,চুল,юрси
24,Haar::N,চুল,mats
25,Schnurrbart::N,গোঁফ,ус
26,Schnurrbart::N,গোঁফ,пыртсим
27,Schnurrbart::N,গোঁফ,ūsas
28,Bart::N,শ্মশ্রু,тош
29,Bart::N,শ্মশ্রু,bārda
30,Kinn::N,চিবুক,тшӧка
31,Kinn::N,চিবুক,zods
32,Kinn::N,চিবুক,smakrs
33,Kiefer[Anatomie]::N,চোয়াল,черлы
34,Kiefer[Anatomie]::N,চোয়াল,алака лы
35,Kiefer[Anatomie]::N,চোয়াল,вомкӧтш лы
36,Kiefer[Anatomie]::N,চোয়াল,žoklis
37,Kehle::N,কণ্ঠ,голя
38,Kehle::N,কণ্ঠ,rīkle
39,Hals::N,গল,сьылі
40,Hals::N,গল,kakls
41,Genick::N,ঘাড়,юрбӧр
42,Genick::N,ঘাড়,балябӧж
43,Genick::N,ঘাড়,sprands
44,Kopf::N,মাথা,юр
45,Kopf::N,মাথা,galva
46,Rücken::N,পৃষ্ঠ,мыш
47,Rücken::N,পৃষ্ঠ,mugura
48,Bauch::N,উদর,рушку
49,Bauch::N,উদর,vēders
50,Nabel::N,নাভি,гӧг
51,Nabel::N,নাভি,naba
52,Busen::N,স্তন,морӧс
53,Busen::N,স্তন,krūts
54,Brust::N,বুক,морӧс
55,Brust::N,বুক,krūts
56,Schulter::N,স্কন্ধ,пельпом
57,Schulter::N,স্কন্ধ,plecs
58,Arm::N,বাহু,ки
59,Arm::N,বাহু,roka
60,Arm::N,বাহু,delms
61,Ellenbogen::N,কনুই,гырддза
62,Ellenbogen::N,কনুই,elkonis
63,Hand::N,হাত,ки
64,Hand::N,হাত,roka
65,Hand::N,হাত,plauksta
66,Handfläche::N,করতল,ки пыдӧс
67,Handfläche::N,করতল,delna
68,Handfläche::N,করতল,plauksta
69,Finger::N,আঙ্গুল,чунь
70,Finger::N,আঙ্গুল,pirksts
71,Fingernagel::N,হাতের নখ,гыж
72,Fingernagel::N,হাতের নখ,nags
73,Nagel[Anatomie]::N,নখ,гыж
74,Nagel[Anatomie]::N,নখ,nags
75,Zeh::N,আঙ্গুল,кок чунь
76,Zeh::N,আঙ্গুল,pirksts
77,Fuß::N,পা,кок
78,Fuß::N,পা,kāja
79,Ferse::N,গোড়ালি,кокбӧр
80,Ferse::N,গোড়ালি,papēdis
81,Knie::N,হাঁটু,пидзӧс
82,Knie::N,হাঁটু,celis
83,Oberschenkel::N,ঊরু,лядьвей
84,Oberschenkel::N,ঊরু,бек
85,Oberschenkel::N,ঊরু,ciska
86,Oberschenkel::N,ঊরু,augšstilbs
87,Bein::N,পা,кок
88,Bein::N,পা,kāja
89,Körper::N,দেহ,туша
90,Körper::N,দেহ,вывтыр
91,Körper::N,দেহ,miesa
92,Körper::N,দেহ,ķermenis
93,Haut::N,ত্বক,ку
94,Haut::N,ত্বক,āda
95,Blut::N,রক্ত,вир
96,Blut::N,রক্ত,asins
97,Ader::N,শিরা,сӧн
98,Ader::N,শিরা,asinsvads
99,Sehne::N,কণ্ডরা,вез
100,Sehne::N,কণ্ডরা,dzīsla
101,Knochen::N,অস্থি,лы
102,Knochen::N,অস্থি,kauls
103,Gehirn::N,মস্তিষ্ক,вем
104,Gehirn::N,মস্তিষ্ক,smadzenes
105,Herz::N,হৃৎপিণ্ড,сьӧлӧм
106,Herz::N,হৃৎপিণ্ড,sirds
107,Magen::N,পাকস্থলী,кынӧм
108,Magen::N,পাকস্থলী,kuņģis
109,Leber::N,যকৃৎ,мус
110,Leber::N,যকৃৎ,aknas
111,Atem::N,শ্বাস,лов
112,Atem::N,শ্বাস,elpa
113,Hunger::N,ক্ষুধা,тшыг
114,Hunger::N,ক্ষুধা,bads
115,Hunger::N,ক্ষুধা,izsalkums
116,Träne::N,অশ্রু,синва
117,Träne::N,অশ্রু,asara
118,Geschmack::N,স্বাদ,кӧр
119,Geschmack::N,স্বাদ,чӧсмӧс
120,Geschmack::N,স্বাদ,garša
121,Geruch::N,গন্ধ,зын
122,Geruch::N,গন্ধ,дук
123,Geruch::N,গন্ধ,smaka
124,Schlaf::N,ঘুম,узьӧм
125,Schlaf::N,ঘুম,miegs
126,Traum::N,স্বপ্ন,вӧт
127,Traum::N,স্বপ্ন,вӧтасьӧм
128,Traum::N,স্বপ্ন,sapnis
129,Himmel::N,আকাশ,енэж
130,Himmel::N,আকাশ,debess
131,Sonne::N,সূর্য,шонді
132,Sonne::N,সূর্য,saule
133,Mond::N,চন্দ্র,тӧлысь
134,Mond::N,চন্দ্র,mēness
135,Stern::N,নক্ষত্র,кодзув
136,Stern::N,নক্ষত্র,zvaigzne
137,Luft::N,বায়ু,сынӧд
138,Luft::N,বায়ু,gaiss
139,Wind::N,বাতাস,тӧв
140,Wind::N,বাতাস,vējš
141,Welle::N,ঢেউ,гы
142,Welle::N,ঢেউ,vilnis
143,Welle::N,তরঙ্গ,гы
144,Welle::N,তরঙ্গ,vilnis
145,Wasser::N,জল,ва
146,Wasser::N,জল,ūdens
147,Stein::N,ঢিল,из
148,Stein::N,ঢিল,akmens
149,Stein::N,প্রস্তর,из
150,Stein::N,প্রস্তর,akmens
151,Boden::N,ভূতল,му
152,Boden::N,ভূতল,augsne
153,Erde::N,ভূমি,му
154,Erde::N,ভূমি,му-ва
155,Erde::N,ভূমি,zeme
156,Staub::N,ধুলা,бус
157,Staub::N,ধুলা,putekļi
158,Rauch::N,ধোঁয়া,тшын
