,Concept_ID,eu,sk
0,Auge::N,begi,oko
1,Ohr::N,belarri,ucho
2,Nase::N,sudur,nos
3,Mund::N,aho,ústa
4,Zahn::N,hortz,zub
5,Zunge::N,mihi,jazyk
6,Lippe::N,ezpain,pera
7,Wange::N,masail,líce
8,Gesicht::N,aurpegi,tvár
9,Gesicht::N,aurpegi,obličaj
10,Stirn::N,bekoki,čelo
11,Haar::N,ile,vlas
12,Haar::N,bilo,vlas
13,Schnurrbart::N,bibote,fúzy
14,Schnurrbart::N,sudurpeko,fúzy
15,Bart::N,bizar,brada
16,Kinn::N,kokots,brada
17,Kiefer[Anatomie]::N,masailezur,čeľusť
18,Kehle::N,eztarri,hrdlo
19,Hals::N,sama,krk
20,Genick::N,garondo,väzy
21,Kopf::N,buru,hlava
22,Rücken::N,bizkar,chrbát
23,Bauch::N,sabel,brucho
24,Nabel::N,zilbor,pupok
25,Busen::N,titi,prsia
26,Busen::N,ugatz,prsia
27,Brust::N,bular,hruď
28,Schulter::N,besaburu,plece
29,Arm::N,beso,rameno
30,Ellenbogen::N,ukondo,lakeť
31,Hand::N,esku,ruka
32,Handfläche::N,ahur,dlaň
33,Finger::N,hatz,prst
34,Fingernagel::N,azazkal,necht
35,Nagel[Anatomie]::N,azazkal,necht
36,Zeh::N,behatz,prst na nohe
37,Fuß::N,oin,noha
38,Ferse::N,orpo,päta
39,Ferse::N,oinburu,päta
40,Knie::N,belaun,koleno
41,Oberschenkel::N,izter,stehno
42,Bein::N,zango,noha
43,Körper::N,soin,telo
44,Haut::N,azal,koža
45,Blut::N,odol,krv
46,Ader::N,zain,žila
47,Sehne::N,gihar-zain,šľacha
48,Knochen::N,hezur,kosť
49,Gehirn::N,garun,mozog
50,Gehirn::N,burmuin,mozog
51,Herz::N,bihotz,srdce
52,Magen::N,urdail,žalúdok
53,Leber::N,gibel,pečeň
54,Atem::N,hats,dych
55,Atem::N,arnasa,dych
56,Hunger::N,gose,hlad
57,Träne::N,malko,slza
58,Geschmack::N,dasta,chuť
59,Geruch::N,usain,pach
60,Schlaf::N,lo,spánok
61,Traum::N,amets,sen
62,Himmel::N,zeru,nebo
63,Sonne::N,eguzki,slnko
64,Mond::N,ilargi,mesiac
65,Stern::N,izar,hviezda
66,Luft::N,aire,vzduch
67,Wind::N,haize,vietor
68,Welle::N,uhin,vlna
69,Welle::N,olatu,vlna
70,Wasser::N,ur,voda
71,Stein::N,harri,kameň
72,Boden::N,lur,zem
73,Boden::N,lur,pôda
74,Boden::N,zoru,zem
75,Boden::N,zoru,pôda
76,Erde::N,lur,zem
77,Staub::N,hauts,prach
78,Rauch::N,ke,dym
79,Funke::N,zirta,iskra
80,Funke::N,txinparta,iskra
81,Feuer::N,su,oheň
82,Licht::N,argi,svetlo
83,Schatten::N,itzal,tieň
84,Schatten::N,geriza,tieň
85,Wetter::N,eguraldi,počasie
86,Nebel::N,laino,hmla
87,Wolke::N,hodei,oblak
88,Wolke::N,hodei,mračno
89,Regen::N,euri,dážď
90,Schnee::N,elur,sneh
91,Eis::N,horma,ľad
92,Frost::N,izotzaldi,mráz
93,Kälte::N,hotz,zima
94,Kälte::N,hotz,chlad
95,Hitze::N,bero,horúčava
96,Raureif::N,antzigar,srieň
97,Raureif::N,antzigar,inovať
98,Regenbogen::N,ostadar,dúha
99,Regenbogen::N,ortzadar,dúha
