,Concept_ID,ady,et
0,Auge::N,нэ,silm
1,Ohr::N,тхьакӏу́м,kõrv
2,Nase::N,пэ,nina
3,Mund::N,жэ,suu
4,Zahn::N,цэ,hammas
5,Zunge::N,бзэгу,keel
6,Lippe::N,ӏупшӏэ́,huul
7,Wange::N,нэкӏу́шъу,põsk
8,Gesicht::N,нэ́гу,nägu
9,Stirn::N,натӏэ́,otsmik
10,Haar::N,шъхьацы́,juus
11,Bart::N,жакӏэ́,habe
12,Kinn::N,жэкӏэпэпкъ,lõug
13,Kiefer[Anatomie]::N,жэпкъы́,lõualuu
14,Kehle::N,чый,kõri
15,Hals::N,пшъэ,kael
16,Genick::N,шъхьэпхэтыку,kukal
17,Kopf::N,шъхьэ́,pea
18,Rücken::N,кӏыбы́,selg
19,Bauch::N,ныбэ́,kõht
20,Busen::N,бгъэ́,rind
21,Brust::N,бгъэ́,rind
22,Schulter::N,блыпкъ,õlg
23,Arm::N,ӏэ,käsivars
24,Ellenbogen::N,ӏэнтэ́гъу,küünarnukk
25,Hand::N,ӏэтхьэцу,käsi
26,Handfläche::N,ӏэ́гу,pihk
27,Finger::N,ӏэхъуа́мб,sõrm
28,Fingernagel::N,ӏэбжъа́н,küüs
29,Nagel[Anatomie]::N,ӏэбжъа́н,küüs
30,Zeh::N,ӏэхъуа́мб,varvas
31,Fuß::N,лъэгу,jalg
32,Ferse::N,лъэдакъэ,kand
33,Knie::N,лъагуа́ндж,põlv
34,Oberschenkel::N,ко,reis
35,Bein::N,лъакъо́,jalg
36,Körper::N,пкъышъол,ihu
37,Körper::N,пкъышъол,keha
38,Haut::N,кӏы́шъу,nahk
39,Blut::N,лъы,veri
40,Ader::N,льытф,veen
41,Sehne::N,фэ,kõõlus
42,Knochen::N,къупшъхьэ́,luu
43,Gehirn::N,куцӏы,aju
44,Herz::N,гу,süda
45,Magen::N,мышкӏу,magu
46,Leber::N,шӏу,maks
47,Atem::N,къэщэныр,hingeõhk
48,Atem::N,къэщэныр,hingamine
49,Hunger::N,гъаблэ́,nälg
50,Träne::N,нэпсы,pisar
51,Geschmack::N,ӏэшӏугъа́кӏ,maitse
52,Geruch::N,мэ,lõhn
53,Schlaf::N,пчыхьы́пӏ,uni
54,Traum::N,пчыхьы́пӏ,unenägu
55,Himmel::N,уашъо́,taevas
56,Sonne::N,тыгъэ,päike
57,Mond::N,мазэ,kuu
58,Stern::N,жъуагъо́,täht
59,Luft::N,жьы,õhk
60,Wind::N,жьыбгъэ́,tuul
61,Welle::N,ор,laine
62,Welle::N,оры,laine
63,Wasser::N,псы,vesi
64,Stein::N,мыжъо́,kivi
65,Boden::N,чӏ́ыгу,maa
66,Boden::N,чӏ́ыгу,pinnas
67,Erde::N,чӏ́ыгу,maa
68,Staub::N,сап,põrm
69,Rauch::N,ӏугъо́,suits
70,Funke::N,мэшӏуа́ч,säde
71,Feuer::N,машӏо́,tuli
72,Licht::N,нэфы,valgus
73,Licht::N,нэфын,valgus
74,Schatten::N,жьау́,vari
75,Schatten::N,ныбжьыкъу,vari
76,Nebel::N,пща́гъу,udu
77,Wolke::N,ошъуапщэ,pilv
78,Regen::N,ощхы,sadu
79,Schnee::N,осы́,lumi
80,Eis::N,мылы,jää
81,Kälte::N,чъыӏэ́,külm
82,Kälte::N,чъыӏэ́,külmus
83,Hitze::N,фэба́е,kuumus
84,Hitze::N,фэба́е,palavus
85,Regenbogen::N, лэгъупэкъо́пс,vikerkaar
86,Donner::N,шыблэ́,kõu
87,Donner::N,шыблэ́,müristamine
88,Strömung::N,ток,voolus
89,Strömung::N,ток,jõevool
90,Tropfen::N,ткӏопс,tilk
91,Tropfen::N,гъуаткӏу,tilk
92,Schaum::N,тхъурбэ,vaht
93,Schmutz::N,псынжъы,pori
94,Schmutz::N,псынжъы,mustus
95,See::N,хыку́м,järv
96,See::N,псыхъура́й,järv
97,Sumpf::N,орыжъ,soo
98,Moor::N,орыжъ,raba
