,Concept_ID,mn,be
0,Auge::N,нүд,вока
1,Ohr::N,чих,вуха
2,Nase::N,хамар,нос
3,Mund::N,ам,рот
4,Zahn::N,шүд,зуб
5,Zunge::N,хэл,язык
6,Lippe::N,уруул,губа
7,Wange::N,хацар,шчака
8,Gesicht::N,царай,твар
9,Gesicht::N,нүүр,твар
10,Stirn::N,дух,лоб
11,Haar::N,үс,волас
12,Haar::N,үс,валасы
13,Schnurrbart::N,дээд сахал,вус
14,Schnurrbart::N,дээд сахал,вусы
15,Schnurrbart::N,живэр сахал,вус
16,Schnurrbart::N,живэр сахал,вусы
17,Bart::N,сахал,барада
18,Kinn::N,эрүү,падбародак
19,Kiefer[Anatomie]::N,эрүү,сківіца
20,Kehle::N,хоолой,горла
21,Hals::N,хүзүү,шыя
22,Genick::N,шил,патыліца
23,Genick::N,хүзүү,патыліца
24,Kopf::N,толгой,галава
25,Rücken::N,ар,спіна
26,Rücken::N,нуруу,спіна
27,Bauch::N,хэвлий,жывот
28,Bauch::N,гэдэс,жывот
29,Nabel::N,хүйс,пупок
30,Busen::N,хөх,грудзі
31,Brust::N,цээж,грудзі
32,Schulter::N,мөр,плячо
33,Schulter::N,бугалга,плячо
34,Arm::N,гар,рука
35,Ellenbogen::N,тохой,локаць
36,Hand::N,гар,кісць
37,Hand::N,алга,кісць
38,Handfläche::N,алга,далонь
39,Finger::N,хуруу,палец
40,Fingernagel::N,хурууны хумс,ногаць
41,Nagel[Anatomie]::N,хумс,ногаць
42,Zeh::N,хуруу,палец
43,Fuß::N,хөл,нага
44,Ferse::N,өсгий,пята
45,Ferse::N,өсгий,пятка
46,Knie::N,өвдөг,калена
47,Oberschenkel::N,гуя,бядро
48,Oberschenkel::N,гуя,сцягно
49,Bein::N,хөл,нага
50,Körper::N,бие,цела
51,Haut::N,арьс,скура
52,Blut::N,цус,кроў
53,Ader::N,судас,вена
54,Ader::N,судас,сасуд
55,Sehne::N,бүлх,жыла
56,Sehne::N,бүлх,цеціва
57,Sehne::N,бүлх,сухажылле
58,Sehne::N,шандас,жыла
59,Sehne::N,шандас,цеціва
60,Sehne::N,шандас,сухажылле
61,Knochen::N,яс,косць
62,Gehirn::N,тархи,мозг
63,Herz::N,зүрх,сэрца
64,Magen::N,ходоод,страўнік
65,Leber::N,элэг,печань
66,Atem::N,амьсгаа,дыханне
67,Hunger::N,өлсгөлөн,голад
68,Träne::N,нулимс,сляза
69,Geschmack::N,амт,смак
70,Geruch::N,үнэр,пах
71,Schlaf::N,нойр,сон
72,Traum::N,зүүд,сон
73,Himmel::N,тэнгэр,неба
74,Himmel::N,огторгуй,неба
75,Sonne::N,нар,сонца
76,Mond::N,сар,месяц
77,Stern::N,од,зорка
78,Luft::N,агаар,паветра
79,Wind::N,салхи,вецер
80,Welle::N,долгио,хваля
81,Welle::N,давалгаа,хваля
82,Wasser::N,ус,вада
83,Stein::N,чулуу,камень
84,Boden::N,хөрс,глеба
85,Erde::N,газар,зямля
86,Erde::N,шороо,зямля
87,Staub::N,тоос,пыл
88,Rauch::N,утаа,дым
89,Funke::N,оч,іскра
90,Feuer::N,гал,агонь
91,Licht::N,гэрэл,святло
92,Licht::N,гэгээ,святло
93,Schatten::N,сүүдэр,цень
94,Wetter::N,тэнгэр,пагода
95,Wetter::N,тэнгэр,надворʼе
96,Wetter::N,цаг уур,пагода
97,Wetter::N,цаг уур,надворʼе
98,Nebel::N,будан,туман
99,Wolke::N,үүл,воблака
100,Regen::N,бороо,дождж
101,Schnee::N,цас,снег
102,Eis::N,мөс,лёд
103,Frost::N,хүйт,мароз
104,Kälte::N,хүйт,холад
105,Hitze::N,халуун,спёка
106,Raureif::N,цан,іней
107,Raureif::N,хяруу,іней
108,Regenbogen::N,солонго,вясёлка
109,Donner::N,тэнгэрийн дуу,гром
110,Strömung::N,урсгал,цячэнне
111,Tropfen::N,дусал,кропля
112,Schaum::N,хөөс,пена
113,Schmutz::N,хир,гразь
114,Schmutz::N,шавхай,гразь
115,See::N,нуур,возера
116,Sumpf::N,намаг,багна
117,Sumpf::N,балчиг,багна
118,Moor::N,хүлрийн намаг,балота
119,Wiese::N,нуга,луг
120,Wald::N,ой,лес
121,Hügel::N,болдог,узгорак
122,Anhöhe::N,гүвээ,узвышша
123,Berg::N,уул,гара
124,Gipfel::N,орой,вяршыня
125,Gipfel::N,оргил,вяршыня
126,Höhle::N,агуй,пячора
127,Abhang::N,хүр,схіл
128,Quelle::N,булаг,крыніца
129,Bach::N,горхи,ручай
130,Fluss::N,гол,рака
131,Fluss::N,мөрөн,рака
132,Ufer::N,эрэг,бераг
133,Küste::N,эрэг,узбярэжжа
134,Festland::N,хуурай газар,суша
135,Meer::N,далай,мора
136,Meer::N,тэнгис,мора
137,Bucht::N,булан,бухта
138,Bucht::N,далайн тохой,бухта
139,Insel::N,арал,востраў
140,Blume::N,цэцэг,кветка
141,Gras::N,өвс,трава
142,Gras::N,ногоо,трава
143,Wurzel::N,үндэс,корань
144,Baum::N,мод,дрэва
145,Stamm::N,иш,ствол
146,Stamm::N,гуалин,ствол
147,Rinde::N,холтос,кара
148,Ast::N,гишүү,сук
149,Zweig::N,салаа,галіна
150,Blatt::N,навч,ліст
151,Birke::N,хус,бяроза
152,Kiefer[Baum]::N,нарс,хвоя
153,Kiefer[Baum]::N,нарс,сасна
154,Weide[Baum]::N,уд,вярба
155,Weide[Baum]::N,бургас,вярба
156,Tanne::N,гачуур,яліна
157,Horn::N,эвэр,рог
158,Feder::N,өд,пяро
159,Fell::N,арьс,шкура
160,Flügel::N,жигүүр,крыло
161,Flügel::N,далавч,крыло
162,Klaue::N,савар,кіпцюр
163,Klaue::N,хумс,кіпцюр
164,Kralle::N,савар,лапа
165,Schwanz::N,сүүл,хвост
166,Ei::N,өндөг,яйка
167,Nest::N,үүр,гняздо
168,Bau::N,нүх,нара
169,Bau::N,элүү,нара
170,Tier::N,амьтан,жывёла
171,Tier::N,адгуус,жывёла
172,Herde::N,сүрэг,статак
173,Kuh::N,үнээ,карова
174,Bulle::N,бух,бык
175,Pferd::N,морь,конь
176,Pferd::N,адуу,конь
177,Schaf::N,хонь,авечка
178,Schwein::N,гахай,свіння
179,Hund::N,нохой,сабака
180,Katze::N,муур,кошка
181,Katze::N,мигуй,кошка
182,Bär::N,баавгай,мядзведзь
183,Eichhörnchen::N,хэрэм,вавёрка
184,Elch::N,хандгай,лось
185,Fuchs::N,үнэг,ліса
186,Hase::N,туулай,заяц
187,Maus::N,хулгана,мыш
188,Wolf::N,чоно,воўк
189,Vogel::N,шувуу,птах
190,Vogel::N,шувуу,птушка
191,Schwarm::N,сүрэг,чарада
192,Huhn::N,тахиа,курыца
193,Hahn::N,эр тахиа,певень
194,Gans::N,галуу,гусь
195,Adler::N,бүргэд,арол
196,Ente::N,нугас,качка
197,Eule::N,ууль,сава
198,Kranich::N,тогоруу,жораў
199,Kranich::N,тогоруу,журавель
200,Krähe::N,хэрээ,варона
201,Kuckuck::N,хөхөө,зязюля
202,Schwan::N,хун,лебедзь
203,Fisch::N,загас,рыба
204,Barsch::N,алгана,акунь
205,Hecht::N,цурхай,шчупак
206,Schlange[Tier]::N,могой,змяя
207,Wurm::N,өт,чарвяк
208,Wurm::N,хорхой,чарвяк
209,Spinne::N,аалз,павук
210,Ameise::N,шоргоолж,мурашка
211,Laus::N,бөөс,вош
212,Mücke::N,шумуул,камар
213,Fliege::N,ялаа,муха
214,Schmetterling::N,эрвээхэй,матыль
215,Beere::N,жимсгэнэ,ягада
216,Apfel::N,алим,яблык
217,Pilz::N,мөөг,грыб
218,Zwiebel::N,сонгино,цыбуля
219,Saat::N,тариа,семя
220,Korn::N,үр,зерне
221,Korn::N,мөхлөг,зерне
222,Heu::N,өвс,сена
223,Schale::N,хальс,шалупінне
224,Grube::N,алам,яма
225,Grube::N,нүх,яма
226,Falle::N,хавх,пастка
227,Falle::N,занга,пастка
228,Schlinge::N,урхи,сіло
229,Spur::N,мөр,след
230,Asche::N,үнс,попел
231,Dreck::N,хир,бруд
232,Eisen::N,төмөр,жалеза
233,Gold::N,алт,золата
