,Concept_ID,ta,fa
0,Auge::N,கண்,چشم
1,Ohr::N,காது,گوش
2,Nase::N,மூக்கு,بینی
3,Mund::N,வாய்,دهان
4,Zahn::N,பல்,دندان
5,Zunge::N,நாக்கு,زبان
6,Lippe::N,உதடு,لب
7,Wange::N,கன்னம்,لپ
8,Gesicht::N,முகம்,رو
9,Gesicht::N,முகம்,چهره
10,Stirn::N,முன்னெற்றி,پیشانی
11,Haar::N,முடி,مو
12,Schnurrbart::N,மீசை,سبیل
13,Bart::N,தாடி,ریش
14,Kinn::N,கீழதாடை,چانه
15,Kiefer[Anatomie]::N,தாடை,فک
16,Kiefer[Anatomie]::N,தாடை,آرواره
17,Kehle::N,தொண்டை,حلق
18,Hals::N,கழுத்து,گردن
19,Genick::N,கழுத்து,پشت گردن
20,Kopf::N,தலை,سر
21,Kopf::N,தலை,کله
22,Rücken::N,முதுகு,پشت
23,Bauch::N,வயிறு,شکم
24,Nabel::N,தொப்புள்,ناف
25,Busen::N,மார்பகம்,پستان
26,Brust::N, மார்பு,سینه
27,Schulter::N,தோள்பட்டை,دوش
28,Schulter::N,தோள்பட்டை,شانه
29,Arm::N,கரம்,بازو
30,Ellenbogen::N,முழங்கை,آرنج
31,Hand::N,கை,دست
32,Handfläche::N,உள்ளங்கை,کف دست
33,Finger::N,விரல்,انگشت
34,Fingernagel::N,விரல் நகம்,ناخن دست
35,Nagel[Anatomie]::N,நகம்,ناخن
36,Zeh::N,கால்விரல்,انگشت پا
37,Fuß::N,கால்,پا
38,Ferse::N,குதிகால்,پاشنه
39,Knie::N,முழங்கால்,زانو
40,Oberschenkel::N,தொடை,ران
41,Bein::N,கால்,پا
42,Bein::N,கால்,لنگ
43,Körper::N,உடல்,تن
44,Körper::N,உடல்,بدن
45,Haut::N,சருமம்,پوست
46,Blut::N,இரத்தம்,خون
47,Ader::N,நாளம்,رگ
48,Sehne::N,தசைநார்,زردپی
49,Knochen::N,எலுமபு,استخوان
50,Gehirn::N,மூனை,مخ
51,Gehirn::N,மூனை,مغز
52,Herz::N,இதயம,دل
53,Herz::N,இதயம,قلب
54,Magen::N,வயிறு,معده
55,Leber::N,கல்லீரல்,کبد
56,Atem::N,மூச்சு,نفس
57,Hunger::N,பசி,گرسنگی
58,Träne::N,கண்ணீர்,اشک
59,Geschmack::N,நறுமணம்,مزه
60,Geruch::N,துர்நாற்றம்,بو
61,Schlaf::N,தூக்கம்,خواب
62,Traum::N,கனவு,رؤیا
63,Himmel::N,வானம்,فلک
64,Himmel::N,வானம்,آسمان
65,Sonne::N,சூரியன்,آفتاب
66,Sonne::N,சூரியன்,خورشید
67,Mond::N,சந்திரன்,ماه
68,Stern::N,நட்சத்திரம்,ستاره
69,Luft::N,காறறு,هوا
70,Wind::N,காற்று,باد
71,Welle::N,அலை,موج
72,Wasser::N,நீர்,آب
73,Stein::N,கல்,سنگ
74,Boden::N,தரை,زمین
75,Erde::N,மண்,خاک
76,Erde::N,மண்,زمین
77,Staub::N,தூசி,گرد
78,Staub::N,தூசி,غبار
79,Rauch::N,புகை,دود
80,Funke::N,தீப்பொறி,جرقه
81,Feuer::N,தீ,آتش
82,Licht::N,வெளிச்சம்,نور
83,Licht::N,வெளிச்சம்,روشنی
84,Schatten::N,நிழல்,سایه
85,Wetter::N,வானிலை,هوا
86,Nebel::N,பனிமூட்டம்,مه
87,Wolke::N,மேகம்,ابر
88,Regen::N,மழை,باران
89,Schnee::N,உறைபனி,برف
90,Eis::N,பனிக்கட்டி,یخ
91,Frost::N,உறைபனி,یخبندان
92,Kälte::N,குளிர்ந்த,سرما
93,Hitze::N,சூடு,گرما
94,Hitze::N,சூடு,حرارت
95,Raureif::N,உறைபனி வெண்திரை,برف ریزه
96,Regenbogen::N,வானவில்,رنگین‌کمان
97,Donner::N,இடி,رعد
98,Strömung::N,நீரோட்டம்,جریان
99,Tropfen::N,துளி,قطره
100,Schaum::N,நுரை,کف
101,Schmutz::N,அழுக்கு,گل
102,Schmutz::N,அழுக்கு,کثافت
103,See::N,ஏரி,دریاچه
104,Sumpf::N,சதுப்பு நிலம்,مرداب
105,Sumpf::N,சதுப்பு நிலம்,باتلاق
106,Moor::N,முட்புதற்காடு,باتلاق
107,Wiese::N,பசும் புல்தரை,چمن
108,Wald::N,காடு,جنگل
109,Hügel::N,குன்று,تل
110,Hügel::N,குன்று,تپه
111,Anhöhe::N,பதுக்கை,بلندی
112,Berg::N,மலை,کوه
113,Gipfel::N,உச்சி மாநாடு,قله
114,Höhle::N,குகை,غار
115,Abhang::N,சரிவு,سرازیری
116,Quelle::N,மூலம்,چشمه
117,Bach::N,ஓடை,نهر
118,Fluss::N,ஆறு,رود
119,Ufer::N,நீர்க்கரை,ساحل
120,Ufer::N,நீர்க்கரை,کرانه
121,Küste::N,கடற்கரை,ساحل
122,Festland::N,நிலம்,خشکی
123,Meer::N,கடல்,دریا
124,Bucht::N,சிறுகுடா,خلیج
125,Insel::N,தீவு,جزیره
126,Blume::N,பூ,گل
127,Gras::N,புல்தரை,علف
128,Wurzel::N,வேர்,ریشه
129,Baum::N,மரம்,درخت
130,Stamm::N,அடிமரம்,تنه
131,Rinde::N,பட்டை,توژ
132,Rinde::N,பட்டை,پوست
133,Rinde::N,மரப்பட்டை,توژ
134,Rinde::N,மரப்பட்டை,پوست
135,Ast::N,கினை,شاخه
136,Zweig::N,குச்சி,شاخه
137,Blatt::N,இலை,برگ
138,Birke::N,பிர்ச் மரம்,غان
139,Kiefer[Baum]::N,தேவதாரு மரம்,کاج
140,Weide[Baum]::N,மர வகைகளுள் ஒன்று,بید
141,Tanne::N,சாதிக்கய்,صنوبر
142,Horn::N,கொம்பு,شاخ
143,Feder::N,இறகு,پر
144,Fell::N,மென்முடி,خز
145,Flügel::N,இறக்கை,پر
146,Flügel::N,இறக்கை,بال
147,Klaue::N,நகம்,چنگ
148,Klaue::N,நகம்,پنجه
149,Kralle::N,நகம்,پنجه
150,Schwanz::N,வால்,دم
151,Ei::N,முட்டை,تخم
152,Nest::N,கூடு,لانه
153,Bau::N,குகை,بنا
154,Bau::N,குகை,ساختمان
155,Tier::N,விலங்கு,هیوان
156,Herde::N,கூட்டம்,رمه
157,Kuh::N,பசு,گاو
158,Bulle::N,காளை,گاو نر
159,Pferd::N,குதிரை,اسب
160,Schaf::N,செம்மறிஆடு,گوسفند
161,Schwein::N,பன்றி,خوک
162,Hund::N,நாய்,سگ
163,Katze::N,பூனை,گربه
164,Bär::N,கரடி,خرس
165,Eichhörnchen::N,அணில்,سنجاب
166,Elch::N,கடம்பை,گوزن شمالی
167,Fuchs::N,நரி,روباه
168,Hase::N,முயல்,خرگوش
169,Maus::N,எலி,موش
170,Wolf::N,ஓநாய்,گرگ
171,Vogel::N,பறவை,پرنده
172,Schwarm::N,தொகுதி,دسته
173,Huhn::N,கோழிக்குஞசு,مرغ
174,Hahn::N,சேவல்,خروس
175,Gans::N,பெண் வாத்து,غاز
176,Adler::N,பருநது,عقاب
177,Ente::N,வாத்து,اردک
178,Ente::N,வாத்து,مرغابی
179,Eule::N,ஆந்தை,جغد
180,Kranich::N,நாரை,درنا
181,Krähe::N,காகம்,زاغ
182,Krähe::N,காகம்,کلاغ
183,Kuckuck::N,குயில்,فاخته
184,Schwan::N,அன்னம்,قو
185,Fisch::N,மீன்,ماهی
186,Barsch::N,பேர்ச்,ماهی خاردار
187,Hecht::N,கோலாச்சி மீன்,اردک ماهی
188,Schlange[Tier]::N,பாம்பு,مار
189,Wurm::N,புழு,کرم
190,Spinne::N,சிலந்தி,عنکبوت
191,Ameise::N,எறும்பு,مورچه
192,Laus::N,பேன்,شپش
193,Mücke::N,கொசுவினப்பூச்சி,پشه
194,Fliege::N,ஈ,مگس
195,Schmetterling::N,வண்ணத்துப்பூச்சி,پروانه
196,Beere::N,சதைப்பழம்,گیله
197,Apfel::N,ஆப்பிள பழம்,سیب
198,Pilz::N,காளான்,قارچ
199,Zwiebel::N,வெங்காயம்,پیاز
200,Saat::N,விதை,بذر
201,Korn::N,தானியம்,تخم
202,Korn::N,தானியம்,دانه
203,Heu::N,வைக்கோல்,علف خشک
204,Schale::N,தோல்,پوست
205,Grube::N,குழி,گودال
206,Falle::N,பொறி,دام
207,Schlinge::N,கண்ணி,حلقه
208,Spur::N,சுவடு,رد
209,Asche::N,சாம்பல்,خاکستر
210,Dreck::N,அழுக்கு,کثافت
211,Eisen::N,இரும்பு,آهن
212,Gold::N,தங்கம்,زر
213,Gold::N,தங்கம்,طلا
214,Silber::N,வெள்ளி,نقره
215,Kohle::N,நிலக்கரி,زغال
216,Glas::N,கண்ணாடி,شیشه
217,Lehm::N,களிமண்,گل
218,Sand::N,மணல்,شن
219,Sand::N,மணல்,ماسه
220,Mensch::N,மனிதர்கள்,آدم
221,Mensch::N,மனிதர்கள்,انسان
222,Mann::N,மனிதன்,مرد
223,Frau::N,பெண்,زن
224,Kind::N,குழந்தை,بچه
225,Kind::N,குழந்தை,کودک
226,Junge::N,பையன்,پسر
227,Mädchen::N,சிறுமி,دختر
228,Familie::N,குடும்பம்,فامیل
229,Familie::N,குடும்பம்,خانواده
230,Großvater::N,தாத்தா,پدربزرگ
231,Großmutter::N,பாட்டி,مادر‌بزرگ
232,Eltern::N,பெற்றோர்,والدین
233,Eltern::N,பெற்றோர்,پدر‌و‌مادر
234,Vater::N,தந்தை,پدر
235,Mutter::N,தாய்,مادر
236,Sohn::N,மகன்,پسر
237,Tochter::N,மகள்,دختر
238,Bruder::N,சகோதரன்,برادر
239,Schwester::N,அக்கா,خواهر
240,Onkel::N,தாய் மாமன்,عمو
241,Onkel::N,தாய் மாமன்,دایی
242,Tante::N,அத்தை,عمه
243,Tante::N,அத்தை,خاله
244,Ehemann::N,கணவன்,همسر
245,Ehefrau::N,மனைவி,همسر
246,Freude::N,கொண்டாட்டம்,شادی
247,Gelächter::N,சிரிப்பு,خنده
