,Concept_ID,kk,os
0,Auge::N,көз,цӕст
1,Ohr::N,құлақ,хъус
2,Nase::N,мұрын,фындз
3,Mund::N,ауыз,дзых
4,Zahn::N,тіс,дӕндаг
5,Zunge::N,тіл,ӕвзаг
6,Lippe::N,ерін,был
7,Wange::N,ұрт,рус
8,Wange::N,ұрт,уадул
9,Wange::N,ұрт,ӕхсӕрфарс
10,Gesicht::N,бет-аузы,цӕсгом
11,Stirn::N,маңдай,ных
12,Haar::N,қыл,хил
13,Schnurrbart::N,мұрт,рихи
14,Bart::N,сақал,зачъе
15,Kinn::N,иек,роцъо
16,Kiefer[Anatomie]::N,жақ,ӕфсӕр
17,Kehle::N,алқым,хъуыр
18,Hals::N,мойын,къубал
19,Genick::N,желке,къӕбут
20,Kopf::N,кәллә,сӕр
21,Rücken::N,арқа,фӕсонтӕ
22,Bauch::N,қарын,гуыбын
23,Nabel::N,кіндік,бикъ
24,Busen::N,омырау,дзидзи
25,Brust::N,кеуде,риу
26,Schulter::N,иық,уӕхск
27,Arm::N,қол,цонг
28,Ellenbogen::N,шынтақ,рæмбын
29,Hand::N,қол,къух
30,Handfläche::N,алақан,армытъӕпӕн
31,Finger::N,саусақ,ӕнруылдз
32,Fingernagel::N,тырнақ,ных
33,Nagel[Anatomie]::N,тырнақ,ных
34,Zeh::N,тырнақ,къух
35,Zeh::N,тұяқ,къух
36,Fuß::N,аяқ-басы,фад
37,Ferse::N,өкше,зӕвӕт
38,Ferse::N,өкшелік,зӕвӕт
39,Knie::N,тізе,уӕраг
40,Oberschenkel::N,жамбас,агъд
41,Bein::N,аяқ,зӕнг
42,Körper::N,дене,буар
43,Haut::N,тері,царм
44,Blut::N,қан,туг
45,Ader::N,көктамыр,дадзин
46,Ader::N,көктамыр,тугдадзин
47,Ader::N,күретамыр,дадзин
48,Ader::N,күретамыр,тугдадзин
49,Sehne::N,сіңір,хъиутæ
50,Sehne::N,сіңір,нуар
51,Knochen::N,жілік,стӕг
52,Gehirn::N,ми,магъз
53,Herz::N,жүрек,зӕрдӕ
54,Magen::N,асқазан,ахсӕн
55,Leber::N,бауыр,игæр
56,Atem::N,леп,улӕфт
57,Hunger::N,ашаршылық,стонг
58,Träne::N,жас,цæссыг
59,Geschmack::N,дәм,ад
60,Geschmack::N,татым,ад
61,Geschmack::N,талғам,ад
62,Geruch::N,иіс,смаг
63,Schlaf::N,ұйқы,хуыссӕг
64,Schlaf::N,ұйықтау,хуыссӕг
65,Traum::N,түс,фын
66,Himmel::N,аспан,арв
67,Himmel::N,аспан,уӕларв
68,Himmel::N,көқ,арв
69,Himmel::N,көқ,уӕларв
70,Himmel::N,таңдай,арв
71,Himmel::N,таңдай,уӕларв
72,Sonne::N,күн,хур
73,Mond::N,ай,мӕй
74,Stern::N,жұлдыз,стъалы
75,Luft::N,әуе,уӕлдӕф
76,Wind::N,жел,дымгӕ
77,Welle::N,толқын,уылӕн
78,Wasser::N,су,дон
79,Stein::N,тас,дур
80,Boden::N,қыртыс,зӕхх
81,Erde::N,топырақ,сыджыт
82,Staub::N,шаң,рыг
83,Rauch::N,түтін,фӕздӕг
84,Funke::N,ұшқын,цӕхӕр
85,Feuer::N,алау,зынг
86,Licht::N,шұғыла,рухс
87,Schatten::N,көлеңке,аууон
88,Wetter::N,ауа райы,боныхъӕд
89,Nebel::N,тұман,мигъ
90,Wolke::N,бұлт,ӕврагъ
91,Regen::N,жаңбыр,уарын
92,Schnee::N,қар,мит
93,Eis::N,мұз,их
94,Frost::N,суық,ихæн
95,Kälte::N,ызғар,уазал
96,Kälte::N,суықтық,уазал
97,Hitze::N,аптап,ӕнтӕф
98,Raureif::N,қырау,халас
99,Regenbogen::N,кемпірқосақ,арвырон
100,Regenbogen::N,кемпірқосақ,арвырдын
101,Donner::N,күн күркіреу,æрвнæрын
102,Strömung::N,ағын,цыд
103,Tropfen::N,тамшы,æртах
104,Schaum::N,көбік,фынк
105,Schmutz::N,кір,цъыф
106,See::N,көл,цад
107,Sumpf::N,саз,цъыфдзаст
108,Moor::N,саз,цъыфдзаст
109,Wiese::N,шалғын,уыгӕрдӕн
110,Wald::N,орман,хъӕд
111,Hügel::N,төбе,обау
112,Hügel::N,төбе,къуыбыр
113,Hügel::N,белес,обау
114,Hügel::N,белес,къуыбыр
115,Hügel::N,белес-белес,обау
116,Hügel::N,белес-белес,къуыбыр
117,Anhöhe::N,дөң,уæлвæз
118,Anhöhe::N,дөң,уæлхох
119,Anhöhe::N,адыр,уæлвæз
120,Anhöhe::N,адыр,уæлхох
121,Anhöhe::N,қырат,уæлвæз
122,Anhöhe::N,қырат,уæлхох
123,Berg::N,тау,хох
124,Gipfel::N,төбе,цъупп
125,Höhle::N,үңгір,лӕгӕт
126,Abhang::N,бауыр,къул
127,Quelle::N,қайнар,суадон
128,Bach::N,жылға,мӕсчъыдон
129,Fluss::N,өзен,дон
130,Fluss::N,өзен,цӕугӕдон
131,Ufer::N,жиек,был
132,Küste::N,жиегі,донбыл
133,Küste::N,жағалау,донбыл
134,Festland::N,құрылық,сурзæхх
135,Meer::N,теңіз,денджыз
136,Bucht::N,шығанақ,донбакæлæн
137,Insel::N,арал,сакъадах
138,Blume::N,гүл,дидинӕг
139,Gras::N,от,кӕрдӕг
