,Concept_ID,ml,ko
0,Auge::N,കണ്ണ്,눈
1,Ohr::N,ചെവി,귀
2,Nase::N,മൂക്ക്,코
3,Mund::N,വായ,입
4,Zahn::N,പല്ല്,이
5,Zunge::N,നാക്ക്,혀
6,Lippe::N,ചുണ്ട്,입술
7,Wange::N,കവിൾത്തടം,뺨
8,Gesicht::N,മുഖം,얼굴
9,Stirn::N,നെറ്റി,이마
10,Haar::N,തലമുടി,털
11,Schnurrbart::N,മീശ,윗수몀
12,Schnurrbart::N,മീശ,코밑수염
13,Bart::N,താടിരോമം,수엄
14,Kinn::N,താടി,아래턱
15,Kiefer[Anatomie]::N,താടിയെല്ല്,턱
16,Kehle::N,കണ്ഠനാളം,인후
17,Hals::N,കഴുത്ത്,목
18,Genick::N,പിടലി,먹덜이
19,Kopf::N,തല,머리
20,Rücken::N,മുതുക്,든
21,Bauch::N,നയറ്,배
22,Nabel::N,നാഭി,배꼽
23,Busen::N,സ്തനം,가슴속
24,Brust::N,സ്തനം,가슴
25,Schulter::N,തോൾ,어깨
26,Arm::N,കൈ,팔
27,Ellenbogen::N,കൈമുട്ട്,팔쿰치
28,Hand::N,കൈ,손
29,Handfläche::N,ഉള്ളം കൈ,손바닥
30,Finger::N,വിരൽ,속가락
31,Fingernagel::N,നഖം,손톱
32,Nagel[Anatomie]::N,നഖം,손톱
33,Zeh::N,കാൽവിരൽ,발가락
34,Fuß::N,കാൽപ്പാദം,발
35,Ferse::N,ഉപ്പൂറ്റി,발꿈치
36,Knie::N,കാൽമുട്ട്,무릎
37,Oberschenkel::N,തുട,허벅다리
38,Bein::N,കാൽ,다리
39,Körper::N,ശരീരം,구간
40,Haut::N,ചർമ്മം,살갗
41,Blut::N,രക്തം,피
42,Ader::N,ഞരമ്പ്,정맥
43,Sehne::N,സ്നായു,현
44,Knochen::N,അസ്ഥി,뼈
45,Gehirn::N,തലച്ചോറ്,뇌
46,Gehirn::N,തലച്ചോറ്,뇌수
47,Herz::N,ഹൃദയം,염통
48,Magen::N,വയർ,위
49,Leber::N,കരൾ,간
50,Atem::N,ശ്വാസം,기식
51,Hunger::N,വിശപ്പ്,공복
52,Träne::N,കണ്ണീർ,눈물
53,Geschmack::N,രുചി,기호
54,Geruch::N,ഗന്ധം,냄새
55,Schlaf::N,ഉറകും,수면
56,Traum::N,സ്വപ്നം,쿰
57,Himmel::N,ആകാശം,하늘
58,Sonne::N,സൂര്യൻ,해
59,Mond::N,ചന്ദ്രൻ,달
60,Stern::N,നക്ഷത്രം,별
61,Luft::N,കാറ്റ്,동준
62,Luft::N,കാറ്റ്,가스채
63,Wind::N,കാറ്റ്,바람
64,Welle::N,തിരമാല,물결
65,Wasser::N,വെള്ളം,물
66,Stein::N,ശില,돌
67,Stein::N,കല്ല്,돌
68,Boden::N,തറ,바닥
69,Boden::N,നിലം,바닥
70,Erde::N,മണ്ണ്,흙
71,Staub::N,പൊടി,먼지
72,Rauch::N,പുക,연기
73,Funke::N,തീപ്പൊരി,불티
74,Feuer::N,തീ,불
75,Licht::N,വിളക്ക്,불
76,Licht::N,സൂര്യപ്രകാശം,불
77,Schatten::N,തണൽ,어스레함
78,Wetter::N,കാലാവസ്ഥ,기상
79,Nebel::N,മൂടൽമഞ്ഞ്,안개
80,Wolke::N,മേഘം,구름
81,Regen::N,മഴ,비
82,Schnee::N,മഞ്ഞ്,눈
83,Eis::N,ഐസ്,얼음
84,Frost::N,മൂടൽമഞ്ഞ്,혹한
85,Kälte::N,തണുപ്പ്,추위
86,Kälte::N,തണുപ്പ്,차가움
87,Hitze::N,ചൂട്,고온
