,Concept_ID,fr,ka
0,Auge::N,œil,თვალი
1,Ohr::N,oreille,ყური
2,Nase::N,nez,ცხვირი
3,Mund::N,bouche,პირი
4,Zahn::N,dent,კბილი
5,Zunge::N,langue,ენა
6,Lippe::N,lèvre,ბაგე
7,Wange::N,joue,ლოყა
8,Gesicht::N,face,სახე
9,Gesicht::N,visage,სახე
10,Stirn::N,front,შუბლი
11,Haar::N,cheveu,თმა
12,Schnurrbart::N,moustache,ულვაში
13,Bart::N,barbe,წვერი
14,Kinn::N,menton,ნიკაპი
15,Kiefer[Anatomie]::N,mâchoire,ყბა
16,Kehle::N,gorge,ყელი
17,Hals::N,cou,ყელი
18,Hals::N,cou,კისერი
19,Genick::N,nuque,კეფა
20,Kopf::N,tête,თავი
21,Rücken::N,dos,ზურგი
22,Bauch::N,ventre,მუცელი
23,Nabel::N,nombril,ჭიპი
24,Busen::N,sein,ძუძუ
25,Brust::N,poitrine,მკერდი
26,Schulter::N,épaule,მხარი
27,Schulter::N,épaule,მკლავი
28,Arm::N,bras,ხელი
29,Ellenbogen::N,coude,იდაყვი
30,Hand::N,main,ხელი
31,Handfläche::N,paume,ნები
32,Handfläche::N,paume,ხელისგული
33,Finger::N,doigt,თითი
34,Fingernagel::N,ongle,ფრჩხილი
35,Nagel[Anatomie]::N,ongle,ფრჩხილი
36,Zeh::N,orteil,ფეხის თითი
37,Zeh::N,doigt de pied,ფეხის თითი
38,Fuß::N,pied,ტერფი
39,Fuß::N,pied,ფეხისგული
40,Ferse::N,talon,ქუსლი
41,Knie::N,genou,მუხლი
42,Oberschenkel::N,cuisse,ბარძაყი
43,Bein::N,jambe,ფეხი
44,Körper::N,corps,ტანი
45,Körper::N,corps,სხეული
46,Haut::N,peau,კანი
47,Blut::N,sang,სისხლი
48,Ader::N,veine,ძარღვი
49,Sehne::N,tendon,მყესი
50,Knochen::N,os,ძვალი
51,Gehirn::N,cerveau,ტვინი
52,Herz::N,cœur,გული
53,Magen::N,estomac,კუჭი
54,Leber::N,foie,ღვიძლი
55,Atem::N,haleine,სუნთქვა
56,Hunger::N,faim,შიმშილი
57,Träne::N,larme,ცრემლი
58,Geschmack::N,goût,გემო
59,Geschmack::N,saveur,გემო
60,Geruch::N,odeur,სუნი
61,Schlaf::N,sommeil,ძილი
62,Traum::N,songe,სიზმარი
63,Himmel::N,ciel,ცა
64,Sonne::N,soleil,მზე
65,Mond::N,lune,მთვარე
66,Stern::N,étoile,ვარსკვლავი
67,Luft::N,air,ჰაერი
68,Wind::N,vent,ქარი
69,Welle::N,vague,ტალღა
70,Wasser::N,eau,წყალი
71,Stein::N,pierre,ქვა
72,Boden::N,sol,მიწა
73,Boden::N,terrain,მიწა
74,Erde::N,terre,ნიადაგი
75,Staub::N,poussière,მტვერი
76,Rauch::N,fumée,ბოლი
77,Rauch::N,fumée,კვამლი
78,Funke::N,étincelle,ნაკვესი
79,Feuer::N,feu,ცეცხლი
80,Licht::N,lumière,შუქი
81,Licht::N,lumière,სინათლე
82,Schatten::N,ombre,ლანდი
83,Schatten::N,ombre,ჩრდილი
84,Wetter::N,temps,ამინდი
85,Nebel::N,brume,ნისლი
86,Nebel::N,brouillard,ნისლი
87,Wolke::N,nuage,ღრუბელი
88,Regen::N,pluie,წვიმა
89,Schnee::N,neige,თოვლი
90,Eis::N,glace,თოში
91,Eis::N,glace,ყინული
92,Frost::N,gel,ყინვა
93,Frost::N,gelée,ყინვა
94,Kälte::N,froid,სიცივე
95,Hitze::N,chaleur,სიცხე
96,Raureif::N,givre,ჭირხლი
97,Raureif::N,givre,თრთვილი
98,Regenbogen::N,arc-en-ciel,ცისარტყელა
99,Donner::N,tonnerre,ქუხილი
100,Strömung::N,courant,დინება
101,Tropfen::N,goutte,წვეთი
102,Schaum::N,écume,ქაფი
103,Schaum::N,écume,დორბლი
104,Schaum::N,mousse,ქაფი
105,Schaum::N,mousse,დორბლი
106,Schmutz::N,boue,ჭუჭყი
107,Schmutz::N,boue,ტალახი
108,Schmutz::N,saleté,ჭუჭყი
109,Schmutz::N,saleté,ტალახი
110,See::N,lac,ტბა
111,Sumpf::N,marais,ჭაობი
112,Sumpf::N,marécage,ჭაობი
113,Moor::N,tourbière,ტორფნარი
114,Wiese::N,pré,ველი
115,Wiese::N,pré,მდელო
116,Wald::N,bois,ტყე
117,Wald::N,forêt,ტყე
118,Hügel::N,coteau,ბორცვი
119,Hügel::N,colline,ბორცვი
120,Anhöhe::N,éminence,მაღლობი
121,Anhöhe::N,élévation,მაღლობი
122,Berg::N,mont,მთა
123,Berg::N,montagne,მთა
124,Gipfel::N,cime,მწვერვალი
125,Gipfel::N,sommet,მწვერვალი
126,Höhle::N,caverne,მღვიმე
127,Höhle::N,caverne,გამოქვებული
128,Abhang::N,pente,ფერდობი
129,Abhang::N,versant,ფერდობი
130,Quelle::N,source,წყარო
131,Quelle::N,source,სათავე
132,Quelle::N,fontaine,წყარო
133,Quelle::N,fontaine,სათავე
134,Bach::N,ruisseau,რუ
135,Bach::N,ruisseau,ნაკადული
136,Fluss::N,fleuve,მდინარე
137,Fluss::N,rivière,მდინარე
138,Ufer::N,bord,კიდე
139,Ufer::N,bord,ნაპირი
140,Ufer::N,rivage,კიდე
141,Ufer::N,rivage,ნაპირი
142,Küste::N,côte,ნაპირი
143,Festland::N,terre ferme,ხმელეთი
144,Meer::N,mer,ზღვა
145,Bucht::N,baie,ყურე
146,Insel::N,île,კუნძული
147,Blume::N,fleur,ყვავილი
148,Gras::N,herbe,ბალახი
149,Wurzel::N,racine,ძირი
150,Wurzel::N,racine,ფესვი
151,Baum::N,arbre,ხე
152,Stamm::N,tronc,ტანი
153,Rinde::N,écorce,ქერქი
154,Ast::N,branche,ტოტი
155,Zweig::N,rameau,შტო
156,Blatt::N,feuille,ფოთოლი
157,Birke::N,bouleau,არყი
158,Kiefer[Baum]::N,pin,ფიჭვი
159,Weide[Baum]::N,saule,ტირიფი
160,Tanne::N,sapin,ნაძვი
161,Horn::N,corne,რქა
162,Feder::N,plume,ფრთა
163,Fell::N,peau,ტყავი
164,Flügel::N,aile,ფრთა
165,Klaue::N,serre,კლანჭი
166,Kralle::N,ongle,ტორი
167,Kralle::N,griffe,ტორი
168,Schwanz::N,queue,კუდი
169,Ei::N,œuf,კვერცხი
170,Nest::N,nid,ბუდე
171,Bau::N,terrier,სორო
172,Tier::N,animal,ნადირი
173,Tier::N,animal,ცხოველი
174,Herde::N,troupeau,ფარა
175,Kuh::N,vache,ფური
176,Kuh::N,vache,ძროხა
177,Bulle::N,taureau,ხარი
178,Pferd::N,cheval,რაში
179,Pferd::N,cheval,ცხენი
180,Schaf::N,mouton,ცხვარი
181,Schwein::N,porc,ღორი
182,Schwein::N,cochon,ღორი
183,Hund::N,chien,ძაღლი
184,Katze::N,chat,კატა
185,Bär::N,ours,დათვი
186,Eichhörnchen::N,écureuil,ციყვი
187,Elch::N,élan,ცხენ-ირემი
188,Fuchs::N,renard,მელა
189,Hase::N,lièvre,კურდღელი
190,Maus::N,souris,თაგვი
191,Wolf::N,loup,მგელი
192,Vogel::N,oiseau,ჩიტი
193,Vogel::N,oiseau,ფრინველი
194,Schwarm::N,nuée,გუნდი
195,Schwarm::N,volée,გუნდი
196,Huhn::N,poule,დედალი
197,Hahn::N,coq,მამალი
198,Gans::N,oie,ბატი
199,Adler::N,aigle,არწივი
200,Ente::N,canard,იხვი
201,Eule::N,hibou,ბუ
202,Kranich::N,grue,წერო
203,Krähe::N,corneille,ყვავი
204,Kuckuck::N,coucou,გუგული
205,Schwan::N,cygne,გედი
206,Fisch::N,poisson,თევზი
207,Barsch::N,perche,ქორჭილა
208,Hecht::N,brochet,ქარიყლაპია
209,Schlange[Tier]::N,serpent,გველი
210,Wurm::N,ver,ჭია
211,Spinne::N,araignée,ობობა
