,Concept_ID,de,ko
0,Auge::N,Auge,눈
1,Ohr::N,Ohr,귀
2,Nase::N,Nase,코
3,Mund::N,Mund,입
4,Zahn::N,Zahn,이
5,Zunge::N,Zunge,혀
6,Lippe::N,Lippe,입술
7,Wange::N,Wange,뺨
8,Gesicht::N,Gesicht,얼굴
9,Stirn::N,Stirn,이마
10,Haar::N,Haar,털
11,Schnurrbart::N,Schnurrbart,윗수몀
12,Schnurrbart::N,Schnurrbart,코밑수염
13,Bart::N,Bart,수엄
14,Kinn::N,Kinn,아래턱
15,Kiefer[Anatomie]::N,Kiefer,턱
16,Kehle::N,Kehle,인후
17,Hals::N,Hals,목
18,Genick::N,Genick,먹덜이
19,Kopf::N,Kopf,머리
20,Rücken::N,Rücken,든
21,Bauch::N,Bauch,배
22,Nabel::N,Nabel,배꼽
23,Busen::N,Busen,가슴속
24,Brust::N,Brust,가슴
25,Schulter::N,Schulter,어깨
26,Arm::N,Arm,팔
27,Ellenbogen::N,Ellenbogen,팔쿰치
28,Hand::N,Hand,손
29,Handfläche::N,Handfläche,손바닥
30,Finger::N,Finger,속가락
31,Fingernagel::N,Fingernagel,손톱
32,Nagel[Anatomie]::N,Nagel,손톱
33,Zeh::N,Zeh,발가락
34,Fuß::N,Fuß,발
35,Ferse::N,Ferse,발꿈치
36,Knie::N,Knie,무릎
37,Oberschenkel::N,Oberschenkel,허벅다리
38,Bein::N,Bein,다리
39,Körper::N,Körper,구간
40,Haut::N,Haut,살갗
41,Blut::N,Blut,피
42,Ader::N,Ader,정맥
43,Sehne::N,Sehne,현
44,Knochen::N,Knochen,뼈
45,Gehirn::N,Gehirn,뇌
46,Gehirn::N,Gehirn,뇌수
47,Herz::N,Herz,염통
48,Magen::N,Magen,위
49,Leber::N,Leber,간
50,Atem::N,Atem,기식
51,Hunger::N,Hunger,공복
52,Träne::N,Träne,눈물
53,Geschmack::N,Geschmack,기호
54,Geruch::N,Geruch,냄새
55,Schlaf::N,Schlaf,수면
56,Traum::N,Traum,쿰
57,Himmel::N,Himmel,하늘
58,Sonne::N,Sonne,해
59,Mond::N,Mond,달
60,Stern::N,Stern,별
61,Luft::N,Luft,동준
62,Luft::N,Luft,가스채
63,Wind::N,Wind,바람
64,Welle::N,Welle,물결
65,Wasser::N,Wasser,물
66,Stein::N,Stein,돌
67,Boden::N,Boden,바닥
68,Erde::N,Erde,흙
69,Staub::N,Staub,먼지
70,Rauch::N,Rauch,연기
71,Funke::N,Funke,불티
72,Feuer::N,Feuer,불
73,Licht::N,Licht,불
74,Schatten::N,Schatten,어스레함
75,Wetter::N,Wetter,기상
76,Nebel::N,Nebel,안개
77,Wolke::N,Wolke,구름
78,Regen::N,Regen,비
79,Schnee::N,Schnee,눈
80,Eis::N,Eis,얼음
81,Frost::N,Frost,혹한
82,Kälte::N,Kälte,추위
83,Kälte::N,Kälte,차가움
84,Hitze::N,Hitze,고온
85,Hitze::N,Hitze,더위
86,Raureif::N,Raureif,
87,Regenbogen::N,Regenbogen,무지개
88,Donner::N,Donner,뇌명
89,Strömung::N,Strömung,유동
90,Tropfen::N,Tropfen,물방울
91,Schaum::N,Schaum,포말
92,Schmutz::N,Schmutz,때
93,See::N,See,호수
94,Sumpf::N,Sumpf,습지
95,Moor::N,Moor,저습지
96,Wiese::N,Wiese,목초지
97,Wald::N,Wald,숲
98,Hügel::N,Hügel,언덕
99,Anhöhe::N,Anhöhe,언덕
100,Berg::N,Berg,산
101,Gipfel::N,Gipfel,졀졍
102,Höhle::N,Höhle,공동
103,Abhang::N,Abhang,몰매
104,Quelle::N,Quelle,근원
105,Bach::N,Bach,내
106,Fluss::N,Fluss,강
107,Ufer::N,Ufer,강변
108,Ufer::N,Ufer,바닷가
109,Küste::N,Küste,해변
110,Küste::N,Küste,해변가
111,Festland::N,Festland,본토
112,Meer::N,Meer,바다
113,Bucht::N,Bucht,협만
114,Insel::N,Insel,섬
115,Blume::N,Blume,꽃
116,Gras::N,Gras,풀
117,Wurzel::N,Wurzel,뿌리
118,Baum::N,Baum,나무
119,Stamm::N,Stamm,대
120,Rinde::N,Rinde,나무껍질
121,Ast::N,Ast,가지
122,Zweig::N,Zweig,가지
123,Blatt::N,Blatt,잎
124,Birke::N,Birke,자작나무
125,Kiefer[Baum]::N,Kiefer,소나무
126,Weide[Baum]::N,Weide,쉬양버들
127,Tanne::N,Tanne,전나무
128,Horn::N,Horn,뿔
129,Feder::N,Feder,깃털
130,Fell::N,Fell,피혁모피
131,Flügel::N,Flügel,날개
132,Klaue::N,Klaue,갈고리 발톺
133,Kralle::N,Kralle,발툭
134,Schwanz::N,Schwanz,꼬리
135,Ei::N,Ei,알
136,Nest::N,Nest,보금자리
137,Bau::N,Bau,굴
138,Tier::N,Tier,짐승
139,Herde::N,Herde,가축의떼
140,Kuh::N,Kuh,암소
141,Bulle::N,Bulle,황소
142,Pferd::N,Pferd,말
143,Schaf::N,Schaf,양
144,Schwein::N,Schwein,돼지
145,Hund::N,Hund,개
146,Katze::N,Katze,고양이
147,Bär::N,Bär,콤
148,Eichhörnchen::N,Eichhörnchen,다람쥐
149,Elch::N,Elch,고라니
150,Fuchs::N,Fuchs,여우
151,Hase::N,Hase,토끼
152,Maus::N,Maus,쥐
153,Wolf::N,Wolf,늑대
154,Vogel::N,Vogel,새
155,Schwarm::N,Schwarm,뗴
156,Huhn::N,Huhn,암탉
157,Hahn::N,Hahn,수탉
158,Gans::N,Gans,거위
159,Adler::N,Adler,수리
160,Ente::N,Ente,오리
161,Eule::N,Eule,부엉이
162,Kranich::N,Kranich,두루미
163,Krähe::N,Krähe,까마귀
164,Kuckuck::N,Kuckuck,뻐꾸기
165,Schwan::N,Schwan,배조
166,Fisch::N,Fisch,물고기
167,Barsch::N,Barsch,농어
168,Hecht::N,Hecht,에속스
169,Schlange[Tier]::N,Schlange,뱀
170,Wurm::N,Wurm,벌레
171,Spinne::N,Spinne,거미
172,Ameise::N,Ameise,개미
173,Laus::N,Laus,이
174,Mücke::N,Mücke,모기
175,Fliege::N,Fliege,날기
176,Schmetterling::N,Schmetterling,나비
177,Beere::N,Beere,장과
178,Apfel::N,Apfel,사과
179,Pilz::N,Pilz,고방이
180,Zwiebel::N,Zwiebel,양파
181,Saat::N,Saat,씨
182,Korn::N,Korn,알맹이
183,Heu::N,Heu,건초
184,Schale::N,Schale,피상
185,Grube::N,Grube,
186,Falle::N,Falle,함정
187,Schlinge::N,Schlinge,올가미
188,Schlinge::N,Schlinge,멜빵붕대
189,Spur::N,Spur,발지국
190,Asche::N,Asche,재
191,Dreck::N,Dreck,똥
192,Dreck::N,Dreck,오물
193,Eisen::N,Eisen,쇠
194,Eisen::N,Eisen,철
195,Gold::N,Gold,항금
196,Silber::N,Silber,은
197,Kohle::N,Kohle,슻
198,Glas::N,Glas,유리
199,Lehm::N,Lehm,찰흙
200,Sand::N,Sand,모래
201,Mensch::N,Mensch,사람
202,Mann::N,Mann,남자
203,Frau::N,Frau,여자
204,Kind::N,Kind,아이
205,Junge::N,Junge,소녁
206,Mädchen::N,Mädchen,소녀
207,Familie::N,Familie,가족
208,Großvater::N,Großvater,할아버지
209,Großmutter::N,Großmutter,할머니
210,Eltern::N,Eltern,어버오
211,Vater::N,Vater,아버지
212,Mutter::N,Mutter,어머니
213,Sohn::N,Sohn,아들
214,Tochter::N,Tochter,딸기
215,Bruder::N,Bruder,형제
216,Schwester::N,Schwester,누이
217,Onkel::N,Onkel,백부
218,Tante::N,Tante,아주머니
219,Ehemann::N,Ehemann,남편
220,Ehefrau::N,Ehefrau,아내
221,Freude::N,Freude,기쁨
