,Concept_ID,cs,mdf
0,Auge::N,oko,сельме
1,Ohr::N,ucho,пиле
2,Nase::N,nos,шалхка
3,Mund::N,pusa,курга
4,Zahn::N,zub,пей
5,Zunge::N,jazyk,кяль
6,Lippe::N,ret,търва́
7,Wange::N,tvář,щёка
8,Gesicht::N,obličej,шама
9,Stirn::N,čelo,коня
10,Haar::N,vlas,шя́ярь
11,Haar::N,vlasy,шя́ярь
12,Schnurrbart::N,kníry,уса́
13,Bart::N,vousy,сакал
14,Kinn::N,brada,ула
15,Kiefer[Anatomie]::N,čelist,саласка
16,Kehle::N,hrdlo,кълдома
17,Kehle::N,hrdlo,кърга́парь
18,Hals::N,krk,сялдаз
19,Genick::N,týl,шовонь
20,Kopf::N,hlava,пря
21,Rücken::N,záda,копорь
22,Rücken::N,hřbet,копорь
23,Bauch::N,břicho,пеке
24,Nabel::N,pupek,по́кон
25,Busen::N,ňadra,потя
26,Brust::N,prsa,мяште
27,Schulter::N,plece,лафту
28,Schulter::N,rameno,лафту
29,Arm::N,ruka,кядь
30,Ellenbogen::N,loket,кенерьба́карь
31,Hand::N,ruka,кядь
32,Handfläche::N,dlaň,кядьлапш
33,Finger::N,prst,сур
34,Fingernagel::N,nehet,кенже
35,Nagel[Anatomie]::N,nehet,кенже
36,Zeh::N,prst u nohy,пильгосу́р
37,Fuß::N,noha,пильге
38,Fuß::N,noha,пильгелапа
39,Ferse::N,pata,кочкяря
40,Knie::N,koleno,эль
41,Knie::N,koleno,пълма́нжа
42,Oberschenkel::N,stehno,пильгепукша
43,Bein::N,noha,пильге
44,Körper::N,tělo,ро́нга
45,Körper::N,tělo,по́нда
46,Haut::N,kůže,киське
47,Blut::N,krev,вер
48,Ader::N,céva,сан
49,Ader::N,céva,верза́н
50,Sehne::N,šlacha,коське сан
51,Knochen::N,kost,пакарь
52,Gehirn::N,mozek,уй
53,Herz::N,srdce,седи
54,Magen::N,žaludek,коткърдазь
55,Leber::N,játra,макса
56,Atem::N,dech,лекома
57,Atem::N,dech,ваймонь тарксема
58,Hunger::N,hlad,вачеши
59,Träne::N,slza,сельмове́дь
60,Geschmack::N,vkus,таньф
61,Geruch::N,vůně,шине
62,Geruch::N,zápach,шине
63,Schlaf::N,spánek,удома́
64,Traum::N,sen,он
65,Himmel::N,nebe,менель
66,Sonne::N,slunce,ши
67,Mond::N,měsíc,ков
68,Stern::N,hvězda,тяште
69,Luft::N,vzduch,кожф
70,Wind::N,vítr,варма
71,Welle::N,vlna,тавла
72,Wasser::N,voda,ведь
73,Stein::N,kámen,кев
74,Boden::N,půda,мода
75,Boden::N,půda,потмакс
76,Erde::N,země,мода
77,Erde::N,země,мастор
78,Staub::N,prach,пуль
79,Rauch::N,dým,качам
80,Rauch::N,kouř,качам
81,Funke::N,jiskra,ця́тка
82,Feuer::N,oheň,тол
83,Licht::N,světlo,ва́лда
84,Schatten::N,stín,цильф
85,Wetter::N,počasí,уша
86,Nebel::N,mlha,тума́н
87,Wolke::N,mrak,ковол
88,Wolke::N,oblak,ковол
89,Regen::N,déšť,пизем
90,Schnee::N,sníh,лов
91,Eis::N,led,эй
92,Frost::N,mráz,ке́льме
93,Kälte::N,chlad,якшама
94,Hitze::N,horko,пси
95,Raureif::N,jinovatka,леш
96,Regenbogen::N,duha,а́тямъёнга
97,Donner::N,hrom,атям
98,Strömung::N,proudění,шудема́
99,Tropfen::N,kapka,путькс
100,Tropfen::N,kapka,пътняфкс
101,Schaum::N,pěna,шов
102,Schmutz::N,špína,ърда́з
103,See::N,jezero,эрьхке
104,Sumpf::N,močál,шяй
105,Sumpf::N,bažina,шяй
106,Moor::N,bažina,шяй
107,Moor::N,slatina,шяй
108,Wiese::N,louka,луга
109,Wald::N,les,вирь
110,Hügel::N,kopec,губо́р
111,Hügel::N,kopec,пандоня
112,Anhöhe::N,pahorek,губо́р
113,Berg::N,hora,панда
114,Gipfel::N,vrchol,пря
115,Höhle::N,jeskyně,у́нда
116,Abhang::N,svah,па́нда ша́ма
117,Abhang::N,stráň,па́нда ша́ма
118,Quelle::N,pramen,эшиня
119,Bach::N,potok,шудерькс
120,Fluss::N,řeka,ляй
121,Ufer::N,břeh,търва́
122,Küste::N,pobřeží,ляйтърва́
123,Festland::N,souš,мода
124,Festland::N,pevnina,мода
125,Meer::N,moře,моря
126,Bucht::N,záliv,ведьуське
127,Bucht::N,zátoka,ведьуське
128,Insel::N,ostrov,цёнга
129,Blume::N,květina,панчф
130,Gras::N,tráva,тише
131,Wurzel::N,kořen,юр
132,Wurzel::N,kořen,ункс
133,Baum::N,strom,шуфта
134,Stamm::N,kmen,ро́нга
135,Rinde::N,kůra,кер
136,Ast::N,větev,морга
137,Zweig::N,větev,тарад
138,Blatt::N,lupen,лопа
139,Birke::N,bříza,ке́лу
140,Kiefer[Baum]::N,sosna,пиче
141,Kiefer[Baum]::N,borovice,пиче
142,Weide[Baum]::N,vrba,каль
143,Tanne::N,jedle,куз
144,Horn::N,roh,сюра
145,Feder::N,pero,толга
146,Fell::N,srst,кедь
147,Flügel::N,křídlo,паця
148,Klaue::N,dráp,кенже
149,Klaue::N,pazneht,кенже
150,Kralle::N,dráp,кенже
151,Schwanz::N,ocas,пула
152,Ei::N,vejce,ал
153,Nest::N,hnízdo,пиза
154,Bau::N,nora,пиза
155,Tier::N,zvíře,жува́та
156,Herde::N,stádo,нал
157,Herde::N,stádo,стада
158,Kuh::N,kráva,скал
159,Kuh::N,kráva,тракс
160,Bulle::N,býk,бука
161,Pferd::N,kůň,лишме
162,Schaf::N,ovce,уча́
163,Schwein::N,vepř,тува
164,Schwein::N,prase,тува
165,Hund::N,pes,пине
166,Katze::N,kočka,катоня
167,Katze::N,kočka,аваката
168,Bär::N,medvěd,офта
169,Eichhörnchen::N,veverka,ур
170,Elch::N,los,ся́рда
171,Fuchs::N,liška,келазь
172,Hase::N,zajíc,ну́мол
173,Maus::N,myš,шеер
174,Wolf::N,vlk,върьгаз
175,Vogel::N,pták,нармонь
176,Schwarm::N,roj,ко́вол
177,Schwarm::N,roj,ме́швеле
178,Schwarm::N,hejno,ко́вол
179,Schwarm::N,hejno,ме́швеле
180,Huhn::N,kuře,сараз
181,Huhn::N,slepice,сараз
182,Hahn::N,kohout,а́тякш
183,Gans::N,husa,маци
184,Adler::N,orel,куцькан
185,Ente::N,kachna,яксярга
186,Eule::N,sova,ко́рож
187,Kranich::N,jeřáb,ка́рга
188,Krähe::N,vrána,ва́рси
189,Kuckuck::N,kukačka,ку́ку
190,Schwan::N,labuť,ло́ксти
191,Fisch::N,ryba,кал
192,Barsch::N,okoun,о́кунь
193,Hecht::N,štika,щу́ка
194,Schlange[Tier]::N,had,куй
195,Wurm::N,červ,сукс
