,Concept_ID,os,ko
0,Auge::N,цӕст,눈
1,Ohr::N,хъус,귀
2,Nase::N,фындз,코
3,Mund::N,дзых,입
4,Zahn::N,дӕндаг,이
5,Zunge::N,ӕвзаг,혀
6,Lippe::N,был,입술
7,Wange::N,рус,뺨
8,Wange::N,уадул,뺨
9,Wange::N,ӕхсӕрфарс,뺨
10,Gesicht::N,цӕсгом,얼굴
11,Stirn::N,ных,이마
12,Haar::N,хил,털
13,Schnurrbart::N,рихи,윗수몀
14,Schnurrbart::N,рихи,코밑수염
15,Bart::N,зачъе,수엄
16,Kinn::N,роцъо,아래턱
17,Kiefer[Anatomie]::N,ӕфсӕр,턱
18,Kehle::N,хъуыр,인후
19,Hals::N,къубал,목
20,Genick::N,къӕбут,먹덜이
21,Kopf::N,сӕр,머리
22,Rücken::N,фӕсонтӕ,든
23,Bauch::N,гуыбын,배
24,Nabel::N,бикъ,배꼽
25,Busen::N,дзидзи,가슴속
26,Brust::N,риу,가슴
27,Schulter::N,уӕхск,어깨
28,Arm::N,цонг,팔
29,Ellenbogen::N,рæмбын,팔쿰치
30,Hand::N,къух,손
31,Handfläche::N,армытъӕпӕн,손바닥
32,Finger::N,ӕнруылдз,속가락
33,Fingernagel::N,ных,손톱
34,Nagel[Anatomie]::N,ных,손톱
35,Zeh::N,къух,발가락
36,Fuß::N,фад,발
37,Ferse::N,зӕвӕт,발꿈치
38,Knie::N,уӕраг,무릎
39,Oberschenkel::N,агъд,허벅다리
40,Bein::N,зӕнг,다리
41,Körper::N,буар,구간
42,Haut::N,царм,살갗
43,Blut::N,туг,피
44,Ader::N,дадзин,정맥
45,Ader::N,тугдадзин,정맥
46,Sehne::N,хъиутæ,현
47,Sehne::N,нуар,현
48,Knochen::N,стӕг,뼈
49,Gehirn::N,магъз,뇌
50,Gehirn::N,магъз,뇌수
51,Herz::N,зӕрдӕ,염통
52,Magen::N,ахсӕн,위
53,Leber::N,игæр,간
54,Atem::N,улӕфт,기식
55,Hunger::N,стонг,공복
56,Träne::N,цæссыг,눈물
57,Geschmack::N,ад,기호
58,Geruch::N,смаг,냄새
59,Schlaf::N,хуыссӕг,수면
60,Traum::N,фын,쿰
61,Himmel::N,арв,하늘
62,Himmel::N,уӕларв,하늘
63,Sonne::N,хур,해
64,Mond::N,мӕй,달
65,Stern::N,стъалы,별
66,Luft::N,уӕлдӕф,동준
67,Luft::N,уӕлдӕф,가스채
68,Wind::N,дымгӕ,바람
69,Welle::N,уылӕн,물결
70,Wasser::N,дон,물
71,Stein::N,дур,돌
72,Boden::N,зӕхх,바닥
73,Erde::N,сыджыт,흙
74,Staub::N,рыг,먼지
75,Rauch::N,фӕздӕг,연기
76,Funke::N,цӕхӕр,불티
77,Feuer::N,зынг,불
78,Licht::N,рухс,불
79,Schatten::N,аууон,어스레함
80,Wetter::N,боныхъӕд,기상
81,Nebel::N,мигъ,안개
82,Wolke::N,ӕврагъ,구름
83,Regen::N,уарын,비
84,Schnee::N,мит,눈
85,Eis::N,их,얼음
86,Frost::N,ихæн,혹한
