,Concept_ID,kn,lbe
0,Auge::N,ಕಣ್ಣು,я
1,Ohr::N,ಕಿವಿ,вичӏи
2,Nase::N,ಮೂಗು,май
3,Mund::N,ಬಾಯಿ,кьацӏ
4,Zahn::N,ಹಲ್ಲು,ккарччи
5,Zunge::N,ನಾಲಿಗೆ,маз
6,Lippe::N,ತುಟಿ,мурччи
7,Wange::N,ಗಲ್ಲ,чӏав
8,Gesicht::N,ಮುಖ,лажин
9,Stirn::N,ಹಣೆ,ненттабакӏ
10,Haar::N,ಕೂದಲು,чӏара
11,Schnurrbart::N,ಮೀಸೆ,ссирссилтту
12,Bart::N,ಗಡ್ಡ,чӏири
13,Kinn::N,ಗದ್ದ,лунттубакӏ
14,Kiefer[Anatomie]::N,ದವಡೆ,ххинчулул
15,Kehle::N,ಗಂಟಲು,кьакьари
16,Hals::N,ಕೊರಳು,ссурссу
17,Genick::N,ಹಿಂಗತ್ತು,махъабакӏ
18,Kopf::N,ತಲೆ,бакӏ
19,Rücken::N,ಬೆನ್ನು,ттиликӏ
20,Bauch::N,ಹೊಟ್ಟೆ,лякьа
21,Nabel::N,ಹೊಕ್ಕುಳು,цӏумуккутӏ
22,Busen::N,ಸ್ತನ,ккукку
23,Brust::N,ಎದೆ,хъазам
24,Schulter::N,ಭುಜ,хъачӏ
25,Arm::N,ತೋಳು,ка
26,Ellenbogen::N,ಮೊಣಕೈ,ссюрхъ
27,Hand::N,ಕೈ,бартка
28,Handfläche::N,ಅಂಗೈ,хъат
29,Handfläche::N,ಅಂಗೈ,битӏянхъ
30,Finger::N,ಕೈಬೆರಳು,кӏисса
31,Fingernagel::N,ಉಗುರು,михь
32,Nagel[Anatomie]::N,ಉಗುರು,михь
33,Zeh::N,ಕಾಲ್ಬೆರಳು,кӏисса
34,Fuß::N,ಪಾದ,чӏанччан
35,Ferse::N,ಹಿಮ್ಮಡಿ,никъа
36,Knie::N,ಮಂಡಿ,ник
37,Oberschenkel::N,ತೊಡೆ,жира
38,Bein::N,ಕಾಲು,ччан
39,Körper::N,ದೇಹ,чурх
40,Haut::N,ಚರ್ಮ,бурчу
41,Blut::N,ರಕ್ತ,оь
42,Ader::N,ನರ,тунну
43,Sehne::N,ನರ,хьхьа
44,Knochen::N,ಮೂಳೆ,ттаркӏ
45,Gehirn::N,ಮಿದುಳು,ня
