,Concept_ID,hy,cs
0,Auge::N,աչք,oko
1,Ohr::N,ականջ,ucho
2,Nase::N,քիթ,nos
3,Mund::N,բերան,pusa
4,Zahn::N,ատամ,zub
5,Zunge::N,լեզու,jazyk
6,Lippe::N,շրթունք,ret
7,Wange::N,այտ,tvář
8,Wange::N,թուշ,tvář
9,Gesicht::N,դեմք,obličej
10,Stirn::N,ճակատ,čelo
11,Haar::N,մազ,vlas
12,Haar::N,մազ,vlasy
13,Schnurrbart::N,բեղ,kníry
14,Bart::N,մորուք,vousy
15,Kinn::N,կզակ,brada
16,Kiefer[Anatomie]::N,ծնոտ,čelist
17,Kehle::N,կոկորդ,hrdlo
18,Hals::N,վիզ,krk
19,Hals::N,պարանոց,krk
20,Genick::N,ծոծրակ,týl
21,Kopf::N,գլուխ,hlava
22,Rücken::N,մեջք,záda
23,Rücken::N,մեջք,hřbet
24,Bauch::N,փոր,břicho
25,Bauch::N,որովայն,břicho
26,Nabel::N,պորտ,pupek
27,Busen::N,ծոց,ňadra
28,Brust::N,կուրծք,prsa
29,Schulter::N,ուս,plece
30,Schulter::N,ուս,rameno
31,Arm::N,թեւ,ruka
32,Arm::N,բազուկ,ruka
33,Ellenbogen::N,արմունկ,loket
34,Hand::N,ձեռք,ruka
35,Handfläche::N,ափ,dlaň
36,Finger::N,մատ,prst
37,Fingernagel::N,եղունգ,nehet
38,Nagel[Anatomie]::N,եղունգ,nehet
39,Zeh::N,ոտքի մատ,prst u nohy
40,Fuß::N,ոտք,noha
41,Ferse::N,գարշապար,pata
42,Knie::N,ծունկ,koleno
43,Oberschenkel::N,ազդր,stehno
44,Bein::N,ոտք,noha
45,Körper::N,մարմին,tělo
46,Haut::N,մաշկ,kůže
47,Blut::N,արյուն,krev
48,Ader::N,երակ,céva
49,Sehne::N,ջիղ,šlacha
50,Sehne::N,ձգտան,šlacha
51,Knochen::N,ոսկոր,kost
52,Gehirn::N,խելք,mozek
53,Herz::N,սիրտ,srdce
54,Magen::N,ստամոքս,žaludek
55,Leber::N,լյարդ,játra
56,Atem::N,շունչ,dech
57,Hunger::N,քաղց,hlad
58,Träne::N,արտասուք,slza
59,Geschmack::N,համ,vkus
60,Geschmack::N,բուրմունք,vkus
61,Geruch::N,հոտ,vůně
62,Geruch::N,հոտ,zápach
63,Geruch::N,բուրում,vůně
64,Geruch::N,բուրում,zápach
65,Schlaf::N,քուն,spánek
66,Traum::N,երազ,sen
67,Himmel::N,երկինք,nebe
68,Sonne::N,արեւ,slunce
69,Mond::N,լուսին,měsíc
70,Stern::N,աստղ,hvězda
71,Luft::N,օդ,vzduch
72,Wind::N,քամի,vítr
73,Welle::N,ալիք,vlna
74,Wasser::N,ջուր,voda
75,Stein::N,քար,kámen
76,Boden::N,գետին,půda
77,Erde::N,հող,země
78,Staub::N,փոշի,prach
79,Rauch::N,ծուխ,dým
80,Rauch::N,ծուխ,kouř
81,Funke::N,կայծ,jiskra
82,Feuer::N,կրակ,oheň
83,Feuer::N,հրդեհ,oheň
84,Licht::N,լույս,světlo
85,Schatten::N,ստվեր,stín
86,Wetter::N,եղանակ,počasí
87,Nebel::N,մեգ,mlha
88,Nebel::N,մառախուղ,mlha
89,Wolke::N,ամպ,mrak
90,Wolke::N,ամպ,oblak
91,Regen::N,անձրև,déšť
92,Schnee::N,ձյուն,sníh
93,Eis::N,սառույց,led
94,Frost::N,սառնամանիք,mráz
95,Kälte::N,դող,chlad
96,Hitze::N,շոգ,horko
97,Raureif::N,ցօղեղեամ,jinovatka
98,Regenbogen::N,ծիածան,duha
99,Donner::N,որոտ,hrom
100,Strömung::N,հոսանք,proudění
101,Tropfen::N,կաթիլ,kapka
102,Schaum::N,փրփուր,pěna
103,Schmutz::N,կեղտ,špína
104,See::N,լիճ,jezero
105,Sumpf::N,ճահիճ,močál
106,Sumpf::N,ճահիճ,bažina
107,Moor::N,ճահիճ,bažina
108,Moor::N,ճահիճ,slatina
109,Wiese::N,մարգագետին,louka
110,Wald::N,անտառ,les
111,Hügel::N,բլուր,kopec
112,Anhöhe::N,բարձունք,pahorek
113,Berg::N,լեռ,hora
114,Gipfel::N,գագաթ,vrchol
115,Gipfel::N,կատար,vrchol
116,Höhle::N,քարայր,jeskyně
117,Abhang::N,լանջ,svah
118,Abhang::N,լանջ,stráň
119,Abhang::N,զառիվայր,svah
120,Abhang::N,զառիվայր,stráň
121,Quelle::N,աղբյուր,pramen
122,Bach::N,վտակ,potok
123,Fluss::N,գետ,řeka
124,Ufer::N,ծովափ,břeh
125,Küste::N,ափ,pobřeží
126,Küste::N,ծովափ,pobřeží
127,Festland::N,ցամաք,souš
128,Festland::N,ցամաք,pevnina
129,Meer::N,ծով,moře
130,Bucht::N,հաչիւն,záliv
131,Bucht::N,հաչիւն,zátoka
132,Insel::N,վղզի,ostrov
133,Blume::N,ծաղիկ,květina
134,Gras::N,խոտ,tráva
135,Wurzel::N,արմատ,kořen
136,Baum::N,ծառ,strom
137,Stamm::N,իրան,kmen
138,Rinde::N,կեղեւ,kůra
139,Rinde::N,հաչոց,kůra
140,Ast::N,ճյուղ,větev
141,Zweig::N,ճյուղ,větev
142,Blatt::N,տերեւ,lupen
143,Birke::N,ցարասի,bříza
144,Kiefer[Baum]::N,սոճի,sosna
145,Kiefer[Baum]::N,սոճի,borovice
146,Weide[Baum]::N,ուռենի,vrba
147,Tanne::N,եղեւին,jedle
148,Feder::N,փետուր,pero
149,Fell::N,մորթի,srst
150,Flügel::N,թեւ,křídlo
151,Klaue::N,չանչ,dráp
152,Klaue::N,չանչ,pazneht
153,Kralle::N,ճանկ,dráp
154,Schwanz::N,պոչ,ocas
155,Ei::N,ձու,vejce
156,Nest::N,բույն,hnízdo
157,Bau::N,որջ,nora
158,Bau::N,բայոց,nora
159,Tier::N,կենդանի,zvíře
160,Herde::N,հոտ,stádo
161,Kuh::N,կով,kráva
162,Bulle::N,ցուլ,býk
163,Pferd::N,ձի,kůň
164,Schaf::N,ոչխար,ovce
165,Schwein::N,խոզ,vepř
166,Schwein::N,խոզ,prase
167,Hund::N,շուն,pes
168,Katze::N,կատու,kočka
169,Bär::N,արջ,medvěd
170,Eichhörnchen::N,սկյուռ,veverka
171,Elch::N,հիւսիսային եղջերու,los
172,Fuchs::N,աղվես,liška
173,Hase::N,նապաստակ,zajíc
174,Maus::N,մուկ,myš
175,Wolf::N,գայլ,vlk
176,Vogel::N,թռչուն,pták
177,Schwarm::N,երամ,roj
178,Schwarm::N,երամ,hejno
179,Huhn::N,հավ,kuře
180,Huhn::N,հավ,slepice
181,Hahn::N,աքաղաղ,kohout
182,Gans::N,սագ,husa
183,Adler::N,արծիվ,orel
184,Ente::N,բադ,kachna
185,Eule::N,բու,sova
186,Kranich::N,կռունկ,jeřáb
187,Krähe::N,ագռավ,vrána
188,Kuckuck::N,կուկու,kukačka
189,Schwan::N,կարապ,labuť
190,Fisch::N,ձուկ,ryba
191,Barsch::N,պերկես,okoun
192,Hecht::N,գայլաձուկ,štika
193,Schlange[Tier]::N,օձ,had
194,Wurm::N,որդ,červ
195,Wurm::N,ճիճու,červ
196,Spinne::N,սարդ,pavouk
197,Ameise::N,միջյուն,mravenec
198,Laus::N,ոջիլ,veš
199,Mücke::N,մժղուկ,komár
200,Fliege::N,ճանճ,moucha
201,Schmetterling::N,թիթեռ,motýl
202,Beere::N,հատապտուղ,bobule
203,Apfel::N,խնձոր,jablko
204,Pilz::N,սունկ,houba
205,Zwiebel::N,սոխ,cibule
206,Saat::N,սերմ,osivo
207,Korn::N,հատիկ,zrno
208,Heu::N,խոտ,seno
209,Schale::N,կեղեւ,slupka
210,Schale::N,կեղեւ,skořápka
211,Grube::N,փոս,jáma
212,Falle::N,ծուղակ,past
213,Falle::N,ծուղակ,léčka
214,Schlinge::N,խեղդան,smyčka
215,Spur::N,հետք,stopa
216,Asche::N,մոխիր,popel
217,Dreck::N,աղտ,špína
218,Eisen::N,երկաթ,železo
219,Gold::N,ոսկի,zlato
220,Silber::N,արծաթ,stříbro
221,Kohle::N,քարածուխ,uhlí
222,Glas::N,ապակի,sklo
223,Lehm::N,կավ,jíl
224,Lehm::N,կավ,hlína
225,Sand::N,ավազ,písek
226,Mensch::N,մարդ,člověk
227,Mann::N,մարդ,muž
228,Mann::N,տղամարդ,muž
229,Frau::N,կին,žena
230,Kind::N,զավակ,dítě
231,Junge::N,տղա,hoch
232,Junge::N,տղա,chlapec
233,Mädchen::N,աղջիկ,děvče
234,Familie::N,ընտանիք,rodina
235,Großvater::N,պապ,děd
236,Großvater::N,պապ,dědeček
237,Großmutter::N,տատ,babička
238,Eltern::N,ծնողներ,rodiče
239,Vater::N,հայր,otec
240,Mutter::N,մայր,matka
241,Sohn::N,որդի,syn
242,Tochter::N,աղջիկ,dcera
243,Tochter::N,դուստր,dcera
244,Bruder::N,եղբայր,bratr
245,Schwester::N,քույր,sestra
246,Onkel::N,քեռի,strýc
247,Onkel::N,հորեղբայր,strýc
248,Tante::N,մորաքույր,teta
249,Ehemann::N,մարդ,choť
250,Ehemann::N,մարդ,manžel
251,Ehemann::N,ամուսին,choť
252,Ehemann::N,ամուսին,manžel
253,Ehefrau::N,կին ամուսին,choť
254,Ehefrau::N,կին ամուսին,manželka
255,Freude::N,ուրախություն,radost
256,Gelächter::N,ծիծաղ,smích
257,Glück::N,երջանկություն,štěstí
258,Kummer::N,վիշտ,žal
259,Kummer::N,վիշտ,trápení
260,Wunsch::N,ցանկություն,přání
261,Lust::N,փափագ,chuť
262,Lust::N,իղձ,chuť
263,Geist::N,ոգի,duch
264,Gedanke::N,միտք,myšlenka
265,Gedächtnis::N,հիշողություն,paměť
266,Verstand::N,խելք,rozum
267,Sinn::N,իմաստ,smysl
268,Grund::N,պատճառ,důvod
269,Wahrheit::N,ճշմարտություն,pravda
270,Gespräch::N,զրույց,rozhovor
271,Märchen::N,պայիկի պատմություն,pohádka
272,Erzählung::N,պատմվածք,povídka
273,Erzählung::N,պատմություն,povídka
274,Nachricht::N,հաղորդագրություն,zpráva
275,Neuigkeit::N,լուր,novina
276,Neuigkeit::N,լուր,novinka
277,Neuigkeit::N,նորություն,novina
278,Neuigkeit::N,նորություն,novinka
279,Name::N,անուն,jméno
280,Rätsel::N,բարդ խնդիր,hádanka
281,Rede::N,ճառ,řeč
282,Rede::N,ճառ,proslov
283,Rede::N,ելույթ,řeč
284,Rede::N,ելույթ,proslov
285,Sprache::N,լեզու,řeč
286,Sprache::N,լեզու,jazyk
287,Stimme::N,ձայն,hlas
288,Wort::N,բառ,slovo
289,Zeichen::N,նշան,znamení
290,Ruf::N,կոչ,zavolání
291,Ruf::N,կանչ,zavolání
292,Lärm::N,աղմուկ,hluk
293,Laut::N,հնչյուն,zvuk
294,Laut::N,ձայն,zvuk
295,Ton::N,տոն,tón
296,Lied::N,երգ,píseň
297,Ruhe::N,անդորրություն,klid
298,Ruhe::N,անդորրություն,pokoj
299,Leute::N,մարդիկ,lidé
300,Volk::N,ազգ,národ
301,Arbeit::N,գործ,práce
302,Arbeit::N,աշխատանք,práce
303,Gast::N,հյուր,host
304,Geschenk::N,նվեր,dar
305,Spiel::N,խաղ,hra
306,Gesellschaft::N,ընկերություն,společnost
307,Hilfe::N,օգնությթուն,pomoc
308,Freund::N,ընկեր,přítel
309,Freund::N,բարեկամ,přítel
310,Kamerad::N,ուղեկից,kamarád
311,Angelegenheit::N,բան,záležitost
312,Angelegenheit::N,գործ,záležitost
313,Anzahl::N,քանակ,počet
314,Anzahl::N,գումար,počet
315,Art::N,տեսակ,druh
316,Stück::N,կտոր,kus
317,Stück::N,կտոր,kousek
318,Teil::N,մաս,díl
319,Teil::N,մաս,část
320,Hälfte::N,կես,půl
321,Kreis::N,շիջանակ,kruh
322,Kreuz::N,խաչ,kříž
323,Linie::N,գիծ,linka
324,Strich::N,գիծ,čára
325,Strich::N,գիծ,čárka
326,Abstand::N,անջրպետ,vzdálenost
327,Entfernung::N,հեռավորություն,vzdálenost
328,Gegend::N,շրջան,krajina
329,Platz::N,տարածություն,prostor
330,Ort::N,տեղ,místo
331,Ort::N,վայր,místo
332,Seite::N,կողմ,strana
333,Mitte::N,մեջտեղ,střed
334,Mitte::N,մեջտեղ,prostředek
335,Gegenstand::N,առարկա,předmět
336,Sache::N,բան,věc
337,Rand::N,վերջք,kraj
338,Rand::N,վերջք,okraj
339,Kante::N,եզր,hrana
340,Ecke::N,անկյուն,roh
341,Spitze::N,ծայր,hrot
342,Spitze::N,ծայր,špička
343,Ende::N,ծայր,konec
344,Loch::N,անցք,díra
345,Winkel::N,անկյուն,kout
346,Muster::N,օրինակ,vzor
347,Größe::N,մեծություն,velikost
348,Länge::N,երկարություն,délka
349,Höhe::N,բարձրություն,výška
350,Gewicht::N,կշիռ,váha
351,Menge::N,քանակ,množství
352,Haufen::N,դեզ,kupa
353,Haufen::N,դեզ,hromada
354,Haufen::N,կույտ,kupa
355,Haufen::N,կույտ,hromada
356,Reihe::N,շարք,řada
357,Reihe::N,շարք,řádek
358,Reihe::N,կարգ,řada
359,Reihe::N,կարգ,řádek
360,Boot::N,նավակ,člun
361,Ruder::N,թի,veslo
362,Ruder::N,թիակ,veslo
363,Schlitten::N,բալխիր,sáně
364,Ski::N,դահուկ,lyže
365,Lagerfeuer::N,բացօդեայ կրակ,táborák
366,Last::N,բեռ,náklad
367,Last::N,բեռ,břemeno
368,Gang::N,զբոսանք,chůze
