,Concept_ID,udm,nl
0,Auge::N,син,oog
1,Ohr::N,пель,oor
2,Nase::N,ныр,neus
3,Mund::N,ым,mond
4,Zahn::N,пинь,tand
5,Zunge::N,кыл,tong
6,Lippe::N,ымдур,lip
7,Wange::N,бам,wang
8,Gesicht::N,ымныр,gelaat
9,Gesicht::N,ымныр,gezicht
10,Stirn::N,кымес,voorhoofd
11,Haar::N,йырси,haar
12,Schnurrbart::N,мыйык,snor
13,Bart::N,туш,baard
14,Kinn::N,ангес,kin
15,Kiefer[Anatomie]::N,ан,kaak
16,Kiefer[Anatomie]::N,анлы,kaak
17,Kehle::N,гульым,keel
18,Kehle::N,гульым,strot
19,Hals::N,чырты,hals
20,Genick::N,йырбер,nek
21,Kopf::N,йыр,hoofd
22,Rücken::N,мыш,rug
23,Bauch::N,кӧт,buik
24,Nabel::N,гогы,navel
25,Busen::N,ноны,boezem
26,Brust::N,мӧля,borst
27,Schulter::N,пельпум,schouder
28,Arm::N,суй,arm
29,Ellenbogen::N,гырпум,elleboog
30,Hand::N,ки,hand
31,Handfläche::N,ки пыдэс,handpalm
32,Handfläche::N,кырым пыдэс,handpalm
33,Finger::N,чиньы,vinger
34,Fingernagel::N,гижы,nagel
35,Fingernagel::N,гиждӥнь,nagel
36,Nagel[Anatomie]::N,гижы,nagel
37,Zeh::N,пыдчиньы,teen
38,Fuß::N,пыд,voet
39,Ferse::N,пыдбер,hak
40,Ferse::N,пыдбер,hiel
41,Knie::N,пыдес,knie
42,Oberschenkel::N,макес,dij
43,Bein::N,пыд,been
44,Körper::N,мугор,lichaam
45,Körper::N,вылтыр,lichaam
46,Haut::N,ку,huid
47,Blut::N,вир,bloed
48,Ader::N,вирсэр,ader
49,Sehne::N,вуж,pees
50,Knochen::N,лы,bot
51,Knochen::N,лы,been
52,Knochen::N,лы,knook
53,Gehirn::N,вим,hersenen
54,Herz::N,сюлэм,hart
55,Magen::N,ӝуш,maag
56,Leber::N,мус,lever
57,Atem::N,лул,adem
58,Atem::N,шокан,adem
59,Hunger::N,кӧтсюман,honger
60,Träne::N,синкыли,traan
61,Geschmack::N,шӧм,smaak
62,Geruch::N,зын,geur
63,Schlaf::N,вӧт,slaap
64,Traum::N,уйвӧт,droom
65,Himmel::N,ин,hemel
66,Sonne::N,шунды,zon
67,Mond::N,толэзь,maan
68,Stern::N,кизили,ster
69,Luft::N,омыр,lucht
70,Wind::N,тӧл,wind
71,Welle::N,тулкым,golf
72,Wasser::N,ву,water
73,Stein::N,из,steen
74,Boden::N,музъем,grond
75,Erde::N,му,aarde
76,Staub::N,пыль,stof
77,Rauch::N,ӵын,rook
78,Funke::N,гизьы,vonk
79,Feuer::N,тыл,vuur
80,Licht::N,тыл,licht
81,Schatten::N,вужер,schaduw
82,Wetter::N,куазь,weer
83,Nebel::N,бус,mist
84,Nebel::N,бус,nevel
85,Wolke::N,пилем,wolk
86,Regen::N,зор,regen
87,Schnee::N,лымы,sneeuw
88,Eis::N,йӧ,ijs
89,Frost::N,кезьыт,vorst
90,Kälte::N,кезьыт,kou
91,Kälte::N,кезьыт,koude
92,Hitze::N,пӧсь,hitte
93,Raureif::N,гӧр,rijp
94,Regenbogen::N,вуюись,regenboog
95,Donner::N,гудыри,donder
96,Strömung::N,бызён,stroming
97,Tropfen::N,шапык,druppel
98,Schaum::N,шукы,schuim
99,Schmutz::N,нӧд,vuil
100,Schmutz::N,дэри,vuil
101,See::N,ты,meer
102,Sumpf::N,нюр,moeras
103,Moor::N,нюр,veen
104,Wiese::N,возь,wei
105,Wiese::N,возь,weide
106,Wiese::N,возьвыл,wei
107,Wiese::N,возьвыл,weide
108,Wald::N,сик,bos
109,Wald::N,нюлэс,bos
110,Hügel::N,выр,heuvel
111,Hügel::N,вырйыл,heuvel
112,Anhöhe::N,выр,hoogte
113,Anhöhe::N,вырйыл,hoogte
114,Berg::N,гурезь,berg
115,Gipfel::N,йыл,top
116,Höhle::N,гу,hol
117,Abhang::N,бам,helling
118,Quelle::N,ошмес,bron
119,Bach::N,пичи шур,beek
120,Fluss::N,шур,stroom
121,Ufer::N,ярдур,wal
122,Ufer::N,ярдур,oever
123,Küste::N,вудур,kust
124,Festland::N,мувыр,vasteland
125,Meer::N,зарезь,zee
126,Bucht::N,вукож,baai
127,Bucht::N,вукож,inham
128,Insel::N,вумуӵ,eiland
129,Insel::N,шормуӵ,eiland
