,Concept_ID,ar,tr
0,Auge::N,عين,göz
1,Ohr::N,أذن,kulak
2,Nase::N,أنف,burun
3,Mund::N,فم,ağız
4,Zahn::N,سن,diş
5,Zunge::N,لسان,dil
6,Lippe::N,شفة,dudak
7,Wange::N,خد,yanak
8,Wange::N,وجنة,yanak
9,Gesicht::N,وجه,yüz
10,Stirn::N,جبين,alın
11,Haar::N,شعر,saç
12,Schnurrbart::N,شارب,bıyık
13,Bart::N,لحية,sakal
14,Kinn::N,ذقن,çene
15,Kiefer[Anatomie]::N,فك,çene
16,Kehle::N,حلق,boğaz
17,Hals::N,عنق,boyun
18,Hals::N,عنق,gerdan
19,Hals::N,رقبة,boyun
20,Hals::N,رقبة,gerdan
21,Genick::N,قفا,ense
22,Kopf::N,رأس,baş
23,Kopf::N,رأس,kafa
24,Rücken::N,ظهر,arka
25,Bauch::N,بطن,karın
26,Nabel::N,سرة,göbek
27,Busen::N,ثدي,koyun
28,Brust::N,صدر,göğüs
29,Schulter::N,كتف,omuz
30,Arm::N,ذراع,kol
31,Ellenbogen::N,كوع,dirsek
32,Hand::N,يد,el
33,Handfläche::N,كف,avuç
34,Handfläche::N,كف,el ayası
35,Finger::N,إصبع,parmak
36,Fingernagel::N,ظفر,el tırnağı
37,Nagel[Anatomie]::N,ظفر,tırnak
38,Zeh::N,إصبع القدم,ayak parmağı
39,Fuß::N,قدم,ayak
40,Ferse::N,كعب,topuk
41,Knie::N,ركبة,diz
42,Oberschenkel::N,فخذ,uyluk
43,Bein::N,ساق,bacak
44,Körper::N,جسم,vücut
45,Haut::N,بشرة,cilt
46,Blut::N,دم,kan
47,Ader::N,عرق,damar
48,Sehne::N,طنب,kiriş
49,Knochen::N,عظم,kemik
50,Gehirn::N,دماغ,beyin
51,Herz::N,قلب,kalp
52,Herz::N,قلب,yürek
53,Magen::N,معدة,mide
54,Leber::N,كبد,karaciğer
55,Atem::N,نفس,nefes
56,Hunger::N,جوع,açlık
57,Träne::N,دمعة,gözyaşı
58,Geschmack::N,طعم,tat
59,Geschmack::N,طعم,lezzet
60,Geschmack::N,مذاق,tat
61,Geschmack::N,مذاق,lezzet
62,Geruch::N,رائحة,koku
63,Schlaf::N,نوم,uyku
64,Schlaf::N,منام,uyku
65,Traum::N,حلم,düş
66,Traum::N,حلم,rüya
67,Himmel::N,سماء,gök
68,Sonne::N,شمس,güneş
69,Mond::N,قمر,ay
70,Stern::N,نجم,yıldız
71,Stern::N,كوكب,yıldız
72,Luft::N,هواء,hava
73,Wind::N,ريح,yel
74,Wind::N,ريح,rüzgâr
75,Welle::N,موجة,dalga
76,Wasser::N,ماء,su
77,Stein::N,حجر,taş
78,Boden::N,تراب,yer
79,Boden::N,تراب,zemin
80,Erde::N,أرض,toprak
81,Staub::N,غبار,toz
82,Rauch::N,دخان,duman
83,Funke::N,شرارة,kıvılcım
84,Feuer::N,نار,ateş
85,Licht::N,نور,ışık
86,Licht::N,ضوء,ışık
87,Schatten::N,ظل,gölge
88,Schatten::N,فيء,gölge
89,Wetter::N,جو,hava
90,Wetter::N,طقس,hava
91,Nebel::N,ضباب,pus
92,Wolke::N,غيمة,bulut
93,Wolke::N,سحابة,bulut
94,Regen::N,مطر,yağmur
95,Schnee::N,ثلج,kar
96,Eis::N,جليد,buz
97,Frost::N,صقيع,don
98,Kälte::N,برد,soğukluk
99,Hitze::N,حر,sıcaklık
100,Hitze::N,حرارة,sıcaklık
101,Raureif::N,صقيع,kırç
102,Regenbogen::N,قوس قزح,gökkuşağı
103,Donner::N,رعد,gök gürlemesi
104,Strömung::N,تيار,akıntı
105,Strömung::N,تيار,cereyan
106,Tropfen::N,قطرة,damla
107,Schaum::N,زبد,köpük
108,Schaum::N,رغوة,köpük
109,Schmutz::N,وسخ,çamur
110,Schmutz::N,وسخ,pislik
111,See::N,بحيرة,göl
112,Sumpf::N,مستنقع,batak
113,Moor::N,مستنقع,cılgıt
114,Wiese::N,مرج,çimen
115,Wald::N,غابة,koru
116,Wald::N,غابة,orman
117,Hügel::N,تل,tepe
118,Anhöhe::N,تل,tümsek
119,Anhöhe::N,تل,yükseklik
120,Berg::N,جبل,dağ
121,Gipfel::N,قمة,zirve
122,Höhle::N,كهف,in
123,Höhle::N,كهف,mağara
124,Abhang::N,منحدر,bayır
125,Quelle::N,منبع,pınar
126,Quelle::N,منبع,kaynak
127,Bach::N,مجرى,çay
128,Bach::N,مجرى,dere
129,Fluss::N,نهر,nehir
130,Ufer::N,ضفة,kıyı
131,Ufer::N,ضفة,sahil
132,Küste::N,ساحل,kıyı
133,Küste::N,ساحل,sahil
134,Festland::N,بر,kara
