,Concept_ID,ru,tt
0,Auge::N,глаз,күз
1,Ohr::N,ухо,колак
2,Nase::N,нос,борын
3,Mund::N,рот,авыз
4,Mund::N,рот,тамак
5,Zahn::N,зуб,теш
6,Zunge::N,язык,тел
7,Lippe::N,губа,ирен
8,Wange::N,щека,яңак
9,Gesicht::N,лицо,йөз
10,Stirn::N,лоб,маңгай
11,Haar::N,волос,чәч
12,Haar::N,волосы,чәч
13,Schnurrbart::N,ус,мыек
14,Schnurrbart::N,усы,мыек
15,Bart::N,борода,сакал
16,Kinn::N,подбородок,ияк
17,Kiefer[Anatomie]::N,челюсть,казналык
18,Kehle::N,горло,тамак
19,Hals::N,шея,бугаз
20,Genick::N,затылок,җилкә
21,Kopf::N,голова,баш
22,Rücken::N,спина,сырт
23,Bauch::N,живот,корсак
24,Nabel::N,пупок,кендек
25,Busen::N,женская грудь,түш
26,Brust::N,грудь,имчәк
27,Brust::N,грудь,күкрәк
28,Schulter::N,плечо,иңбаш
29,Schulter::N,плечо,кулбаш
30,Arm::N,рука,кул
31,Ellenbogen::N,локоть,терсәк
32,Hand::N,кисть,кул
33,Handfläche::N,ладонь,уч
34,Finger::N,палец,бармак
35,Fingernagel::N,ноготь,тырнак
36,Nagel[Anatomie]::N,ноготь,тырнак
37,Zeh::N,палец,бармак
38,Fuß::N,ступня,табан
39,Ferse::N,пята,үкчә
40,Ferse::N,пятка,үкчә
41,Knie::N,колено,тез
42,Oberschenkel::N,бедро,бот
43,Bein::N,нога,аяк
44,Körper::N,тело,тән
45,Körper::N,тело,җисем
46,Haut::N,кожа,тире
47,Blut::N,кровь,кан
48,Ader::N,вена,тамыр
49,Ader::N,сосуд,тамыр
50,Sehne::N,жила,сеңер
51,Sehne::N,тетива,сеңер
52,Sehne::N,сухожилие,сеңер
53,Knochen::N,кость,сөяк
54,Gehirn::N,мозг,ми
55,Herz::N,сердце,йөрәк
56,Magen::N,желудок,ашказаны
57,Leber::N,печень,бавыр
58,Atem::N,дух,сулыш
59,Atem::N,дыхание,сулыш
60,Hunger::N,голод,ачлык
61,Träne::N,слеза,яшь
62,Geschmack::N,вкус,тәм
63,Geschmack::N,вкус,зәвык
64,Geruch::N,запах,ис
65,Schlaf::N,сон,йокы
66,Traum::N,сновидение,төш
67,Himmel::N,небо,күк
68,Sonne::N,солнце,кояш
69,Mond::N,луна,ай
70,Stern::N,звезда,йолдыз
71,Luft::N,воздух,һава
72,Wind::N,ветер,җил
73,Welle::N,волна,дулкын
74,Wasser::N,вода,су
75,Stein::N,камень,таш
76,Boden::N,почва,туфрак
77,Erde::N,земля,җир
78,Staub::N,пыль,тузан
79,Rauch::N,дым,төтен
80,Funke::N,искра,очкын
81,Feuer::N,огонь,ут
82,Licht::N,свет,якты
83,Schatten::N,тень,күләгә
84,Wetter::N,погода,һава
85,Nebel::N,туман,томан
86,Wolke::N,облако,болыт
87,Regen::N,дождь,яңгыр
88,Schnee::N,снег,кар
89,Eis::N,лед,боз
90,Frost::N,мороз,суык
91,Frost::N,мороз,салкын
92,Kälte::N,холод,суык
93,Kälte::N,холод,салкын
94,Hitze::N,жара,эсселек
95,Raureif::N,иней,бәс
96,Raureif::N,иней,сыкы
97,Regenbogen::N,радуга,салават күпере
98,Donner::N,гром,күкрәү
99,Strömung::N,течение,агыш'агым
100,Tropfen::N,капля,тамчы
101,Schaum::N,пена,күбек
102,Schmutz::N,грязь,пычрак
103,See::N,озеро,күл
104,Sumpf::N,топь,саз
105,Moor::N,болото,торфлык
106,Wiese::N,луг,болын
107,Wald::N,лес,урман
108,Hügel::N,холм,калку
109,Anhöhe::N,возвышенность,үр
110,Berg::N,гора,тау
111,Gipfel::N,вершина,оч
112,Höhle::N,пещера,мәгарә
113,Abhang::N,склон,кабырга
114,Quelle::N,источник,чишмә
115,Bach::N,ручей,елга
116,Fluss::N,река,дәрья
117,Ufer::N,берег,су кырые
118,Küste::N,побережье,яр буе
119,Festland::N,суша,коры җир
120,Meer::N,море,диңгез
121,Bucht::N,бухта,бухта
122,Bucht::N,бухта,култык
123,Insel::N,остров,атау
124,Insel::N,остров,утрау
125,Blume::N,цветок,чәчкә
126,Gras::N,трава,үлән
127,Wurzel::N,корень,тамыр
128,Baum::N,дерево,агач
129,Stamm::N,ствол,кәүсә
130,Rinde::N,кора,кабык
131,Ast::N,сук,ботак
132,Zweig::N,ветвь,ботак
133,Zweig::N,ветвь,тармак
134,Blatt::N,лист,яфрак
135,Birke::N,береза,каен
136,Kiefer[Baum]::N,сосна,нарат
137,Weide[Baum]::N,ива,тал
138,Tanne::N,ель,чыршы
139,Horn::N,рог,мөгез
140,Feder::N,перо,йон
141,Fell::N,шкура,тире
142,Flügel::N,крыло,канат
143,Klaue::N,коготь,тырнак
144,Kralle::N,лапа,тырнак
145,Schwanz::N,хвост,койрык
146,Ei::N,яйцо,күкәй
147,Ei::N,яйцо,йомырка
148,Nest::N,гнездо,оя
149,Bau::N,нора,өн
150,Tier::N,животное,хайван
151,Herde::N,стадо,көтү
152,Kuh::N,корова,сыер
153,Bulle::N,бык,үгез
154,Pferd::N,лошадь,ат
155,Schaf::N,овца,сарык
156,Schwein::N,свинья,дуңгыз
157,Hund::N,собака,эт
158,Katze::N,кошка,песи
159,Bär::N,медведь,аю
160,Eichhörnchen::N,белка,тиен
161,Elch::N,лось,поши
162,Fuchs::N,лиса,төлке
163,Hase::N,заяц,куян
164,Maus::N,мышь,тычкан
165,Wolf::N,волк,бүре
166,Vogel::N,птица,кош
167,Schwarm::N,стая,көтү
168,Huhn::N,курица,тавык
169,Hahn::N,петух,әтәч
170,Gans::N,гусь,каз
171,Adler::N,орел,каракош
172,Ente::N,утка,үрдәк
173,Eule::N,сова,ябалак
174,Kranich::N,журавль,торна
175,Krähe::N,ворона,карга
176,Kuckuck::N,кукушка,күке
177,Kuckuck::N,кукушка,кәккүк
178,Schwan::N,лебедь,аккош
179,Fisch::N,рыба,балык
180,Barsch::N,окунь,алабуга
181,Hecht::N,щука,чуртан
182,Schlange[Tier]::N,змея,елан
183,Wurm::N,червяк,корт
184,Spinne::N,паук,үрмәкүч
185,Ameise::N,муравей,кырмыска
186,Laus::N,вошь,бет
187,Mücke::N,комар,черки
188,Mücke::N,комар,озынборын
189,Fliege::N,муха,чебен
190,Schmetterling::N,бабочка,күбәләк
191,Beere::N,ягода,җиләк
192,Apfel::N,яблоко,алма
193,Pilz::N,гриб,гөмбә
194,Zwiebel::N,луковица,суган
195,Zwiebel::N,луковица,суганбаш
196,Saat::N,семя,орлык
197,Korn::N,зерно,иген
198,Korn::N,зерно,орлык
199,Heu::N,сено,печән
200,Schale::N,шелуха,кабык
201,Grube::N,яма,баз
202,Grube::N,яма,чокыр
203,Falle::N,ловушка,тозак
204,Falle::N,ловушка,капкын
205,Schlinge::N,силок,элмәк
206,Spur::N,след,эз
207,Asche::N,зола,көл
208,Asche::N,пепел,көл
209,Dreck::N,грязь,пычрак
210,Eisen::N,железо,тимер
211,Gold::N,золото,алтын
212,Silber::N,серебро,көмеш
213,Kohle::N,уголь,күмер
214,Glas::N,стекло,пыяла
215,Lehm::N,глина,балчык
216,Sand::N,песок,ком
217,Mensch::N,человек,адәм
218,Mensch::N,человек,инсан
219,Mann::N,мужчина,ир
220,Frau::N,женщина,хатын
221,Kind::N,ребенок,бала
222,Junge::N,мальчик,малай
223,Mädchen::N,девочка,кыз
224,Familie::N,семья,гаилә
225,Großvater::N,дедушка,бабай
226,Großmutter::N,бабушка,әби
227,Eltern::N,родители,ата-ана
228,Vater::N,отец,ата
229,Mutter::N,мать,ана
230,Sohn::N,сын,ул
231,Tochter::N,дочь,кыз
232,Bruder::N,брат,кардәш
233,Schwester::N,сестра,апа
234,Schwester::N,сестра,сеңел
235,Onkel::N,дядя,дәдә
236,Onkel::N,дядя,дәдәй
237,Tante::N,тетя,түти
238,Tante::N,тетя,тәтәй
239,Ehemann::N,муж,ир
240,Ehefrau::N,жена,хатын
