,Concept_ID,os,cy
0,Auge::N,цӕст,llygad
1,Ohr::N,хъус,clust
2,Nase::N,фындз,trwyn
3,Mund::N,дзых,ceg
4,Zahn::N,дӕндаг,dant
5,Zunge::N,ӕвзаг,tafod
6,Lippe::N,был,gwefus
7,Wange::N,рус,boch
8,Wange::N,уадул,boch
9,Wange::N,ӕхсӕрфарс,boch
10,Gesicht::N,цӕсгом,wyneb
11,Stirn::N,ных,talcen
12,Haar::N,хил,blew
13,Schnurrbart::N,рихи,mwstas
14,Bart::N,зачъе,barf
15,Kinn::N,роцъо,gên
16,Kiefer[Anatomie]::N,ӕфсӕр,gên
17,Kehle::N,хъуыр,gwddf
18,Hals::N,къубал,gwddf
19,Genick::N,къӕбут,gwar
20,Genick::N,къӕбут,gwegil
21,Kopf::N,сӕр,pen
22,Rücken::N,фӕсонтӕ,cefn
23,Bauch::N,гуыбын,bol
24,Nabel::N,бикъ,bogail
25,Busen::N,дзидзи,bron
26,Brust::N,риу,brest
27,Schulter::N,уӕхск,ysgwydd
28,Arm::N,цонг,braich
29,Ellenbogen::N,рæмбын,penelin
30,Hand::N,къух,llaw
31,Handfläche::N,армытъӕпӕн,palf
32,Finger::N,ӕнруылдз,bys
33,Fingernagel::N,ных,ewin
34,Nagel[Anatomie]::N,ных,ewin
35,Zeh::N,къух,bys troed
36,Fuß::N,фад,troed
37,Ferse::N,зӕвӕт,sawdl
38,Knie::N,уӕраг,glin
39,Oberschenkel::N,агъд,clun
40,Bein::N,зӕнг,coes
41,Körper::N,буар,corff
42,Haut::N,царм,croen
43,Blut::N,туг,gwaed
44,Ader::N,дадзин,gwythïen
45,Ader::N,тугдадзин,gwythïen
46,Sehne::N,хъиутæ,gewyn
47,Sehne::N,нуар,gewyn
48,Knochen::N,стӕг,asgwrn
49,Gehirn::N,магъз,ymennydd
50,Herz::N,зӕрдӕ,calon
51,Magen::N,ахсӕн,cylla
52,Magen::N,ахсӕн,stumog
53,Leber::N,игæр,iau
54,Atem::N,улӕфт,anadl
55,Hunger::N,стонг,newyn
56,Träne::N,цæссыг,deigryn
57,Geschmack::N,ад,cyflas
58,Geruch::N,смаг,aroglau
59,Schlaf::N,хуыссӕг,cwsg
60,Traum::N,фын,breuddwyd
61,Himmel::N,арв,awyr
62,Himmel::N,уӕларв,awyr
63,Sonne::N,хур,haul
64,Mond::N,мӕй,lleuad
65,Stern::N,стъалы,seren
66,Luft::N,уӕлдӕф,awyr
67,Wind::N,дымгӕ,gwynt
68,Welle::N,уылӕн,ton
69,Wasser::N,дон,dŵr
70,Stein::N,дур,carreg
71,Boden::N,зӕхх,llawr
72,Erde::N,сыджыт,pridd
73,Staub::N,рыг,llwch
74,Rauch::N,фӕздӕг,mwg
75,Funke::N,цӕхӕр,gwreichioni
76,Feuer::N,зынг,tân
77,Licht::N,рухс,golau
78,Schatten::N,аууон,cysgod
79,Wetter::N,боныхъӕд,tywydd
80,Nebel::N,мигъ,niwl
81,Wolke::N,ӕврагъ,cwmwl
82,Regen::N,уарын,glaw
83,Schnee::N,мит,ôd
84,Schnee::N,мит,eira
85,Eis::N,их,iâ
86,Frost::N,ихæн,rhew
87,Kälte::N,уазал,oerni
88,Kälte::N,уазал,annwyd
89,Hitze::N,ӕнтӕф,gwres
90,Raureif::N,халас,barrug
91,Regenbogen::N,арвырон,enfys
92,Regenbogen::N,арвырдын,enfys
93,Donner::N,æрвнæрын,tyrfau
94,Strömung::N,цыд,cerrynt
95,Tropfen::N,æртах,dafn
96,Tropfen::N,æртах,diferyn
97,Schaum::N,фынк,ewyn
98,Schmutz::N,цъыф,baw
99,Schmutz::N,цъыф,budreddi
100,See::N,цад,llyn
101,Sumpf::N,цъыфдзаст,cors
102,Moor::N,цъыфдзаст,rhos
103,Wiese::N,уыгӕрдӕн,dôl
104,Wald::N,хъӕд,coedwig
105,Hügel::N,обау,bryn
106,Hügel::N,къуыбыр,bryn
107,Anhöhe::N,уæлвæз,bryn
108,Anhöhe::N,уæлхох,bryn
109,Berg::N,хох,mynydd
110,Gipfel::N,цъупп,copa
111,Höhle::N,лӕгӕт,ogof
112,Abhang::N,къул,llethr
113,Quelle::N,суадон,tarddiad
114,Quelle::N,суадон,ffynhonnell
115,Bach::N,мӕсчъыдон,nant
116,Bach::N,мӕсчъыдон,afonig
117,Bach::N,мӕсчъыдон,cornant
118,Fluss::N,дон,afon
119,Fluss::N,цӕугӕдон,afon
120,Ufer::N,был,glan
121,Küste::N,донбыл,traeth
122,Küste::N,донбыл,arfordir
123,Festland::N,сурзæхх,tir
124,Meer::N,денджыз,môr
125,Bucht::N,донбакæлæн,bae
126,Insel::N,сакъадах,ynys
127,Blume::N,дидинӕг,blodyn
128,Gras::N,кӕрдӕг,glaswellt
129,Wurzel::N,уидаг,gwreiddyn
130,Baum::N,бӕлас,coeden
131,Stamm::N,хӕтӕл,colfen
132,Stamm::N,хӕтӕл,boncyff
133,Rinde::N,цъар,rhisgl
134,Ast::N,арх,cangen
135,Zweig::N,къалиу,cainc
136,Zweig::N,къалиу,cangen
137,Blatt::N,сыф,deilen
138,Birke::N,бæрз,bedwen
139,Kiefer[Baum]::N,нӕзы,pinwydden
140,Weide[Baum]::N,хӕрис,helygen
141,Tanne::N,наз,ffynidwydden
142,Horn::N,сыкъа,corn
143,Feder::N,сис,plufyn
144,Fell::N,царм,ffwr
145,Flügel::N,базыр,adain
146,Klaue::N,ных,crafanc
147,Kralle::N,дзӕмбы,ewin
148,Schwanz::N,къӕдзил,cwt
149,Schwanz::N,къӕдзил,cynffon
150,Ei::N,айк,wy
151,Nest::N,ахстон,nyth
152,Bau::N,хуынкъ,ffau
153,Tier::N,сырд,anifail
154,Tier::N,цӕрӕгой,anifail
155,Herde::N,дзуг,praidd
156,Herde::N,дзуг,diadell
157,Herde::N,рӕгъау,praidd
158,Herde::N,рӕгъау,diadell
159,Kuh::N,хъуг,buwch
160,Bulle::N,гал,tarw
161,Pferd::N,бӕх,ceffyl
162,Schaf::N,фыс,dafad
163,Schwein::N,хуы,mochyn
164,Hund::N,куыдз,ci
165,Katze::N,гӕды,cath
166,Bär::N,арс,arth
167,Eichhörnchen::N,æхсæрæг,gwiwer
168,Elch::N,цæгатаг саг,elc
169,Fuchs::N,рувас,cadno
170,Hase::N,тæрхъус,ysgyfarnog
171,Maus::N,мыст,llygoden
172,Wolf::N,бирӕгъ,blaidd
173,Vogel::N,цъиу,aderyn
174,Vogel::N,маргъ,aderyn
175,Schwarm::N,бал,haid
176,Huhn::N,карк,cyw
177,Hahn::N,уасӕг,ceiliog
178,Gans::N,хъаз,gŵydd
179,Adler::N,цӕргӕс,eryr
180,Ente::N,ацц,hwyad
181,Eule::N, уыг,tylluan
182,Eule::N,сидахъ,tylluan
183,Kranich::N,зырнæг,garan
184,Kranich::N,зырнæг,crychydd
185,Kranich::N,хърихъупп,garan
186,Kranich::N,хърихъупп,crychydd
187,Krähe::N,халон,brân
188,Kuckuck::N,гаккук,cog
189,Kuckuck::N,гаккук,cwcw
190,Schwan::N,доныхъаз,alarch
191,Fisch::N,кӕсаг,pysgod
192,Barsch::N,окунь,draenog
193,Hecht::N,хихор кӕсаг,penhwyad
194,Schlange[Tier]::N,калм,neidr
195,Wurm::N,зулкъ,abwydyn
196,Wurm::N,зулкъ,pryf genwair
197,Wurm::N,къуыдыргалм,abwydyn
198,Wurm::N,къуыдыргалм,pryf genwair
199,Spinne::N,хӕлуарӕг,cor
200,Spinne::N,хӕлуарӕг,pryf copyn
201,Ameise::N,мæлдзыг,morgrugyn
202,Laus::N,сыст,lleuen
203,Mücke::N,къогъо,gwybedyn
204,Fliege::N,бындз,cleren
205,Schmetterling::N,гæлæбу,glöyn byw
206,Schmetterling::N,гæлæбу,iâr fach yr haf
207,Beere::N,гагадыргъ,aeronen
208,Apfel::N,фӕткъуы,afal
209,Pilz::N,зокъо,madarch
210,Pilz::N,къозо,madarch
211,Zwiebel::N,хъӕдындз,nionyn
212,Zwiebel::N,хъӕдындз,winwnsyn
213,Saat::N,тауинаг,had
214,Saat::N,мыггаг,had
215,Korn::N,мыггаг,grawn
216,Korn::N,тауинаг,grawn
217,Heu::N,хос,gwair
218,Schale::N,цъар,croen
219,Schale::N,цъар,plisgyn
220,Grube::N,урм,pwll
221,Grube::N,урм,pydew
222,Grube::N,къахт,pwll
223,Grube::N,къахт,pydew
224,Grube::N,дзыхъхъ,pwll
225,Grube::N,дзыхъхъ,pydew
226,Falle::N,цъысым,magl
227,Falle::N,къӕппӕг,magl
228,Schlinge::N,цасм,cwlwm rhedeg
229,Spur::N,фæд,ôl
230,Asche::N,фӕнык,lludw
231,Asche::N,ӕртхутӕг,lludw
232,Dreck::N,цъыф,baw
233,Dreck::N,цъыф,budreddi
234,Eisen::N,ӕфсӕйнаг,haearn
235,Gold::N,сыгъзӕрин,aur
236,Silber::N,ӕвзист,arian
237,Kohle::N,ӕвзалы,glo
238,Glas::N,авг,gwydr
239,Lehm::N,ӕлыг,clai
240,Sand::N,змис,tywod
241,Mensch::N,лӕг,dyn
242,Mensch::N,адӕймаг,dyn
243,Mensch::N,удгоймаг,dyn
244,Mann::N,лӕг,dyn
245,Mann::N,нӕлгоймаг,dyn
246,Frau::N,сылгоймаг,merch
247,Frau::N,сылгоймаг,gwraig
248,Kind::N,сывӕллон,plentyn
249,Junge::N,лӕппу,hogyn
250,Junge::N,лӕппу,bachgen
251,Mädchen::N,чызг,merch
252,Mädchen::N,чызг,geneth
253,Familie::N,бинонтæ,teulu
254,Familie::N,бинонтæ,tylwyth
255,Großvater::N,фыдыфыд,taid
256,Großvater::N,фыдыфыд,tad-cu
257,Großvater::N,мадыфыд,taid
258,Großvater::N,мадыфыд,tad-cu
259,Großmutter::N,фыды мад,nain
260,Großmutter::N,фыды мад,mam-gu
261,Großmutter::N,мады мад,nain
262,Großmutter::N,мады мад,mam-gu
263,Eltern::N,ныййарджытæ,rhieni
264,Vater::N,фыд,tad
265,Mutter::N,мад,mam
266,Sohn::N,фырт,mab
267,Tochter::N,чызг,merch
268,Bruder::N,ӕфсымӕр,brawd
269,Schwester::N,хо,chwaer
270,Onkel::N,фыдыфсымӕр,ewythr
271,Tante::N,мадыхо,modryb
272,Ehemann::N,мой,gŵr
273,Ehefrau::N,ус,gwraig
274,Freude::N,цин,gorfoledd
275,Freude::N,циндзинад,gorfoledd
276,Gelächter::N,худын,chwerthin
277,Gelächter::N,худт,chwerthin
278,Gelächter::N,худæг,chwerthin
279,Glück::N,амонд,hapusrwydd
280,Kummer::N,хъыг,galar
281,Wunsch::N,бӕллиц,dymuniad
282,Lust::N,монц,chwant
283,Geist::N,уд,ysbryd
284,Gedanke::N,хъуыды,meddwl
285,Gedächtnis::N,мысæн,cof
286,Gedächtnis::N,мысын,cof
287,Gedächtnis::N,зæрдылдарын,cof
288,Verstand::N,зонд,meddwl
289,Sinn::N,нысаниуæг,ystyr
290,Grund::N,ӕфсон,achos
291,Grund::N,ӕфсон,rheswm
292,Wahrheit::N,æцæг,gwir
293,Wahrheit::N,æцæг,gwirionedd
294,Gespräch::N,ныхас,sgwrs
295,Märchen::N,аргъау,chwedl werin
296,Erzählung::N,радзырд,stori
297,Nachricht::N,уац,neges
298,Neuigkeit::N,хабар,newydd
299,Name::N,ном,enw
300,Rätsel::N,уыци-уыци,pos
301,Rätsel::N,базон-базон,pos
302,Rede::N,раныхас,araith
303,Sprache::N,ӕвзаг,iaith
304,Stimme::N,хъӕлӕс,llais
305,Wort::N,дзырд,gair
306,Zeichen::N,нысан,arwydd
307,Ruf::N,сидт,galwad
308,Lärm::N,уынæр,trwst
309,Laut::N,зӕл,sain
310,Laut::N,мыр,sain
311,Ton::N,мыр,tôn
312,Lied::N,зарӕг,cân
313,Ruhe::N,æнцой,tawelwch
314,Leute::N,адӕм,pobl
315,Volk::N,адӕм,pobl
316,Arbeit::N,фӕллой,gwaith
317,Gast::N,уазӕг,gwestai
318,Geschenk::N,хуын,rhodd
319,Geschenk::N,хуын,anrheg
320,Spiel::N,хъазт,chwarae
321,Gesellschaft::N,дзыллæ,cwmni
322,Gesellschaft::N,æхсæнад,cwmni
323,Hilfe::N,æххуыс,cymorth
324,Hilfe::N,ахъаз,cymorth
325,Freund::N,лымӕн,cyfaill
326,Kamerad::N,ӕмбал,cydymaith
327,Angelegenheit::N,хъуыддаг,pwnc
328,Anzahl::N,бӕрц,cyfrif
329,Art::N,хуыз,bath
330,Art::N,хуызад,bath
331,Stück::N,кæрдих,darn
332,Stück::N,комдзаг,darn
333,Teil::N,хай,rhan
334,Hälfte::N,æрдæг,hanner
335,Hälfte::N,æмбис,hanner
336,Kreis::N,зиллакк,cylch
337,Kreuz::N,дзуар,croes
338,Linie::N,хахх,llinell
339,Strich::N,хахх,strôc
340,Strich::N,хахх,trawiad
341,Abstand::N,æхсæнуат,bwlch
342,Abstand::N,æхсæнуат,pellter
343,Entfernung::N,дæрддзæг,pellter
344,Entfernung::N,дардцæг,pellter
345,Gegend::N,ран,cylch
346,Platz::N,бууат,lle
347,Ort::N,ран,lle
348,Ort::N,бынат,lle
349,Seite::N,фахс,ochr
350,Mitte::N,астӕу,canol
351,Gegenstand::N,дзаума,eitem
352,Sache::N,дзаума,peth
353,Rand::N,кӕрон,cwr
354,Rand::N,кӕрон,ymyl
355,Kante::N,фӕрск,min
356,Kante::N,фӕрск,ymyl
357,Ecke::N,тигъ,cornel
358,Ecke::N,фисын,cornel
