,Concept_ID,hu,az
0,Auge::N,szem,göz
1,Ohr::N,fül,qulaq
2,Nase::N,orr,burun
3,Mund::N,száj,ağız
4,Zahn::N,fog,diş
5,Zunge::N,nyelv,dil
6,Lippe::N,ajak,dodaq
7,Wange::N,orca,yanaq
8,Gesicht::N,arc,üz
9,Stirn::N,homlok,alın
10,Haar::N,haj,saç
11,Schnurrbart::N,bajusz,bığ
12,Bart::N,szakáll,saqqal
13,Kinn::N,áll,çənə
14,Kiefer[Anatomie]::N,állkapocs,çənə
15,Kehle::N,gége,boğaz
16,Kehle::N,torok,boğaz
17,Hals::N,nyak,boyun
18,Genick::N,tarkó,ənsə
19,Kopf::N,fő,baş
20,Kopf::N,fej,baş
21,Rücken::N,hát,bel
22,Bauch::N,has,qarın
23,Nabel::N,köldök,göbək
24,Busen::N,mell,məmə
25,Busen::N,kebel,məmə
26,Brust::N,mell,döş
27,Schulter::N,váll,çiyin
28,Arm::N,kar,qol
29,Ellenbogen::N,könyök,dirsək
30,Hand::N,kéz,əl
31,Handfläche::N,tenyér,ovuc
32,Finger::N,ujj,barmaq
33,Fingernagel::N,köröm,barmaq dırnağı
34,Nagel[Anatomie]::N,köröm,dırnak
35,Zeh::N,lábujj,ayaq barmağı
36,Fuß::N,láb,ayaq
37,Ferse::N,sarok,daban
38,Knie::N,térd,diz
39,Oberschenkel::N,comb,bud
40,Bein::N,láb,qıç
41,Bein::N,lábszár,qıç
42,Körper::N,test,əndam
43,Haut::N,bőr,dəri
44,Blut::N,vér,qan
45,Ader::N,ér,damar
46,Sehne::N,ín,vətər
47,Knochen::N,csont,sümük
48,Gehirn::N,agy,beyin
49,Gehirn::N,agyvelő,beyin
50,Herz::N,szív,ürək
51,Magen::N,gyomor,mədə
52,Leber::N,máj,qara ciyər
53,Atem::N,lehelet,nəfəs
54,Atem::N,lélegzet,nəfəs
55,Hunger::N,éhség,aclıq
56,Träne::N,könny,göz yaşı
57,Geschmack::N,íz,tam
58,Geschmack::N,íz,ləzzət
59,Geruch::N,szag,qoxu
60,Schlaf::N,álom,yuxu
61,Schlaf::N,alvás,yuxu
62,Traum::N,álom,röya
63,Himmel::N,ég,göy
64,Himmel::N,ég,səma
65,Himmel::N,menny,göy
66,Himmel::N,menny,səma
67,Sonne::N,nap,günəş
68,Mond::N,hold,ay
69,Stern::N,csillag,ulduz
70,Luft::N,levegő,hava
71,Wind::N,szél,yel
72,Wind::N,szél,külək
73,Welle::N,hullám,dalğa
74,Wasser::N,víz,su
75,Stein::N,kő,daş
76,Boden::N,föld,yer
77,Boden::N,föld,zəmin
78,Boden::N,talaj,yer
79,Boden::N,talaj,zəmin
