,Concept_ID,pl,bg
0,Auge::N,oko,око
1,Ohr::N,ucho,ухо
2,Nase::N,nos,нос
3,Mund::N,usta,уста
4,Zahn::N,ząb,зъб
5,Zunge::N,język,език
6,Lippe::N,warga,устна
7,Wange::N,policzek,буза
8,Gesicht::N,twarz,лице
9,Gesicht::N,twarz,образ
10,Stirn::N,czoło,чело
11,Haar::N,włos,коса
12,Haar::N,włos,косъм
13,Haar::N,włosy,коса
14,Haar::N,włosy,косъм
15,Schnurrbart::N,wąsy,мустаци
16,Bart::N,broda,брада
17,Kinn::N,podbródek,брада
18,Kinn::N,podbródek,брадичка
19,Kiefer[Anatomie]::N,czeluść,челюст
20,Kehle::N,gardło,гърло
21,Hals::N,szyja,врат
22,Genick::N,kark,тил
23,Kopf::N,głowa,глава
24,Rücken::N,plecy,гръб
25,Rücken::N,grzbiet,гръб
26,Bauch::N,brzuch,корем
27,Nabel::N,pępek,пъп
28,Busen::N,biust,бозка
29,Brust::N,pierś,гръд
30,Schulter::N,bark,рамо
31,Schulter::N,bark,плещи
32,Schulter::N,ramię,рамо
33,Schulter::N,ramię,плещи
34,Arm::N,ręka,ръка
35,Arm::N,ramię,ръка
36,Ellenbogen::N,łokieć,лакът
37,Hand::N,dłoń,ръка
38,Hand::N,dłoń,китка
39,Handfläche::N,dłoń,длан
40,Finger::N,palec,пръст
41,Fingernagel::N,paznokieć,нокът
42,Nagel[Anatomie]::N,paznokieć,нокът
43,Zeh::N,palec,пръст на крак
44,Fuß::N,stopa,крак
45,Fuß::N,stopa,нога
46,Ferse::N,pięta,пета
47,Knie::N,kolano,коляно
48,Oberschenkel::N,udo,бедро
49,Bein::N,noga,крак
50,Bein::N,noga,нога
51,Körper::N,ciało,тяло
52,Haut::N,skóra,кожа
53,Blut::N,krew,кръв
54,Ader::N,żyła,вена
55,Ader::N,żyła,артерия
56,Sehne::N,ścięgno,жила
57,Sehne::N,ścięgno,сухожилие
58,Knochen::N,kość,кост
59,Gehirn::N,mózg,мозък
60,Herz::N,serce,сърце
61,Magen::N,żołądek,стомах
62,Leber::N,wątroba,черен дроб
63,Atem::N,dech,дишане
64,Atem::N,oddech,дишане
65,Hunger::N,głód,глад
66,Träne::N,łza,сълза
67,Geschmack::N,smak,вкус
68,Geruch::N,woń,миризма
69,Geruch::N,zapach,миризма
70,Schlaf::N,sen,сън
71,Traum::N,sen,сън
72,Himmel::N,niebo,небе
73,Sonne::N,słońce,слънце
74,Mond::N,księżyc,луна
75,Mond::N,księżyc,месец
76,Stern::N,gwiazda,звезда
77,Luft::N,powietrze,въздух
78,Wind::N,wiatr,вятър
79,Welle::N,fala,вълна
80,Wasser::N,woda,вода
81,Stein::N,kamień,камък
82,Boden::N,grunt,земя
83,Boden::N,grunt,почва
84,Erde::N,ziemia,земя
85,Erde::N,ziemia,почва
86,Staub::N,pył,прах
87,Staub::N,kurz,прах
88,Rauch::N,dym,дим
89,Rauch::N,dym,пушек
90,Funke::N,iskra,искра
91,Feuer::N,ogień,огън
92,Licht::N,światło,светлина
93,Schatten::N,cień,сянка
94,Wetter::N,pogoda,време
95,Nebel::N,mgła,мъгла
96,Wolke::N,obłok,облак
97,Wolke::N,chmura,облак
98,Regen::N,deszcz,дъжд
99,Schnee::N,śnieg,сняг
100,Eis::N,lód,лед
101,Frost::N,mróz,мраз
102,Kälte::N,chłód,студ
103,Hitze::N,gorąco,жега
104,Hitze::N,gorąco,горещина
105,Raureif::N,szron,скреж
106,Raureif::N,szron,слана
107,Regenbogen::N,tęcza,дъга
108,Donner::N,grzmot,гръм
109,Strömung::N,nurt,течение
110,Tropfen::N,kropla,капка
111,Schaum::N,piana,пяна
112,Schmutz::N,brud,кал
113,Schmutz::N,brud,мръсотия
114,See::N,jezioro,езеро
115,Sumpf::N,bagno,блато
116,Moor::N,bagno,мочурище
117,Wiese::N,łąka,ливада
118,Wald::N,las,гора
119,Hügel::N,pagórek,рид
120,Hügel::N,pagórek,хълм
121,Anhöhe::N,wzgórze,могила
122,Anhöhe::N,wzgórze,възвишение
123,Berg::N,góra,планина
124,Gipfel::N,szczyt,връх
125,Gipfel::N,wierzchołek,връх
126,Höhle::N,pieczara,пещера
127,Abhang::N,stok,склон
128,Abhang::N,stok,стръмнина
129,Abhang::N,zbocze,склон
130,Abhang::N,zbocze,стръмнина
131,Quelle::N,zdrój,извор
132,Quelle::N,źródło,извор
133,Bach::N,potok,поток
134,Bach::N,strumień,поток
135,Fluss::N,rzeka,река
136,Ufer::N,brzeg,бряг
137,Küste::N,wybrzeże,бряг
138,Küste::N,wybrzeże,крайбрежие
139,Festland::N,ląd,суша
140,Meer::N,morze,море
141,Bucht::N,zatoka,залив
142,Insel::N,wyspa,остров
143,Blume::N,kwiat,цвете
144,Gras::N,trawa,трева
145,Wurzel::N,korzeń,корен
146,Baum::N,drzewo,дърво
147,Stamm::N,pień,стъбло
148,Rinde::N,kora,кора
149,Ast::N,gałąź,клон
150,Zweig::N,gałąź,клон
151,Blatt::N,liść,лист
152,Birke::N,brzoza,бреза
153,Kiefer[Baum]::N,sosna,бор
154,Weide[Baum]::N,wierzba,върба
155,Tanne::N,jodła,ела
156,Horn::N,róg,рог
157,Feder::N,pióro,перо
158,Fell::N,futro,кожа
159,Flügel::N,skrzydło,крило
160,Klaue::N,szpon,нокът
161,Kralle::N,pazur,нокът
162,Schwanz::N,ogon,опашка
163,Ei::N,jajko,яйце
164,Nest::N,gniazdo,гнездо
165,Bau::N,nora,дупка
166,Tier::N,zwierzę,животно
167,Herde::N,stado,стадо
168,Herde::N,trzoda,стадо
169,Kuh::N,krowa,крава
170,Bulle::N,byk,бик
171,Pferd::N,koń,кон
172,Schaf::N,owca,овца
173,Schwein::N,świnia,свиня
174,Hund::N,pies,куче
175,Katze::N,kot,котка
176,Katze::N,kotka,котка
177,Bär::N,niedźwiedż,мечка
178,Eichhörnchen::N,wiewiórka,катерица
179,Elch::N,łóś,лос
180,Fuchs::N,lis,лисица
181,Hase::N,zając,заек
182,Maus::N,mysz,мишка
183,Wolf::N,wilk,вълк
184,Vogel::N,ptak,птица
185,Schwarm::N,stado,рой
186,Schwarm::N,stado,рояк
187,Huhn::N,kura,кокошка
188,Hahn::N,kogut,петел
189,Gans::N,gęś,гъска
190,Adler::N,orzeł,орел
191,Ente::N,kaczka,патица
192,Eule::N,sowa,сова
193,Kranich::N,żuraw,жерав
194,Krähe::N,wrona,врана
195,Kuckuck::N,kukułka,кукувица
196,Schwan::N,łabędż,лебед
197,Fisch::N,ryba,риба
198,Barsch::N,okoń,костур
199,Hecht::N,szczupak,щука
200,Schlange[Tier]::N,wąż,змия
201,Schlange[Tier]::N,żmija,змия
202,Wurm::N,robak,червей
203,Spinne::N,pająk,паяк
204,Ameise::N,mrówka,мравка
205,Laus::N,wesz,въшка
206,Mücke::N,komar,комар
207,Fliege::N,mucha,муха
208,Schmetterling::N,motyl,пеперуда
209,Beere::N,jagoda,плод
210,Apfel::N,jabłko,ябълка
211,Pilz::N,grzyb,гъба
212,Zwiebel::N,cebula,лук
213,Zwiebel::N,cebula,кромид
214,Saat::N,siew,семе
215,Korn::N,ziarno,зърно
216,Heu::N,siano,сено
217,Schale::N,łupina,кора
218,Grube::N,dół,яма
219,Grube::N,dół,дупка
220,Grube::N,jama,яма
221,Grube::N,jama,дупка
222,Falle::N,pułapka,примка
223,Schlinge::N,sidła,клуп
224,Spur::N,ślad,диря
225,Spur::N,ślad,следа
226,Asche::N,popiół,пепел
227,Dreck::N,brud,кал
228,Eisen::N,żelazo,желязо
229,Gold::N,złoto,злато
230,Silber::N,srebro,сребро
231,Kohle::N,węgiel,въглища
232,Glas::N,szkło,стъкло
233,Lehm::N,glina,глина
234,Sand::N,piasek,пясък
235,Mensch::N,człowiek,човек
236,Mann::N,mężczyzna,мъж
237,Frau::N,kobieta,жена
238,Kind::N,dziecko,дете
239,Junge::N,chłopak,момче
240,Junge::N,chłopiec,момче
241,Mädchen::N,dziewczynka,момиче
242,Familie::N,rodzina,фамилия
243,Familie::N,rodzina,семейство
244,Großvater::N,dziadek,дядо
245,Großmutter::N,babka,баба
246,Eltern::N,rodzice,родители
247,Vater::N,ojciec,баща
248,Mutter::N,matka,майка
249,Sohn::N,syn,син
250,Tochter::N,córka,дъщеря
251,Bruder::N,brat,брат
252,Schwester::N,siostra,сестра
253,Onkel::N,wuj,чичо
254,Onkel::N,wuj,вуйчо
255,Onkel::N,stryj,чичо
256,Onkel::N,stryj,вуйчо
257,Tante::N,ciotka,леля
258,Ehemann::N,mąż,съпруг
259,Ehefrau::N,żona,съпруга
260,Freude::N,radość,радост
261,Gelächter::N,śmiech,смях
262,Glück::N,szczęście,щастие
263,Kummer::N,zmartwienie,тъга
264,Wunsch::N,życzenie,желание
265,Lust::N,chęć,желание
266,Lust::N,ochota,желание
267,Geist::N,duch,дух
268,Gedanke::N,myśl,мисъл
269,Gedächtnis::N,pamięć,памет
270,Verstand::N,rozum,ум
271,Verstand::N,rozum,разум
272,Sinn::N,zmysł,смисъл
273,Grund::N,powód,причина
274,Wahrheit::N,prawda,правда
275,Gespräch::N,rozmowa,разговор
276,Märchen::N,bajka,приказка
277,Erzählung::N,opowiadanie,разказ
278,Nachricht::N,wiadomość,вест
279,Nachricht::N,wiadomość,известие
280,Neuigkeit::N,nowina,новина
281,Name::N,imię,име
282,Rätsel::N,zagadka,гатанка
283,Rede::N,mowa,реч
284,Rede::N,mowa,слово
285,Sprache::N,język,език
286,Stimme::N,głos,глас
287,Wort::N,słowo,дума
288,Zeichen::N,znak,знак
289,Ruf::N,wołanie,зов
290,Lärm::N,hałas,шум
291,Lärm::N,hałas,глъчка
292,Lärm::N,zgiełk,шум
293,Lärm::N,zgiełk,глъчка
294,Laut::N,dźwięk,звук
295,Ton::N,ton,тон
296,Ton::N,dźwięk,тон
297,Lied::N,pieśń,песен
298,Lied::N,piosenka,песен
299,Ruhe::N,spokój,тишина
300,Ruhe::N,spokój,спокойствие
301,Leute::N,ludzie,хора
302,Volk::N,naród,народ
303,Arbeit::N,praca,труд
304,Arbeit::N,praca,работа
305,Arbeit::N,robota,труд
306,Arbeit::N,robota,работа
307,Gast::N,gość,гост
308,Geschenk::N,prezent,дар
309,Geschenk::N,prezent,подарък
310,Geschenk::N,podarunek,дар
311,Geschenk::N,podarunek,подарък
312,Spiel::N,gra,игра
313,Spiel::N,zabawa,игра
314,Gesellschaft::N,towarzystwo,общество
315,Hilfe::N,pomoc,помощ
316,Freund::N,przyjaciel,приятел
317,Kamerad::N,kolega,другар
318,Angelegenheit::N,sprawa,работа
319,Anzahl::N,ilość,брой
320,Anzahl::N,ilość,количество
321,Art::N,rodzaj,вид
322,Stück::N,kawałek,къс
323,Stück::N,kawałek,парче
324,Teil::N,część,дял
325,Teil::N,część,част
326,Hälfte::N,połowa,половина
327,Kreis::N,krąg,кръг
328,Kreuz::N,krzyż,кръст
329,Linie::N,linia,черта
330,Strich::N,kreska,щрих
331,Strich::N,kreska,черта
332,Abstand::N,odstęp,дистанция
333,Abstand::N,odstęp,разстояние
334,Entfernung::N,odległość,разстояние
335,Gegend::N,okolica,местност
336,Platz::N,miejsce,място
337,Ort::N,miejsce,място
338,Seite::N,bok,страна
339,Seite::N,strona,страна
340,Mitte::N,środek,среда
341,Gegenstand::N,przedmiot,предмет
342,Sache::N,rzecz,вещ
343,Rand::N,skraj,ръб
344,Rand::N,krawędź,ръб
345,Kante::N,kant,ръб
346,Kante::N,kant,кант
347,Kante::N,krawędź,ръб
348,Kante::N,krawędź,кант
349,Ecke::N,róg,ъгъл
350,Spitze::N,ostrze,връх
351,Spitze::N,ostrze,острие
352,Ende::N,koniec,край
353,Loch::N,dziura,дупка
354,Winkel::N,kąt,кът
355,Winkel::N,kąt,ъгъл
356,Winkel::N,kącik,кът
357,Winkel::N,kącik,ъгъл
358,Muster::N,wzór,десен
359,Muster::N,wzór,образец
360,Größe::N,rozmiar,големина
361,Größe::N,wielkość,големина
362,Länge::N,długość,дължина
363,Höhe::N,wysokość,висота
364,Höhe::N,wysokość,височина
365,Gewicht::N,ciężar,тегло
366,Gewicht::N,ciężar,тежест
367,Menge::N,ilość,количество
368,Haufen::N,kupa,куп
369,Haufen::N,kupa,грамада
370,Reihe::N,rząd,ред
371,Reihe::N,rząd,редица
372,Reihe::N,szereg,ред
373,Reihe::N,szereg,редица
374,Boot::N,łódź,лодка
375,Boot::N,łódka,лодка
376,Ruder::N,wiosło,весло
377,Ruder::N,wiosło,гребло
378,Schlitten::N,sanki,шейна
379,Ski::N,narta,ски
380,Lagerfeuer::N,ognisko,огнище
381,Last::N,ciężar,товар
382,Last::N,brzemię,товар
383,Gang::N,chód,ход
384,Gang::N,chód,вървеж
385,Schritt::N,krok,стъпка
386,Norden::N,północ,север
387,Süden::N,południe,юг
388,Westen::N,zachód,запад
389,Osten::N,wschód,изток
390,Holz::N,drzewo,дърво
391,Brett::N,deska,дъска
392,Platte::N,płyta,
393,Stütze::N,podpora,
394,Stange::N,drąg,прът
395,Stange::N,drąg,върлина
396,Stange::N,żerdź,прът
397,Stange::N,żerdź,върлина
398,Stock::N,kij,прът
399,Stock::N,kij,тояга
400,Stock::N,laska,прът
401,Stock::N,laska,тояга
402,Stab::N,pręt,прът
403,Rohr::N,rura,цев
404,Rohr::N,rura,тръба
405,Haus::N,dom,къща
406,Heim::N,dom,дом
407,Ofen::N,piec,печка
408,Fußboden::N,podłoga,под
409,Tisch::N,stół,маса
410,Stuhl::N,krzesło,стол
411,Wiege::N,kołyska,люлка
